,PL1AF9~1,
Raman shift [1/cm],Intensity,
2175.920,1146.822,
2173.010,1193.5028,
2170.099,1250.5784,
2167.189,1275.2285,
2164.278,1280.4671,
2161.368,1357.9607,
2158.457,1446.6533,
2155.546,1494.2789,
2152.636,1547.6063,
2149.725,1582.0554,
2146.815,1656.8141,
2143.904,1674.2574,
2140.993,1690.1548,
2138.083,1701.487,
2135.172,1722.3424,
2132.262,1720.0123,
2129.351,1694.2877,
2126.441,1661.2791,
2123.530,1593.0041,
2120.619,1477.608,
2117.709,1420.3639,
2114.798,1335.1651,
2111.888,1282.3882,
2108.977,1218.0248,
2106.067,1137.6803,
2103.156,1112.4516,
2100.245,1093.2406,
2097.335,1072.5903,
2094.424,1021.9154,
2091.514,997.25542,
2088.603,998.65556,
2085.692,1003.2536,
2082.782,995.28625,
2079.871,988.25,
2076.961,990.12084,
2074.050,973.91061,
2071.140,965.31912,
2068.229,949.8073,
2065.318,952.47377,
2062.408,963.5072,
2059.497,942.04166,
2056.587,958.40085,
2053.676,957.26722,
2050.766,929.40546,
2047.855,942.7089,
2044.944,926.51121,
2042.034,940.77601,
2039.123,954.21296,
2036.213,971.30995,
2033.302,937.77202,
2030.391,934.48696,
2027.481,945.71337,
2024.570,964.94953,
2021.660,958.84129,
2018.749,923.95957,
2015.839,965.63583,
2012.928,958.23826,
2010.017,972.14577,
2007.107,971.87615,
2004.196,962.80953,
2001.286,962.2288,
1998.375,955.37893,
1995.465,974.48839,
1992.554,960.96781,
1989.643,937.97584,
1986.733,935.62456,
1983.822,941.12149,
1980.912,933.56678,
1978.001,933.44481,
1975.090,939.84389,
1972.180,924.38965,
1969.269,925.06328,
1966.359,942.84463,
1963.448,934.02278,
1960.538,937.55359,
1957.627,927.65866,
1954.716,924.30745,
1951.806,924.50483,
1948.895,914.96855,
1945.985,943.16503,
1943.074,924.16518,
1940.164,918.74044,
1937.253,928.41511,
1934.342,930.20722,
1931.432,905.04495,
1928.521,884.40544,
1925.611,920.89245,
1922.700,901.4268,
1919.790,903.44641,
1916.879,909.90125,
1913.968,908.25246,
1911.058,887.49626,
1908.147,917.25728,
1905.237,903.65441,
1902.326,912.58924,
1899.415,924.89509,
1896.505,893.08142,
1893.594,917.96956,
1890.684,925.50495,
1887.773,928.64629,
1884.863,910.73747,
1881.952,912.29234,
1879.041,895.04231,
1876.131,880.73497,
1873.220,891.45359,
1870.310,886.75225,
1867.399,915.77019,
1864.489,919.86056,
1861.578,909.8764,
1858.667,912.41164,
1855.757,946.45644,
1852.846,933.72181,
1849.936,928.73747,
1847.025,943.60768,
1844.114,925.87119,
1841.204,940.27098,
1838.293,949.75249,
1835.383,925.84352,
1832.472,930.3787,
1829.562,977.55131,
1826.651,957.64224,
1823.740,941.70594,
1820.830,955.36823,
1817.919,953.54936,
1815.009,972.79961,
1812.098,973.55709,
1809.188,954.49035,
1806.277,986.49752,
1803.366,999.60119,
1800.456,961.96444,
1797.545,977.75337,
1794.635,1003.3489,
1791.724,955.95856,
1788.813,1018.0472,
1785.903,1013.2364,
1782.992,1015.5197,
1780.082,989.86515,
1777.171,1002.2521,
1774.261,1012.44,
1771.350,1014.2712,
1768.439,1008.6965,
1765.529,1017.525,
1762.618,1034.6656,
1759.708,1035.2065,
1756.797,1031.0985,
1753.887,1049.559,
