,PL3CCC~1,
Wavenumbers [1/cm],Intensity,
2178.831,1214.3794,
2175.920,1269.7077,
2173.010,1329.5266,
2170.099,1395.56,
2167.189,1459.6435,
2164.278,1494.6136,
2161.368,1617.9243,
2158.457,1729.7995,
2155.546,1810.8309,
2152.636,1917.0902,
2149.725,2018.9026,
2146.815,2047.9995,
2143.904,2157.4182,
2140.993,2217.5633,
2138.083,2254.0867,
2135.172,2230.458,
2132.262,2234.2482,
2129.351,2231.9896,
2126.441,2159.0532,
2123.530,2080.0745,
2120.619,1944.5922,
2117.709,1859.8229,
2114.798,1745.2225,
2111.888,1626.0642,
2108.977,1533.5529,
2106.067,1477.9903,
2103.156,1404.5124,
2100.245,1325.4762,
2097.335,1281.9607,
2094.424,1232.1654,
2091.514,1192.4892,
2088.603,1159.7858,
2085.692,1128.1321,
2082.782,1144.3593,
2079.871,1136.6062,
2076.961,1140.9188,
2074.050,1125.3364,
2071.140,1104.1091,
2068.229,1114.1328,
2065.318,1113.1415,
2062.408,1092.1891,
2059.497,1078.2976,
2056.587,1081.7557,
2053.676,1105.5487,
2050.766,1125.2683,
2047.855,1063.8417,
2044.944,1078.8253,
2042.034,1098.367,
2039.123,1090.1397,
2036.213,1082.1933,
2033.302,1074.4131,
2030.391,1065.1273,
2027.481,1058.2683,
2024.570,1063.3998,
2021.660,1079.5539,
2018.749,1059.6777,
2015.839,1082.9088,
2012.928,1045.0973,
2010.017,1054.3317,
2007.107,1060.3412,
2004.196,1080.3571,
2001.286,1055.7686,
1998.375,1050.4587,
1995.465,1030.6884,
1992.554,1042.9057,
1989.643,1040.6728,
1986.733,1016.2658,
1983.822,1041.2932,
1980.912,1006.4606,
1978.001,1008.3479,
1975.090,999.66489,
1972.180,1010.6037,
1969.269,1015.9914,
1966.359,1003.0403,
1963.448,996.15258,
1960.538,1009.6726,
1957.627,1018.7415,
1954.716,996.18944,
1951.806,992.71159,
1948.895,965.00395,
1945.985,998.47058,
1943.074,959.42614,
1940.164,967.72111,
1937.253,961.91745,
1934.342,962.53422,
1931.432,956.10883,
1928.521,963.4361,
1925.611,952.03916,
1922.700,941.33425,
1919.790,927.58107,
1916.879,942.24451,
1913.968,953.4877,
1911.058,941.03754,
1908.147,934.5,
1905.237,931.9191,
1902.326,929.6748,
1899.415,929.53655,
1896.505,882.10843,
1893.594,892.40248,
1890.684,918.40841,
1887.773,929.34486,
1884.863,931.68907,
1881.952,941.86992,
1879.041,921.29231,
1876.131,940.3745,
1873.220,927.32293,
1870.310,945.84974,
1867.399,932.7399,
1864.489,952.9812,
1861.578,915.6868,
1858.667,923.22152,
1855.757,958.89141,
1852.846,963.22309,
1849.936,940.54706,
1847.025,934.02553,
1844.114,951.5,
1841.204,949.6958,
1838.293,958.98088,
1835.383,975.96499,
1832.472,972.19739,
1829.562,988.21928,
1826.651,983.40556,
1823.740,977.68391,
1820.830,980.81498,
1817.919,999.41628,
1815.009,997.50636,
1812.098,983.93308,
1809.188,984.37596,
1806.277,981.5664,
1803.366,1006.3503,
1800.456,998.81897,
1797.545,1019.9327,
1794.635,1010.4341,
1791.724,1041.7525,
1788.813,1004.1085,
1785.903,1019.0098,
1782.992,978.81743,
1780.082,949.50784,
1777.171,898.83351,
1774.261,918.48038,
1771.350,974.84926,
1768.439,1023.6933,
1765.529,1043.7732,
1762.618,1061.4769,
1759.708,1052.978,
1756.797,1056.3939,
1753.887,1085.7055,
1750.976,1072.8102,
1748.065,1064.1866,
1745.155,1045.4227,
1742.244,1040.1214,
1739.334,1085.267,
1736.423,1082.5972,
1733.512,1096.7846,
1730.602,1127.9405,
1727.691,1117.8438,
1724.781,1118.006,
1721.870,1134.7906,
1718.960,1102.3218,
1716.049,1126.381,
1713.138,1147.0349,
1710.228,1144.2782,
1707.317,1146.1537,
1704.407,1150.0936,
1701.496,1147.7654,
1698.586,1169.6756,
1695.675,1176.1785,
1692.764,1190.7008,
1689.854,1164.7126,
1686.943,1200.2184,
1684.033,1299.0164,
1681.122,1243.5026,
1678.211,1268.2525,
1675.301,1294.4198,
1672.390,1300.5658,
1669.480,1322.8129,
1666.569,1361.9063,
1663.659,1394.3493,
1660.748,1445.6735,
1657.837,1455.3967,
1654.927,1495.8514,
1652.016,1511.1561,
1649.106,1539.3116,
1646.195,1612.2912,
1643.285,1644.7507,
1640.374,1656.8798,
1637.463,1722.5989,
1634.553,1784.495,
1631.642,1918.5641,
1628.732,2015.9503,
1625.821,2091.6544,
1622.911,2326.1701,
1620.000,2428.2149,
1617.089,2624.5398,
1614.179,2860.76,
1611.268,3019.6259,
1608.358,3188.4932,
1605.447,3289.8436,
1602.536,3362.5959,
1599.626,3365.6601,
1596.715,3337.3644,
1593.805,3267.4251,
1590.894,3228.6765,
1587.984,3245.2862,
1585.073,3156.6118,
1582.162,3077.0487,
1579.252,3129.9641,
1576.341,3105.2479,
1573.431,3096.2832,
1570.520,3082.7412,
1567.610,3061.3625,
1564.699,2980.0969,
1561.788,2893.0499,
1558.878,2845.9688,
1555.967,2782.6468,
1553.057,2722.9658,
1550.146,2660.2528,
1547.235,2595.8998,
1544.325,2560.886,
1541.414,2503.8147,
1538.504,2454.3068,
1535.593,2432.8926,
1532.683,2377.9921,
1529.772,2285.7882,
1526.861,2235.5582,
1523.951,2272.4905,
1521.040,2281.7518,
1518.130,2211.3627,
1515.219,2185.8191,
1512.309,2184.3017,
1509.398,2083.0703,
1506.487,2080.5945,
1503.577,2075.7652,
1500.666,2070.4927,
1497.756,2057.0078,
1494.845,1988.2988,
1491.934,1935.5567,
1489.024,1952.8816,
1486.113,1903.4304,
1483.203,1837.3283,
1480.292,1827.803,
1477.382,1774.9639,
1474.471,1715.6899,
1471.560,1704.4027,
1468.650,1669.2865,
1465.739,1666.5908,
1462.829,1696.5822,
1459.918,1659.5659,
1457.008,1604.8075,
1454.097,1577.2488,
1451.186,1588.1944,
1448.276,1623.3344,
1445.365,1646.327,
1442.455,1682.0682,
1439.544,1596.2566,
1436.633,1590.4225,
1433.723,1599.0015,
1430.812,1592.3969,
1427.902,1553.9961,
1424.991,1574.8469,
1422.081,1550.7281,
1419.170,1586.5187,
1416.259,1592.5,
1413.349,1582.6819,
1410.438,1568.3035,
1407.528,1542.9003,
1404.617,1518.5832,
1401.707,1514.2695,
1398.796,1523.6923,
1395.885,1553.0632,
1392.975,1547.8942,
1390.064,1488.0951,
1387.154,1513.2663,
1384.243,1514.5693,
1381.332,1520.4054,
1378.422,1496.6297,
1375.511,1673.6813,
1372.601,1703.2255,
1369.690,1764.6483,
1366.780,1841.031,
1363.869,1860.6794,
1360.958,1846.315,
1358.048,1918.0038,
1355.137,1983.0137,
1352.227,2003.938,
1349.316,2050.5505,
1346.406,2126.1291,
1343.495,2186.4652,
1340.584,2226.1422,
1337.674,2281.0057,
1334.763,2365.7478,
1331.853,2293.4237,
1328.942,2350.9836,
1326.032,2440.8777,
1323.121,2482.4699,
1320.210,2585.0607,
1317.300,2643.7144,
1314.389,2723.4459,
1311.479,2801.1116,
1308.568,2850.4967,
1305.657,2937.5718,
1302.747,3003.4292,
1299.836,3075.8074,
1296.926,3258.2519,
1294.015,3295.9442,
1291.105,3441.0283,
1288.194,3601.0788,
1285.283,3749.6285,
1282.373,3799.5625,
1279.462,3862.891,
1276.552,3946.4135,
1273.641,3998.4066,
1270.731,4037.4358,
1267.820,4071.5672,
1264.909,4040.4014,
1261.999,4061.1005,
1259.088,4050.1551,
1256.178,3932.1655,
1253.267,3889.4841,
1250.356,3736.8904,
1247.446,3588.2918,
1244.535,3458.1698,
1241.625,3290.4558,
1238.714,3120.8729,
1235.804,3025.5293,
1232.893,2938.3937,
1229.982,2854.1133,
1227.072,2872.2195,
1224.161,2806.2597,
1221.251,2740.6398,
1218.340,2688.8138,
1215.430,2639.67,
1212.519,2608.1614,
1209.608,2585.9706,
1206.698,2557.968,
1203.787,2560.5101,
1200.877,2601.0074,
1197.966,2641.4696,
1195.055,2727.9716,
1192.145,2818.3857,
1189.234,2896.701,
1186.324,2939.1377,
1183.413,2962.4239,
1180.503,2973.7902,
1177.592,2960.2271,
1174.681,2938.2329,
1171.771,2929.0055,
1168.860,2907.5713,
1165.950,2858.7352,
1163.039,2863.5633,
1160.129,2874.629,
1157.218,2871.7312,
1154.307,2835.447,
1151.397,2793.6238,
1148.486,2817.5519,
1145.576,2804.6883,
1142.665,2762.9564,
1139.754,2754.6182,
1136.844,2739.4939,
1133.933,2718.2508,
1131.023,2729.6885,
1128.112,2721.2905,
1125.202,2662.2246,
1122.291,2664.7507,
1119.380,2666.4654,
1116.470,2662.9352,
1113.559,2682.6045,
