,PL425B~1,
Wavenumbers [1/cm],Intensity,
2175.920,1087.7295,
2173.010,1118.826,
2170.099,1172.0278,
2167.189,1243.9018,
2164.278,1310.6518,
2161.368,1399.7828,
2158.457,1493.5429,
2155.546,1556.4385,
2152.636,1619.2765,
2149.725,1722.057,
2146.815,1766.5323,
2143.904,1873.3178,
2140.993,1917.664,
2138.083,1926.9711,
2135.172,1946.416,
2132.262,1952.7447,
2129.351,1939.9275,
2126.441,1856.1017,
2123.530,1809.6133,
2120.619,1722.4178,
2117.709,1638.8676,
2114.798,1513.2225,
2111.888,1407.9011,
2108.977,1322.1953,
2106.067,1265.2654,
2103.156,1196.9115,
2100.245,1128.4918,
2097.335,1109.5995,
2094.424,1054.0538,
2091.514,1017.7178,
2088.603,1018.2788,
2085.692,1019.0018,
2082.782,1000.1748,
2079.871,969.14178,
2076.961,961.69373,
2074.050,981.78485,
2071.140,928.82181,
2068.229,933.22135,
2065.318,935.52424,
2062.408,931.43948,
2059.497,927.68451,
2056.587,931.72078,
2053.676,915.08458,
2050.766,916.96114,
2047.855,891.78479,
2044.944,901.23398,
2042.034,907.08392,
2039.123,920.27778,
2036.213,916.63119,
2033.302,931.34795,
2030.391,907.75469,
2027.481,919.32907,
2024.570,892.7866,
2021.660,913.78525,
2018.749,929.93014,
2015.839,913.34777,
2012.928,903.40772,
2010.017,915.20141,
2007.107,905.80092,
2004.196,915.44054,
2001.286,912.35163,
1998.375,898.5,
1995.465,870.18215,
1992.554,881.78219,
1989.643,876.77651,
1986.733,844.76754,
1983.822,849.21787,
1980.912,848.86645,
1978.001,846.60203,
1975.090,825.52289,
1972.180,815.05186,
1969.269,831.04891,
1966.359,828.93223,
1963.448,829.26619,
1960.538,857.6568,
1957.627,826.05105,
1954.716,802.07454,
1951.806,826.45032,
1948.895,831.87642,
1945.985,866.30882,
1943.074,824.89123,
1940.164,814.76933,
1937.253,811.73936,
1934.342,794.47433,
1931.432,774.18139,
1928.521,792.02159,
1925.611,806.33768,
1922.700,743.76797,
1919.790,755.06038,
1916.879,765.0815,
1913.968,771.49262,
1911.058,792.61109,
1908.147,732.26796,
1905.237,781.16171,
1902.326,746.18148,
1899.415,725.44144,
1896.505,678.75287,
1893.594,673.21956,
1890.684,717.93118,
1887.773,737.414,
1884.863,748.08314,
1881.952,772.84485,
1879.041,768.90914,
1876.131,783.41633,
1873.220,761.34945,
1870.310,736.15026,
1867.399,750.2441,
1864.489,769.5,
1861.578,767.72541,
1858.667,751.67364,
1855.757,759.6957,
1852.846,764.75128,
1849.936,759.75626,
1847.025,757.78952,
1844.114,777.29294,
1841.204,769.63636,
1838.293,765.99418,
1835.383,786.44148,
1832.472,790.41826,
1829.562,783.5,
1826.651,769.14067,
1823.740,788.70694,
1820.830,801.58664,
1817.919,765.85306,
1815.009,791.74936,
1812.098,781.34253,
1809.188,784.18991,
1806.277,788.41147,
1803.366,778.91591,
1800.456,805.8082,
1797.545,842.91857,
1794.635,820.85405,
1791.724,839.70394,
1788.813,814.8928,
1785.903,789.45157,
1782.992,751.333,
1780.082,646.78385,
1777.171,558.82065,
1774.261,530.84539,
1771.350,637.31803,
1768.439,780.84495,
1765.529,830.4102,
1762.618,853.44316,
1759.708,851.59764,
1756.797,849.09849,
1753.887,837.1137,
1750.976,838.13808,
1748.065,864.78878,
1745.155,841.84215,
1742.244,827.81068,
1739.334,876.05999,
1736.423,881.24956,
1733.512,897.78462,
1730.602,907.99603,
1727.691,904.6617,
1724.781,907.43288,
1721.870,942.3002,
1718.960,904.455,
1716.049,938.12669,
1713.138,933.67506,
1710.228,937.59208,
1707.317,929.65429,
1704.407,929.3984,
1701.496,947.73096,
1698.586,947.65203,
1695.675,927.85012,
1692.764,1025.9058,
1689.854,993.23226,
1686.943,976.03961,
1684.033,1050.5876,
1681.122,1042.6699,
1678.211,1052.4048,
1675.301,1073.4352,
1672.390,1068.5329,
1669.480,1079.5642,
