,PLEC39~1,
Wavenumbers [1/cm],Intensity,
2734.751,673.58244,
2731.841,690.48718,
2728.930,688.22457,
2726.020,695.11748,
2723.109,672.51592,
2720.199,683,
2717.288,696.5949,
2714.377,703.6459,
2711.467,704.63956,
2708.556,716.89305,
2705.646,731.92956,
2702.735,713.00516,
2699.825,725.82549,
2696.914,716.18998,
2694.003,705.36747,
2691.093,725.62456,
2688.182,733.8563,
2685.272,711.27454,
2682.361,727.57642,
2679.450,728.58437,
2676.540,759.28866,
2673.629,722.67714,
2670.719,735.98522,
2667.808,742.19454,
2664.898,722.60991,
2661.987,752.26671,
2659.076,753.12716,
2656.166,740.67954,
2653.255,760.2619,
2650.345,773.38476,
2647.434,778.62904,
2644.524,792.52516,
2641.613,789.0572,
2638.702,796.88953,
2635.792,777.37686,
2632.881,776.85691,
2629.971,768.67774,
2627.060,803.99938,
2624.149,802.10938,
2621.239,778.21887,
2618.328,791.12716,
2615.418,792.00909,
2612.507,798.54937,
2609.597,792.28543,
2606.686,806.75302,
2603.775,810.15873,
2600.865,825.11269,
2597.954,826.90417,
2595.044,830.61648,
2592.133,855.45237,
2589.223,834.57787,
2586.312,843.63318,
2583.401,844.63141,
2580.491,848.91828,
2577.580,847.96204,
2574.670,828.87432,
2571.759,847.2577,
2568.848,844.9447,
2565.938,870.52384,
2563.027,870.02497,
2560.117,872.55139,
2557.206,862.76753,
2554.296,865.91075,
2551.385,849.68599,
2548.474,866.29666,
2545.564,875.93669,
2542.653,879.01006,
2539.743,890.48152,
2536.832,887.46916,
2533.922,909.95269,
2531.011,905.62512,
2528.100,893.47036,
2525.190,896.27746,
2522.279,902.29653,
2519.369,881.96263,
2516.458,891.34985,
2513.548,898.67289,
2510.637,888.30741,
2507.726,902.99259,
2504.816,921.06201,
2501.905,914.75366,
2498.995,902.41803,
2496.084,920.03839,
2493.173,931.18377,
2490.263,937.55031,
2487.352,940.79293,
2484.442,956.43684,
2481.531,955.2659,
2478.621,946.94782,
2475.710,950.96166,
2472.799,946.24663,
2469.889,957.66484,
2466.978,956.01043,
2464.068,969.19583,
2461.157,985.64766,
2458.247,963.69123,
2455.336,959.44813,
2452.425,962.9151,
2449.515,986.73597,
2446.604,996.93545,
2443.694,991.4646,
2440.783,1002.8615,
2437.872,1004.6564,
2434.962,1012.2811,
2432.051,999.6299,
2429.141,1009.306,
2426.230,1013.5437,
2423.320,1041.8003,
2420.409,1033.0256,
2417.498,1038.5983,
2414.588,1052.8973,
2411.677,1044.8247,
2408.767,1060.4232,
2405.856,1047.5666,
2402.946,1065.2681,
2400.035,1079.8897,
2397.124,1066.6524,
2394.214,1055.3512,
2391.303,1062.5745,
2388.393,1056.5628,
2385.482,999.4234,
2382.571,1003.203,
2379.661,1004.2555,
2376.750,1046.2068,
2373.840,1093.2967,
2370.929,1089.1516,
