,PL778C~1,
Raman shift [1/cm],Intensity,
2184.652,1450.8371,
2181.742,1450.7295,
2178.831,1493.4397,
2175.920,1531.8871,
2173.010,1551.7494,
2170.099,1551.5997,
2167.189,1593.3947,
2164.278,1648.4402,
2161.368,1670.7119,
2158.457,1739.0632,
2155.546,1791.9077,
2152.636,1815.0904,
2149.725,1844.2953,
2146.815,1906.0646,
2143.904,1920.4163,
2140.993,1964.8888,
2138.083,1970.7873,
2135.172,1973.3279,
2132.262,1983.9859,
2129.351,1944.017,
2126.441,1914.4465,
2123.530,1907.4276,
2120.619,1855.8991,
2117.709,1822.1039,
2114.798,1722.9151,
2111.888,1670.1382,
2108.977,1642.649,
2106.067,1573.5714,
2103.156,1515.2873,
2100.245,1510.968,
2097.335,1460.7225,
2094.424,1466.2393,
2091.514,1461.637,
2088.603,1427.7927,
2085.692,1402.1821,
2082.782,1406.5341,
2079.871,1413.7503,
2076.961,1418.7417,
2074.050,1417.9515,
2071.140,1418.1263,
2068.229,1413.931,
2065.318,1383.5552,
2062.408,1382.4319,
2059.497,1395.4167,
2056.587,1396.035,
2053.676,1395.6332,
2050.766,1384.9238,
2047.855,1350.0252,
2044.944,1384.734,
2042.034,1383,
2039.123,1384.7003,
2036.213,1389.7689,
2033.302,1382.2175,
2030.391,1393.3215,
2027.481,1407.7195,
2024.570,1420.7997,
2021.660,1397.5965,
2018.749,1377.9498,
2015.839,1400.5203,
2012.928,1405.9413,
2010.017,1443.6634,
2007.107,1399.1588,
2004.196,1403.2025,
2001.286,1421.1237,
1998.375,1402.8661,
1995.465,1382.2679,
1992.554,1393.7763,
1989.643,1380.553,
1986.733,1370.4447,
1983.822,1392.8966,
1980.912,1376.0497,
1978.001,1384.5677,
1975.090,1387.2031,
1972.180,1393.2407,
1969.269,1370.4309,
1966.359,1389.1627,
1963.448,1379.1268,
1960.538,1382.4187,
1957.627,1410.966,
1954.716,1361.5512,
1951.806,1373.7084,
1948.895,1350.9129,
1945.985,1369.1062,
1943.074,1379.7455,
1940.164,1358.8462,
1937.253,1365.7217,
1934.342,1368.5043,
1931.432,1357.4543,
1928.521,1337.9603,
1925.611,1309.6561,
1922.700,1325.5345,
1919.790,1339.7514,
1916.879,1340.0697,
1913.968,1328.0148,
1911.058,1388,
1908.147,1382.4204,
1905.237,1349.5736,
1902.326,1357.6711,
1899.415,1339.3439,
1896.505,1336.8253,
1893.594,1366.3446,
1890.684,1387.4772,
1887.773,1364.4916,
1884.863,1367.9294,
1881.952,1356.9577,
1879.041,1353.026,
1876.131,1351.5569,
1873.220,1333.5663,
1870.310,1323.574,
1867.399,1376.1363,
1864.489,1336.3894,
1861.578,1348.4284,
1858.667,1372.2934,
1855.757,1378.3842,
1852.846,1387.4564,
1849.936,1371.976,
1847.025,1401.7032,
1844.114,1407.16,
1841.204,1401.5105,
1838.293,1403.5058,
1835.383,1409.2905,
1832.472,1427.0817,
1829.562,1427.612,
1826.651,1450.6673,
1823.740,1451.3525,
1820.830,1439.2834,
1817.919,1422.3412,
1815.009,1470.374,
1812.098,1452.9685,
1809.188,1467.8217,
1806.277,1454.332,
1803.366,1485.9519,
1800.456,1423.2856,
1797.545,1412.5673,
1794.635,1437.9332,
1791.724,1503.5146,
1788.813,1496.801,
1785.903,1503.7519,
1782.992,1514.6587,
1780.082,1498.347,
1777.171,1490.6783,
1774.261,1516.8447,
1771.350,1505.2045,
1768.439,1538.9583,
1765.529,1539.2713,
1762.618,1502.9449,
1759.708,1517.4243,
1756.797,1553.0833,
1753.887,1570.5656,
1750.976,1572.0792,
1748.065,1542.5668,
1745.155,1553.3547,
1742.244,1573.9456,
1739.334,1580.0541,
1736.423,1612.7943,
1733.512,1586.7072,
1730.602,1624.3612,
1727.691,1606.6876,
1724.781,1640.8349,
1721.870,1678.7525,
1718.960,1709.667,
