,PL0CF0~1,
Raman shift [1/cm],Intensity,
2187.563,1441.6015,
2184.652,1469.5788,
2181.742,1526.0475,
2178.831,1571.216,
2175.920,1577.3342,
2173.010,1641.03,
2170.099,1715.7609,
2167.189,1788.5718,
2164.278,1808.4779,
2161.368,1893.9253,
2158.457,1979.8687,
2155.546,2048.3462,
2152.636,2142.7286,
2149.725,2203.453,
2146.815,2255.9317,
2143.904,2324.7826,
2140.993,2291.3465,
2138.083,2340.1959,
2135.172,2378.4664,
2132.262,2353.7095,
2129.351,2337.2552,
2126.441,2271.2377,
2123.530,2199.4898,
2120.619,2102.9315,
2117.709,2031.5044,
2114.798,1925.6534,
2111.888,1831.189,
2108.977,1746.7318,
2106.067,1631.5617,
2103.156,1632.6547,
2100.245,1574.4787,
2097.335,1535.6833,
2094.424,1502.4148,
2091.514,1493.1262,
2088.603,1466.924,
2085.692,1472.0464,
2082.782,1441.9861,
2079.871,1438.3576,
2076.961,1435.8229,
2074.050,1445.5,
2071.140,1444.2127,
2068.229,1430.6966,
2065.318,1425.5135,
2062.408,1423.848,
2059.497,1417.9346,
2056.587,1414.6049,
2053.676,1401.9671,
2050.766,1406.9611,
2047.855,1432.7311,
2044.944,1409.9583,
2042.034,1417.5692,
2039.123,1384.1229,
2036.213,1426.2089,
2033.302,1427.1959,
2030.391,1396.7547,
2027.481,1399.4023,
2024.570,1416.1425,
2021.660,1410.0322,
2018.749,1433.5,
2015.839,1435.9213,
2012.928,1442.995,
2010.017,1425.538,
2007.107,1451.4308,
2004.196,1421.2023,
2001.286,1402.3975,
1998.375,1421.938,
1995.465,1420.2071,
1992.554,1407.9824,
1989.643,1419.0507,
1986.733,1396.714,
1983.822,1401.0643,
1980.912,1400.6284,
1978.001,1396.2792,
1975.090,1416.6954,
1972.180,1413.6729,
1969.269,1433.9742,
1966.359,1411.986,
1963.448,1417.2596,
1960.538,1438.0496,
1957.627,1407.5093,
1954.716,1431.6669,
1951.806,1423.5497,
1948.895,1426.1579,
1945.985,1425.2451,
1943.074,1387.0349,
1940.164,1414.702,
1937.253,1423.513,
1934.342,1418.423,
1931.432,1401.418,
1928.521,1394.8506,
1925.611,1393.7792,
1922.700,1361.8425,
1919.790,1401.7307,
1916.879,1355.5455,
1913.968,1378.4668,
1911.058,1365.9355,
1908.147,1415.0314,
1905.237,1417.7059,
1902.326,1415.0274,
1899.415,1404.0341,
1896.505,1376.5421,
1893.594,1387.5824,
1890.684,1410.1797,
1887.773,1416.0776,
1884.863,1430.5319,
1881.952,1430.8276,
1879.041,1418.4221,
1876.131,1382.1105,
1873.220,1411.1108,
1870.310,1418.3565,
1867.399,1405.7079,
1864.489,1434.2928,
1861.578,1407.2086,
1858.667,1431.2994,
1855.757,1426.4714,
1852.846,1443.6744,
1849.936,1414.0105,
1847.025,1456.6727,
1844.114,1475.5118,
1841.204,1459.1049,
1838.293,1438.9942,
1835.383,1478.0225,
1832.472,1486.7435,
1829.562,1516.5774,
1826.651,1488.8491,
1823.740,1480.5154,
1820.830,1490.3583,
1817.919,1500.4581,
1815.009,1535.0369,
1812.098,1510.878,
1809.188,1522.5077,
1806.277,1486.341,
1803.366,1523.1007,
1800.456,1500.6541,
1797.545,1522.7127,
1794.635,1538.5659,
1791.724,1509.3931,
1788.813,1557.8915,
1785.903,1537.1279,
1782.992,1544.7697,
1780.082,1526.3454,
1777.171,1551.8335,
1774.261,1577.6855,
1771.350,1602.504,
1768.439,1584.991,
1765.529,1606.8648,
1762.618,1607.2531,
1759.708,1607.674,
1756.797,1607.9697,
1753.887,1615.0394,
1750.976,1598.9653,
1748.065,1613.6797,
1745.155,1635.1387,
1742.244,1589.8126,
1739.334,1650.7188,
1736.423,1666.1841,
1733.512,1655.0447,
1730.602,1698.633,
1727.691,1681.2583,
1724.781,1713.9751,
1721.870,1698.9427,
1718.960,1697.4334,
1716.049,1734.5759,
1713.138,1784.2498,
1710.228,1736.6713,
1707.317,1755.0371,
1704.407,1795.3343,
1701.496,1753.9226,
1698.586,1802.1671,
1695.675,1803.6929,
1692.764,1793.0861,
1689.854,1856.5985,
1686.943,1848.871,
1684.033,1905.0595,
1681.122,1914.3641,
1678.211,2001.6625,
1675.301,1956.6418,
1672.390,2009.512,
1669.480,2014.1418,
1666.569,2093.1445,
1663.659,2067.0842,
1660.748,2162.8471,
1657.837,2181.8559,
1654.927,2242.5703,
1652.016,2246.6421,
1649.106,2293.6996,
1646.195,2342.3631,
1643.285,2378.1836,
1640.374,2408.0226,
1637.463,2433.9051,
1634.553,2512.3768,
1631.642,2638.7269,
1628.732,2750.9918,
1625.821,2833.5837,
1622.911,2960.7787,
1620.000,3142.1944,
1617.089,3331.699,
1614.179,3473.4955,
1611.268,3667.176,
1608.358,3834.6337,
1605.447,3958.4724,
1602.536,3997.1842,
1599.626,4017.8987,
1596.715,4083.0321,
1593.805,4032.2628,
1590.894,3978.8245,
1587.984,3947.3833,
1585.073,3869.4789,
1582.162,3899.9141,
1579.252,3832.398,
1576.341,3830.7202,
1573.431,3828.2346,
1570.520,3805.8618,
1567.610,3777.1467,
1564.699,3701.3472,
1561.788,3628.3174,
1558.878,3567.5342,
1555.967,3514.1454,
1553.057,3450.5694,
1550.146,3409.7509,
1547.235,3359.7675,
1544.325,3319.0583,
1541.414,3271.696,
1538.504,3236.931,
1535.593,3228.1701,
1532.683,3193.0176,
1529.772,3157.3438,
1526.861,3131.1649,
1523.951,3084.9457,
1521.040,3056.2506,
1518.130,3030.7103,
1515.219,2998.9411,
1512.309,2956.545,
1509.398,2946.2262,
1506.487,2955.1697,
1503.577,2915.8835,
1500.666,2895.9791,
1497.756,2813.7205,
1494.845,2827.3394,
1491.934,2799.4748,
1489.024,2791.7749,
1486.113,2719.1772,
1483.203,2711.7237,
1480.292,2708.106,
1477.382,2646.0731,
1474.471,2590.0615,
1471.560,2592.739,
1468.650,2578.6851,
1465.739,2552.2068,
1462.829,2558.6141,
1459.918,2545.7429,
1457.008,2551.8849,
1454.097,2554.7786,
1451.186,2544.471,
1448.276,2564.0241,
1445.365,2562.4645,
1442.455,2552.7473,
1439.544,2525.3138,
1436.633,2539.8982,
1433.723,2546.3754,
1430.812,2540.3282,
1427.902,2475.7255,
1424.991,2485.2031,
1422.081,2452.4708,
1419.170,2435.675,
1416.259,2423.7792,
1413.349,2435.0943,
1410.438,2404.511,
1407.528,2394.6499,
1404.617,2411.0039,
1401.707,2416.2605,
1398.796,2398.8112,
1395.885,2402.9293,
1392.975,2437.5836,
1390.064,2444.0252,
1387.154,2409.3398,
1384.243,2340.6368,
1381.332,2316.7053,
1378.422,2357.3593,
1375.511,2490.3822,
1372.601,2562.5393,
1369.690,2693.6545,
1366.780,2810.3363,
1363.869,2795.5438,
1360.958,2840.5797,
1358.048,2863.1936,
1355.137,2906.3886,
1352.227,2980.2387,
1349.316,3057.8824,
1346.406,3128.0124,
