,PL56DB~1,
Raman shift [1/cm],Intensity,
2184.652,1463.1177,
2181.742,1504.593,
2178.831,1594.435,
2175.920,1717.2036,
2173.010,1814.8543,
2170.099,1930.2059,
2167.189,2108.4676,
2164.278,2238.4174,
2161.368,2443.3182,
2158.457,2558.4671,
2155.546,2706.0338,
2152.636,2836.6434,
2149.725,2903.1996,
2146.815,2982.2807,
2143.904,3070.3522,
2140.993,3064.3427,
2138.083,3036.2332,
2135.172,3022.5061,
2132.262,2969.2183,
2129.351,2893.8255,
2126.441,2769.4973,
2123.530,2582.6725,
2120.619,2472.8882,
2117.709,2332.8136,
2114.798,2151.6379,
2111.888,2017.4024,
2108.977,1885.2798,
2106.067,1759.362,
2103.156,1676.5607,
2100.245,1596.7186,
2097.335,1539.284,
2094.424,1472.7825,
2091.514,1437.2527,
2088.603,1428.9344,
2085.692,1403.5196,
2082.782,1391.5091,
2079.871,1355.2483,
2076.961,1369.2647,
2074.050,1368.247,
2071.140,1335.5319,
2068.229,1328.819,
2065.318,1355.3672,
2062.408,1325.6963,
2059.497,1301.1607,
2056.587,1299.785,
2053.676,1264.2687,
2050.766,1296.4398,
2047.855,1269.1202,
2044.944,1280.6859,
2042.034,1272.565,
2039.123,1260.9285,
2036.213,1270.9568,
2033.302,1283.1851,
2030.391,1267.3941,
2027.481,1276.6767,
2024.570,1251.0936,
2021.660,1274.917,
2018.749,1317.0024,
2015.839,1269.9252,
2012.928,1257.0369,
2010.017,1277.6718,
2007.107,1274.5388,
2004.196,1277.1072,
2001.286,1275.4355,
1998.375,1247.3533,
1995.465,1257.0554,
1992.554,1259.9971,
1989.643,1254.9228,
1986.733,1211.8939,
1983.822,1199.7123,
1980.912,1226.6319,
1978.001,1252.0468,
1975.090,1239.3592,
1972.180,1222.7168,
1969.269,1208.1839,
1966.359,1227.2097,
1963.448,1228.2533,
1960.538,1237.7342,
1957.627,1253.233,
1954.716,1234.3533,
1951.806,1217.601,
1948.895,1213.6022,
1945.985,1205.5458,
1943.074,1199.9825,
1940.164,1180.9902,
1937.253,1163.1545,
1934.342,1175.4168,
1931.432,1201.1002,
1928.521,1163.5393,
1925.611,1117.6853,
1922.700,1144.3646,
1919.790,1163.2239,
1916.879,1174.9828,
1913.968,1163.7648,
1911.058,1173.2695,
1908.147,1186.7791,
1905.237,1148.0516,
1902.326,1193.3115,
1899.415,1168.1098,
1896.505,1171.4067,
1893.594,1171.7561,
1890.684,1158.7173,
1887.773,1172.7669,
1884.863,1155.6862,
1881.952,1147.4224,
1879.041,1156.8019,
1876.131,1170.1513,
1873.220,1158.803,
1870.310,1142.8263,
1867.399,1194.8863,
1864.489,1150.9711,
1861.578,1133.618,
1858.667,1156.5913,
1855.757,1188.1378,
1852.846,1202.0013,
1849.936,1195.4948,
1847.025,1190.3923,
1844.114,1221.0041,
1841.204,1234.75,
1838.293,1229.7583,
1835.383,1229.122,
1832.472,1228.5987,
1829.562,1227.6664,
1826.651,1222.596,
1823.740,1240.8612,
1820.830,1210.167,
1817.919,1234.5826,
1815.009,1216.2067,
1812.098,1226.1122,
1809.188,1202.4245,
1806.277,1233.9975,
1803.366,1238.299,
1800.456,1270.6401,
1797.545,1271.2392,
1794.635,1294.202,
1791.724,1286.7208,
1788.813,1296.1428,
1785.903,1274.688,
1782.992,1281.7739,
1780.082,1281.6033,
