,PL4BF0~1,
Raman shift [1/cm],Intensity,
2210.847,2008.6986,
2207.937,1957.3588,
2205.026,2022.8753,
2202.116,2010.4175,
2199.205,2016.0237,
2196.294,2061.5449,
2193.384,2067.6385,
2190.473,2038.9935,
2187.563,2081.8508,
2184.652,2084.4056,
2181.742,2143.127,
2178.831,2190.2291,
2175.920,2217.1956,
2173.010,2271.6533,
2170.099,2396.196,
2167.189,2451.9083,
2164.278,2604.5594,
2161.368,2695.4423,
2158.457,2833.1339,
2155.546,2962.2963,
2152.636,3122.4545,
2149.725,3325.0024,
2146.815,3368.4412,
2143.904,3536.6965,
2140.993,3601.6791,
2138.083,3660.2883,
2135.172,3713.6651,
2132.262,3752.6444,
2129.351,3775.2234,
2126.441,3696.8262,
2123.530,3626.123,
2120.619,3538.1328,
2117.709,3372.6057,
2114.798,3248.9207,
2111.888,3076.7922,
2108.977,2933.2789,
2106.067,2814.0778,
2103.156,2695.0117,
2100.245,2545.8487,
2097.335,2494.4823,
2094.424,2430.9013,
2091.514,2429.356,
2088.603,2379.8382,
2085.692,2336.232,
2082.782,2336.8388,
2079.871,2311.0162,
2076.961,2326.3251,
2074.050,2316.9174,
2071.140,2257.2659,
2068.229,2260.8489,
2065.318,2279.4787,
2062.408,2274.6178,
2059.497,2258.8095,
2056.587,2239.0029,
2053.676,2235.7919,
2050.766,2248.7203,
2047.855,2206.1313,
2044.944,2219.6634,
2042.034,2236.4182,
2039.123,2199.0568,
2036.213,2212.895,
2033.302,2222.5487,
2030.391,2224.5702,
2027.481,2235.2407,
2024.570,2208.0044,
2021.660,2244.2142,
2018.749,2234.3051,
2015.839,2219.7405,
2012.928,2229.9086,
2010.017,2256.4863,
2007.107,2242.4115,
2004.196,2246.2202,
2001.286,2216.9139,
1998.375,2208.1378,
1995.465,2210.875,
1992.554,2250.3158,
1989.643,2203.7414,
1986.733,2225.3969,
1983.822,2176.2886,
1980.912,2237.5273,
1978.001,2198.9084,
1975.090,2226.0552,
1972.180,2228.5652,
1969.269,2226.2716,
1966.359,2211.3613,
1963.448,2195.3004,
1960.538,2186.3829,
1957.627,2216.9741,
1954.716,2173.2826,
1951.806,2226.6027,
1948.895,2150.1037,
1945.985,2184.241,
1943.074,2184.0446,
1940.164,2192.7595,
1937.253,2167.8231,
1934.342,2158.9349,
1931.432,2149.1337,
1928.521,2141.4208,
1925.611,2159.0112,
1922.700,2156.1692,
1919.790,2113.3957,
1916.879,2131.0615,
1913.968,2178.8184,
1911.058,2172.4395,
1908.147,2129.3218,
1905.237,2161.6985,
1902.326,2168.1253,
1899.415,2210.7213,
1896.505,2188.6581,
1893.594,2165.7987,
1890.684,2139.4567,
1887.773,2145.3404,
1884.863,2160.6313,
1881.952,2166.48,
1879.041,2195.3781,
1876.131,2157.641,
1873.220,2148.6184,
1870.310,2169.2965,
1867.399,2167.923,
1864.489,2192.0836,
1861.578,2146.1938,
1858.667,2141.7582,
1855.757,2212.0707,
1852.846,2211.5981,
1849.936,2201.3164,
1847.025,2229.3981,
1844.114,2249.0232,
1841.204,2224.5988,
1838.293,2253.8035,
1835.383,2313.27,
1832.472,2290.6993,
1829.562,2262.681,
1826.651,2296.4314,
1823.740,2319.4267,
1820.830,2307.2135,
1817.919,2278.4437,
1815.009,2311.4055,
1812.098,2334.9301,
1809.188,2328.4332,
1806.277,2335.6979,
1803.366,2328.3075,
1800.456,2354.6994,
1797.545,2367.3077,
1794.635,2360.6471,
1791.724,2414.7586,
1788.813,2392.2794,
1785.903,2412.9098,
1782.992,2426.2177,
1780.082,2405.2977,
1777.171,2419.209,
1774.261,2424.065,
1771.350,2436.9773,
1768.439,2468.3243,
1765.529,2497.3306,
1762.618,2505.8075,
1759.708,2494.5923,
1756.797,2479.1856,
1753.887,2488.1578,
1750.976,2484.4922,
1748.065,2513.3558,
1745.155,2540.7072,
1742.244,2557.442,
1739.334,2564.1903,
1736.423,2558.9292,
1733.512,2569.245,
1730.602,2603.0477,
1727.691,2632.8342,
1724.781,2616.0643,
1721.870,2683.1088,
1718.960,2712.3862,
1716.049,2657.8247,
1713.138,2693.0448,
1710.228,2676.5067,
1707.317,2697.643,
1704.407,2749.3884,
1701.496,2798.6293,
1698.586,2752.9798,
1695.675,2789.1105,
1692.764,2809.8627,
1689.854,2826.1821,
1686.943,2803.6844,
1684.033,2859.4345,
1681.122,2892.3312,
1678.211,2896.8369,
1675.301,2974.6345,
1672.390,2983.2578,
1669.480,3110.8429,
1666.569,3107.7002,
1663.659,3173.6552,
1660.748,3280.74,
1657.837,3276.4338,
1654.927,3391.531,
1652.016,3420.3572,
1649.106,3480.9277,
1646.195,3525.1048,
1643.285,3616.7865,
1640.374,3658.76,
1637.463,3794.9919,
1634.553,3857.5745,
1631.642,3971.9716,
1628.732,4073.1667,
1625.821,4289.9679,
1622.911,4431.0748,
1620.000,4664.9017,
1617.089,4895.2581,
1614.179,5126.3042,
1611.268,5466.0114,
1608.358,5662.8381,
1605.447,5962.2774,
1602.536,6120.59,
1599.626,6216.4288,
1596.715,6246.565,
1593.805,6123.6685,
1590.894,6161.7152,
1587.984,6157.6158,
1585.073,6109.0801,
1582.162,6007.3678,
1579.252,5948.7782,
1576.341,5985.5356,
1573.431,5948.3182,
1570.520,5897.4205,
1567.610,5852.3451,
1564.699,5827.8245,
1561.788,5758.7911,
1558.878,5710.7093,
1555.967,5633.4872,
1553.057,5540.1859,
1550.146,5457.0969,
1547.235,5347.3616,
1544.325,5252.7222,
1541.414,5222.4151,
1538.504,5172.5224,
1535.593,5076.1836,
1532.683,4992.258,
1529.772,4914.6319,
1526.861,4852.8168,
1523.951,4827.4388,
1521.040,4773.5625,
1518.130,4689.2304,
1515.219,4662.1946,
1512.309,4650.8524,
1509.398,4581.3198,
1506.487,4602.3397,
1503.577,4590.1402,
1500.666,4580.7265,
1497.756,4531.4841,
1494.845,4428.7144,
1491.934,4400.8498,
1489.024,4393.1499,
1486.113,4325.1883,
1483.203,4310.1052,
1480.292,4245.2366,
1477.382,4214.477,
1474.471,4196.8296,
1471.560,4100.7154,
1468.650,4040.5939,
1465.739,4062.1805,
1462.829,4033.1296,
1459.918,4002.5325,
1457.008,4032.8138,
1454.097,4044.2373,
1451.186,4023.6274,
1448.276,3998.9989,
1445.365,3974.6633,
1442.455,4002.8685,
1439.544,3996.8941,
1436.633,4016.1093,
1433.723,4062.7836,
1430.812,3983.1757,
1427.902,3961.7397,
1424.991,3956.0531,
1422.081,3948.5352,
1419.170,3885.6627,
1416.259,3878.3052,
1413.349,3835.8263,
1410.438,3796.6829,
1407.528,3805.831,
1404.617,3796.9126,
1401.707,3795.5936,
1398.796,3846.0532,
1395.885,3919.639,
1392.975,3923.2692,
1390.064,3869.3563,
1387.154,3895.5563,
1384.243,3844.4598,
1381.332,3810.6456,
1378.422,3834.8258,
1375.511,4027.8027,
1372.601,4236.3852,
1369.690,4250.4461,
1366.780,4339.375,
1363.869,4459.4964,
1360.958,4589.6257,
1358.048,4680.0001,
1355.137,4763.5461,
1352.227,4841.6987,
1349.316,4918.2574,
1346.406,5023.5118,
1343.495,5154.9535,
1340.584,5318.9453,
1337.674,5405.0959,
1334.763,5509.1685,
1331.853,5569.4386,
1328.942,5636.8059,
1326.032,5671.7905,
1323.121,5763.8269,
1320.210,5824.5074,
1317.300,5901.8494,
1314.389,5949.5001,
1311.479,6026.3987,
1308.568,6114.8463,
1305.657,6148.2996,
1302.747,6292.4605,
1299.836,6445.8972,
1296.926,6543.7034,
1294.015,6647.5869,
1291.105,6795.4033,
1288.194,6989.001,
1285.283,7085.8592,
1282.373,7211.2887,
1279.462,7352.5793,
1276.552,7478.8044,
1273.641,7569.133,
1270.731,7624.4571,
1267.820,7690.7019,
1264.909,7738.9174,
1261.999,7624.6393,
1259.088,7672.9817,
1256.178,7572.2438,
1253.267,7419.0814,
1250.356,7276.2869,
1247.446,7113.4632,
1244.535,6918.9021,
1241.625,6717.6938,
1238.714,6518.705,
1235.804,6326.7296,
1232.893,6198.0322,
1229.982,6048.686,
1227.072,5954.5335,
1224.161,5946.194,
1221.251,5881.8472,
1218.340,5702.4567,
1215.430,5594.3031,
1212.519,5584.9302,
1209.608,5584.1806,
1206.698,5568.2368,
1203.787,5586.9906,
1200.877,5606.4939,
1197.966,5648.7544,
1195.055,5825.791,
1192.145,5936.2687,
1189.234,6088.0919,
1186.324,6165.6941,
1183.413,6216.7126,
1180.503,6225.6828,
1177.592,6114.3392,
1174.681,6033.4127,
1171.771,5988.195,
1168.860,5958.7231,
1165.950,5905.0788,
1163.039,5831.4156,
1160.129,5804.875,
1157.218,5756.3207,
1154.307,5699.7937,
1151.397,5680.8838,
1148.486,5647.4744,
1145.576,5647.9839,
1142.665,5581.3905,
1139.754,5469.2896,
1136.844,5426.6671,
