,PL856E~1,
Raman shift [1/cm],Intensity,
2175.920,670.69013,
2173.010,698.97591,
2170.099,713.77381,
2167.189,718.15256,
2164.278,688.6956,
2161.368,706.65947,
2158.457,734.49314,
2155.546,734.57211,
2152.636,746.31113,
2149.725,763.19378,
2146.815,783.74099,
2143.904,766.68725,
2140.993,799.63422,
2138.083,804.53916,
2135.172,803.79523,
2132.262,818.38204,
2129.351,801.7404,
2126.441,787.42352,
2123.530,746.7005,
2120.619,763.95346,
2117.709,693.95713,
2114.798,692.54801,
2111.888,660.31351,
2108.977,652.99753,
2106.067,656.06636,
2103.156,628.85978,
2100.245,629.36935,
2097.335,614.11323,
2094.424,578.18833,
2091.514,605.08464,
2088.603,595.47639,
2085.692,586.87318,
2082.782,575.30677,
2079.871,574.01794,
2076.961,601.50224,
2074.050,589.76288,
2071.140,595.76593,
2068.229,589.27994,
2065.318,580.21323,
2062.408,583.47407,
2059.497,601.35713,
2056.587,597.50287,
2053.676,587.75898,
2050.766,576.14481,
2047.855,579.48892,
2044.944,579.51764,
2042.034,562.43291,
2039.123,586.67466,
2036.213,586.91279,
2033.302,597.35317,
2030.391,595.9345,
2027.481,581.21657,
2024.570,584.96051,
2021.660,572.26194,
2018.749,572.13481,
2015.839,592.3166,
2012.928,599.29446,
2010.017,594.25882,
2007.107,579.88715,
2004.196,587.47025,
2001.286,591.97924,
1998.375,602.813,
1995.465,572.76429,
1992.554,588.79243,
1989.643,540.24144,
1986.733,565.17763,
1983.822,573.30927,
1980.912,543.20724,
1978.001,563.5531,
1975.090,556.57805,
1972.180,541.85906,
1969.269,566.43548,
1966.359,583.40186,
1963.448,571.26139,
1960.538,551.52179,
1957.627,565.20783,
1954.716,565.43245,
1951.806,544.31888,
1948.895,564.79804,
1945.985,581.57925,
1943.074,572.8401,
1940.164,546.24034,
1937.253,547.54011,
1934.342,551.34933,
1931.432,528.16995,
1928.521,535.45445,
1925.611,544.49191,
1922.700,537.83495,
1919.790,533.79121,
1916.879,531.5145,
1913.968,572.32459,
1911.058,521.83746,
1908.147,526.78083,
1905.237,525.70594,
1902.326,553.88169,
1899.415,532.62379,
1896.505,533.9773,
1893.594,529.36894,
1890.684,538.27698,
1887.773,546.92643,
1884.863,558.56407,
1881.952,544.33266,
1879.041,538.88798,
1876.131,554.03382,
1873.220,546.91478,
1870.310,542.59025,
1867.399,529.58292,
1864.489,542.06345,
1861.578,535.68259,
1858.667,550.42888,
1855.757,550.21868,
1852.846,513.93906,
1849.936,552.28191,
1847.025,568.8397,
1844.114,578.07376,
1841.204,550.5708,
1838.293,546.37833,
1835.383,559.13049,
1832.472,573.74717,
1829.562,577.29141,
1826.651,579.05878,
1823.740,550.98414,
1820.830,571.24141,
1817.919,603.17754,
1815.009,610.9437,
1812.098,606.88681,
1809.188,563.22781,
1806.277,557.4414,
1803.366,584.90919,
1800.456,560.4526,
1797.545,610.70138,
1794.635,588.76107,
1791.724,616.39444,
1788.813,608.77809,
1785.903,610.16769,
1782.992,580.96069,
1780.082,573.47121,
1777.171,569.70744,
1774.261,568.20004,
1771.350,581.6645,
1768.439,605.46124,
1765.529,608.64627,
1762.618,616.76753,
1759.708,618.51614,
1756.797,617.97349,
1753.887,613.88666,
1750.976,629.85797,
1748.065,641.15841,
1745.155,621.96219,
1742.244,624.30705,
1739.334,615.68089,
1736.423,641.16935,
1733.512,662.37909,
1730.602,663.13095,
1727.691,662.375,
1724.781,634.05824,
1721.870,655.3466,
1718.960,660.73054,
1716.049,651.98525,
1713.138,713.64469,
1710.228,686.08193,
1707.317,700.72014,
1704.407,733.02211,
1701.496,678.94749,
1698.586,690.00672,
1695.675,743.77468,
1692.764,690.57169,
1689.854,717.0325,
1686.943,779.25029,
1684.033,748.21943,
1681.122,788.66132,
1678.211,740.84135,
1675.301,796.20233,
1672.390,781.41089,
1669.480,794.11302,
1666.569,884.52438,
1663.659,819.20795,
1660.748,869.68351,
1657.837,885.09069,
1654.927,873.87446,
1652.016,935.76752,
1649.106,911.93806,
1646.195,934.90248,
1643.285,957.67383,
1640.374,1013.9813,
1637.463,1042.9335,
1634.553,1074.5425,
1631.642,1152.4944,
1628.732,1163.8194,
1625.821,1238.3999,
1622.911,1276.1609,
1620.000,1351.4175,
1617.089,1406.2805,
1614.179,1486.0907,
1611.268,1601.0252,
1608.358,1650.1743,
1605.447,1675.9466,
1602.536,1736.0839,
1599.626,1757.8537,
1596.715,1690.3973,
1593.805,1737.0349,
1590.894,1724.8809,
1587.984,1759.617,
1585.073,1715.1768,
1582.162,1681.3284,
1579.252,1622.3671,
1576.341,1616.7835,
1573.431,1596.4461,
1570.520,1588.0819,
1567.610,1611.9636,
1564.699,1538.4466,
1561.788,1500.3328,
1558.878,1455.0437,
1555.967,1467.0869,
1553.057,1446.3754,
1550.146,1424.7605,
1547.235,1393.0877,
1544.325,1366.2852,
1541.414,1358.5946,
1538.504,1354.8612,
1535.593,1365.0871,
1532.683,1373.1592,
1529.772,1366.7875,
1526.861,1361.7657,
1523.951,1383.6018,
1521.040,1402.1079,
1518.130,1374.3312,
1515.219,1398.1357,
1512.309,1375.366,
1509.398,1380.3084,
1506.487,1371.801,
1503.577,1306.6653,
1500.666,1332.4503,
1497.756,1288.0354,
1494.845,1226.4967,
1491.934,1301.3152,
1489.024,1283.0278,
1486.113,1239.7231,
1483.203,1219.4998,
1480.292,1215.678,
1477.382,1238.0059,
1474.471,1185.0542,
1471.560,1132.543,
1468.650,1124.8412,
1465.739,1132.4989,
1462.829,1151.4891,
1459.918,1142.4853,
1457.008,1120.7903,
1454.097,1132.937,
1451.186,1152.9591,
1448.276,1136.1404,
1445.365,1089.0859,
1442.455,1062.3143,
1439.544,1096.6829,
1436.633,1082.1317,
1433.723,1060.8644,
1430.812,1081.607,
1427.902,1035.6152,
1424.991,1087.7422,
1422.081,1067.3555,
1419.170,1088.7046,
1416.259,1091.5649,
1413.349,1119.3189,
1410.438,1102.4832,
1407.528,1088.1563,
1404.617,1070.5225,
1401.707,1047.7163,
1398.796,1042.0953,
