,PLIQUI~2,
Wavenumbers [1/cm],Intensity,
2225.400,2132.5281,
2222.490,2137.9561,
2219.579,2161.6028,
2216.669,2184.9261,
2213.758,2212.8935,
2210.847,2232.3967,
2207.937,2224.9479,
2205.026,2253.3872,
2202.116,2297.3535,
2199.205,2291.3873,
2196.294,2316.2939,
2193.384,2345.289,
2190.473,2353.9319,
2187.563,2415.6063,
2184.652,2442.3196,
2181.742,2486.934,
2178.831,2567.6325,
2175.920,2676.9536,
2173.010,2792.7307,
2170.099,2876.8269,
2167.189,3045.3324,
2164.278,3191.6076,
2161.368,3423.6367,
2158.457,3613.7732,
2155.546,3797.7223,
2152.636,4030.8879,
2149.725,4240.8086,
2146.815,4385.4957,
2143.904,4565.6486,
2140.993,4701.8913,
2138.083,4792.4087,
2135.172,4857.3908,
2132.262,4898.6646,
2129.351,4839.2271,
2126.441,4746.4707,
2123.530,4598.6144,
2120.619,4410.8954,
2117.709,4208.787,
2114.798,3936.2606,
2111.888,3642.6569,
2108.977,3402.2218,
2106.067,3241.2936,
2103.156,3088.6021,
2100.245,2874.4611,
2097.335,2799.1335,
2094.424,2695.2769,
2091.514,2643.6798,
2088.603,2572.7351,
2085.692,2569.9126,
2082.782,2534.677,
2079.871,2524.7147,
2076.961,2470.3747,
2074.050,2473.6273,
2071.140,2444.432,
2068.229,2394.8346,
2065.318,2422.4622,
2062.408,2409.5,
2059.497,2393.2678,
2056.587,2377.535,
2053.676,2372.2335,
2050.766,2353.9626,
2047.855,2363.1867,
2044.944,2346.3814,
2042.034,2322.6158,
2039.123,2361.2374,
2036.213,2344.3445,
2033.302,2371.8041,
2030.391,2372.619,
2027.481,2352.1099,
2024.570,2383.7419,
2021.660,2337.8112,
2018.749,2345.424,
2015.839,2343.3655,
2012.928,2345.7181,
2010.017,2350.6563,
2007.107,2350.6421,
2004.196,2353.6785,
2001.286,2351.3763,
1998.375,2334.8405,
1995.465,2318.2071,
1992.554,2315.6235,
1989.643,2297.1567,
1986.733,2291.6605,
1983.822,2294.2179,
1980.912,2293.1832,
1978.001,2294.5594,
1975.090,2294.4924,
1972.180,2310.0505,
1969.269,2305.385,
1966.359,2277.8782,
1963.448,2282.9188,
1960.538,2267.2123,
1957.627,2291.0325,
1954.716,2331.4084,
1951.806,2261.7116,
1948.895,2234.5141,
1945.985,2277.598,
1943.074,2248.6847,
1940.164,2230.2598,
1937.253,2244.6521,
1934.342,2223.2947,
1931.432,2222.5915,
1928.521,2181.0544,
1925.611,2168.9608,
1922.700,2181.2486,
1919.790,2140.2982,
1916.879,2189.315,
1913.968,2148.5553,
1911.058,2174.2267,
1908.147,2184.7657,
1905.237,2177.1691,
1902.326,2118.9312,
1899.415,2033.9439,
1896.505,1974.3674,
1893.594,2010.3843,
1890.684,2070.3431,
1887.773,2136.5244,
1884.863,2160.279,
1881.952,2176.3072,
1879.041,2166.3183,
1876.131,2205.1052,
1873.220,2195.4512,
1870.310,2090.3926,
1867.399,2165.1565,
1864.489,2155.7851,
1861.578,2189.7416,
1858.667,2209.4461,
1855.757,2195.9057,
1852.846,2198.5461,
1849.936,2223.3839,
1847.025,2211.7968,
1844.114,2221.2271,
1841.204,2262.521,
1838.293,2249.0407,
1835.383,2253.4645,
1832.472,2280.4652,
1829.562,2263.9747,
1826.651,2291.1078,
1823.740,2336.1629,
1820.830,2334.1534,
1817.919,2350.8594,
1815.009,2325.5318,
1812.098,2334.8622,
1809.188,2370.2674,
1806.277,2353.9205,
1803.366,2315.0324,
1800.456,2346.8847,
1797.545,2355.0673,
1794.635,2375.4021,
1791.724,2403.7137,
1788.813,2362.4781,
1785.903,2288.1686,
1782.992,2211.7025,
1780.082,1944.719,
1777.171,1615.4662,
1774.261,1563.2315,
1771.350,1925.3883,
1768.439,2358.2553,
1765.529,2455.0444,
1762.618,2437.8712,
1759.708,2464.3047,
1756.797,2512.8712,
1753.887,2543.2449,
1750.976,2563.8069,
1748.065,2571.1866,
1745.155,2572.8613,
1742.244,2606.9311,
1739.334,2594.373,
1736.423,2587.5654,
1733.512,2623.244,
1730.602,2638.4921,
1727.691,2647.1766,
1724.781,2700.6275,
1721.870,2720.9381,
1718.960,2755.3893,
1716.049,2757.4662,
1713.138,2788.1348,
1710.228,2799.5921,
1707.317,2815.5377,
1704.407,2843.5535,
1701.496,2883.8735,
1698.586,2855.1605,
1695.675,2936.7138,
1692.764,2985.1025,
1689.854,2989.4134,
1686.943,3021.3871,
1684.033,3039.0778,
1681.122,3118.1406,
1678.211,3173.9765,
1675.301,3237.3057,
1672.390,3246.6585,
1669.480,3300.5429,
1666.569,3429.9951,
1663.659,3468.4347,
1660.748,3467.0452,
1657.837,3598.3371,
1654.927,3682.468,
1652.016,3765.6664,
1649.106,3815.1684,
1646.195,3924.2093,
1643.285,4035.5254,
1640.374,4081.9251,
1637.463,4198.2022,
1634.553,4348.5886,
1631.642,4556.6933,
1628.732,4757.8806,
1625.821,4989.7329,
1622.911,5343.4939,
1620.000,5630.859,
1617.089,5994.1965,
1614.179,6329.9681,
1611.268,6781.4353,
1608.358,7057.7641,
1605.447,7287.3589,
1602.536,7481.2861,
1599.626,7498.1797,
1596.715,7435.8755,
1593.805,7361.5308,
1590.894,7281.285,
1587.984,7190.0873,
1585.073,7097.5232,
1582.162,7014.2045,
1579.252,6946.4921,
1576.341,6997.784,
1573.431,6925.7845,
1570.520,6879.3331,
1567.610,6801.7146,
1564.699,6728.923,
1561.788,6603.4588,
1558.878,6473.8374,
1555.967,6366.4515,
1553.057,6214.1219,
1550.146,6065.7656,
1547.235,5965.5029,
1544.325,5849.4979,
1541.414,5731.9542,
1538.504,5627.4403,
1535.593,5545.2328,
1532.683,5475.1545,
1529.772,5381.6507,
1526.861,5306.0045,
1523.951,5253.9187,
1521.040,5237.9888,
1518.130,5289.0219,
1515.219,5240.3024,
1512.309,5138.9189,
1509.398,5061.0175,
1506.487,4966.0206,
1503.577,4884.1523,
1500.666,4838.7019,
1497.756,4806.8886,
1494.845,4689.8997,
1491.934,4675.1063,
1489.024,4554.7947,
1486.113,4505.0664,
1483.203,4511.2698,
1480.292,4423.4063,
1477.382,4359.8134,
1474.471,4294.0161,
1471.560,4255.0044,
1468.650,4141.2758,
1465.739,4077.7687,
1462.829,4026.5291,
1459.918,4003.0249,
1457.008,3990.2382,
1454.097,4012.3213,
1451.186,4045.8559,
1448.276,4054.9589,
1445.365,4091.1058,
1442.455,4062.3807,
1439.544,4036.4737,
1436.633,4055.79,
1433.723,3999.3784,
1430.812,3995.0464,
1427.902,4039.1167,
1424.991,4023.0047,
1422.081,4050.0243,
1419.170,3988.5595,
1416.259,4010.0925,
1413.349,3995.598,
1410.438,4067.5751,
1407.528,4057.0818,
1404.617,3997.8594,
1401.707,4016.4252,
1398.796,3961.0387,
1395.885,3874.2757,
1392.975,3898.4375,
1390.064,3923.2821,
1387.154,4000.3513,
1384.243,4041.6378,
1381.332,4044.2506,
1378.422,4104.4898,
1375.511,4220.6507,
1372.601,4305.4413,
1369.690,4349.3606,
