,PLD7AB~1,
Raman shift [1/cm],Intensity,
2173.010,656.42687,
2170.099,648.16864,
2167.189,670.40672,
2164.278,656.03266,
2161.368,654.92767,
2158.457,682.81979,
2155.546,689.89422,
2152.636,686.19681,
2149.725,715.62749,
2146.815,727.29979,
2143.904,733.90148,
2140.993,736.10319,
2138.083,739.52427,
2135.172,751.02099,
2132.262,764.14701,
2129.351,744.80328,
2126.441,721.36403,
2123.530,713.57857,
2120.619,714.72043,
2117.709,670.32569,
2114.798,635.84602,
2111.888,617.5,
2108.977,600.33443,
2106.067,579.88271,
2103.156,580.89918,
2100.245,577.48243,
2097.335,547.33246,
2094.424,539.39853,
2091.514,568.79036,
2088.603,558.93786,
2085.692,533.58925,
2082.782,534.44776,
2079.871,538.96441,
2076.961,557.27302,
2074.050,541.5,
2071.140,539.56912,
2068.229,538.48045,
2065.318,551.78299,
2062.408,535.48487,
2059.497,541.91072,
2056.587,546.91858,
2053.676,547.5,
2050.766,553.96114,
2047.855,552.27217,
2044.944,541.44071,
2042.034,525.76595,
2039.123,535.07913,
2036.213,535.34448,
2033.302,535.6306,
2030.391,532.9405,
2027.481,550.63401,
2024.570,552.12866,
2021.660,518.56952,
2018.749,536.04411,
2015.839,527.32481,
2012.928,548.94799,
2010.017,556.92888,
2007.107,535.68315,
2004.196,526.73813,
2001.286,537.70848,
1998.375,546.15453,
1995.465,503.09018,
1992.554,548.34656,
1989.643,495.67751,
1986.733,521.35614,
1983.822,531.13959,
1980.912,499.41096,
1978.001,511.27923,
1975.090,522.929,
1972.180,502.81118,
1969.269,526.89954,
1966.359,537.58089,
1963.448,532.42206,
1960.538,493.73603,
1957.627,529.97372,
1954.716,510.2469,
1951.806,504.14582,
1948.895,514.07696,
1945.985,499.13399,
1943.074,502.13474,
1940.164,502.75021,
1937.253,504.86553,
1934.342,505.16684,
1931.432,495.05836,
1928.521,487.7867,
1925.611,476.03916,
1922.700,470.87431,
1919.790,511.11805,
1916.879,486.80173,
1913.968,500.48033,
1911.058,478.15166,
1908.147,495.52185,
1905.237,462.45592,
1902.326,484.39037,
1899.415,485.38903,
1896.505,495.58429,
1893.594,486.77438,
1890.684,477.30396,
1887.773,488.24958,
1884.863,485.8303,
1881.952,500.51727,
1879.041,487.80529,
1876.131,505.74574,
1873.220,487.09282,
1870.310,506.70624,
1867.399,496.69192,
1864.489,500.03268,
1861.578,490.92838,
1858.667,515.96706,
1855.757,513.14081,
1852.846,469.25897,
1849.936,485.38287,
1847.025,503.44405,
1844.114,494.52354,
1841.204,502.75524,
1838.293,507.99584,
1835.383,513.2325,
1832.472,538.03565,
1829.562,511.97786,
1826.651,526.79153,
1823.740,523.38885,
1820.830,514.72834,
1817.919,535.67379,
1815.009,535.3626,
1812.098,536.29527,
1809.188,531.81009,
1806.277,564.74752,
1803.366,520.81609,
1800.456,540.21444,
1797.545,549.36541,
1794.635,519.53202,
1791.724,534.42222,
1788.813,571.29589,
1785.903,551.46516,
1782.992,526.08569,
1780.082,515.28233,
1777.171,499.49678,
1774.261,502.83031,
1771.350,527.917,
1768.439,541.67248,
1765.529,552.58886,
1762.618,554.96003,
1759.708,576.09787,
1756.797,576.73485,
1753.887,578.57726,
1750.976,581.91034,
1748.065,567.98234,
1745.155,561.41612,
1742.244,569.7835,
1739.334,561.1753,
1736.423,576.69623,
1733.512,580.40649,
1730.602,600.19249,
1727.691,602.12638,
1724.781,592.63423,
1721.870,605.79057,
1718.960,585.65527,
1716.049,616.57591,
1713.138,612.38505,
1710.228,585.26139,
1707.317,601.84514,
1704.407,636.8423,
1701.496,591.27642,
1698.586,593.89188,
1695.675,659.06389,
1692.764,650.24589,
1689.854,633.23621,
1686.943,661.48823,
1684.033,669.32615,
1681.122,679.33008,
1678.211,683.46193,
1675.301,700.44758,
1672.390,687.59869,
1669.480,721.20593,
1666.569,807.59859,
1663.659,737.92464,
1660.748,764.19414,
1657.837,800.30918,
1654.927,836.87487,
1652.016,852.11121,
1649.106,837.18547,
1646.195,864.30819,
1643.285,858.59636,
1640.374,947.32927,
1637.463,892.57206,
1634.553,897.99257,
1631.642,997.81488,
1628.732,1027.1222,
1625.821,1131.5105,
1622.911,1147.4098,
1620.000,1249.2023,
1617.089,1253.4403,
1614.179,1362.3415,
1611.268,1425.195,
1608.358,1495.1756,
1605.447,1541.8718,
1602.536,1576.1842,
1599.626,1598.7385,
1596.715,1544.2287,
1593.805,1554.598,
1590.894,1565.3067,
1587.984,1548.3121,
1585.073,1525.9312,
1582.162,1509.9767,
1579.252,1461.6751,
1576.341,1473.1287,
1573.431,1399.3994,
1570.520,1396.6094,
1567.610,1417.4022,
1564.699,1386.9735,
1561.788,1374.9084,
1558.878,1337.2653,
1555.967,1280.5208,
1553.057,1252.8449,
1550.146,1247.2709,
1547.235,1213.4417,
1544.325,1195.0243,
1541.414,1189.8591,
1538.504,1181.9862,
1535.593,1190.7514,
1532.683,1194.5279,
1529.772,1195.2624,
1526.861,1207.1093,
1523.951,1205.4001,
1521.040,1200.898,
1518.130,1215.7824,
1515.219,1238.22,
1512.309,1230.8108,
1509.398,1214.5817,
1506.487,1217.1857,
1503.577,1162.0878,
1500.666,1162.59,
1497.756,1138.5084,
1494.845,1127.0203,
1491.934,1139.3646,
1489.024,1097.9774,
1486.113,1089.0823,
1483.203,1072.513,
1480.292,1054.3783,
1477.382,1039.3763,
1474.471,1039.5695,
1471.560,1000.5884,
1468.650,945.18685,
1465.739,968.13186,
1462.829,1013.5822,
1459.918,1024.6326,
1457.008,1006.269,
1454.097,991.03784,
1451.186,991.74758,
1448.276,977.26535,
1445.365,952.07188,
1442.455,961.32647,
1439.544,960.28288,
1436.633,916.60626,
1433.723,898.48491,
1430.812,929.14093,
1427.902,875.69514,
1424.991,925.92655,
1422.081,874.28633,
1419.170,909.24678,
1416.259,904.15912,
1413.349,973.2479,
1410.438,957.31234,
1407.528,960.45599,
1404.617,936.85943,
1401.707,866.92512,
1398.796,834.52445,
1395.885,841.43305,
1392.975,831.77055,
1390.064,785.94875,
1387.154,678.86267,
1384.243,588.22353,
1381.332,574.04932,
1378.422,590.89576,
1375.511,676.14283,
1372.601,787.16687,
1369.690,830.7889,
1366.780,907.78316,
1363.869,911.24398,
1360.958,932.56887,
1358.048,954.80637,
1355.137,999.40062,
1352.227,1040.9053,
1349.316,1047.3335,
1346.406,1044.2228,
1343.495,1067.1604,
1340.584,1142.0002,
1337.674,1129.7496,
1334.763,1123.1471,
1331.853,1113.8748,
1328.942,1216.6778,
1326.032,1218.8969,
1323.121,1257.253,
1320.210,1234.8744,
1317.300,1282.0158,
1314.389,1334.6946,
1311.479,1316.5973,
1308.568,1286.6551,
1305.657,1283.4761,
1302.747,1265.2978,
1299.836,1274.0824,
1296.926,1342.7991,
1294.015,1349.2344,
1291.105,1458.6872,
1288.194,1550.9781,
1285.283,1599.1401,
1282.373,1594.6797,
1279.462,1605.2643,
1276.552,1642.4056,
1273.641,1666.1204,
1270.731,1665.206,
1267.820,1657.6446,
1264.909,1631.1373,
1261.999,1627.4681,
1259.088,1599.1923,
1256.178,1585.5096,
1253.267,1560.4841,
1250.356,1562.3043,
1247.446,1554.7655,
1244.535,1526.6786,
1241.625,1512.9592,
1238.714,1515.3387,
1235.804,1496.0049,
1232.893,1481.1287,
1229.982,1465.0826,
1227.072,1482.2835,
1224.161,1382.6395,
1221.251,1341.9092,
1218.340,1293.04,
1215.430,1266.6463,
1212.519,1253.5393,
1209.608,1245.3981,
1206.698,1253.5213,
1203.787,1266.7814,
1200.877,1325.0074,
1197.966,1365.4696,
1195.055,1387.1247,
1192.145,1417.5484,
1189.234,1468.6715,
1186.324,1518.7753,
1183.413,1541.0584,
1180.503,1554.3275,
1177.592,1572.9039,
1174.681,1542.0925,
1171.771,1525.7473,
1168.860,1536.4643,
1165.950,1535.0811,
1163.039,1535.1984,
1160.129,1522.5232,
1157.218,1509.6541,
1154.307,1506.6131,
1151.397,1508.2393,
1148.486,1505.2522,
1145.576,1492.1531,
1142.665,1484.1619,
1139.754,1500.5862,
1136.844,1489.0933,
1133.933,1478.981,
1131.023,1460.4487,
1128.112,1440.3575,
1125.202,1439.157,
1122.291,1445.4946,
1119.380,1431.3614,
1116.470,1417.241,
1113.559,1376.0643,
1110.649,1380.2163,
