,PLF924~1,
Raman shift [1/cm],Intensity,
2173.010,613.57625,
2170.099,637.82292,
2167.189,657.77569,
2164.278,682.44008,
2161.368,710.62428,
2158.457,743.41734,
2155.546,782.7606,
2152.636,814.83239,
2149.725,843.59814,
2146.815,867.92425,
2143.904,865.93354,
2140.993,888.02181,
2138.083,891.89552,
2135.172,892.1124,
2132.262,884.86268,
2129.351,897.74925,
2126.441,859.45011,
2123.530,821.96278,
2120.619,762.1113,
2117.709,735.74899,
2114.798,689.01347,
2111.888,665.02608,
2108.977,617.46604,
2106.067,604.38338,
2103.156,587.90813,
2100.245,567.62249,
2097.335,561.09621,
2094.424,547.17264,
2091.514,554.4744,
2088.603,544.47291,
2085.692,534.62136,
2082.782,507.2476,
2079.871,503.73235,
2076.961,504.625,
2074.050,525.80076,
2071.140,508.01593,
2068.229,511.3268,
2065.318,529.61148,
2062.408,512.56448,
2059.497,518.42857,
2056.587,528.84578,
2053.676,527.7253,
2050.766,517.39481,
2047.855,500.90979,
2044.944,508.36379,
2042.034,491.96602,
2039.123,493.76641,
2036.213,512.04724,
2033.302,511.10336,
2030.391,515.9298,
2027.481,517.90552,
2024.570,532.63886,
2021.660,509.28062,
2018.749,502.8407,
2015.839,532.81791,
2012.928,523.02768,
2010.017,506.97571,
2007.107,501.43808,
2004.196,501.76788,
2001.286,515.48011,
1998.375,537.32579,
1995.465,531.25268,
1992.554,510.9722,
1989.643,506.69413,
1986.733,551.18377,
1983.822,477.56222,
1980.912,506.71404,
1978.001,510.83651,
1975.090,506.30284,
1972.180,467.90161,
1969.269,499.81766,
1966.359,524.78709,
1963.448,512.1283,
1960.538,520.79765,
1957.627,520.95008,
1954.716,519.65373,
1951.806,498.92951,
1948.895,489.70591,
1945.985,513.94853,
1943.074,504.11201,
1940.164,515.625,
1937.253,504.43393,
1934.342,501.72767,
1931.432,507.85213,
1928.521,514.01533,
1925.611,508.09265,
1922.700,482.25622,
1919.790,520.54936,
1916.879,549.02076,
1913.968,521.66066,
1911.058,529.38775,
1908.147,482.16367,
1905.237,482.75007,
1902.326,516.24131,
1899.415,496.60915,
1896.505,499.40814,
1893.594,501.98781,
1890.684,500.52698,
1887.773,499.93529,
1884.863,516.2947,
1881.952,527.41497,
1879.041,547.53726,
1876.131,523.49299,
1873.220,490.47445,
1870.310,502.40524,
1867.399,529.20917,
1864.489,566.67782,
1861.578,515.63622,
1858.667,485.59806,
1855.757,485.00567,
1852.846,511.39934,
1849.936,519.27666,
1847.025,510.26976,
1844.114,531.89092,
1841.204,540.05507,
1838.293,528.62666,
1835.383,534.72949,
1832.472,538.25283,
1829.562,537.2638,
1826.651,554.03566,
1823.740,531.7782,
1820.830,548.40477,
1817.919,512.64867,
1815.009,533.44942,
