,PLF890~1,
Raman shift [1/cm],Intensity,
3014.167,-3.125,
3011.256,1.6749571,
3008.346,420.12718,
3005.435,528.29903,
3002.525,535.25252,
2999.614,563.54771,
2996.704,576.72551,
2993.793,579.25576,
2990.882,595.21077,
2987.972,613.00617,
2985.061,636.65825,
2982.151,667.34057,
2979.240,678.8531,
2976.329,715.14002,
2973.419,724.01312,
2970.508,732.94169,
2967.598,772.01476,
2964.687,779.70924,
2961.777,817.74691,
2958.866,815.53028,
2955.955,858.9524,
2953.045,872.42534,
2950.134,914.89841,
2947.224,918.47285,
2944.313,950.56019,
2941.403,957.92245,
2938.492,960.42784,
2935.581,961.7351,
2932.671,990.87933,
2929.760,1009.1327,
2926.850,1006.8227,
2923.939,1021.2722,
2921.028,1030.875,
2918.118,1075.3158,
2915.207,1075.4002,
2912.297,1094.7734,
2909.386,1104.8969,
2906.476,1100.9761,
2903.565,1073.0846,
2900.654,1081.8275,
2897.744,1086.6236,
2894.833,1073.0605,
2891.923,1058.3589,
2889.012,1056.4935,
2886.102,1077.875,
2883.191,1057.8939,
2880.280,1016.7745,
2877.370,969.63094,
2874.459,980.56701,
2871.549,1048.6518,
2868.638,1101.6956,
2865.727,1121.0634,
2862.817,1119.5742,
2859.906,1117.5588,
2856.996,1118.8931,
2854.085,1116.6355,
2851.175,1125.9232,
2848.264,1114.1052,
2845.353,1104.9397,
2842.443,1115.0625,
2839.532,1089.3976,
2836.622,1100.2122,
2833.711,1089.9503,
2830.801,1079.1625,
2827.890,1084.8103,
2824.979,1106.6168,
2822.069,1105.1138,
2819.158,1120.9343,
2816.248,1116.6105,
2813.337,1118.7616,
2810.427,1117.875,
2807.516,1142.2848,
2804.605,1119.875,
2801.695,1122.1382,
2798.784,1130.3575,
2795.874,1123.4238,
2792.963,1119.803,
2790.052,1112.8735,
2787.142,1114.6776,
2784.231,1105.3269,
2781.321,1103.4978,
2778.410,1110.3242,
2775.500,1112.5578,
2772.589,1124.2198,
2769.678,1121.9773,
2766.768,1125.8303,
2763.857,1136.507,
2760.947,1145.9128,
2758.036,1143.4036,
2755.126,1163.0588,
2752.215,1169.7067,
2749.304,1171.2149,
2746.394,1172.0061,
2743.483,1162.125,
2740.573,1191.0543,
2737.662,1181.9815,
2734.751,1185.5739,
2731.841,1174.82,
2728.930,1201.0784,
2726.020,1191.5382,
2723.109,1206.6067,
2720.199,1203.8716,
2717.288,1231.9115,
2714.377,1228.8416,
2711.467,1258.0233,
2708.556,1235.4278,
2705.646,1261.3962,
2702.735,1282.1791,
2699.825,1253.3859,
2696.914,1266.6373,
2694.003,1239.0587,
2691.093,1260.5717,
2688.182,1275.7483,
2685.272,1274.1225,
2682.361,1262.1512,
2679.450,1262.8421,
2676.540,1272.7734,
2673.629,1267.2113,
2670.719,1274.2253,
2667.808,1295.9996,
2664.898,1294.1347,
2661.987,1315.8421,
2659.076,1323.1466,
2656.166,1318.875,
2653.255,1319.3563,
2650.345,1342.6118,
2647.434,1338.3334,
2644.524,1374.2922,
2641.613,1365.4753,
2638.702,1361.017,
2635.792,1371.5011,
2632.881,1368.6487,
2629.971,1337.9755,
2627.060,1369.0416,
2624.149,1380.4406,
2621.239,1384.6087,
2618.328,1358.7478,
2615.418,1363.175,
2612.507,1404.5587,
2609.597,1404.5277,
2606.686,1405.1863,
2603.775,1434.7202,
2600.865,1438.1139,
2597.954,1420.0249,
2595.044,1439.9016,
2592.133,1450.3847,
2589.223,1445.7181,
2586.312,1470.9503,
2583.401,1488.1195,
2580.491,1465.4664,
2577.580,1478.8486,
2574.670,1473.6678,
2571.759,1494.7183,
2568.848,1480.6429,
2565.938,1484.0176,
2563.027,1499.9705,
2560.117,1496.2115,
2557.206,1503.3547,
2554.296,1503.1885,
2551.385,1509.9491,
2548.474,1517.949,
2545.564,1542.9886,
2542.653,1560.4119,
2539.743,1550.4797,
2536.832,1547.9161,
2533.922,1548.7423,
2531.011,1596.0006,
2528.100,1577.875,
2525.190,1596.0582,
2522.279,1598.5619,
2519.369,1584.2516,
2516.458,1583.9657,
2513.548,1564.1113,
2510.637,1594.3217,
2507.726,1581.191,
2504.816,1582.1264,
2501.905,1616.8457,
2498.995,1596.5764,
2496.084,1599.5406,
2493.173,1615.2171,
2490.263,1623.4479,
