,PLC6F4~1,
Raman shift [1/cm],Intensity,
2170.099,1004.6642,
2167.189,1046.8037,
2164.278,1164.0161,
2161.368,1208.7131,
2158.457,1276.21,
2155.546,1371.4376,
2152.636,1434.1435,
2149.725,1503.9261,
2146.815,1538.1991,
2143.904,1592.7026,
2140.993,1615.0633,
2138.083,1668,
2135.172,1644.6973,
2132.262,1643.5317,
2129.351,1641.8965,
2126.441,1585.7571,
2123.530,1522.046,
2120.619,1428.6426,
2117.709,1353.124,
2114.798,1293.5691,
2111.888,1226.3396,
2108.977,1130.7748,
2106.067,1076.9735,
2103.156,1026.7679,
2100.245,999.97114,
2097.335,953.15707,
2094.424,941.25561,
2091.514,919.78223,
2088.603,914.9493,
2085.692,894.72131,
2082.782,897.67057,
2079.871,866.39091,
2076.961,884.19182,
2074.050,874.33939,
2071.140,875.69008,
2068.229,841.46876,
2065.318,836.63077,
2062.408,856.50756,
2059.497,856,
2056.587,836.13986,
2053.676,828.81662,
2050.766,841.92227,
2047.855,825.37023,
2044.944,836.53686,
2042.034,824.86702,
2039.123,822.08081,
2036.213,827.34666,
2033.302,832.69552,
2030.391,845.79645,
2027.481,828.91482,
2024.570,855.7134,
2021.660,830.95127,
2018.749,833.2022,
2015.839,817.5735,
2012.928,841.25335,
2010.017,819.72747,
2007.107,811.23177,
2004.196,819.82148,
2001.286,828.16609,
1998.375,815.25787,
1995.465,803.13393,
1992.554,806.25878,
1989.643,805.06913,
1986.733,806.07018,
1983.822,825.84638,
1980.912,827.81162,
1978.001,811.35621,
1975.090,803.38321,
1972.180,805.65559,
1969.269,793.64078,
1966.359,800.97314,
1963.448,775.1268,
1960.538,750.82735,
1957.627,770.29104,
1954.716,743.86181,
1951.806,794.71481,
1948.895,754.69832,
1945.985,780.81699,
1943.074,777.83036,
1940.164,766.98088,
1937.253,751.89616,
1934.342,738.154,
1931.432,745.03154,
1928.521,728.55786,
1925.611,707.42225,
1922.700,749.27761,
1919.790,724.96574,
1916.879,728.30251,
1913.968,721.00984,
1911.058,719.78379,
1908.147,742.47589,
1905.237,733.34564,
1902.326,751.66076,
1899.415,726.23294,
1896.505,740.17471,
1893.594,738.82011,
1890.684,728.80396,
1887.773,710.871,
1884.863,696.25968,
1881.952,709.04234,
1879.041,734.91226,
1876.131,710.86799,
1873.220,728.40718,
1870.310,693.01352,
1867.399,687.04798,
1864.489,742.94852,
1861.578,717.93399,
1858.667,724.94612,
1855.757,717.58353,
1852.846,735.24616,
1849.936,725.74475,
1847.025,729.10946,
1844.114,769.62119,
1841.204,764.17483,
1838.293,748.00499,
1835.383,758.66249,
1832.472,773.55826,
1829.562,779.19401,
1826.651,783.05133,
1823.740,769.44059,
1820.830,753.19676,
1817.919,749.18562,
1815.009,745.57506,
1812.098,778.21258,
1809.188,769.80623,
1806.277,785.62376,
1803.366,750.08136,
1800.456,812.90086,
1797.545,792.24832,
1794.635,785.83617,
1791.724,849.42731,
1788.813,799.5982,
1785.903,808.53866,
1782.992,842.31888,
1780.082,802.89116,
1777.171,804.67024,
1774.261,829.68024,
1771.350,850.7915,
1768.439,847.31849,
1765.529,836.45369,
1762.618,817.9556,
1759.708,832.09811,
1756.797,862.76515,
1753.887,867.12828,
1750.976,856.79647,
1748.065,852.68664,
1745.155,841.58719,
1742.244,854.52623,
1739.334,860.89177,
1736.423,842.74956,
1733.512,854.91875,
1730.602,858.25992,
1727.691,881.56514,
1724.781,901.58523,
1721.870,916.26673,
1718.960,907.48875,
1716.049,915.90667,
1713.138,936.80991,
1710.228,923.46436,
1707.317,928.07657,
1704.407,944.27275,
1701.496,944.1769,
1698.586,962.47969,
1695.675,941.54299,
1692.764,970.2951,
1689.854,971.04331,
1686.943,945.87687,
1684.033,967.42877,
1681.122,973.89805,
1678.211,990.8382,
1675.301,1003.9599,
1672.390,1026.323,
1669.480,1133.4866,
1666.569,1070.9649,
1663.659,1146.343,
1660.748,1167.2121,
1657.837,1178.3062,
1654.927,1192,
1652.016,1193.6037,
1649.106,1257.3635,
1646.195,1232.3117,
1643.285,1246.7774,
1640.374,1323.439,
1637.463,1345.225,
1634.553,1411.9113,
1631.642,1407.0641,
1628.732,1504.557,
1625.821,1598.0648,
1622.911,1696.4421,
1620.000,1797.7149,
1617.089,1898.9701,
1614.179,2048.7134,
1611.268,2120.3975,
1608.358,2305.0568,
1605.447,2413.9437,
1602.536,2429.3189,
1599.626,2458.5179,
1596.715,2454.6468,
1593.805,2437.0077,
1590.894,2441.1647,
1587.984,2419.4816,
1585.073,2369.2051,
1582.162,2291.7045,
1579.252,2322.1883,
1576.341,2295.1511,
1573.431,2267.2038,
1570.520,2235.2468,
1567.610,2250.0984,
1564.699,2182.5969,
1561.788,2118.0849,
1558.878,2070.2274,
1555.967,2051.036,
1553.057,1990.3109,
1550.146,1966.2182,
1547.235,1907.0641,
1544.325,1846.7306,
1541.414,1846.8813,
1538.504,1821.0338,
1535.593,1781.6439,
1532.683,1751.1927,
1529.772,1697.8504,
1526.861,1670.4256,
1523.951,1692.6543,
1521.040,1687.1409,
1518.130,1613.2249,
1515.219,1581.3603,
1512.309,1556.8873,
1509.398,1517.0151,
1506.487,1544.4328,
1503.577,1561.7993,
1500.666,1518.4331,
1497.756,1500.8892,
1494.845,1438.1195,
1491.934,1416.9559,
1489.024,1403.481,
1486.113,1480.8861,
1483.203,1402.6241,
1480.292,1379.2723,
1477.382,1383.466,
1474.471,1369.6524,
1471.560,1349.761,
1468.650,1325.5516,
1465.739,1295.2233,
1462.829,1292.5491,
1459.918,1289.0552,
1457.008,1294.2002,
1454.097,1290.3623,
1451.186,1262.2669,
1448.276,1252.5828,
1445.365,1247.3555,
1442.455,1233.013,
1439.544,1256.852,
1436.633,1280.3297,
1433.723,1262.5015,
1430.812,1255.9708,
1427.902,1217.3686,
1424.991,1190.8313,
1422.081,1215.6894,
1419.170,1169.6126,
1416.259,1162,
1413.349,1147.6504,
1410.438,1140.2009,
1407.528,1157.0248,
1404.617,1155.2574,
1401.707,1151.7695,
1398.796,1159.7762,
1395.885,1174.3347,
1392.975,1184.7498,
1390.064,1174.3512,
1387.154,1172.9069,
1384.243,1182.9644,
1381.332,1162.9639,
1378.422,1234.7102,
1375.511,1229.0895,
1372.601,1343.2747,
1369.690,1316.1394,
1366.780,1421.677,
1363.869,1449.547,
1360.958,1516.3421,
1358.048,1583.0388,
1355.137,1602.8973,
1352.227,1620.6733,
1349.316,1658.3867,
1346.406,1698.5622,
1343.495,1754.4356,
1340.584,1824.1061,
1337.674,1883.64,
1334.763,1838.9647,
1331.853,1838.0375,
1328.942,1895.8152,
1326.032,1963.3559,
1323.121,2036.2772,
1320.210,2070.9843,
1317.300,2085.0828,
1314.389,2124.4312,
1311.479,2175.7863,
1308.568,2224.0658,
1305.657,2277.1145,
1302.747,2332.5198,
1299.836,2450.8428,
1296.926,2472.2894,
1294.015,2650.6382,
1291.105,2645.6724,
1288.194,2714.2894,
1285.283,2803.6003,
1282.373,2913.6325,
1279.462,2991.1955,
1276.552,3057.8112,
1273.641,3124.6007,
1270.731,3144.1209,
1267.820,3119.4542,
1264.909,3129.3521,
1261.999,3160.5007,
1259.088,3146.8189,
1256.178,3074.0577,
1253.267,3021.3386,
1250.356,2949.4017,
1247.446,2824.7767,
1244.535,2722.3126,
1241.625,2624.4261,
1238.714,2507.4024,
1235.804,2441.6409,
1232.893,2388.1449,
1229.982,2296.5895,
1227.072,2254.9451,
1224.161,2262.086,
1221.251,2201.4612,
1218.340,2155.3831,
1215.430,2098.5077,
1212.519,2067.0748,
1209.608,2073.0631,
1206.698,2082.6598,
1203.787,2107.804,
1200.877,2125.3403,
1197.966,2163.105,
1195.055,2165,
1192.145,2244.6424,
1189.234,2330.0401,
1186.324,2368.5461,
1183.413,2408.0051,
1180.503,2431.4392,
1177.592,2386.7271,
1174.681,2359.0308,
1171.771,2309.6813,
1168.860,2252.5235,
1165.950,2265.5447,
1163.039,2229.4926,
1160.129,2219.0783,
1157.218,2210.5394,
1154.307,2187.8374,
1151.397,2169.0471,
1148.486,2159.4957,
1145.576,2182.957,
1142.665,2135.8976,
1139.754,2150.7135,
1136.844,2078.667,
1133.933,2064.1817,
1131.023,2051.5068,
1128.112,2014.0727,
1125.202,2008.8695,
1122.291,2045.3814,
1119.380,2061.7402,
1116.470,2035.2643,
1113.559,2059.0637,
1110.649,2065.6903,
1107.738,2065,
1104.828,2079.5635,
1101.917,2105.0298,
1099.006,2112.9692,
1096.096,2093.3012,
1093.185,2081.8872,
1090.275,2059.1497,
1087.364,2098.598,
1084.453,2121.2499,
1081.543,2092.3245,
1078.632,2071.8037,
1075.722,2110.9313,
1072.811,2101.0692,
1069.901,2087.9703,
1066.990,2106.4,
1064.079,2134.1375,
1061.169,2147.7615,
1058.258,2177.5266,
1055.348,2213.5302,
1052.437,2216.3955,
1049.527,2249.1678,
1046.616,2253.512,
1043.705,2240.897,
1040.795,2288.7189,
1037.884,2292.2074,
1034.974,2279.2899,
1032.063,2308.3459,
1029.153,2335.4154,
1026.242,2338.8753,
1023.331,2363.1651,
1020.421,2370.7884,
1017.510,2386.0069,
1014.600,2394.8853,
1011.689,2401.9775,
1008.778,2442.3942,
1005.868,2532.6332,
1002.957,2603.1823,
1000.047,2696.264,
997.136,2788.6692,
994.226,2815.9387,
991.315,2798.7401,
988.404,2796.0828,
985.494,2748.83,
982.583,2696.5801,
979.673,2713.1443,
976.762,2717.8903,
973.852,2726.0503,
970.941,2737.9253,
968.030,2738.1099,
