,PLAB12~1,
Wavenumbers [1/cm],Intensity,
2173.010,1092.8492,
2170.099,1145.3269,
2167.189,1184.653,
2164.278,1286.2985,
2161.368,1363.9986,
2158.457,1428.3138,
2155.546,1508.6347,
2152.636,1580.9892,
2149.725,1660.0872,
2146.815,1733.8644,
2143.904,1784.1152,
2140.993,1833.5713,
2138.083,1874.2705,
2135.172,1887.3782,
2132.262,1902,
2129.351,1865.7515,
2126.441,1807.1746,
2123.530,1772.9898,
2120.619,1675.6059,
2117.709,1597.4223,
2114.798,1485.2111,
2111.888,1382.5642,
2108.977,1302.7682,
2106.067,1234.0141,
2103.156,1190.0856,
2100.245,1106.9875,
2097.335,1081.4607,
2094.424,1040.7607,
2091.514,1031.4193,
2088.603,1007.9309,
2085.692,990.13388,
2082.782,965.6226,
2079.871,958,
2076.961,950.51662,
2074.050,922.16364,
2071.140,945.32181,
2068.229,940.7409,
2065.318,926.2965,
2062.408,923.59834,
2059.497,918.80357,
2056.587,902.26773,
2053.676,895.81662,
2050.766,908.92227,
2047.855,899.86084,
2044.944,862.86217,
2042.034,876.65898,
2039.123,886.42087,
2036.213,883.9444,
2033.302,874.34776,
2030.391,903.11796,
2027.481,888.73197,
2024.570,895.8567,
2021.660,883.94607,
2018.749,871.46813,
2015.839,859.34515,
2012.928,868.91946,
2010.017,872.64929,
2007.107,876.93085,
2004.196,871.27378,
2001.286,866.22967,
1998.375,888.48426,
1995.465,851.37679,
1992.554,817.96489,
1989.643,818.86175,
1986.733,826.74912,
1983.822,837.46086,
1980.912,823.36645,
1978.001,820.47494,
1975.090,813.96184,
1972.180,820.31118,
1969.269,783.8275,
1966.359,777.91911,
1963.448,780.15588,
1960.538,743.10508,
1957.627,736.78328,
1954.716,764.19565,
1951.806,751.09936,
1948.895,751.08707,
1945.985,740.04248,
1943.074,741.83036,
1940.164,724.57689,
1937.253,725.01298,
1934.342,726.98289,
1931.432,720.3817,
1928.521,689.72539,
1925.611,685.81158,
1922.700,685.25138,
1919.790,670.21981,
1916.879,658.69749,
1913.968,689.96065,
1911.058,658.65166,
1908.147,684.92265,
1905.237,685.73517,
1902.326,601.18817,
1899.415,537.86702,
1896.505,460.6023,
1893.594,502.32948,
1890.684,585.49009,
1887.773,624.25801,
1884.863,661.77221,
1881.952,674.39499,
1879.041,676.51298,
1876.131,674.55686,
1873.220,644.36271,
1870.310,641.8565,
1867.399,674.47221,
1864.489,658.1043,
1861.578,638.70858,
1858.667,665.88023,
1855.757,664.62291,
1852.846,644.52819,
1849.936,661,
1847.025,658.53042,
1844.114,666.07063,
1841.204,675.43007,
1838.293,693.4526,
1835.383,706.15152,
1832.472,675.2087,
1829.562,687.91329,
1826.651,694.47845,
1823.740,742.68592,
1820.830,734.22023,
1817.919,708.89809,
1815.009,705,
1812.098,667.29924,
1809.188,719.27894,
1806.277,695.61969,
1803.366,715.68209,
1800.456,755.72521,
1797.545,748.97173,
1794.635,731.06403,
1791.724,737.24282,
1788.813,694.39537,
1785.903,648.34324,
1782.992,512.54088,
1780.082,315.24425,
1777.171,24.64612,
1774.261,12.971311,
1771.350,310.41958,
1768.439,657.54109,
1765.529,736.90738,
1762.618,750.1563,
1759.708,777.53262,
1756.797,782.22727,
1753.887,765.2551,
1750.976,798.35208,
1748.065,833.22888,
1745.155,837.83223,
1742.244,821.46018,
1739.334,827.74823,
1736.423,832.17384,
1733.512,846.28053,
1730.602,840.03173,
1727.691,849.05023,
1724.781,860.86577,
1721.870,859.78093,
1718.960,886.13366,
1716.049,874.38153,
1713.138,886.38992,
1710.228,902.05445,
1707.317,926.11429,
1704.407,942.47596,
1701.496,940.35381,
1698.586,968.64352,
1695.675,1014.0426,
1692.764,998.06556,
1689.854,1002.7402,
1686.943,970.14667,
1684.033,1051.8889,
1681.122,1029.4248,
1678.211,1049.8001,
1675.301,1158.6639,
1672.390,1121.1585,
1669.480,1173.7513,
1666.569,1143.7491,
1663.659,1202.245,
1660.748,1217.5785,
1657.837,1250.1274,
1654.927,1389.3206,
1652.016,1361.243,
1649.106,1371.6365,
1646.195,1397.5515,
1643.285,1420.6152,
1640.374,1449.1324,
1637.463,1549.6846,
1634.553,1588.3005,
1631.642,1676.0532,
1628.732,1772.1896,
1625.821,1804.1387,
1622.911,2014.8054,
1620.000,2129.5511,
1617.089,2262.3333,
1614.179,2418.5442,
1611.268,2610.7503,
1608.358,2685.6756,
1605.447,2821.9439,
1602.536,2835.5913,
1599.626,2854.3987,
1596.715,2813.3427,
1593.805,2733.8761,
1590.894,2712.6706,
1587.984,2701.473,
1585.073,2623.4265,
1582.162,2574.0999,
1579.252,2529.3581,
1576.341,2514.5915,
1573.431,2442.5143,
1570.520,2457.397,
1567.610,2460.5489,
1564.699,2427.5487,
1561.788,2325.86,
1558.878,2292.7793,
1555.967,2230.9155,
1553.057,2223.517,
1550.146,2132.2984,
1547.235,2034.7127,
1544.325,1998.8617,
1541.414,1966.3977,
1538.504,1902.7854,
1535.593,1856.5916,
1532.683,1810.2763,
1529.772,1753.9626,
1526.861,1752.4373,
1523.951,1768.3362,
1521.040,1774.204,
1518.130,1758.1451,
1515.219,1721.1616,
1512.309,1649.8873,
1509.398,1605.0741,
1506.487,1595.9613,
1503.577,1538.1756,
1500.666,1545.7835,
1497.756,1545.5161,
1494.845,1467.6804,
1491.934,1483.7165,
1489.024,1397.0922,
1486.113,1396.7816,
1483.203,1385.4538,
1480.292,1337.3319,
1477.382,1340.3155,
1474.471,1286.214,
1471.560,1255.2123,
1468.650,1196.7047,
1465.739,1181.6074,
1462.829,1173.87,
1459.918,1166.6575,
1457.008,1140.0766,
1454.097,1136.1079,
1451.186,1148.8607,
1448.276,1142.6519,
1445.365,1158.2844,
1442.455,1138.9935,
1439.544,1134.8138,
1436.633,1135.0665,
1433.723,1074.1246,
1430.812,1075.8127,
1427.902,1085.4363,
1424.991,1061.7422,
1422.081,1063.7524,
1419.170,1039.8063,
1416.259,1053.8214,
1413.349,1046.6714,
1410.438,1045.7991,
1407.528,1023.8253,
1404.617,988.68913,
1401.707,1007.9761,
1398.796,979.52463,
1395.885,939.45691,
1392.975,986.5629,
1390.064,1009.5919,
1387.154,1005.9428,
1384.243,969.31393,
1381.332,1065.7626,
1378.422,1096.628,
1375.511,1108.8061,
1372.601,1170.7452,
1369.690,1230.005,
1366.780,1219.9912,
1363.869,1235.3414,
1360.958,1293.1764,
1358.048,1343.9191,
1355.137,1385.7071,
1352.227,1424.4707,
1349.316,1479.7723,
1346.406,1565.0574,
1343.495,1629.2422,
1340.584,1647.7849,
1337.674,1706.1808,
1334.763,1740.8941,
1331.853,1738.1125,
1328.942,1831.3937,
1326.032,1882.9654,
1323.121,1952.7591,
1320.210,2029.2714,
1317.300,2101.2674,
1314.389,2173.1119,
1311.479,2256.5628,
1308.568,2347.0456,
1305.657,2420.8907,
1302.747,2472.7489,
1299.836,2548.499,
1296.926,2704.051,
1294.015,2748.1785,
1291.105,2887.3645,
1288.194,3006.6416,
1285.283,3102.1683,
1282.373,3220.4919,
1279.462,3288.3723,
1276.552,3302.8583,
1273.641,3320.5639,
1270.731,3306.3059,
1267.820,3204.1446,
1264.909,3188.8802,
1261.999,3269.8308,
1259.088,3319.9975,
