,PLDFFE~1,
Wavenumbers [1/cm],Intensity,
2231.221,2303.7065,
2228.311,2349.2589,
2225.400,2392.1192,
2222.490,2415.5424,
2219.579,2427.919,
2216.669,2440.4714,
2213.758,2450.4137,
2210.847,2489.578,
2207.937,2481.2329,
2205.026,2494.6105,
2202.116,2525.1348,
2199.205,2558.1379,
2196.294,2564.55,
2193.384,2608.8936,
2190.473,2621.642,
2187.563,2665.6933,
2184.652,2717.0971,
2181.742,2785.1594,
2178.831,2846.0216,
2175.920,2939.398,
2173.010,3055.8328,
2170.099,3257.2813,
2167.189,3390.3154,
2164.278,3668.2055,
2161.368,3852.3537,
2158.457,4027.0177,
2155.546,4281.4185,
2152.636,4535.9464,
2149.725,4809.728,
2146.815,5019.6604,
2143.904,5223.9386,
2140.993,5346.833,
2138.083,5481.0682,
2135.172,5564.8447,
2132.262,5568.4789,
2129.351,5470.3891,
2126.441,5410.5776,
2123.530,5236.8736,
2120.619,4978.3911,
2117.709,4747.5882,
2114.798,4477.2758,
2111.888,4172.9314,
2108.977,3901.8973,
2106.067,3663.4488,
2103.156,3462.8079,
2100.245,3294.4228,
2097.335,3165.1178,
2094.424,3093.129,
2091.514,2993.9084,
2088.603,2903.0671,
2085.692,2856.0501,
2082.782,2823.677,
2079.871,2813.7147,
2076.961,2767.7935,
2074.050,2804.2394,
2071.140,2772.9028,
2068.229,2733.8737,
2065.318,2723.7965,
2062.408,2712.7269,
2059.497,2696.2976,
2056.587,2666.4191,
2053.676,2664.2994,
2050.766,2618.503,
2047.855,2636.6741,
2044.944,2608.367,
2042.034,2610.581,
2039.123,2624.9209,
2036.213,2641.0178,
2033.302,2618.9787,
2030.391,2634.3633,
2027.481,2653.0366,
2024.570,2643.0717,
2021.660,2643.3817,
2018.749,2655.2721,
2015.839,2646.2717,
2012.928,2630.3272,
2010.017,2644.2275,
2007.107,2656.6664,
2004.196,2661.0476,
2001.286,2640.083,
1998.375,2650.3297,
1995.465,2635.0482,
1992.554,2641.7705,
1989.643,2584.6084,
1986.733,2595.8912,
1983.822,2616.5502,
1980.912,2589.5394,
1978.001,2583.8896,
1975.090,2595.8908,
1972.180,2591.2939,
1969.269,2592.6897,
1966.359,2596.6081,
1963.448,2572.5845,
1960.538,2575.0496,
1957.627,2525.7848,
1954.716,2572.92,
1951.806,2546.5929,
1948.895,2561.5062,
1945.985,2527.4444,
1943.074,2536.2715,
1940.164,2510.1351,
1937.253,2544.9174,
1934.342,2516.2861,
1931.432,2493.2319,
1928.521,2479.5639,
1925.611,2470.7792,
1922.700,2462.5856,
1919.790,2470.8351,
1916.879,2453.895,
1913.968,2457.4939,
1911.058,2474.491,
1908.147,2488.7657,
1905.237,2475.2131,
1902.326,2392.9312,
1899.415,2311.5524,
1896.505,2246.8372,
1893.594,2296.546,
1890.684,2424.7416,
1887.773,2442.4401,
1884.863,2452.7369,
1881.952,2481.8448,
1879.041,2484.7175,
1876.131,2523.4046,
1873.220,2472.3537,
1870.310,2438.4373,
1867.399,2459.1321,
1864.489,2494.0327,
1861.578,2481.8462,
1858.667,2479.9012,
1855.757,2498.1265,
1852.846,2488.3512,
1849.936,2550.8253,
1847.025,2551.7968,
1844.114,2553.9848,
1841.204,2584.0699,
1838.293,2589.5083,
1835.383,2571.9305,
1832.472,2601.827,
1829.562,2620.5568,
1826.651,2584.73,
1823.740,2638.2013,
1820.830,2627.232,
1817.919,2643.3744,
1815.009,2655.4936,
1812.098,2646.626,
1809.188,2672.7015,
1806.277,2644.1861,
1803.366,2628.0157,
1800.456,2660.6983,
1797.545,2695.3654,
1794.635,2667.9831,
1791.724,2689.3544,
1788.813,2672.4923,
1785.903,2625.5195,
1782.992,2490.6786,
1780.082,2184.4003,
1777.171,1796.47,
1774.261,1790.7171,
1771.350,2210.1798,
1768.439,2666.386,
1765.529,2800.3185,
1762.618,2819.4094,
1759.708,2840.5652,
1756.797,2863.4015,
1753.887,2873.7303,
1750.976,2882.0622,
1748.065,2927.1375,
1745.155,2892.6552,
1742.244,2919.4302,
1739.334,2919.373,
1736.423,2913.272,
1733.512,2987.0815,
1730.602,3015.7441,
1727.691,3057.9537,
1724.781,3071.2866,
1721.870,3087.5953,
1718.960,3115.3447,
1716.049,3099.5256,
1713.138,3151.0747,
1710.228,3185.7386,
1707.317,3186.8463,
1704.407,3243.9974,
1701.496,3309.7506,
1698.586,3304.4122,
1695.675,3307.2428,
1692.764,3352.9426,
1689.854,3357.4134,
1686.943,3353.6349,
1684.033,3460.768,
1681.122,3503.8033,
1678.211,3560.9575,
1675.301,3676.1454,
1672.390,3636.0084,
1669.480,3805.9252,
1666.569,3859.6299,
1663.659,3947.843,
1660.748,3971.238,
1657.837,4111.506,
1654.927,4158.8195,
1652.016,4255.5972,
1649.106,4264.2983,
1646.195,4456.6269,
1643.285,4503.3431,
1640.374,4543.0958,
1637.463,4715.247,
1634.553,4922.2487,
1631.642,5107.1504,
1628.732,5259.1947,
1625.821,5543.7571,
1622.911,5934.2854,
1620.000,6250.4936,
1617.089,6647.5199,
1614.179,7109.3301,
1611.268,7428.6774,
1608.358,7843.6938,
1605.447,8144.4737,
1602.536,8260.28,
1599.626,8346.6142,
1596.715,8361.6684,
1593.805,8290.0591,
1590.894,8147.6381,
1587.984,8070.6057,
1585.073,8022.3624,
1582.162,7934.5161,
1579.252,7828.4869,
1576.341,7751.6245,
1573.431,7769.6101,
1570.520,7721.1717,
1567.610,7696.794,
1564.699,7580.6703,
1561.788,7492.43,
1558.878,7342.4095,
1555.967,7245.8241,
1553.057,7093.5358,
1550.146,6900.7366,
1547.235,6803.2966,
1544.325,6663.2141,
1541.414,6522.5951,
1538.504,6417.2195,
1535.593,6317.9814,
1532.683,6231.723,
1529.772,6127.2008,
1526.861,6047.4069,
1523.951,6052.1995,
1521.040,6086.7972,
1518.130,6047.7249,
1515.219,5980.5829,
1512.309,5869.8468,
1509.398,5814.9433,
1506.487,5711.8554,
1503.577,5615.267,
1500.666,5583.5167,
1497.756,5474.7027,
1494.845,5403.3794,
1491.934,5376.1472,
1489.024,5268.348,
1486.113,5236.6835,
1483.203,5193.6443,
1480.292,5068.0114,
1477.382,5017.4031,
1474.471,4940.6685,
1471.560,4862.1724,
1468.650,4813.8523,
1465.739,4766.9135,
1462.829,4678.866,
1459.918,4633.605,
1457.008,4622.8229,
1454.097,4625.3647,
1451.186,4648.5696,
1448.276,4682.852,
1445.365,4686.8863,
1442.455,4637.2918,
1439.544,4704.3855,
1436.633,4656.0333,
1433.723,4625.5,
1430.812,4619.811,
1427.902,4551.3864,
1424.991,4672.7,
1422.081,4665.4903,
1419.170,4686.1015,
1416.259,4716.2321,
1413.349,4740.6258,
1410.438,4796.1844,
1407.528,4754.4133,
1404.617,4707.1703,
1401.707,4686.8413,
1398.796,4606.168,
1395.885,4517.5787,
1392.975,4514.4796,
1390.064,4552.7472,
1387.154,4580.1437,
1384.243,4523.7409,
1381.332,4537.945,
1378.422,4757.5822,
1375.511,4739.7834,
1372.601,4920.1278,
1369.690,5049.5106,
1366.780,5094.6372,
1363.869,5140.7298,
1360.958,5247.2701,
1358.048,5366.884,
1355.137,5482.7362,
1352.227,5608.3828,
1349.316,5761.544,
1346.406,5915.5823,
1343.495,5993.4965,
1340.584,6033.2831,
1337.674,6193.9239,
1334.763,6127.9339,
1331.853,6270.7275,
1328.942,6412.588,
1326.032,6549.3962,
1323.121,6648.3736,
1320.210,6799.359,
1317.300,6975.2343,
1314.389,7147.5435,
1311.479,7278.0045,
1308.568,7378.1948,
1305.657,7542.9777,
1302.747,7788.703,
1299.836,7955.7705,
1296.926,8113.4042,
1294.015,8391.0399,
1291.105,8568.9224,
1288.194,8811.1543,
1285.283,9090.609,
1282.373,9330.1088,
1279.462,9513.0276,
1276.552,9678.3744,
1273.641,9800.1376,
1270.731,9821.9746,
1267.820,9764.3636,
1264.909,9675.149,
1261.999,9725.464,
1259.088,9779.2791,
1256.178,9621.4862,
1253.267,9470.9815,
1250.356,9228.9693,
1247.446,8886.2481,
1244.535,8527.1791,
1241.625,8222.4448,
1238.714,7938.8529,
1235.804,7636.8207,
1232.893,7434.158,
1229.982,7277.8459,
1227.072,7081.3932,
1224.161,6979.2471,
1221.251,6891.0271,
1218.340,6755.7242,
1215.430,6611.2681,
1212.519,6555.1773,
1209.608,6536.1256,
1206.698,6449.7547,
1203.787,6369.5955,
1200.877,6321.6442,
1197.966,6501.476,
1195.055,6634.221,
1192.145,6872.6382,
1189.234,7133.9474,
1186.324,7259.9568,
1183.413,7305.9975,
1180.503,7333.4294,
1177.592,7313.1362,
1174.681,7273.3356,
1171.771,7188.2431,
1168.860,7133.7646,
1165.950,7131.7252,
1163.039,7158.3409,
1160.129,7134.6985,
1157.218,7098.4816,
1154.307,7045.8003,
1151.397,6959.2098,
1148.486,6895.9582,
1145.576,6843.838,
1142.665,6759.4863,
1139.754,6740.2956,
1136.844,6694.7815,
1133.933,6667.7024,
1131.023,6647.8092,
1128.112,6584.2927,
1125.202,6494.6015,
1122.291,6482.3666,
1119.380,6461.0197,
1116.470,6513.9714,
1113.559,6544.4707,
1110.649,6510.2447,
1107.738,6476.1762,
1104.828,6431.3798,
1101.917,6382.0206,
1099.006,6378.3247,
1096.096,6377.0162,
1093.185,6369.1142,
1090.275,6439.7158,
1087.364,6501.7841,
1084.453,6589.9957,
1081.543,6661.3435,
1078.632,6698.976,
1075.722,6732.6373,
1072.811,6750.3759,
1069.901,6748.6294,
1066.990,6706.4668,
1064.079,6682.8897,
1061.169,6637.2866,
1058.258,6589.4075,
1055.348,6584.8435,
1052.437,6634.6994,
1049.527,6676.5671,
1046.616,6678.3048,
1043.705,6728.5997,
1040.795,6774.7867,
1037.884,6780.3623,
1034.974,6801.6456,
1032.063,6854.877,
1029.153,6849.9275,
1026.242,6878.471,
1023.331,6936.9963,
1020.421,6938.7406,
1017.510,6995.0098,
1014.600,7097.058,
1011.689,7150.1197,
1008.778,7081.2524,
1005.868,6993.8205,
1002.957,7140.9411,
1000.047,7480.1801,
997.136,7917.4179,
994.226,8215.5604,
991.315,8288.3193,
988.404,8228.7734,
985.494,8144.9491,
982.583,8031.0271,
979.673,8071.5684,
976.762,8083.6935,
973.852,8106.6727,
970.941,8174.9164,
968.030,8248.8988,
965.120,8245.5895,
962.209,8266.9031,
959.299,8272.6247,
956.388,8303.7381,
953.477,8311.881,
950.567,8294.9899,
947.656,8315.8477,
944.746,8356.6264,
941.835,8343.1135,
938.925,8361.2157,
936.014,8348.7262,
933.103,8337.5052,
930.193,8355.7046,
927.282,8333.1674,
924.372,8197.8703,
921.461,8058.2576,
918.551,7908.7701,
915.640,7784.0564,
912.729,7693.0062,
909.819,7610.3778,
906.908,7510.9717,
903.998,7487.2066,
901.087,7511.7793,
898.176,7584.809,
895.266,7656.022,
892.355,7689.693,
889.445,7760.1915,
886.534,7889.9051,
883.624,7971.3451,
880.713,7953.5887,
877.802,7836.853,
874.892,7553.6288,
871.981,6902.234,
869.071,6552.196,
866.160,6769.5537,
863.250,7317.5317,
860.339,7734.0757,
857.428,7785.6129,
854.518,7747.4009,
851.607,7432.8787,
848.697,7082.7386,
845.786,6871.693,
842.875,6995.8976,
839.965,7424.162,
837.054,7720.4583,
834.144,7805.8198,
831.233,7818.5003,
828.323,7788.804,
825.412,7731.8453,
822.501,7662.2657,
819.591,7611.029,
816.680,7579.0512,
813.770,7409.8623,
810.859,7280.5594,
807.949,7221.7585,
805.038,7170.4093,
802.127,7153.1236,
799.217,7106.0311,
796.306,7058.716,
793.396,7032.1641,
790.485,7030.3952,
787.574,7041.2676,
784.664,7140.5012,
781.753,7249.0828,
778.843,7361.1314,
775.932,7441.3764,
773.022,7452.5954,
770.111,7382.2837,
767.200,7337.1504,
764.290,7310.0531,
761.379,7264.4458,
758.469,7198.5718,
755.558,7153.4514,
752.648,7151.8222,
749.737,7106.4575,
746.826,7075.5067,
743.916,7037.3437,
741.005,6948.1286,
738.095,6847.4559,
735.184,6730.3862,
732.274,6721.1056,
729.363,6795.2187,
726.452,6911.7123,
723.542,7067.9252,
720.631,7172.8319,
717.721,7207.6556,
714.810,7229.0112,
711.899,7262.5792,
708.989,7284.3662,
706.078,7278.0896,
703.168,7291.0733,
700.257,7267.9068,
697.347,7223.6737,
694.436,7230.2125,
691.525,7182.788,
688.615,7178.7891,
685.704,7199.7677,
682.794,7244.9678,
679.883,7318.9686,
676.973,7329.3864,
674.062,7337.8808,
671.151,7348.5133,
668.241,7322.7158,
665.330,7212.521,
662.420,7234.0868,
659.509,7235.9603,
656.598,7284.699,
653.688,7376.0347,
650.777,7463.0931,
647.867,7510.0765,
644.956,7350.8529,
642.046,7154.4592,
639.135,7022.6135,
636.224,7016.1207,
633.314,7139.9751,
630.403,7198.1045,
627.493,7227.2541,
624.582,7238.4966,
621.672,7211.5688,
618.761,7259.8961,
615.850,7313.5182,
612.940,7355.4291,
610.029,7374.6587,
607.119,7363.6039,
604.208,7285.1086,
601.297,7228.0756,
598.387,7225.4306,
595.476,7279.5288,
592.566,7248.0461,
589.655,7255.4578,
586.745,7206.952,
583.834,7157.7759,
580.923,7240.5,
578.013,7240.5,
575.102,7229.6018,
572.192,7240.7934,
569.281,7282.6706,
566.371,7322.5844,
563.460,7330.0273,
560.549,7317.8562,
557.639,7344.5902,
554.728,7459.2592,
551.818,7502.9569,
548.907,7507.0153,
545.996,7517.8852,
543.086,7550.0625,
540.175,7594.4453,
537.265,7652.5452,
534.354,7643.3986,
531.444,7651.9548,
528.533,7754.9213,
525.622,7803.03,
522.712,7871.1416,
519.801,7940.5779,
516.891,8010.6546,
513.980,8100.4729,
511.070,8207.1086,
508.159,8309.6285,
505.248,8424.3192,
502.338,8571.0921,
499.427,8693.8134,
496.517,8805.6918,
493.606,8910.5804,
490.695,8999.9606,
487.785,9017.6658,
484.874,9057.981,
481.964,9066.0417,
479.053,9044.0874,
476.143,9025.6563,
473.232,9008.6731,
470.321,9010.7718,
467.411,9015.7011,
464.500,9006.1484,
461.590,9071.2364,
458.679,9158.8371,
455.769,9258.3487,
452.858,9363.1916,
449.947,9475.4895,
447.037,9554.9287,
444.126,9636.9727,
441.216,9715.426,
438.305,9720.7595,
435.395,9731.3345,
432.484,9740.2508,
429.573,9723.6672,
426.663,9630.1699,
423.752,8754.2133,
420.842,7704.8015,
417.931,6952.1186,
415.020,7119.7157,
412.110,8523.6127,
409.199,9430.1426,
406.289,9799.9295,
403.378,9671.9134,
400.468,9498.7907,
397.557,9614.7118,
394.646,9943.4943,
391.736,10396.114,
388.825,10384.046,
385.915,10457.668,
383.004,10527.784,
380.094,10538.913,
377.183,10645.012,
374.272,10733.663,
371.362,10791.741,
368.451,10814.965,
365.541,10872.006,
362.630,10912.081,
359.719,10927.469,
356.809,10916.542,
353.898,10933.764,
350.988,10982.984,
