,PL3F62~1,
Wavenumbers [1/cm],Intensity,
2205.026,1712.7494,
2202.116,1741.0738,
2199.205,1759.6636,
2196.294,1757.5439,
2193.384,1792.9335,
2190.473,1797.3181,
2187.563,1822.0932,
2184.652,1894.5573,
2181.742,1924.2524,
2178.831,1978.6644,
2175.920,2024.3056,
2173.010,2130.9563,
2170.099,2172.1488,
2167.189,2327.4388,
2164.278,2441.8254,
2161.368,2595.0306,
2158.457,2752.4325,
2155.546,2898.428,
2152.636,3055.9997,
2149.725,3224.4143,
2146.815,3352.2129,
2143.904,3449.7982,
2140.993,3573.2684,
2138.083,3618.8228,
2135.172,3675.624,
2132.262,3676.9806,
2129.351,3662.7086,
2126.441,3588.3032,
2123.530,3448.3807,
2120.619,3304.0813,
2117.709,3100.3756,
2114.798,2904.5726,
2111.888,2769.0281,
2108.977,2576.5049,
2106.067,2408.436,
2103.156,2308.243,
2100.245,2157.7293,
2097.335,2115.839,
2094.424,2041.6547,
2091.514,2003.0967,
2088.603,1970.5611,
2085.692,1957.2964,
2082.782,1918.7543,
2079.871,1901.75,
2076.961,1869.9456,
2074.050,1870.0045,
2071.140,1840.5772,
2068.229,1864.9336,
2065.318,1858.157,
2062.408,1828.5904,
2059.497,1803.9464,
2056.587,1831.1216,
2053.676,1811.7186,
2050.766,1799.2119,
2047.855,1771.4905,
2044.944,1793.0257,
2042.034,1774.6749,
2039.123,1795.4503,
2036.213,1804.9411,
2033.302,1816.0108,
2030.391,1812.3095,
2027.481,1776.7625,
2024.570,1788.5065,
2021.660,1823.7987,
2018.749,1796.0539,
2015.839,1805.4987,
2012.928,1809.6242,
2010.017,1791.269,
2007.107,1809.4491,
2004.196,1808,
2001.286,1797.1458,
1998.375,1800.9252,
1995.465,1769.7125,
1992.554,1768.6382,
1989.643,1777.4735,
1986.733,1727.7298,
1983.822,1759.7877,
1980.912,1738.1061,
1978.001,1732.3344,
1975.090,1743.5622,
1972.180,1731.992,
1969.269,1724.75,
1966.359,1713.0742,
1963.448,1728.6655,
1960.538,1734.3155,
1957.627,1739.0998,
1954.716,1766.9456,
1951.806,1760.5145,
1948.895,1723.1062,
1945.985,1751.1716,
1943.074,1722.7979,
1940.164,1736.1058,
1937.253,1704.4681,
1934.342,1672.3398,
1931.432,1654.4629,
1928.521,1667.5186,
1925.611,1706.6524,
1922.700,1637.1892,
1919.790,1613.305,
1916.879,1618.3315,
