,PLE6E5~1,
Wavenumbers [1/cm],Intensity,
2175.920,1072.3436,
2173.010,1122.8767,
2170.099,1170.9871,
2167.189,1206.5268,
2164.278,1270.7823,
2161.368,1345.6935,
2158.457,1435.9316,
2155.546,1493.6241,
2152.636,1561.0823,
2149.725,1632.3934,
2146.815,1720.4221,
2143.904,1764.4447,
2140.993,1819.8074,
2138.083,1850.5961,
2135.172,1882.4361,
2132.262,1898.8662,
2129.351,1858.1213,
2126.441,1813.4356,
2123.530,1765.2832,
2120.619,1681.63,
2117.709,1595.2289,
2114.798,1496.817,
2111.888,1395.0404,
2108.977,1295.615,
2106.067,1215.7299,
2103.156,1183.0476,
2100.245,1119.1081,
2097.335,1089.7166,
2094.424,1064.9445,
2091.514,1039.9798,
2088.603,1026.632,
2085.692,1016.125,
2082.782,1008.3499,
2079.871,975.55208,
2076.961,996.25224,
2074.050,986.46439,
2071.140,988.78052,
2068.229,968.57421,
2065.318,971.68025,
2062.408,953.32168,
2059.497,952.75002,
2056.587,949.06706,
2053.676,945.75823,
2050.766,952.58614,
2047.855,938.03956,
2044.944,932.19873,
2042.034,921.18291,
2039.123,949.50547,
2036.213,936.43604,
2033.302,901.08172,
2030.391,920.39536,
2027.481,933.40552,
2024.570,922.85382,
2021.660,917.36152,
2018.749,897.125,
2015.839,899.14272,
2012.928,912.35487,
2010.017,913.125,
2007.107,915.63715,
2004.196,919.63691,
2001.286,907.43598,
1998.375,907.4754,
1995.465,907.97857,
1992.554,884.33696,
1989.643,872.43607,
1986.733,863.60658,
1983.822,870.43224,
1980.912,863.54112,
1978.001,873.24374,
1975.090,859.96011,
1972.180,847.09042,
1969.269,846.99281,
1966.359,827.31395,
1963.448,837.57943,
1960.538,812.66461,
1957.627,827.41604,
1954.716,811.67081,
1951.806,813.82693,
1948.895,800.21824,
1945.985,748.57598,
1943.074,769.0621,
1940.164,788.23057,
1937.253,781.59436,
1934.342,780.5095,
1931.432,746.91995,
1928.521,741.21654,
1925.611,743.96268,
1922.700,748.66505,
1919.790,731.17724,
1916.879,713.24099,
1913.968,727.10656,
1911.058,712.30519,
1908.147,739.8038,
1905.237,701.64695,
1902.326,622.73095,
1899.415,560.89691,
1896.505,505.51657,
1893.594,548.82638,
1890.684,632.6542,
1887.773,690.27087,
1884.863,720.96782,
1881.952,712.47765,
1879.041,731.84567,
1876.131,736.05311,
1873.220,722.04973,
1870.310,696.91876,
1867.399,733.50125,
1864.489,714.8524,
1861.578,709.43259,
1858.667,718.16395,
1855.757,700.30638,
1852.846,720.37116,
1849.936,714.19508,
1847.025,707.24179,
1844.114,727.62153,
1841.204,743.10402,
1838.293,740.1117,
1835.383,749.218,
1832.472,750.125,
1829.562,746.93099,
1826.651,756.06544,
1823.740,790.9718,
1820.830,804.43998,
1817.919,774.99307,
