,PLC19D~1,
Wavenumbers [1/cm],Intensity,
2231.221,2416.2527,
2228.311,2422.0309,
2225.400,2457.7848,
2222.490,2480.3348,
2219.579,2506.4557,
2216.669,2539.6665,
2213.758,2578.7755,
2210.847,2541.8873,
2207.937,2589.7255,
2205.026,2624.8051,
2202.116,2639.6099,
2199.205,2650.7872,
2196.294,2680.8539,
2193.384,2684.3295,
2190.473,2730.5869,
2187.563,2786.3902,
2184.652,2822.1782,
2181.742,2893.4585,
2178.831,2998.8299,
2175.920,3066.7254,
2173.010,3224.1105,
2170.099,3379.2381,
2167.189,3594.5057,
2164.278,3791.2872,
2161.368,3984.3857,
2158.457,4228.4133,
2155.546,4496.031,
2152.636,4752.3666,
2149.725,4991.1827,
2146.815,5203.1435,
2143.904,5388.1272,
2140.993,5591.7789,
2138.083,5667.7696,
2135.172,5732.0233,
2132.262,5746.7324,
2129.351,5698.4704,
2126.441,5546.5408,
2123.530,5384.0052,
2120.619,5153.0863,
2117.709,4861.9247,
2114.798,4558.1607,
2111.888,4280.7198,
2108.977,3973.8459,
2106.067,3757.0506,
2103.156,3580.6352,
2100.245,3407.1565,
2097.335,3240.9097,
2094.424,3113.532,
2091.514,3074.0669,
2088.603,3014.8444,
2085.692,2975.373,
2082.782,2933.0613,
2079.871,2879.1403,
2076.961,2886.023,
2074.050,2880.0318,
2071.140,2802.0772,
2068.229,2826.7057,
2065.318,2808.7917,
2062.408,2791.1138,
2059.497,2787.625,
2056.587,2777.1221,
2053.676,2772.1669,
2050.766,2775.8651,
2047.855,2714.6235,
2044.944,2696.0433,
2042.034,2723.7299,
2039.123,2744.388,
2036.213,2722.5967,
2033.302,2737.728,
2030.391,2743.5892,
2027.481,2730.0671,
2024.570,2738.2069,
2021.660,2798.584,
2018.749,2755.6177,
2015.839,2786.08,
2012.928,2756.4916,
2010.017,2771.2739,
2007.107,2795.7098,
2004.196,2747.9642,
2001.286,2745.3136,
1998.375,2731.7657,
1995.465,2729.5429,
1992.554,2729.4971,
