,PLD84B~1,
Raman shift [1/cm],Intensity,
2184.652,1424.6074,
2181.742,1480.5582,
2178.831,1522.0142,
2175.920,1555.0312,
2173.010,1619.7293,
2170.099,1685.6865,
2167.189,1745.9766,
2164.278,1805.1898,
2161.368,1892.6219,
2158.457,1997.8696,
2155.546,2088.502,
2152.636,2159.1302,
2149.725,2240.0411,
2146.815,2299.9899,
2143.904,2319.045,
2140.993,2366.9266,
2138.083,2381.0383,
2135.172,2390.2887,
2132.262,2349.971,
2129.351,2319.5008,
2126.441,2238.5277,
2123.530,2204.1771,
2120.619,2070.0198,
2117.709,2006.2116,
2114.798,1908.6631,
2111.888,1816.2141,
2108.977,1720.2276,
2106.067,1618.1294,
2103.156,1582.5476,
2100.245,1542.5899,
2097.335,1483.2533,
2094.424,1453.5987,
2091.514,1429.0443,
2088.603,1425.966,
2085.692,1446.1268,
2082.782,1427.2998,
2079.871,1411.8747,
2076.961,1383.4978,
2074.050,1394.1583,
2071.140,1401.0851,
2068.229,1391.6054,
2065.318,1404.1425,
2062.408,1372.3292,
2059.497,1341.7916,
2056.587,1341.9737,
2053.676,1370.3069,
2050.766,1355.3186,
2047.855,1342.3972,
2044.944,1334.093,
2042.034,1334.417,
2039.123,1367.3691,
2036.213,1383.7449,
2033.302,1355.7989,
2030.391,1352.4726,
2027.481,1370.4541,
2024.570,1375.9393,
2021.660,1379.3885,
2018.749,1361.6128,
2015.839,1382.3205,
2012.928,1359.6821,
2010.017,1372.4046,
2007.107,1371.9988,
2004.196,1360.0773,
2001.286,1379.9217,
1998.375,1356.1309,
1995.465,1351.717,
1992.554,1343.4781,
1989.643,1341.625,
1986.733,1374.1803,
1983.822,1346.509,
1980.912,1335.4469,
1978.001,1345.7011,
1975.090,1355.8204,
1972.180,1346.0399,
1969.269,1352.8722,
1966.359,1360.4898,
1963.448,1350.7809,
1960.538,1368.1012,
1957.627,1336.0677,
1954.716,1352.993,
1951.806,1387.2901,
1948.895,1346.8334,
1945.985,1367.8636,
1943.074,1347.4403,
1940.164,1364.4421,
1937.253,1355.2205,
1934.342,1371.702,
1931.432,1345.9878,
1928.521,1352.4454,
1925.611,1344.398,
1922.700,1322.7535,
1919.790,1324.7926,
1916.879,1359.114,
1913.968,1351.6373,
1911.058,1336.7571,
1908.147,1336.2337,
1905.237,1324,
1902.326,1355.2931,
1899.415,1370.1798,
1896.505,1300.7997,
1893.594,1319.433,
1890.684,1342.2067,
1887.773,1375.8139,
1884.863,1381.404,
1881.952,1352.0952,
1879.041,1336.8166,
1876.131,1311.008,
1873.220,1342.2358,
1870.310,1375.4725,
1867.399,1354.0088,
1864.489,1385.7557,
1861.578,1341.96,
1858.667,1366.6789,
1855.757,1379.0236,
1852.846,1367.3071,
1849.936,1332.4618,
1847.025,1356.6785,
1844.114,1377.0038,
1841.204,1375.6844,
1838.293,1395.6001,
1835.383,1408.439,
1832.472,1414.3346,
1829.562,1439.4279,
1826.651,1404.8119,
1823.740,1421.4795,
1820.830,1476.523,
1817.919,1438.1337,
1815.009,1444.6059,
1812.098,1453.9085,
1809.188,1424.6096,
1806.277,1470.5405,
1803.366,1449.5917,
1800.456,1448.0647,
1797.545,1458.6674,
1794.635,1486.432,
1791.724,1477.2366,
1788.813,1504.0229,
1785.903,1508.8807,
1782.992,1523.6279,
1780.082,1465.7338,
1777.171,1472.2926,
1774.261,1493.1454,
1771.350,1527.9783,
1768.439,1533.3482,
1765.529,1542.5361,
1762.618,1559.9731,
1759.708,1557.9836,
1756.797,1575.2917,
1753.887,1575.8801,
1750.976,1527.0144,
1748.065,1566.9122,
1745.155,1580.4381,
1742.244,1557.0172,
1739.334,1607.4015,
1736.423,1624.1465,
1733.512,1613.3486,
1730.602,1633.0655,
1727.691,1639.8573,
1724.781,1657.7163,
1721.870,1623.9962,
1718.960,1689.4481,
1716.049,1670.3881,
1713.138,1661.06,
1710.228,1684.123,
1707.317,1660.2033,
1704.407,1671.8978,
1701.496,1687.2982,
1698.586,1727.4323,
1695.675,1721.2679,
1692.764,1728.1988,
1689.854,1806.1172,
1686.943,1751.6485,
1684.033,1777.9047,
1681.122,1820.8943,
1678.211,1822.6155,
1675.301,1948.2365,
1672.390,1885.6729,
1669.480,1902.6358,
1666.569,2028.0313,
1663.659,2060.311,
1660.748,2100.5645,
1657.837,2048.5495,
1654.927,2134.7656,
1652.016,2141.6456,
1649.106,2185.1955,
1646.195,2287.601,
1643.285,2286.4427,
1640.374,2279.5449,
1637.463,2324.0842,
1634.553,2405.1915,
1631.642,2510.3633,
1628.732,2578.1227,
1625.821,2661.6989,
1622.911,2773.9882,
1620.000,2969.1431,
1617.089,3127.4608,
1614.179,3329.8438,
1611.268,3505.0817,
1608.358,3596.4577,
1605.447,3781.655,
1602.536,3809.399,
1599.626,3874.1004,
1596.715,3865.1034,
1593.805,3778.6635,
1590.894,3761.5796,
1587.984,3756.2945,
1585.073,3710.5317,
1582.162,3728.5065,
1579.252,3665.706,
1576.341,3654.6303,
1573.431,3586.7057,
1570.520,3597.4357,
1567.610,3580.5462,
1564.699,3538.9987,
1561.788,3493.5267,
1558.878,3422.2729,
1555.967,3379.1084,
1553.057,3292.7982,
1550.146,3293.4867,
1547.235,3275.5795,
1544.325,3189.3339,
1541.414,3129.2631,
1538.504,3129.5529,
1535.593,3114.9232,
1532.683,3042.2795,
1529.772,2978.9627,
1526.861,2984.167,
1523.951,2987.0801,
1521.040,2909.043,
1518.130,2865.1323,
1515.219,2840.8664,
1512.309,2790.643,
1509.398,2784.4102,
1506.487,2785.9792,
1503.577,2799.4171,
1500.666,2808.126,
1497.756,2749.0827,
1494.845,2753.2643,
1491.934,2720.4801,
1489.024,2676.2054,
1486.113,2662.5712,
1483.203,2621.6575,
1480.292,2592.0182,
1477.382,2578.7343,
1474.471,2516.0021,
1471.560,2475.1294,
1468.650,2487.8065,
1465.739,2428.4521,
1462.829,2439.1608,
1459.918,2459.3652,
1457.008,2459.7944,
1454.097,2481.2546,
1451.186,2482.3968,
1448.276,2470.6837,
1445.365,2468.3019,
1442.455,2467.7574,
1439.544,2512.1191,
1436.633,2485.0808,
1433.723,2462.0049,
1430.812,2446.857,
1427.902,2398.3397,
1424.991,2344.3172,
1422.081,2346.2949,
1419.170,2354.4015,
1416.259,2347.5244,
1413.349,2277.6533,
1410.438,2313.0069,
1407.528,2338.2687,
1404.617,2319.2498,
1401.707,2316.2238,
1398.796,2320.9047,
1395.885,2338.3614,
1392.975,2353.6243,
1390.064,2304.9664,
1387.154,2259.5874,
1384.243,2240.1405,
1381.332,2201.3756,
1378.422,2260.9869,
1375.511,2364.9695,
1372.601,2507.6253,
1369.690,2569.3439,
1366.780,2675.0453,
1363.869,2698.4456,
1360.958,2725.3541,
1358.048,2741.4049,
1355.137,2839.8765,
1352.227,2905.6641,
1349.316,2938.3382,
1346.406,3033.1795,
1343.495,3064.2854,
1340.584,3141.0893,
1337.674,3143.5562,
1334.763,3188.6828,
1331.853,3295.3144,
1328.942,3298.7355,
1326.032,3298.625,
1323.121,3368.2757,
1320.210,3422.5914,
1317.300,3435.2641,
1314.389,3453.1532,
1311.479,3472.4988,
1308.568,3513.8544,
1305.657,3598.83,
1302.747,3631.4119,
1299.836,3638.9101,
1296.926,3734.9572,
1294.015,3914.2253,
1291.105,3940.1164,
1288.194,4059.2415,
1285.283,4105.8091,
1282.373,4201.2184,
1279.462,4266.8992,
1276.552,4323.6882,
1273.641,4361.5796,
1270.731,4351.2683,
1267.820,4380.1708,
1264.909,4360.7225,
1261.999,4262.055,
1259.088,4328.6398,
1256.178,4275.2424,
1253.267,4245.6779,
1250.356,4142.1004,
1247.446,4066.8754,
1244.535,4036.7143,
1241.625,3971.7214,
1238.714,3873.8115,
1235.804,3818.2756,
1232.893,3745.0118,
1229.982,3688.7733,
1227.072,3604.5792,
1224.161,3563.3238,
1221.251,3505.9984,
1218.340,3428.3785,
1215.430,3389.5691,
1212.519,3349.7625,
1209.608,3326.7613,
1206.698,3368.2635,
1203.787,3377.9667,
1200.877,3329.5255,
1197.966,3392.4666,
1195.055,3476.6836,
1192.145,3574.7755,
1189.234,3652.582,
1186.324,3734.1757,
1183.413,3804.356,
1180.503,3811.3426,
1177.592,3765.4836,
1174.681,3763.1353,
1171.771,3702.5232,
1168.860,3611.4281,
1165.950,3580.0489,
1163.039,3527.1336,
1160.129,3496.5975,
1157.218,3474.2414,
1154.307,3437.9607,
1151.397,3408.2745,
1148.486,3416.2273,
1145.576,3400.235,
1142.665,3345.1845,
1139.754,3380.4928,
1136.844,3327.9983,
1133.933,3296.3464,
1131.023,3266.6597,
1128.112,3255.8366,
1125.202,3289.8327,
1122.291,3293.1237,
1119.380,3289.8329,
1116.470,3311.0136,
1113.559,3298.16,
1110.649,3329.6415,
1107.738,3311.1177,
1104.828,3289.8597,
1101.917,3315.9805,
1099.006,3341.8518,
1096.096,3346.0124,
1093.185,3319.6723,
1090.275,3363.7534,
1087.364,3334.8299,
