,PLDE21~1,
Raman shift [1/cm],Intensity,
2167.189,666.96412,
2164.278,658.91859,
2161.368,649.85607,
2158.457,668.18736,
2155.546,679.25676,
2152.636,680.15429,
2149.725,697.46978,
2146.815,706.83316,
2143.904,714.40891,
2140.993,733.43919,
2138.083,724.63526,
2135.172,731.93283,
2132.262,744.38116,
2129.351,708.48598,
2126.441,702.18448,
2123.530,710.69695,
2120.619,681.24782,
2117.709,659.781,
2114.798,637.89989,
2111.888,603.55081,
2108.977,595.53643,
2106.067,574.45678,
2103.156,555.44198,
2100.245,547.01506,
2097.335,568.23037,
2094.424,546.80325,
2091.514,544.07259,
2088.603,536.9816,
2085.692,529.95537,
2082.782,553.20469,
2079.871,545.5706,
2076.961,548.54795,
2074.050,533.69091,
2071.140,511.70086,
2068.229,539.70831,
2065.318,546.15898,
2062.408,533.28062,
2059.497,537.77975,
2056.587,535.96504,
2053.676,540.44985,
2050.766,517.92452,
2047.855,515,
2044.944,513.00481,
2042.034,503.31796,
2039.123,516.38047,
2036.213,529.84448,
2033.302,536.10877,
2030.391,511.39039,
2027.481,538.68257,
2024.570,543.57165,
2021.660,522.24171,
2018.749,516.98775,
2015.839,538.23359,
2012.928,522.96477,
2010.017,543.26058,
2007.107,521.32523,
2004.196,533.84529,
2001.286,523.22619,
1998.375,533.44293,
1995.465,513.53572,
1992.554,540.05852,
1989.643,491.901,
1986.733,512.90965,
1983.822,526.17873,
1980.912,507.17807,
1978.001,501.31354,
1975.090,503.99237,
1972.180,494.44949,
1969.269,496.85063,
1966.359,513.5406,
1963.448,516,
1960.538,467.30942,
1957.627,497.01551,
1954.716,505.88509,
1951.806,460.08648,
1948.895,501.91293,
1945.985,507.03431,
1943.074,476.84132,
1940.164,484.33666,
1937.253,481.08723,
1934.342,475.59839,
1931.432,469.68139,
1928.521,460.24698,
1925.611,472.0908,
1922.700,453.83978,
1919.790,468.67029,
1916.879,478.51175,
1913.968,476.00369,
1911.058,462.57659,
1908.147,489.03641,
1905.237,432.13976,
1902.326,458.40742,
1899.415,448.85733,
1896.505,451.72873,
1893.594,430.72562,
1890.684,439.6797,
1887.773,444.42243,
1884.863,451.01595,
1881.952,457.78997,
1879.041,475.64279,
1876.131,463.89805,
1873.220,455.64158,
1870.310,434.57851,
1867.399,433,
1864.489,461.83169,
1861.578,435.24159,
1858.667,460.52093,
1855.757,473.62649,
1852.846,455.30766,
1849.936,486.88389,
1847.025,488.35036,
1844.114,468.61636,
1841.204,449.06293,
1838.293,488.98836,
1835.383,471.40752,
1832.472,491.32696,
1829.562,491.5315,
1826.651,480.10266,
1823.740,490.73565,
1820.830,464.67691,
1817.919,471.47315,
1815.009,506.68066,
1812.098,483.27561,
1809.188,493.13175,
1806.277,527.24752,
1803.366,479.01664,
1800.456,479.72521,
1797.545,474.90781,
1794.635,477.61206,
1791.724,505.46597,
1788.813,523.60077,
1785.903,517.79269,
1782.992,489.65871,
1780.082,479.67349,
1777.171,464.33298,
1774.261,478.33031,
1771.350,499.85525,
1768.439,494.12796,
1765.529,507.45651,
1762.618,532.07815,
1759.708,529.16288,
1756.797,534.43939,
1753.887,545.23032,
1750.976,541.17932,
1748.065,530.32566,
1745.155,512.78072,
1742.244,541.4311,
1739.334,543.93648,
1736.423,534.88038,
1733.512,534.72764,
1730.602,553.70042,
1727.691,563.8383,
1724.781,533.53694,
1721.870,562.82403,
1718.960,549.79973,
1716.049,575.20309,
1713.138,595.53493,
1710.228,555.35545,
1707.317,575.53714,
1704.407,593.37436,
1701.496,553.0688,
1698.586,563.78375,
1695.675,625.82106,
1692.764,593.07785,
1689.854,599.61024,
1686.943,619.32549,
1684.033,608.29803,
1681.122,659.11639,
1678.211,663.96193,
1675.301,647.05242,
1672.390,640.1944,
1669.480,705.13637,
1666.569,721.94922,
1663.659,718.44097,
1660.748,745.57845,
1657.837,774.95626,
1654.927,773.98402,
1652.016,814.24673,
1649.106,784,
1646.195,784.9111,
1643.285,823.38998,
1640.374,882.45645,
1637.463,857.03603,
1634.553,860.8029,
1631.642,981.26059,
1628.732,1005.3674,
1625.821,1067.0425,
1622.911,1131.6337,
1620.000,1206.0551,
1617.089,1235.4229,
1614.179,1314.7157,
1611.268,1420.022,
1608.358,1442.1104,
1605.447,1485.4289,
1602.536,1535.5262,
1599.626,1550.9591,
1596.715,1549.2772,
1593.805,1528.4304,
1590.894,1512.7899,
1587.984,1547.3759,
1585.073,1533.4312,
1582.162,1467.3835,
1579.252,1456.6366,
1576.341,1448.1883,
1573.431,1397.4432,
1570.520,1384,
1567.610,1384,
1564.699,1365.1492,
1561.788,1311.5216,
1558.878,1284.4896,
1555.967,1247.9668,
1553.057,1216.9657,
1550.146,1207.7709,
1547.235,1177.4837,
1544.325,1170.5728,
1541.414,1141.5758,
1538.504,1123.9279,
1535.593,1159.4504,
1532.683,1190.1879,
1529.772,1174.6942,
1526.861,1148.8512,
1523.951,1160.5091,
1521.040,1155.9446,
1518.130,1165.3982,
1515.219,1182.121,
1512.309,1149,
1509.398,1141.2663,
1506.487,1113,
1503.577,1110.6487,
1500.666,1094.6496,
1497.756,1075.9237,
1494.845,1076.1606,
1491.934,1103.9402,
1489.024,1085.6528,
1486.113,983.93351,
1483.203,993.76335,
1480.292,962.05954,
1477.382,982.67219,
1474.471,970.5829,
1471.560,945.40702,
1468.650,911.35233,
1465.739,930.38402,
1462.829,952.17772,
1459.918,951.68505,
1457.008,919.04577,
1454.097,909.8728,
1451.186,920.52418,
1448.276,895.62061,
1445.365,873.03397,
1442.455,858.55967,
1439.544,878.24342,
1436.633,880.23238,
1433.723,845.77188,
1430.812,800.31955,
1427.902,865.78231,
1424.991,814.60314,
1422.081,792.8155,
1419.170,810.00933,
1416.259,820.29057,
1413.349,847.6782,
1410.438,849.0022,
1407.528,852.43742,
1404.617,833.102,
1401.707,796.33232,
1398.796,766.67136,
1395.885,750.2795,
1392.975,724.1033,
1390.064,670.99023,
1387.154,612.56857,
1384.243,525.20434,
1381.332,464.86526,
1378.422,514.85,
1375.511,570.12007,
1372.601,716.60811,
1369.690,716.14166,
1366.780,800.33183,
1363.869,800.47921,
1360.958,826.99146,
1358.048,847.37325,
1355.137,894.20883,
1352.227,924.01954,
1349.316,932.38559,
1346.406,966,
1343.495,990.41471,
1340.584,1066.3213,
1337.674,1076.1424,
1334.763,1070.0938,
1331.853,1098.838,
1328.942,1117.7893,
1326.032,1168.9372,
1323.121,1169.6265,
1320.210,1163.3363,
1317.300,1222.7939,
1314.389,1286.5838,
1311.479,1246.7092,
1308.568,1187.3187,
1305.657,1216.9095,
1302.747,1217.8964,
1299.836,1260.0025,
1296.926,1312.7774,
1294.015,1372.5334,
1291.105,1426.0714,
1288.194,1480.9246,
1285.283,1563.1683,
1282.373,1560.6251,
1279.462,1564.9604,
1276.552,1601.5828,
1273.641,1613.1302,
1270.731,1595.8239,
1267.820,1585.9369,
1264.909,1562.9894,
1261.999,1590.6352,
1259.088,1553.2382,
1256.178,1578.4066,
1253.267,1525.4603,
1250.356,1526.9631,
1247.446,1510.7707,
1244.535,1488.0447,
1241.625,1472.9074,
1238.714,1456.1318,
1235.804,1447.4127,
1232.893,1428.5039,
1229.982,1410.632,
1227.072,1399.7683,
1224.161,1330.0787,
1221.251,1292.4312,
1218.340,1263.27,
1215.430,1243.742,
1212.519,1233.3779,
1209.608,1233.6069,
1206.698,1244.2979,
1203.787,1255.3618,
1200.877,1278.8886,
1197.966,1277.0902,
1195.055,1360.6184,
1192.145,1405.0537,
1189.234,1460.4155,
1186.324,1512.8209,
1183.413,1559.4061,
1180.503,1565.3921,
1177.592,1523.4142,
1174.681,1536.3527,
1171.771,1525.3091,
1168.860,1538.7054,
1165.950,1546.4503,
1163.039,1507.4926,
1160.129,1497.0783,
1157.218,1499.1156,
1154.307,1488.5795,
1151.397,1472.3505,
1148.486,1466.6456,
1145.576,1492.7687,
1142.665,1487.4412,
1139.754,1482.1182,
1136.844,1480.2997,
1133.933,1491.7301,
1131.023,1476.3952,
1128.112,1448.2145,
1125.202,1448.1401,
1122.291,1453.4879,
1119.380,1422.0693,
1116.470,1429.1295,
1113.559,1396.7503,
1110.649,1368.6643,
1107.738,1367.5731,
1104.828,1377.9127,
1101.917,1385.5504,
1099.006,1386.6394,
1096.096,1353.8814,
1093.185,1384.6115,
1090.275,1425.0357,
1087.364,1435.3722,
1084.453,1457.9361,
1081.543,1494.7199,
1078.632,1507.7776,
1075.722,1485.3254,
1072.811,1504.1862,
1069.901,1506.8059,
1066.990,1477.9001,
1064.079,1477.1246,
1061.169,1467.8494,
1058.258,1435.5553,
1055.348,1418.5221,
1052.437,1453.7878,
1049.527,1467.4294,
1046.616,1452.6593,
1043.705,1476.4352,
1040.795,1489.108,
1037.884,1469.7475,
1034.974,1457.683,
1032.063,1471.6155,
1029.153,1465.2463,
1026.242,1475.6258,
1023.331,1453.5014,
1020.421,1445.5145,
1017.510,1469.2124,
1014.600,1481.8102,
1011.689,1486.8237,
1008.778,1524.2932,
1005.868,1526.6409,
1002.957,1598.0503,
1000.047,1642.488,
997.136,1669.6831,
994.226,1679.1077,
991.315,1658.5149,
988.404,1610.9195,
985.494,1594.7123,
982.583,1581.864,
979.673,1558.0506,
976.762,1534.7353,
973.852,1545.2165,
970.941,1566.3688,
968.030,1553.1503,
965.120,1553.932,
962.209,1537.7337,
959.299,1553.4145,
956.388,1558.7601,
953.477,1559.0551,
950.567,1563.83,
947.656,1572.0081,
944.746,1594.9461,
941.835,1600.0491,
938.925,1604.2903,
936.014,1625.7272,
933.103,1640.4098,
930.193,1635.7954,
927.282,1649.9001,
924.372,1629.6056,
921.461,1600.4896,
918.551,1585.1907,
915.640,1570.8014,
912.729,1548.1442,
909.819,1528.1146,
906.908,1559.2843,
903.998,1541.9113,
901.087,1515.9953,
898.176,1530.7229,
895.266,1561.2696,
892.355,1564.4712,
889.445,1566.989,
886.534,1554.4769,
883.624,1565.4566,
880.713,1583.7382,
877.802,1605.0744,
874.892,1615.7269,
871.981,1578.0333,
869.071,1537.0981,
866.160,1552.7687,
863.250,1566.1452,
860.339,1582.961,
857.428,1599.5824,
854.518,1563.663,
851.607,1552.014,
848.697,1562.3807,
845.786,1548.7983,
842.875,1537.991,
839.965,1554.9516,
837.054,1573.214,
834.144,1592.2753,
831.233,1625.3312,
828.323,1630.1086,
825.412,1603.5799,
822.501,1570.1915,
819.591,1576.8027,
816.680,1559.3718,
813.770,1576.3011,
810.859,1593.5124,
807.949,1585.2194,
805.038,1548.104,
802.127,1540.6958,
799.217,1544.4723,
796.306,1510.243,
793.396,1502.0765,
790.485,1532,
787.574,1533.3389,
784.664,1568.6037,
781.753,1594.4585,
778.843,1604.9802,
775.932,1606,
773.022,1601.1817,
770.111,1570.1137,
767.200,1561.1482,
764.290,1574.6027,
761.379,1564.7312,
758.469,1531.3722,
755.558,1527.5412,
752.648,1478.665,
749.737,1450.0691,
746.826,1390.5806,
743.916,1285.4149,
741.005,1130.7461,
738.095,871.75741,
735.184,534.95445,
732.274,472.9523,
729.363,696.46015,
726.452,1085.378,
723.542,1386.4724,
720.631,1470.2794,
717.721,1484.6987,
714.810,1514.6418,
711.899,1565.3564,
