,PL1442~1,
Raman shift [1/cm],Intensity,
2234.132,2197.1347,
2231.221,2220.9293,
2228.311,2238.3131,
2225.400,2237.1978,
2222.490,2285.4744,
2219.579,2292.4302,
2216.669,2306.7653,
2213.758,2328.5704,
2210.847,2372.2074,
2207.937,2388.6307,
2205.026,2393.9855,
2202.116,2423.7232,
2199.205,2465.6496,
2196.294,2494.6689,
2193.384,2547.8211,
2190.473,2615.2119,
2187.563,2645.3197,
2184.652,2757.8101,
2181.742,2904.8331,
2178.831,3022.241,
2175.920,3178.8842,
2173.010,3351.2832,
2170.099,3580.6533,
2167.189,3862.6761,
2164.278,4142.3956,
2161.368,4388.4381,
2158.457,4681.8796,
2155.546,4997.5493,
2152.636,5204.0662,
2149.725,5407.6534,
2146.815,5616.8019,
2143.904,5720.4028,
2140.993,5784.383,
2138.083,5785.6409,
2135.172,5760.7738,
2132.262,5673.4445,
2129.351,5556.9882,
2126.441,5359.0104,
2123.530,5123.9455,
2120.619,4827.7573,
2117.709,4534.028,
2114.798,4253.8467,
2111.888,3940.105,
2108.977,3700.2723,
2106.067,3489.8838,
2103.156,3301.7022,
2100.245,3121.8223,
2097.335,3030.1682,
2094.424,2955.2057,
2091.514,2880.8587,
2088.603,2824.4466,
2085.692,2800.15,
2082.782,2769.1202,
2079.871,2734.1597,
2076.961,2723.327,
2074.050,2691.6992,
2071.140,2696.6115,
2068.229,2630.5274,
2065.318,2616.2335,
2062.408,2610.1019,
2059.497,2585.2559,
2056.587,2632.0718,
2053.676,2583.646,
2050.766,2567.875,
2047.855,2554.2452,
2044.944,2559.9584,
2042.034,2523.6439,
2039.123,2547.7942,
2036.213,2550.0462,
2033.302,2557.9838,
2030.391,2559.0274,
2027.481,2543.2776,
2024.570,2554.5745,
2021.660,2551.2889,
2018.749,2583.8248,
2015.839,2600.8802,
2012.928,2554.0361,
2010.017,2561.5102,
2007.107,2579.4077,
2004.196,2595.5894,
2001.286,2588.6206,
1998.375,2568.3543,
1995.465,2549.4232,
1992.554,2574.5512,
1989.643,2534.4649,
1986.733,2534.8583,
1983.822,2523.3639,
1980.912,2549.4383,
1978.001,2516.7303,
1975.090,2554.0399,
1972.180,2537.4641,
1969.269,2523.5561,
1966.359,2524.9019,
1963.448,2525.9107,
1960.538,2563.7699,
1957.627,2570.9834,
1954.716,2524.2539,
1951.806,2508.3221,
1948.895,2522.1037,
1945.985,2549.2966,
1943.074,2517.2772,
1940.164,2509.1344,
1937.253,2488.7359,
1934.342,2487.3536,
1931.432,2518.9349,
1928.521,2475.6885,
1925.611,2448.9658,
1922.700,2486.1153,
1919.790,2461.2858,
1916.879,2510.7598,
1913.968,2503.8885,
1911.058,2454.7549,
1908.147,2532.6939,
1905.237,2512.1766,
1902.326,2544.515,
1899.415,2478.6421,
1896.505,2497.5922,
1893.594,2514.1676,
1890.684,2497.5938,
1887.773,2536.2021,
1884.863,2545.0481,
1881.952,2553.3374,
1879.041,2515.5115,
1876.131,2484.773,
1873.220,2529.6894,
1870.310,2517.3818,
1867.399,2542.4432,
1864.489,2446.64,
1861.578,2516.6496,
1858.667,2537.2492,
1855.757,2558.4693,
1852.846,2561.1058,
1849.936,2543.5267,
1847.025,2558.51,
1844.114,2623.3362,
1841.204,2626.6967,
1838.293,2601.3925,
1835.383,2626.944,
1832.472,2633.1533,
1829.562,2627.0958,
1826.651,2631.5074,
1823.740,2668.0015,
1820.830,2651.0086,
1817.919,2645.1325,
1815.009,2652.7249,
1812.098,2654.7726,
1809.188,2726.1617,
1806.277,2694.6939,
1803.366,2735.1097,
1800.456,2691.9634,
1797.545,2728.7969,
1794.635,2738.004,
1791.724,2742.506,
1788.813,2754.4668,
1785.903,2735.6753,
1782.992,2758.1433,
1780.082,2765.5028,
1777.171,2785.5442,
1774.261,2772.9746,
1771.350,2770.0968,
1768.439,2832.3868,
1765.529,2857.5139,
1762.618,2879.1894,
1759.708,2864.9509,
1756.797,2844.7992,
1753.887,2851.773,
1750.976,2876.1544,
1748.065,2895.0194,
1745.155,2929.5328,
1742.244,2944.8886,
1739.334,2928.8115,
1736.423,2948.7236,
1733.512,2975.8832,
1730.602,2990.1032,
1727.691,3025.1167,
1724.781,3117.4655,
1721.870,3103.6605,
1718.960,3098.1639,
1716.049,3133.273,
1713.138,3124.4851,
1710.228,3155.8166,
1707.317,3159.9904,
1704.407,3194.9125,
1701.496,3304.6145,
1698.586,3244.6522,
1695.675,3283.789,
1692.764,3249.9528,
1689.854,3305.2766,
1686.943,3348.4585,
1684.033,3453.2424,
1681.122,3400.8266,
1678.211,3483.0755,
1675.301,3619.4557,
1672.390,3591.0156,
1669.480,3638.7895,
1666.569,3753.5128,
1663.659,3881.8386,
1660.748,3942.2274,
1657.837,4064.2151,
1654.927,4168.219,
1652.016,4144.9572,
1649.106,4309.3646,
1646.195,4331.0569,
1643.285,4421.8119,
1640.374,4508.2617,
1637.463,4668.172,
1634.553,4741.4611,
1631.642,4915.0694,
1628.732,5025.6467,
1625.821,5322.9908,
1622.911,5498.8776,
1620.000,5742.7757,
1617.089,6061.467,
1614.179,6411.8918,
1611.268,6727.0896,
1608.358,6969.5438,
1605.447,7246.7629,
1602.536,7370.042,
1599.626,7465.2686,
1596.715,7442.9242,
1593.805,7455.0786,
1590.894,7436.6196,
1587.984,7390.5704,
1585.073,7280.9262,
1582.162,7329.6659,
1579.252,7264.3181,
1576.341,7189.9995,
1573.431,7188.4058,
1570.520,7130.7248,
1567.610,7136.4636,
1564.699,7049.1711,
1561.788,7018.5087,
1558.878,6923.2399,
1555.967,6774.1506,
1553.057,6708.1165,
1550.146,6632.0461,
1547.235,6500.326,
1544.325,6390.2393,
1541.414,6264.8457,
1538.504,6143.6328,
1535.593,6084.7807,
1532.683,6018.801,
1529.772,5907.6946,
1526.861,5842.496,
1523.951,5793.8305,
1521.040,5670.3308,
1518.130,5590.7377,
1515.219,5559.0345,
1512.309,5535.483,
1509.398,5419.7419,
1506.487,5432.6074,
1503.577,5419.3804,
1500.666,5366.921,
1497.756,5296.7904,
1494.845,5302.7122,
1491.934,5178.8467,
1489.024,5170.1842,
1486.113,5157.8212,
1483.203,5135.559,
1480.292,5092.1464,
1477.382,5021.8316,
1474.471,4967.7387,
1471.560,4921.7687,
1468.650,4871.2949,
1465.739,4836.5818,
1462.829,4808.3737,
1459.918,4818.5271,
1457.008,4876.9832,
1454.097,4851.1729,
1451.186,4772.1323,
1448.276,4802.2961,
1445.365,4868.6617,
1442.455,4863.1092,
1439.544,4816.0993,
1436.633,4813.9038,
1433.723,4796.0117,
1430.812,4762.0778,
1427.902,4677.1005,
1424.991,4686.5781,
1422.081,4594.2098,
1419.170,4624.7577,
1416.259,4659.2272,
1413.349,4633.3996,
1410.438,4564.7933,
1407.528,4584.9369,
1404.617,4615.7463,
1401.707,4648.4918,
1398.796,4679.0673,
1395.885,4705.1311,
1392.975,4732.8125,
1390.064,4728.5205,
1387.154,4719.8374,
1384.243,4700.5629,
1381.332,4678.8934,
1378.422,4869.9131,
1375.511,4987.0107,
1372.601,5062.6006,
1369.690,5197.4584,
1366.780,5293.3263,
1363.869,5398.5993,
1360.958,5442.7589,
1358.048,5534.3119,
1355.137,5639.6609,
1352.227,5713.9013,
1349.316,5816.0318,
1346.406,5965.0911,
1343.495,6085.0649,
1340.584,6147.2314,
1337.674,6198.7342,
1334.763,6235.9208,
1331.853,6368.5148,
1328.942,6429.0218,
1326.032,6535.3807,
1323.121,6634.1943,
1320.210,6686.18,
1317.300,6757.308,
1314.389,6888.3212,
1311.479,6989.1661,
1308.568,7051.2596,
1305.657,7144.0134,
1302.747,7218.6079,
1299.836,7364.5681,
1296.926,7548.6944,
1294.015,7716.9306,
1291.105,7904.3861,
1288.194,8078.2399,
1285.283,8234.7315,
1282.373,8450.2025,
1279.462,8534.6988,
1276.552,8583.8044,
1273.641,8685.1415,
1270.731,8731.1123,
1267.820,8732.1173,
1264.909,8790.5006,
1261.999,8731.9484,
1259.088,8596.9545,
1256.178,8498.0906,
1253.267,8324.0655,
1250.356,8179.705,
1247.446,7939.0816,
1244.535,7701.7771,
1241.625,7478.3605,
1238.714,7247.5003,
1235.804,7091.2782,
1232.893,6933.0091,
1229.982,6885.9875,
1227.072,6712.1676,
1224.161,6546.9033,
1221.251,6462.0368,
1218.340,6376.1504,
1215.430,6294.7311,
1212.519,6223.918,
1209.608,6183.2294,
1206.698,6183.3643,
1203.787,6180.6288,
1200.877,6177.7755,
1197.966,6240.7166,
1195.055,6365.0363,
1192.145,6494.8198,
1189.234,6658.6871,
1186.324,6798.2454,
1183.413,6877.1897,
1180.503,6884.6632,
1177.592,6838.8849,
1174.681,6789.9093,
1171.771,6676.8254,
1168.860,6544.6482,
1165.950,6506.0737,
1163.039,6437.7172,
1160.129,6343.6315,
1157.218,6299.2787,
1154.307,6270.7089,
1151.397,6191.8071,
1148.486,6109.1833,
1145.576,6056.6756,
1142.665,5982.9788,
1139.754,5955.7207,
1136.844,5870.3402,
1133.933,5787.7815,
1131.023,5724.6051,
1128.112,5717.2285,
1125.202,5754.4209,
1122.291,5733.0138,
1119.380,5768.9616,
