,PL9A1E~1,
Raman shift [1/cm],Intensity,
2190.473,1497.9777,
2187.563,1544.1437,
2184.652,1532.1904,
2181.742,1591.7959,
2178.831,1631.9077,
2175.920,1717.7145,
2173.010,1806.8044,
2170.099,1890.6429,
2167.189,1997.6303,
2164.278,2066.6842,
2161.368,2205.6733,
2158.457,2353.6473,
2155.546,2477.3222,
2152.636,2578.2392,
2149.725,2642.3573,
2146.815,2740.1801,
2143.904,2823.4545,
2140.993,2835.6468,
2138.083,2846.8153,
2135.172,2866.6786,
2132.262,2862.1065,
2129.351,2860.2914,
2126.441,2780.9682,
2123.530,2662.0378,
2120.619,2532.6821,
2117.709,2354.5974,
2114.798,2214.5688,
2111.888,2101.4399,
2108.977,1959.336,
2106.067,1870.0895,
2103.156,1783.464,
2100.245,1691.2237,
2097.335,1643.8312,
2094.424,1610.9518,
2091.514,1605.0777,
2088.603,1557.1993,
2085.692,1535.1981,
2082.782,1513.5954,
2079.871,1507.1427,
2076.961,1510.9271,
2074.050,1526.9712,
2071.140,1484.3418,
2068.229,1491.7122,
2065.318,1482.6328,
2062.408,1474.3862,
2059.497,1470.6607,
2056.587,1448.7155,
2053.676,1466.8316,
2050.766,1481.5572,
2047.855,1429.8196,
2044.944,1449.117,
2042.034,1443.984,
2039.123,1436.0311,
2036.213,1441.9433,
2033.302,1441.7716,
2030.391,1467.8596,
2027.481,1474.7866,
2024.570,1475.7785,
2021.660,1457.4326,
2018.749,1468.8321,
2015.839,1461.6129,
2012.928,1483.0201,
2010.017,1481.2761,
2007.107,1480.5061,
2004.196,1477.6428,
2001.286,1463.5822,
1998.375,1444.7244,
1995.465,1453.4089,
1992.554,1453.7441,
1989.643,1445.5265,
1986.733,1443.0728,
1983.822,1425.7766,
1980.912,1444.0616,
1978.001,1437.3261,
1975.090,1431.5065,
1972.180,1408.2846,
1969.269,1424.2328,
1966.359,1442.4393,
1963.448,1460.5908,
1960.538,1447.5853,
1957.627,1465.541,
1954.716,1457.566,
1951.806,1386.8958,
1948.895,1403.7135,
1945.985,1441.8072,
1943.074,1472.0913,
1940.164,1459.3074,
1937.253,1438.276,
1934.342,1441.7115,
1931.432,1438.9819,
1928.521,1418.8199,
1925.611,1400.0423,
1922.700,1412.2873,
1919.790,1445.5329,
1916.879,1463.2735,
1913.968,1425.298,
1911.058,1445.3161,
1908.147,1437.6149,
1905.237,1397.9266,
1902.326,1443.3626,
1899.415,1376.3451,
1896.505,1393.2263,
1893.594,1430.9817,
1890.684,1419.6683,
1887.773,1423.0257,
1884.863,1406.2022,
1881.952,1434.7046,
1879.041,1437.8767,
1876.131,1430.8069,
1873.220,1419.7898,
1870.310,1431.2455,
1867.399,1408.6338,
1864.489,1451.4322,
1861.578,1429.2886,
1858.667,1409.0764,
1855.757,1413.4099,
1852.846,1447.4449,
1849.936,1438.2249,
1847.025,1478.9021,
1844.114,1468.3206,
1841.204,1476.3269,
1838.293,1473.7342,
1835.383,1475.599,
1832.472,1487.6343,
1829.562,1497.6948,
1826.651,1495.5662,
1823.740,1491.6101,
1820.830,1504.9115,
1817.919,1500.2919,
1815.009,1484.5503,
1812.098,1474.1713,
1809.188,1516.3972,
1806.277,1508.4935,
1803.366,1524.1335,
1800.456,1520.1627,
1797.545,1565.3637,
1794.635,1516.992,
1791.724,1527.1333,
1788.813,1584.4464,
1785.903,1575.8294,
1782.992,1586.1278,
1780.082,1590.3462,
1777.171,1579.2452,
1774.261,1562.345,
1771.350,1570.1863,
1768.439,1588.613,
1765.529,1608.0695,
1762.618,1616.25,
1759.708,1631.5762,
1756.797,1620.9697,
1753.887,1623.508,
1750.976,1670.5537,
1748.065,1667.5157,
1745.155,1642.392,
1742.244,1661.4112,
1739.334,1653.7088,
1736.423,1679.5771,
1733.512,1676.7865,
1730.602,1678.4782,
1727.691,1682.0177,
1724.781,1719.2191,
1721.870,1729.25,
1718.960,1769.5394,
1716.049,1778.25,
1713.138,1801.3349,
1710.228,1796.547,
1707.317,1803.2111,
1704.407,1853.6618,
1701.496,1814.5842,
1698.586,1864.7651,
1695.675,1845.8573,
1692.764,1859.3975,
1689.854,1887.0374,
1686.943,1886.3175,
1684.033,1890.1507,
1681.122,1915.8082,
1678.211,1969.7361,
1675.301,2044.0218,
1672.390,2040.3816,
1669.480,2084.988,
1666.569,2176.4531,
1663.659,2192.1847,
1660.748,2190.2553,
1657.837,2293.0373,
1654.927,2329.0232,
1652.016,2361.3472,
1649.106,2367.3064,
1646.195,2449.0342,
1643.285,2442.2096,
1640.374,2529.0723,
1637.463,2661.5202,
1634.553,2677.58,
1631.642,2767.857,
1628.732,2914.8307,
1625.821,3012.4005,
1622.911,3240.9539,
1620.000,3420.9696,
1617.089,3609.4689,
1614.179,3784.2866,
1611.268,4058.8402,
1608.358,4178.8653,
1605.447,4287.9651,
1602.536,4347.3676,
1599.626,4389.8872,
1596.715,4385.0816,
1593.805,4315.3864,
1590.894,4257.0518,
1587.984,4332.5287,
1585.073,4251.6602,
1582.162,4261.9664,
1579.252,4225.5166,
1576.341,4202.6319,
1573.431,4167.1399,
1570.520,4118.5024,
1567.610,4076.4456,
1564.699,4098.8763,
1561.788,4038.7155,
1558.878,3951.5807,
1555.967,3854.5589,
1553.057,3806.1294,
1550.146,3726.7338,
1547.235,3641.6981,
1544.325,3580.3181,
1541.414,3477.5619,
1538.504,3433.3159,
1535.593,3422.0875,
1532.683,3361.227,
1529.772,3299.3567,
1526.861,3260.4453,
1523.951,3201.851,
1521.040,3111.7588,
1518.130,3122.3805,
1515.219,3124.1296,
1512.309,3127.3581,
1509.398,3079.2198,
1506.487,3043.2181,
1503.577,3065.4364,
1500.666,2984.8023,
1497.756,2977.2834,
1494.845,2928.8898,
1491.934,2920.0894,
1489.024,2871.0022,
1486.113,2862.7595,
1483.203,2855.1447,
1480.292,2754.9742,
1477.382,2739.6747,
1474.471,2727.2046,
1471.560,2662.294,
1468.650,2660.4315,
1465.739,2645.2709,
1462.829,2650.3482,
1459.918,2644.4653,
1457.008,2647.5272,
1454.097,2668.0229,
1451.186,2656.279,
1448.276,2630.8224,
1445.365,2632.8945,
1442.455,2652.1567,
1439.544,2638.0329,
1436.633,2601.6969,
1433.723,2608.3897,
1430.812,2576.6881,
1427.902,2606.3255,
1424.991,2567.4672,
1422.081,2497.4392,
1419.170,2499.8906,
1416.259,2489.9091,
1413.349,2520.4806,
1410.438,2503.2588,
1407.528,2502.1936,
1404.617,2539.9549,
1401.707,2539.9925,
1398.796,2503.257,
1395.885,2536.7504,
1392.975,2590.3533,
1390.064,2569.0256,
1387.154,2596.3987,
1384.243,2539.937,
1381.332,2485.0832,
1378.422,2601.0805,
1375.511,2694.7586,
1372.601,2804.9953,
1369.690,2863.9689,
1366.780,2820.7677,
1363.869,2917.6745,
1360.958,3009.4264,
1358.048,3055.4226,
1355.137,3135.4862,
1352.227,3235.0542,
1349.316,3282.25,
1346.406,3313.8619,
1343.495,3379.7552,
1340.584,3387.5706,
1337.674,3444.786,
1334.763,3452.9549,
1331.853,3550.3142,
1328.942,3548.0238,
1326.032,3594.556,
1323.121,3654.1537,
1320.210,3728.5192,
1317.300,3742.4942,
1314.389,3774.9036,
1311.479,3859.3759,
1308.568,3958.2754,
1305.657,4048.7027,
1302.747,4103.4143,
1299.836,4177.8693,
1296.926,4285.6256,
1294.015,4358.2522,
1291.105,4502.1367,
1288.194,4622.6904,
1285.283,4773.5505,
1282.373,4889.6951,
1279.462,4962.8376,
1276.552,5014.943,
1273.641,5079.831,
1270.731,5131.547,
1267.820,5093.5005,
1264.909,5031.689,
1261.999,4994.1793,
1259.088,5074.446,
