,PL275E~1,
Raman shift [1/cm],Intensity,
3014.167,0.375,
3011.256,-1.0250859,
3008.346,236.22449,
3005.435,268.72129,
3002.525,265.41247,
2999.614,289.12827,
2996.704,297.56057,
2993.793,315.76498,
2990.882,311.15359,
2987.972,325.30437,
2985.061,321.12871,
2982.151,343.94308,
2979.240,375.25999,
2976.329,371.63456,
2973.419,381.66717,
2970.508,385.52501,
2967.598,407.27942,
2964.687,414.92663,
2961.777,409.97313,
2958.866,440.37797,
2955.955,434.8573,
2953.045,444.55845,
2950.134,473.2701,
2947.224,492.80203,
2944.313,501.53241,
2941.403,505.6729,
2938.492,526.51321,
2935.581,529.30505,
2932.671,543.97587,
2929.760,548.375,
2926.850,558.80019,
2923.939,550.24879,
2921.028,567.52202,
2918.118,580.17601,
2915.207,592.4953,
2912.297,591.39193,
2909.386,592.55749,
2906.476,591.82443,
2903.565,590.95574,
2900.654,596.10401,
2897.744,580.48815,
2894.833,586.48846,
2891.923,572.6442,
2889.012,592.91835,
2886.102,580.73041,
2883.191,576.375,
2880.280,551.68121,
2877.370,543.07263,
2874.459,537.14847,
2871.549,564.9019,
2868.638,621.42241,
2865.727,609.22112,
2862.817,623.83222,
2859.906,626.17272,
2856.996,628.89085,
2854.085,612.17119,
2851.175,626.44431,
2848.264,633.35566,
2845.353,613.02201,
2842.443,631.9931,
2839.532,620.25557,
2836.622,596.31315,
2833.711,587.74548,
2830.801,576.38235,
2827.890,590.0201,
2824.979,590.22697,
2822.069,620.97698,
2819.158,593.97609,
2816.248,602.63947,
2813.337,625.65306,
2810.427,608.67665,
2807.516,608.32469,
2804.605,614.55769,
2801.695,610.24342,
2798.784,612.15323,
2795.874,607.24045,
2792.963,610.9467,
2790.052,587.38143,
2787.142,610.98015,
2784.231,606.47126,
2781.321,600.62068,
2778.410,596.01458,
2775.500,605.375,
2772.589,604.83677,
2769.678,619.51488,
2766.768,631.56335,
2763.857,618.06094,
2760.947,632.375,
2758.036,632.375,
2755.126,624.60791,
2752.215,647.41602,
2749.304,644.90739,
2746.394,643.72573,
2743.483,653.07506,
2740.573,640.48783,
2737.662,654.25814,
2734.751,653.72446,
2731.841,640.32005,
2728.930,662.59957,
2726.020,656.70139,
2723.109,668.22008,
2720.199,660.375,
2717.288,656.02463,
2714.377,660.21238,
2711.467,674.34204,
2708.556,684.46005,
2705.646,690.60036,
2702.735,690.558,
2699.825,701.97316,
2696.914,682.80316,
2694.003,686.98964,
2691.093,681.6963,
2688.182,701.28611,
2685.272,677.72919,
2682.361,698.49836,
2679.450,702.1281,
2676.540,694.35468,
2673.629,699.34806,
2670.719,707.52102,
2667.808,694.90999,
2664.898,700.20573,
2661.987,714.04145,
2659.076,718.46766,
2656.166,728.45717,
2653.255,737.26785,
2650.345,756.95214,
2647.434,717.17552,
2644.524,734.83063,
2641.613,746.08965,
2638.702,746.46969,
2635.792,735.43582,
2632.881,743.75603,
2629.971,737.75753,
2627.060,741.37313,
2624.149,755.91563,
2621.239,776.4165,
2618.328,748.54455,
2615.418,753.70227,
2612.507,765.68327,
2609.597,757.75224,
2606.686,754.375,
2603.775,757.73611,
2600.865,786.60375,
2597.954,787.61457,
2595.044,791.71424,
2592.133,797.71265,
2589.223,806.8329,
2586.312,802.76693,
2583.401,808.53921,
2580.491,810.08651,
2577.580,821.38655,
2574.670,819.79615,
2571.759,799.57705,
2568.848,809.60709,
2565.938,814.23194,
2563.027,829.66598,
2560.117,806.19742,
2557.206,831.49677,
2554.296,833.63587,
2551.385,843.68094,
2548.474,841.30102,
2545.564,846.28003,
2542.653,842.7542,
2539.743,839.35035,
2536.832,849.68155,
2533.922,857.35923,
2531.011,858.02486,
2528.100,865.04051,
2525.190,876.07131,
2522.279,867.04671,
2519.369,865.80863,
2516.458,878.375,
2513.548,871.90236,
2510.637,864.42021,
2507.726,877.25232,
2504.816,885.56441,
2501.905,860.04207,
2498.995,887.07641,
2496.084,883.60149,
2493.173,872.55877,
2490.263,894.88014,
2487.352,911.29153,
2484.442,908.52061,
2481.531,905.84841,
2478.621,900.76835,
2475.710,935.24465,
2472.799,916.15529,
2469.889,914.70742,
2466.978,906.66379,
2464.068,912.8671,
2461.157,938.10258,
2458.247,909.02188,
2455.336,906.84078,
2452.425,944.90333,
2449.515,927.31888,
2446.604,952.95792,
2443.694,954.97942,
2440.783,960.09122,
2437.872,969.08328,
2434.962,965.84043,
2432.051,966.67108,
2429.141,960.06904,
2426.230,951.15729,
2423.320,987.48953,
2420.409,980.77878,
2417.498,977.99859,
2414.588,1003.4395,
2411.677,990.02045,
2408.767,1005.3514,
2405.856,1012.5083,
2402.946,998.62433,
2400.035,1006.9525,
2397.124,1011.4178,
2394.214,1040.7798,
2391.303,1025.1928,
2388.393,1037.2774,
2385.482,1042.4631,
2382.571,1054.5395,
2379.661,1062.4446,
2376.750,1066.2716,
2373.840,1064.2969,
2370.929,1035.6999,
2368.019,1050.9643,
2365.108,1080.6996,
2362.197,1077.2352,
2359.287,1089.9299,
2356.376,1079.4032,
2353.466,1086.738,
2350.555,1093.2149,
2347.645,1086.5988,
2344.734,1094.8312,
2341.823,1109.176,
2338.913,1106.9078,
2336.002,1114.9372,
2333.092,1114.8005,
2330.181,1147.3621,
2327.270,1119.7402,
2324.360,1111.1721,
2321.449,1151.0348,
2318.539,1130.3964,
2315.628,1151.6008,
2312.718,1134.7604,
2309.807,1183.1207,
2306.896,1148.8476,
2303.986,1143.5958,
2301.075,1156.5452,
2298.165,1155.5864,
2295.254,1185.6856,
2292.344,1158.1136,
2289.433,1163.8036,
2286.522,1184.7813,
2283.612,1190.3457,
2280.701,1195.2405,
2277.791,1201.1746,
2274.880,1196.161,
2271.969,1205.8194,
2269.059,1217.3477,
2266.148,1224.3182,
2263.238,1244.568,
2260.327,1271.2717,
2257.417,1276.0211,
2254.506,1256.4206,
2251.595,1252.6696,
2248.685,1277.046,
2245.774,1254.1338,
2242.864,1257.8388,
2239.953,1290.1889,
2237.043,1274.6993,
2234.132,1275.6347,
2231.221,1302.2717,
2228.311,1298.1972,
2225.400,1317.2343,
2222.490,1319.2449,
