,PL2F1D~1,
Raman shift [1/cm],Intensity,
2175.920,1236.8871,
2173.010,1267.6253,
2170.099,1302.7961,
2167.189,1361.818,
2164.278,1476.9075,
2161.368,1505.4265,
2158.457,1574.8412,
2155.546,1645.877,
2152.636,1744.3775,
2149.725,1821.604,
2146.815,1863.8655,
2143.904,1932.7955,
2140.993,1933.8729,
2138.083,1970.8116,
2135.172,1992.7817,
2132.262,1988.3319,
2129.351,1980.5725,
2126.441,1951.3106,
2123.530,1861.4725,
2120.619,1804.8169,
2117.709,1717.0044,
2114.798,1632.519,
2111.888,1544.0152,
2108.977,1460.5695,
2106.067,1411.1146,
2103.156,1341.9309,
2100.245,1293.9937,
2097.335,1280.8691,
2094.424,1253.9311,
2091.514,1241.3575,
2088.603,1251.9677,
2085.692,1242.3124,
2082.782,1237.8955,
2079.871,1225.5706,
2076.961,1228.548,
2074.050,1190.0182,
2071.140,1212.7354,
2068.229,1224.2787,
2065.318,1200.9245,
2062.408,1187.3109,
2059.497,1203.6071,
2056.587,1194.6513,
2053.676,1192.4499,
2050.766,1187.4619,
2047.855,1140.5948,
2044.944,1198.1923,
2042.034,1210.9421,
2039.123,1180.2391,
2036.213,1174.0956,
2033.302,1176.3696,
2030.391,1191.7453,
2027.481,1189.8416,
2024.570,1182.6287,
2021.660,1223.3983,
2018.749,1181.0637,
2015.839,1203.561,
2012.928,1173.1611,
2010.017,1176.0901,
2007.107,1188.3009,
2004.196,1189.75,
2001.286,1209.0636,
1998.375,1203.8661,
1995.465,1211.5857,
1992.554,1171.1768,
1989.643,1162.1037,
1986.733,1167.9465,
1983.822,1173.3479,
1980.912,1202.2071,
1978.001,1175.5844,
1975.090,1192.7893,
1972.180,1181.0705,
1969.269,1165.1322,
1966.359,1157.5675,
1963.448,1143.5033,
1960.538,1156.2302,
1957.627,1169.8081,
1954.716,1165.1724,
1951.806,1166.5032,
1948.895,1157.2551,
1945.985,1156.549,
1943.074,1148.1218,
1940.164,1157.0482,
1937.253,1132.2747,
1934.342,1101.6412,
1931.432,1123.1956,
1928.521,1119.2073,
1925.611,1140.227,
1922.700,1117.5511,
1919.790,1115.8901,
1916.879,1141.1865,
1913.968,1122.0258,
1911.058,1134.9159,
1908.147,1153.232,
1905.237,1101.7574,
1902.326,1127.9007,
1899.415,1133.0476,
1896.505,1119.1686,
1893.594,1128.3507,
1890.684,1159.1634,
1887.773,1122.4148,
1884.863,1129.631,
1881.952,1135.6552,
1879.041,1135.0519,
1876.131,1118.2693,
1873.220,1169.7878,
1870.310,1101.8835,
1867.399,1115.6801,
1864.489,1164.7663,
1861.578,1158.9066,
1858.667,1159.0269,
1855.757,1166.1957,
1852.846,1168.4872,
1849.936,1161,
1847.025,1179.6983,
1844.114,1213.1953,
1841.204,1191.2518,
1838.293,1158.5125,
1835.383,1179.9645,
1832.472,1183.2435,
1829.562,1161.3344,
1826.651,1202.8131,
1823.740,1213.0804,
1820.830,1255.2996,
1817.919,1190.8199,
1815.009,1149.0254,
1812.098,1231.1732,
1809.188,1238.1861,
1806.277,1250.7123,
1803.366,1215.1996,
1800.456,1227,
1797.545,1225.4327,
1794.635,1220.1912,
1791.724,1281.5729,
1788.813,1237.792,
1785.903,1235.9805,
1782.992,1297.8554,
1780.082,1263.8076,
1777.171,1273.0027,
1774.261,1291.0302,
1771.350,1293.5232,
1768.439,1289.6189,
1765.529,1298.9074,
1762.618,1290.4156,
1759.708,1296.0652,
1756.797,1286.0909,
1753.887,1306.0277,
1750.976,1311.7206,
1748.065,1314.361,
1745.155,1326.5548,
1742.244,1358.4583,
1739.334,1329.4941,
1736.423,1321.0112,
1733.512,1348.557,
1730.602,1364.4802,
1727.691,1367.7677,
1724.781,1418.3409,
1721.870,1433.6095,
1718.960,1409.333,
1716.049,1407.3559,
1713.138,1443.0548,
1710.228,1418.5396,
1707.317,1425.4994,
1704.407,1471.9199,
1701.496,1461.5037,
1698.586,1448.9122,
1695.675,1476.0713,
1692.764,1461.9057,
1689.854,1454.3031,
1686.943,1483.9545,
1684.033,1510.3543,
1681.122,1510.017,
1678.211,1510.9905,
1675.301,1535.9229,
1672.390,1604.1017,
1669.480,1637.6551,
1666.569,1596.3839,
1663.659,1704.6043,
1660.748,1740.8265,
1657.837,1732.3937,
1654.927,1750.5154,
1652.016,1772.1215,
1649.106,1777.5141,
1646.195,1798.8631,
1643.285,1834.6836,
1640.374,1865.9233,
1637.463,1956.7206,
1634.553,1996.6354,
1631.642,2040.1184,
1628.732,2142.634,
1625.821,2249.0864,
1622.911,2380.2562,
1620.000,2486.6519,
1617.089,2602.6716,
1614.179,2758.5442,
1611.268,2940.1593,
1608.358,3072.8194,
1605.447,3247.7728,
1602.536,3338.1423,
1599.626,3357.799,
1596.715,3285.4843,
1593.805,3302.147,
1590.894,3290.9093,
1587.984,3237.9006,
1585.073,3137.261,
1582.162,3092.6139,
1579.252,3084.5451,
1576.341,3109.634,
1573.431,3083.8899,
1570.520,3052.8331,
1567.610,3005.019,
1564.699,3004.7756,
1561.788,2945.2119,
1558.878,2894.7861,
1555.967,2817.9335,
1553.057,2748.2762,
1550.146,2721.24,
1547.235,2662.0996,
1544.325,2613.8204,
1541.414,2566.5758,
1538.504,2539.1656,
1535.593,2510.916,
1532.683,2455.7054,
1529.772,2417.044,
1526.861,2369.4463,
1523.951,2338.1999,
1521.040,2344.4634,
1518.130,2319.7176,
1515.219,2301.1997,
1512.309,2297.8783,
1509.398,2257.5779,
1506.487,2281.4874,
1503.577,2336.1255,
1500.666,2267.4038,
1497.756,2217.9655,
1494.845,2155.4792,
1491.934,2119.0976,
1489.024,2148.9349,
1486.113,2135.1646,
1483.203,2122.4538,
1480.292,2126.9396,
1477.382,2024.5442,
1474.471,2037.6016,
1471.560,2042.469,
1468.650,1995.5872,
1465.739,2012.7889,
1462.829,1992.8196,
1459.918,1970.5249,
1457.008,2005.9696,
1454.097,1990.2464,
1451.186,1958.2089,
1448.276,1984.6793,
1445.365,1969.9984,
1442.455,1951,
1439.544,1958.852,
1436.633,1989.8451,
1433.723,2001.5196,
1430.812,1951.3454,
1427.902,1892.9098,
1424.991,1889.1188,
1422.081,1900.9272,
1419.170,1868.3016,
1416.259,1886.4918,
1413.349,1879.9161,
1410.438,1839.6115,
1407.528,1837.5186,
1404.617,1840.303,
1401.707,1855.018,
1398.796,1894.1293,
1395.885,1910.9054,
1392.975,1891.9789,
1390.064,1896.3041,
1387.154,1923.6536,
1384.243,1896.7938,
1381.332,1915.996,
1378.422,1926.85,
1375.511,1982.1201,
1372.601,2072.3923,
1369.690,2043.9967,
1366.780,2130.6681,
1363.869,2205.8534,
1360.958,2296.3034,
1358.048,2365.0388,
1355.137,2422.2208,
1352.227,2441.1895,
1349.316,2455.551,
1346.406,2518.6042,
1343.495,2583.8956,
1340.584,2684.7135,
1337.674,2732.7136,
1334.763,2724.8228,
1331.853,2799.0013,
1328.942,2782.4318,
1326.032,2849.3278,
1323.121,2927.241,
1320.210,2957.657,
