,PL9BEC~1,
Raman shift [1/cm],Intensity,
2196.294,535.19502,
2193.384,561.30805,
2190.473,593.50059,
2187.563,585.6395,
2184.652,591.63724,
2181.742,613.64835,
2178.831,611.5549,
2175.920,612.2771,
2173.010,640.12613,
2170.099,642.15873,
2167.189,656.47431,
2164.278,636.65214,
2161.368,646.05316,
2158.457,669.02832,
2155.546,679.65575,
2152.636,676.10903,
2149.725,704.25585,
2146.815,688.35912,
2143.904,693.53576,
2140.993,716.59858,
2138.083,703.70708,
2135.172,708.54103,
2132.262,715.4956,
2129.351,703.8077,
2126.441,705.04249,
2123.530,703.15359,
2120.619,662.03783,
2117.709,656.187,
2114.798,627.57494,
2111.888,603.7382,
2108.977,577.81705,
2106.067,551.1488,
2103.156,538.46615,
2100.245,529.64257,
2097.335,548.71402,
2094.424,496.31052,
2091.514,535.55241,
2088.603,528.87848,
2085.692,505.30169,
2082.782,513.12287,
2079.871,522.44647,
2076.961,538.52718,
2074.050,513.01288,
2071.140,519.65956,
2068.229,518.97916,
2065.318,520.67349,
2062.408,512.01153,
2059.497,521.42857,
2056.587,514.8228,
2053.676,520.60778,
2050.766,493.08838,
2047.855,500.25477,
2044.944,487.49199,
2042.034,492.54994,
2039.123,507.88426,
2036.213,505.48947,
2033.302,504.55989,
2030.391,497.98095,
2027.481,511.01512,
2024.570,513.0965,
2021.660,484.39888,
2018.749,498.46079,
2015.839,517.06922,
2012.928,506.60151,
2010.017,516.88558,
2007.107,488.25115,
2004.196,491.9822,
2001.286,504.81228,
1998.375,501.5374,
1995.465,476.24018,
1992.554,503.80706,
1989.643,471.93842,
1986.733,466.0329,
1983.822,500.02013,
1980.912,448.30822,
1978.001,458.4636,
1975.090,472.43721,
1972.180,457.00534,
1969.269,468.83485,
1966.359,483.38171,
1963.448,477.97242,
1960.538,449.03367,
1957.627,455.10798,
1954.716,470.22282,
1951.806,422.82371,
1948.895,427.5177,
1945.985,438.11847,
1943.074,458.42938,
1940.164,463.84611,
1937.253,449.86436,
1934.342,444.702,
1931.432,430.53351,
1928.521,430.50929,
1925.611,436.02114,
1922.700,414.83909,
1919.790,432.01781,
1916.879,424.46199,
1913.968,441.60287,
1911.058,373.76917,
1908.147,451.59135,
1905.237,402.15447,
1902.326,424.53911,
1899.415,396.35551,
1896.505,412.61274,
1893.594,385.07927,
1890.684,400.08242,
1887.773,414.78014,
1884.863,403.50655,
1881.952,416.8523,
1879.041,418.81659,
1876.131,397.07991,
1873.220,386.52321,
1870.310,390.26625,
1867.399,405.3851,
1864.489,417.58606,
1861.578,419.33358,
1858.667,442.54418,
1855.757,419.04505,
1852.846,404.41472,
1849.936,414.32372,
1847.025,401.26488,
1844.114,419.94495,
1841.204,410.45017,
1838.293,422.62666,
1835.383,427.63649,
1832.472,451.00935,
1829.562,439.98932,
1826.651,436.19788,
1823.740,403.49849,
1820.830,421.26307,
1817.919,455.05629,
1815.009,466.61864,
1812.098,441.59352,
1809.188,448.00482,
1806.277,467.20449,
1803.366,405.74145,
1800.456,415.92243,
1797.545,467.00117,
1794.635,416.14007,
1791.724,446.625,
1788.813,453.03323,
1785.903,470.1832,
1782.992,437.79637,
1780.082,417.69596,
1777.171,412.6309,
1774.261,441.56014,
1771.350,458.374,
1768.439,464.77382,
1765.529,454.53238,
1762.618,478.89319,
1759.708,494.14651,
1756.797,477.46591,
1753.887,482.18914,
1750.976,490.29057,
1748.065,488.86617,
