,PLCF6D~1,
Raman shift [1/cm],Intensity,
2193.384,1482.6375,
2190.473,1479.5792,
2187.563,1489.9137,
2184.652,1507.3636,
2181.742,1572.3992,
2178.831,1618.342,
2175.920,1640.7092,
2173.010,1688.4538,
2170.099,1779.6667,
2167.189,1877.7791,
2164.278,2012.4127,
2161.368,2096.1573,
2158.457,2214.3212,
2155.546,2344.4626,
2152.636,2476.7046,
2149.725,2581.781,
2146.815,2673.2055,
2143.904,2711.7039,
2140.993,2809.5784,
2138.083,2893.9449,
2135.172,2876.4212,
2132.262,2845.8398,
2129.351,2847.4889,
2126.441,2798.0981,
2123.530,2707.3598,
2120.619,2558.6004,
2117.709,2436.5062,
2114.798,2323.2515,
2111.888,2185.5408,
2108.977,2046.4842,
2106.067,1940.3794,
2103.156,1884.5614,
2100.245,1823.8286,
2097.335,1749.0321,
2094.424,1735.2158,
2091.514,1695.5012,
2088.603,1668.8243,
2085.692,1642.0945,
2082.782,1625.7023,
2079.871,1607.9812,
2076.961,1616.9709,
2074.050,1588.8932,
2071.140,1607.7487,
2068.229,1596.7044,
2065.318,1571.0097,
2062.408,1568.6178,
2059.497,1582.869,
2056.587,1570.2356,
2053.676,1525.0442,
2050.766,1569.4101,
2047.855,1497.8116,
2044.944,1563.0769,
2042.034,1548.6321,
2039.123,1518.875,
2036.213,1528.1617,
2033.302,1545.8532,
2030.391,1532.1975,
2027.481,1550.8869,
2024.570,1536.4328,
2021.660,1560.1011,
2018.749,1532.3431,
2015.839,1526.4078,
2012.928,1572.3465,
2010.017,1562.9011,
2007.107,1560.0376,
2004.196,1572.1846,
2001.286,1569.1648,
1998.375,1536.6073,
1995.465,1529.2348,
1992.554,1533.3809,
1989.643,1548.3565,
1986.733,1524.3197,
1983.822,1547.9001,
1980.912,1529.2705,
1978.001,1510.6375,
1975.090,1528.0399,
1972.180,1539.4614,
1969.269,1519.3261,
1966.359,1516.2535,
1963.448,1515.3004,
1960.538,1525.8592,
1957.627,1477.1598,
1954.716,1503.8983,
1951.806,1537.702,
1948.895,1464.2514,
1945.985,1513.594,
1943.074,1529.1445,
1940.164,1509.7403,
1937.253,1488.658,
1934.342,1467.8921,
1931.432,1476.8024,
1928.521,1470.1859,
1925.611,1476.8489,
1922.700,1458.9233,
1919.790,1452.0137,
1916.879,1446.2935,
1913.968,1479.8332,
1911.058,1454.0462,
1908.147,1494.2253,
1905.237,1468.8383,
1902.326,1489.1387,
1899.415,1491.8433,
1896.505,1491.5677,
1893.594,1488.9634,
1890.684,1468.0582,
1887.773,1451.3834,
1884.863,1469.6313,
1881.952,1485.2449,
1879.041,1497.9529,
1876.131,1474.8149,
1873.220,1475.8485,
1870.310,1449.9558,
1867.399,1438.0349,
1864.489,1443.8486,
1861.578,1469.8364,
1858.667,1484.6205,
1855.757,1459.0779,
1852.846,1463.4134,
1849.936,1491.0141,
1847.025,1517.6925,
1844.114,1520.7337,
1841.204,1499.3086,
1838.293,1522.3659,
1835.383,1561.758,
1832.472,1556.0715,
1829.562,1536.069,
1826.651,1577.5341,
1823.740,1551.4688,
1820.830,1564.1981,
1817.919,1522.3837,
1815.009,1514.2999,
1812.098,1585.7883,
1809.188,1580.7432,
1806.277,1607.2553,
1803.366,1561.7086,
1800.456,1556.1067,
1797.545,1628.5984,
1794.635,1625.746,
1791.724,1620.4187,
1788.813,1605.685,
1785.903,1642.5029,
1782.992,1654.9733,
1780.082,1639.4775,
1777.171,1630.8696,
1774.261,1636.0605,
1771.350,1676.709,
1768.439,1679.5356,
1765.529,1679.4185,
1762.618,1680.4025,
1759.708,1699.4729,
1756.797,1720.0114,
1753.887,1709.0528,
1750.976,1692.2336,
1748.065,1692.0317,
1745.155,1678.7396,
1742.244,1706.9682,
1739.334,1720.7668,
1736.423,1742.8974,
1733.512,1737.5945,
1730.602,1754.3155,
1727.691,1793.3491,
1724.781,1826.4723,
1721.870,1838.5084,
1718.960,1839.0528,
1716.049,1821.2565,
1713.138,1796.5001,
1710.228,1818.9839,
1707.317,1806.9527,
1704.407,1898.3083,
1701.496,1861.4745,
1698.586,1910.4661,
1695.675,1876.5109,
1692.764,1941.0922,
1689.854,1930.5246,
1686.943,1925.0436,
1684.033,1966.807,
1681.122,1964.926,
1678.211,1997.5609,
1675.301,2006.8472,
1672.390,2079.1711,
1669.480,2177.2573,
1666.569,2102.4747,
1663.659,2227.708,
1660.748,2277.7015,
1657.837,2269.9466,
1654.927,2320.1945,
1652.016,2417.0208,
1649.106,2422.826,
1646.195,2421.8341,
1643.285,2463.3587,
1640.374,2570.5649,
1637.463,2604.064,
1634.553,2669.8356,
1631.642,2735.2431,
1628.732,2860.4853,
1625.821,2962.9849,
1622.911,3129.9283,
1620.000,3319.4686,
1617.089,3443.4073,
1614.179,3724.7813,
1611.268,3936.9933,
1608.358,4117.4,
1605.447,4283.3334,
1602.536,4414.0203,
1599.626,4391.5973,
1596.715,4394.3206,
1593.805,4427.0709,
1590.894,4407.0969,
1587.984,4361.4365,
1585.073,4336.157,
1582.162,4296.14,
1579.252,4256.143,
1576.341,4213.6282,
1573.431,4170.4153,
1570.520,4153.2312,
1567.610,4162.7968,
1564.699,4078.4214,
1561.788,3999.805,
1558.878,3946.7368,
1555.967,3870.7545,
1553.057,3783.7376,
1550.146,3756.1768,
1547.235,3638.4484,
1544.325,3569.0133,
1541.414,3579.875,
1538.504,3508.9703,
1535.593,3442.8488,
1532.683,3427.3368,
1529.772,3372.9443,
1526.861,3291.8724,
1523.951,3218.6299,
1521.040,3166.4316,
1518.130,3136.4329,
1515.219,3128.6758,
1512.309,3093.1858,
1509.398,3068.1488,
1506.487,3054.859,
1503.577,3067.2908,
1500.666,3030.5099,
1497.756,2992.3661,
1494.845,2949.875,
1491.934,2949.664,
1489.024,2885.177,
1486.113,2834.6598,
1483.203,2813.1116,
1480.292,2765.0554,
1477.382,2764.1492,
1474.471,2736.7146,
1471.560,2706.8307,
1468.650,2695.4586,
1465.739,2696.437,
1462.829,2686.5355,
1459.918,2662.3003,
1457.008,2686.9524,
1454.097,2690.5996,
1451.186,2655.6177,
1448.276,2667.8854,
1445.365,2666.6941,
1442.455,2634.5019,
1439.544,2625.7915,
1436.633,2644.6138,
1433.723,2681.7624,
1430.812,2648.2943,
1427.902,2590.3338,
