,PL12AC~1,
Wavenumbers [1/cm],Intensity,
2216.669,2067.938,
2213.758,2094.6981,
2210.847,2084.267,
2207.937,2110.697,
2205.026,2152.0012,
2202.116,2124.7197,
2199.205,2157.3861,
2196.294,2195.116,
2193.384,2193.053,
2190.473,2251.6326,
2187.563,2246.3528,
2184.652,2324.2714,
2181.742,2372.6159,
2178.831,2436.7861,
2175.920,2490.561,
2173.010,2602.3571,
2170.099,2720.1905,
2167.189,2894.6458,
2164.278,3013.6402,
2161.368,3232.2801,
2158.457,3437.8089,
2155.546,3665.3886,
2152.636,3865.7603,
2149.725,4007.7113,
2146.815,4248.3251,
2143.904,4382.3419,
2140.993,4498.4337,
2138.083,4571.8965,
2135.172,4665.5886,
2132.262,4671.1884,
2129.351,4636.6931,
2126.441,4519.1453,
2123.530,4405.497,
2120.619,4158.1663,
2117.709,3938.3172,
2114.798,3722.1338,
2111.888,3499.8423,
2108.977,3268.2118,
2106.067,3078.2098,
2103.156,2906.3852,
2100.245,2737.9599,
2097.335,2661.9581,
2094.424,2566.1015,
2091.514,2519.1907,
2088.603,2451.9955,
2085.692,2413.316,
2082.782,2391.7431,
2079.871,2357.07,
2076.961,2301.4226,
2074.050,2346.2182,
2071.140,2281.1717,
2068.229,2324.918,
2065.318,2302.1347,
2062.408,2269.7042,
2059.497,2251.1905,
2056.587,2258.6394,
2053.676,2278.5157,
2050.766,2222.9268,
2047.855,2238.2595,
2044.944,2213,
2042.034,2217.7399,
2039.123,2245.2424,
2036.213,2246.4466,
2033.302,2249.5213,
2030.391,2234.7808,
2027.481,2240.268,
2024.570,2257.5855,
2021.660,2279.6992,
2018.749,2256.1777,
2015.839,2281.292,
2012.928,2249.8507,
2010.017,2259.3105,
2007.107,2276.9514,
2004.196,2257.8809,
2001.286,2265.689,
1998.375,2235.7273,
1995.465,2223.7196,
1992.554,2198.7061,
1989.643,2202.7235,
1986.733,2216.4281,
1983.822,2222.7304,
1980.912,2213.8613,
1978.001,2208.7458,
1975.090,2206.7969,
1972.180,2197.863,
1969.269,2206.8133,
1966.359,2210.3242,
1963.448,2186.4676,
1960.538,2227.8791,
1957.627,2186.3931,
1954.716,2222.736,
1951.806,2195.9071,
1948.895,2178.6983,
1945.985,2194.6046,
1943.074,2157.4391,
1940.164,2171.6542,
1937.253,2172.0223,
1934.342,2129.9572,
1931.432,2113.4543,
1928.521,2146.5613,
1925.611,2139.4484,
1922.700,2112.9627,
1919.790,2102.1099,
1916.879,2102.8605,
1913.968,2111.9889,
1911.058,2157.2913,
1908.147,2125.3767,
1905.237,2150.919,
1902.326,2089.9555,
1899.415,2081.9731,
1896.505,2033.2107,
1893.594,2039.805,
1890.684,2093.8822,
1887.773,2113.0691,
1884.863,2112.4647,
1881.952,2124.7649,
