,PLAA27~1,
Raman shift [1/cm],Intensity,
2170.099,1170.3314,
2167.189,1251.1722,
2164.278,1284.5377,
2161.368,1359.1405,
2158.457,1426.0632,
2155.546,1478.3472,
2152.636,1534.5371,
2149.725,1594.1073,
2146.815,1631.0323,
2143.904,1691.6171,
2140.993,1730.9048,
2138.083,1737.1306,
2135.172,1781.8153,
2132.262,1755.1813,
2129.351,1714.6723,
2126.441,1687.1456,
2123.530,1630.8439,
2120.619,1519.3674,
2117.709,1434.2134,
2114.798,1335.4766,
2111.888,1264.9136,
2108.977,1207.6689,
2106.067,1160.6984,
2103.156,1115.9268,
2100.245,1069.9799,
2097.335,1034.7487,
2094.424,1019.1379,
2091.514,1023.5482,
2088.603,991.64513,
2085.692,989.54281,
2082.782,963.20896,
2079.871,973.89381,
2076.961,976.12916,
2074.050,969.70909,
2071.140,956.43738,
2068.229,922.17056,
2065.318,933.32075,
2062.408,937.86383,
2059.497,951.20834,
2056.587,929.88411,
2053.676,932.24925,
2050.766,946.99925,
2047.855,893.17087,
2044.944,902.1923,
2042.034,928.68794,
2039.123,935.09764,
2036.213,913.7689,
2033.302,919.80429,
2030.391,946.82986,
2027.481,960,
2024.570,945.67181,
2021.660,936.4139,
2018.749,948.73407,
2015.839,943.74869,
2012.928,950.17282,
2010.017,938.54506,
2007.107,945.90654,
2004.196,968.59533,
2001.286,954.93293,
1998.375,928.60827,
1995.465,936.65268,
1992.554,914.45904,
1989.643,899.41476,
1986.733,930.1807,
1983.822,897.85894,
1980.912,898.36645,
1978.001,899.23747,
1975.090,894.18779,
1972.180,916.37763,
1969.269,938.96266,
1966.359,930.32417,
1963.448,910.85072,
1960.538,894.63886,
1957.627,898.24149,
1954.716,899.97127,
1951.806,917.24839,
1948.895,917.79156,
1945.985,899.21242,
1943.074,929.74553,
1940.164,909.55777,
1937.253,908.25234,
1934.342,898,
1931.432,910.70032,
1928.521,901.81692,
1925.611,884.07151,
1922.700,899.99447,
1919.790,902.41621,
