,PL28C2~1,
Wavenumbers [1/cm],Intensity,
2175.920,928.10452,
2173.010,973.7021,
2170.099,1035.0025,
2167.189,1089.4419,
2164.278,1167.5815,
2161.368,1190.1578,
2158.457,1266.9728,
2155.546,1353.902,
2152.636,1428.5664,
2149.725,1495.4656,
2146.815,1560.0397,
2143.904,1579.5032,
2140.993,1650.4358,
2138.083,1674.5588,
2135.172,1695.9254,
2132.262,1711.7808,
2129.351,1714.3025,
2126.441,1641.9622,
2123.530,1598.8985,
2120.619,1504.2056,
2117.709,1424.8247,
2114.798,1327.6824,
2111.888,1236.1896,
2108.977,1147.2789,
2106.067,1096.3318,
2103.156,1037.7244,
2100.245,970.86873,
2097.335,958.70746,
2094.424,934.97647,
2091.514,894.50121,
2088.603,862.12848,
2085.692,859.2393,
2082.782,855.92724,
2079.871,864.55411,
2076.961,838.81234,
2074.050,881.19015,
2071.140,812.25404,
2068.229,826.60938,
2065.318,811.75099,
2062.408,802.36744,
2059.497,805.88096,
2056.587,806.45642,
2053.676,791.99252,
2050.766,816.56558,
2047.855,790.56173,
2044.944,780.67307,
2042.034,792.27393,
2039.123,805.05345,
2036.213,782.79941,
2033.302,795.6138,
2030.391,786.18084,
2027.481,788.72849,
2024.570,791.50366,
2021.660,806.8698,
2018.749,787.4951,
2015.839,774.91568,
2012.928,764.15017,
2010.017,778.56446,
2007.107,760.08623,
2004.196,781.0655,
2001.286,791.29196,
1998.375,773.39074,
1995.465,729.47768,
1992.554,736.5278,
1989.643,763.97634,
1986.733,751.90834,
1983.822,786.18224,
1980.912,761.98279,
1978.001,711.73956,
1975.090,704.47653,
1972.180,703.875,
1969.269,726.51875,
1966.359,725.7126,
1963.448,704.91727,
1960.538,720.35123,
1957.627,705.25889,
1954.716,707.73137,
1951.806,715.68916,
1948.895,678.84861,
1945.985,705.7263,
1943.074,686.28815,
1940.164,710.36544,
1937.253,683.0235,
1934.342,657.01189,
1931.432,658.44282,
1928.521,675.14961,
1925.611,676.90111,
1922.700,646.54904,
1919.790,619.20471,
1916.879,609.36325,
1913.968,678.78893,
1911.058,666.63775,
1908.147,628.04878,
1905.237,660.38226,
1902.326,608.73128,
1899.415,611.47254,
1896.505,582.57385,
1893.594,590.32927,
1890.684,598.62005,
1887.773,601.25443,
1884.863,620.19846,
1881.952,653.1023,
