,PL7EB6~1,
Wavenumbers [1/cm],Intensity,
2175.920,988.0353,
2173.010,1027.2276,
2170.099,1092.7356,
2167.189,1143.4132,
2164.278,1223.5976,
2161.368,1287.4427,
2158.457,1367.6876,
2155.546,1427.8116,
2152.636,1512.6834,
2149.725,1579.1434,
2146.815,1662.339,
2143.904,1731.7746,
2140.993,1735.0654,
2138.083,1756.5345,
2135.172,1784.749,
2132.262,1797.3715,
2129.351,1767.9335,
2126.441,1716.4671,
2123.530,1656.6516,
2120.619,1542.1322,
2117.709,1478.2526,
2114.798,1395.344,
2111.888,1311.1896,
2108.977,1228.0008,
2106.067,1171.2312,
2103.156,1110.6042,
2100.245,1041.8562,
2097.335,1006.4562,
2094.424,971.18329,
2091.514,968.42862,
2088.603,925.11008,
2085.692,909.28393,
2082.782,908.875,
2079.871,899.01736,
2076.961,891.26247,
2074.050,913.03258,
2071.140,877.67953,
2068.229,882.14713,
2065.318,877.13374,
2062.408,870.82961,
2059.497,864.25594,
2056.587,869.93294,
2053.676,869.15868,
2050.766,876.18217,
2047.855,837.70413,
2044.944,832.54006,
2042.034,847.77688,
2039.123,862.13089,
2036.213,832.9306,
2033.302,858.28787,
2030.391,850.48564,
2027.481,825.25319,
2024.570,843.47438,
2021.660,859.16545,
2018.749,850.53309,
2015.839,841.60597,
2012.928,838.03607,
2010.017,840.96513,
2007.107,858.61892,
2004.196,854.31547,
2001.286,834.9563,
1998.375,823.875,
1995.465,780.61161,
1992.554,819.70986,
1989.643,786.32668,
1986.733,810.62412,
1983.822,814.56481,
1980.912,768.12336,
1978.001,790.96033,
1975.090,770.45363,
1972.180,779.35771,
1969.269,778.74281,
1966.359,779.17231,
1963.448,743.34923,
1960.538,781.81162,
1957.627,763.55919,
1954.716,756.96118,
1951.806,720.42146,
1948.895,734.95591,
1945.985,759.40278,
1943.074,744.47281,
1940.164,733.0479,
1937.253,703.37968,
1934.342,697.49906,
1931.432,706.10213,
1928.521,742.78692,
1925.611,726.6741,
1922.700,711.08356,
1919.790,657.47676,
1916.879,672.13126,
1913.968,705.83565,
1911.058,676.6768,
1908.147,679.32176,
1905.237,695.61752,
1902.326,634.22459,
1899.415,666.09693,
1896.505,632.39301,
1893.594,630.68905,
1890.684,650.75074,
1887.773,656.09928,
1884.863,648.68593,
1881.952,684.53963,
1879.041,649.43366,
1876.131,685.80962,
1873.220,669.1094,
1870.310,652.80776,
1867.399,659.74705,
1864.489,652.35485,
1861.578,689.90239,
1858.667,697.381,
1855.757,681.87858,
1852.846,679.63397,
1849.936,676.10824,
1847.025,671.39809,
1844.114,697.05852,
1841.204,695.13024,
1838.293,713.84839,
1835.383,703.64303,
1832.472,683.65413,
1829.562,712.9823,
1826.651,707.6779,
1823.740,718.25818,
1820.830,723.56002,
1817.919,693.55745,
1815.009,714.27449,
1812.098,737.72538,
1809.188,699.54176,
1806.277,721.3217,
1803.366,709.45727,
1800.456,742.83081,
1797.545,724.13745,
1794.635,719.58404,
1791.724,741.50602,
1788.813,753.06626,
1785.903,724.23354,
1782.992,702.24306,
1780.082,640.90809,
1777.171,594.53666,
1774.261,610.91571,
1771.350,690.07951,
1768.439,740.43135,
1765.529,770.42037,
1762.618,759.72936,
1759.708,765.22299,
1756.797,770.6553,
1753.887,759.61844,
1750.976,753.74738,
1748.065,763.77822,
1745.155,743.13327,
1742.244,723.56432,
1739.334,788.97616,
1736.423,785.96103,
1733.512,815.53366,
1730.602,825.89086,
1727.691,800.07752,
1724.781,795.23473,
1721.870,789.43687,
1718.960,796.09732,
1716.049,801.2309,
1713.138,832.65485,
1710.228,837.0047,
1707.317,839.52871,
1704.407,811.12629,
1701.496,846.16001,
1698.586,863.73477,
1695.675,859.26075,
1692.764,897.69059,
1689.854,853.95371,
1686.943,865.40284,
1684.033,952.66457,
1681.122,896.87755,
1678.211,948.37058,
1675.301,955.85342,
1672.390,972.85406,
1669.480,966.10764,
1666.569,995.14161,
1663.659,1016.1527,
1660.748,1033.2028,
1657.837,1049.8531,
1654.927,1050.3042,
1652.016,1111.3815,
1649.106,1171.1161,
1646.195,1142.5054,
1643.285,1208.7839,
1640.374,1205.5649,
1637.463,1239.7485,
1634.553,1342.1262,
1631.642,1359.9825,
1628.732,1461.6868,
1625.821,1597.93,
1622.911,1681.4016,
1620.000,1858.6198,
1617.089,1997.1088,
1614.179,2136.8987,
1611.268,2300.7035,
1608.358,2417.4435,
1605.447,2507.7328,
1602.536,2589.2897,
1599.626,2535.9993,
1596.715,2605.2983,
1593.805,2503.7665,
1590.894,2467.0969,
1587.984,2464.7411,
1585.073,2376.3901,
1582.162,2378.4076,
1579.252,2327.0488,
1576.341,2292.4452,
1573.431,2305.6712,
1570.520,2307.8175,
1567.610,2277.0706,
1564.699,2216.1229,
1561.788,2144.7628,
1558.878,2143.3579,
1555.967,2082.8445,
1553.057,2034.1165,
1550.146,1990.6169,
1547.235,1923.6005,
1544.325,1867.4261,
1541.414,1850.5753,
1538.504,1810.7432,
1535.593,1745.5555,
1532.683,1699.5804,
1529.772,1664.8002,
1526.861,1668.1868,
1523.951,1686.4388,
1521.040,1653.4593,
1518.130,1597.0785,
1515.219,1549.9141,
1512.309,1561.7984,
1509.398,1508.816,
1506.487,1519.2691,
1503.577,1479.7316,
1500.666,1454.1281,
1497.756,1483.9084,
1494.845,1435.0746,
1491.934,1415.8152,
1489.024,1397.5278,
1486.113,1344.0237,
1483.203,1303.4601,
1480.292,1244.5703,
1477.382,1214.6688,
1474.471,1173.8082,
1471.560,1184.645,
1468.650,1140.9462,
1465.739,1112.3916,
1462.829,1123.6018,
1459.918,1098.0681,
1457.008,1060.7364,
1454.097,1053.2615,
1451.186,1047.3895,
1448.276,1057.9062,
1445.365,1109.3063,
1442.455,1127.6624,
