,PL93DE~1,
Raman shift [1/cm],Intensity,
2175.920,1167.2527,
2173.010,1191.5771,
2170.099,1240.7456,
2167.189,1284.1016,
2164.278,1338.9128,
2161.368,1391.8908,
2158.457,1458.8967,
2155.546,1509.6885,
2152.636,1560.6807,
2149.725,1617.5285,
2146.815,1637.3496,
2143.904,1659.9619,
2140.993,1697.1308,
2138.083,1728.0327,
2135.172,1731.7668,
2132.262,1732.2535,
2129.351,1712.605,
2126.441,1679.2451,
2123.530,1623.6725,
2120.619,1521.5943,
2117.709,1457.5008,
2114.798,1376.5574,
2111.888,1300.439,
2108.977,1248.4056,
2106.067,1177.5965,
2103.156,1153.471,
2100.245,1087.7506,
2097.335,1082.9699,
2094.424,1031.4154,
2091.514,997.81717,
2088.603,999.7684,
2085.692,1024.5269,
2082.782,976.79052,
2079.871,985.6088,
2076.961,977.78325,
2074.050,989.21667,
2071.140,977.94547,
2068.229,972.9336,
2065.318,978.02226,
2062.408,975.46938,
2059.497,962.55357,
2056.587,963.04071,
2053.676,961.93338,
2050.766,947.90471,
2047.855,930.20567,
2044.944,949.47435,
2042.034,965.45509,
2039.123,945.21128,
2036.213,944.9255,
2033.302,941.24981,
2030.391,940.15709,
2027.481,959.04245,
2024.570,938.25078,
2021.660,943.09958,
2018.749,952.5478,
2015.839,967.77296,
2012.928,945.8641,
2010.017,981.37324,
2007.107,973.02661,
2004.196,945.99996,
2001.286,948.43902,
1998.375,956.75,
1995.465,961.46964,
1992.554,924.18563,
1989.643,940.95503,
1986.733,918.80351,
1983.822,924.82829,
1980.912,948.23454,
1978.001,912.08951,
1975.090,900.30574,
1972.180,917.75,
1969.269,934.16672,
1966.359,918.20909,
1963.448,906.40258,
1960.538,944.26794,
1957.627,926.00075,
1954.716,924.69255,
1951.806,907.34614,
1948.895,920.91798,
1945.985,926.96732,
1943.074,898.63921,
1940.164,909.1249,
1937.253,914.0932,
1934.342,907.54466,
1931.432,884.90457,
1928.521,892.89335,
1925.611,906.8408,
1922.700,885.42404,
1919.790,889.94641,
1916.879,861.98198,
1913.968,862.74631,
1911.058,892.20346,
1908.147,907.03754,
1905.237,874.71327,
1902.326,902.9248,
1899.415,908.36339,
1896.505,870.79215,
1893.594,877.74394,
