,PL28BD~1,
Raman shift [1/cm],Intensity,
2196.294,1615.318,
2193.384,1642.4725,
2190.473,1675.2336,
2187.563,1706.7707,
2184.652,1769.5788,
2181.742,1831.3663,
2178.831,1892.7335,
2175.920,1953.4618,
2173.010,2045.7795,
2170.099,2134.2257,
2167.189,2239.1601,
2164.278,2346.2005,
2161.368,2463.4969,
2158.457,2588.655,
2155.546,2698.5289,
2152.636,2806.2072,
2149.725,2930.8825,
2146.815,3033.5635,
2143.904,3116.3959,
2140.993,3111.156,
2138.083,3126.8647,
2135.172,3134.937,
2132.262,3105.5731,
2129.351,3060.8447,
2126.441,2977.5192,
2123.530,2859.2541,
2120.619,2733.9502,
2117.709,2605.1212,
2114.798,2459.6186,
2111.888,2307.5152,
2108.977,2176.3874,
2106.067,2076.8633,
2103.156,2025.9461,
2100.245,1930.4987,
2097.335,1915.254,
2094.424,1813.2343,
2091.514,1782.5563,
2088.603,1747.5323,
2085.692,1736.5,
2082.782,1750.6365,
2079.871,1744.9994,
2076.961,1732.2104,
2074.050,1709.9182,
2071.140,1702.6836,
2068.229,1718.513,
2065.318,1694.0795,
2062.408,1682.4697,
2059.497,1673.0774,
2056.587,1707.3482,
2053.676,1673.8698,
2050.766,1661.577,
2047.855,1640.2437,
2044.944,1636.8205,
2042.034,1671.737,
2039.123,1672.8401,
2036.213,1668.6355,
2033.302,1667.9347,
2030.391,1679.5846,
2027.481,1679.7805,
2024.570,1681.0285,
2021.660,1691.8496,
2018.749,1695.8419,
2015.839,1704.5,
2012.928,1703.5805,
2010.017,1705.6944,
2007.107,1701.8458,
2004.196,1673.3095,
2001.286,1683.6272,
1998.375,1686.4537,
1995.465,1689.5795,
1992.554,1665.2061,
1989.643,1686.6013,
1986.733,1662.3395,
1983.822,1661.1928,
1980.912,1671.0445,
1978.001,1672.3219,
1975.090,1664.5534,
1972.180,1651.7061,
1969.269,1675.7845,
1966.359,1678.4188,
1963.448,1691.0324,
1960.538,1666.6626,
1957.627,1656.8251,
1954.716,1707.9775,
1951.806,1661.4936,
1948.895,1681.1376,
1945.985,1674.8791,
1943.074,1639.9501,
1940.164,1647.9613,
1937.253,1653.5909,
1934.342,1660.8246,
1931.432,1650.8912,
1928.521,1648.7591,
1925.611,1638.4546,
1922.700,1638.0829,
1919.790,1674.673,
1916.879,1633.9875,
1913.968,1610.5246,
1911.058,1626.8213,
1908.147,1649.6183,
1905.237,1668.1617,
1902.326,1638.4555,
1899.415,1653.7646,
1896.505,1655.0602,
1893.594,1637.1402,
1890.684,1624.3366,
1887.773,1638.5599,
1884.863,1683.115,
1881.952,1676.7852,
1879.041,1641.5358,
1876.131,1624.5418,
1873.220,1643.4204,
1870.310,1627.935,
1867.399,1669.7963,
1864.489,1677.5264,
1861.578,1650.9782,
1858.667,1630.0209,
1855.757,1662.0585,
1852.846,1692.6693,
1849.936,1659.4059,
1847.025,1687.972,
1844.114,1686.3283,
1841.204,1708.8357,
1838.293,1706.5349,
1835.383,1711.1855,
1832.472,1735.4652,
1829.562,1758.5805,
1826.651,1751.3542,
1823.740,1745.4119,
1820.830,1768.1065,
1817.919,1748.44,
1815.009,1730.5127,
1812.098,1773.3819,
1809.188,1746.6086,
1806.277,1788.5041,
1803.366,1799.2005,
1800.456,1780.0711,
1797.545,1757.6205,
1794.635,1776.307,
1791.724,1772.7231,
1788.813,1825.8954,
1785.903,1810.3275,
1782.992,1800.8666,
1780.082,1804.1783,
1777.171,1837.1611,
1774.261,1831.8303,
1771.350,1852.168,
1768.439,1850.1606,
1765.529,1871.8658,
1762.618,1890.3313,
1759.708,1873.0215,
1756.797,1871.9394,
1753.887,1896.2697,
1750.976,1874.9653,
1748.065,1885.3786,
1745.155,1933.5191,
1742.244,1925.3388,
1739.334,1948.1047,
1736.423,1942.5972,
1733.512,1935.6829,
1730.602,1976.8929,
1727.691,2005.0856,
1724.781,1993.7685,
1721.870,1981.4523,
1718.960,1995.9446,
1716.049,2022.9913,
1713.138,2057.4249,
1710.228,2039.002,
1707.317,2054.076,
1704.407,2059.1952,
1701.496,2073.1732,
1698.586,2080.9679,
1695.675,2092.7285,
1692.764,2104.8607,
1689.854,2170.5552,
1686.943,2144.5118,
1684.033,2217.6124,
1681.122,2204.7549,
1678.211,2238.1764,
1675.301,2277.3797,
1672.390,2312.6316,
1669.480,2357.1658,
1666.569,2439.8174,
1663.659,2465.8229,
1660.748,2545.7892,
1657.837,2560.9593,
1654.927,2583.5852,
1652.016,2670.3542,
1649.106,2666.9971,
1646.195,2767.8667,
1643.285,2825.2546,
1640.374,2900.1655,
1637.463,2886.1033,
1634.553,2974.9039,
1631.642,3070.0418,
1628.732,3211.4895,
1625.821,3377.568,
1622.911,3480.9139,
1620.000,3693.7913,
1617.089,3880.7587,
1614.179,4099.2676,
1611.268,4270.1426,
1608.358,4437.5869,
1605.447,4617.1014,
1602.536,4662.9117,
1599.626,4721.6159,
1596.715,4750.0976,
1593.805,4799.0053,
1590.894,4656.5474,
1587.984,4637.3661,
1585.073,4656.218,
1582.162,4589.3696,
1579.252,4566.4987,
1576.341,4575.7149,
1573.431,4529.16,
1570.520,4530.0232,
1567.610,4487.5581,
1564.699,4432.3484,
1561.788,4350.5992,
1558.878,4287.6791,
1555.967,4248.3767,
1553.057,4181.6385,
1550.146,4084.7438,
1547.235,4021.0676,
1544.325,3977.2234,
1541.414,3913.9156,
1538.504,3887.2346,
1535.593,3864.8244,
1532.683,3829.7436,
1529.772,3796.313,
1526.861,3718.2788,
1523.951,3654.4183,
1521.040,3646.9534,
1518.130,3627.1456,
1515.219,3544.3415,
1512.309,3492.7477,
1509.398,3489.6331,
1506.487,3469.5239,
1503.577,3436.9158,
1500.666,3405.3954,
1497.756,3407.0841,
