,PL02EB~1,
Raman shift [1/cm],Intensity,
2199.205,1698.6628,
2196.294,1718.1029,
2193.384,1757.9795,
2190.473,1768.9489,
2187.563,1770.8294,
2184.652,1872.9599,
2181.742,1934.6721,
2178.831,1998.4724,
2175.920,2111.069,
2173.010,2212.4039,
2170.099,2331.0303,
2167.189,2441.1643,
2164.278,2568.1298,
2161.368,2715.941,
2158.457,2875.6685,
2155.546,3004.1597,
2152.636,3132.811,
2149.725,3224.7978,
2146.815,3338.8379,
2143.904,3393.5869,
2140.993,3417.2534,
2138.083,3408.764,
2135.172,3387.1815,
2132.262,3314.0739,
2129.351,3281.0473,
2126.441,3176.6562,
2123.530,3079.7812,
2120.619,2922.9995,
2117.709,2775.8118,
2114.798,2607.0899,
2111.888,2465.1157,
2108.977,2323.8981,
2106.067,2180.7524,
2103.156,2148.375,
2100.245,2085.3323,
2097.335,2011.2336,
2094.424,1957.2797,
2091.514,1919.0792,
2088.603,1905.2229,
2085.692,1885.3231,
2082.782,1833.327,
2079.871,1804.41,
2076.961,1852.8232,
2074.050,1852.4174,
2071.140,1800.8113,
2068.229,1823.7617,
2065.318,1802.2645,
2062.408,1787.2759,
2059.497,1766.9881,
2056.587,1791.2351,
2053.676,1775.6931,
2050.766,1724.224,
2047.855,1761.2358,
2044.944,1729.9567,
2042.034,1776.531,
2039.123,1769.7555,
2036.213,1769.9528,
2033.302,1764.375,
2030.391,1751.494,
2027.481,1759.9968,
2024.570,1774.6462,
2021.660,1796.1333,
2018.749,1792.0208,
2015.839,1802.9944,
2012.928,1763.3179,
2010.017,1758.0623,
2007.107,1776.5133,
2004.196,1761.2083,
2001.286,1777.9403,
1998.375,1788.5039,
1995.465,1780.0821,
1992.554,1760.8457,
1989.643,1759.3404,
1986.733,1758.9101,
1983.822,1766.259,
1980.912,1754.286,
1978.001,1757.6885,
1975.090,1759.9689,
1972.180,1759.4787,
1969.269,1772.2256,
1966.359,1787.6183,
1963.448,1778.4173,
1960.538,1785.7361,
1957.627,1783.0252,
1954.716,1759.0644,
1951.806,1776.0769,
1948.895,1768.0795,
1945.985,1753.8047,
1943.074,1756.2902,
1940.164,1758.6925,
1937.253,1759.7275,
1934.342,1757.0504,
1931.432,1749.0879,
1928.521,1745.9087,
1925.611,1748.8881,
1922.700,1740.0435,
1919.790,1764.2129,
1916.879,1747.9095,
1913.968,1737.3861,
1911.058,1748.2909,
1908.147,1769.6625,
1905.237,1737.5368,
1902.326,1765.2313,
1899.415,1767.9725,
1896.505,1735.9413,
