,PL9C47~1,
Raman shift [1/cm],Intensity,
2190.473,1491.4266,
2187.563,1491.5794,
2184.652,1585.8781,
2181.742,1614.9463,
2178.831,1697.8683,
2175.920,1746.7771,
2173.010,1820.3047,
2170.099,1940.1806,
2167.189,2041.7564,
2164.278,2142.4778,
2161.368,2260.4058,
2158.457,2410.2657,
2155.546,2514.6837,
2152.636,2656.3109,
2149.725,2708.4539,
2146.815,2770.0228,
2143.904,2848.5228,
2140.993,2847.781,
2138.083,2854.736,
2135.172,2839.6292,
2132.262,2829.7368,
2129.351,2768.9971,
2126.441,2673.3772,
2123.530,2611.7108,
2120.619,2470.7495,
2117.709,2326.726,
2114.798,2180.8247,
2111.888,2094.6892,
2108.977,1989.4627,
2106.067,1846.2272,
2103.156,1813.125,
2100.245,1725.1112,
2097.335,1698.9103,
2094.424,1648.7377,
2091.514,1593.203,
2088.603,1587.9868,
2085.692,1578.9911,
2082.782,1558.2657,
2079.871,1570.9476,
2076.961,1544.3206,
2074.050,1531.0098,
2071.140,1508.8032,
2068.229,1502.4987,
2065.318,1506.5833,
2062.408,1510.473,
2059.497,1491.9345,
2056.587,1486.6135,
2053.676,1471.6924,
2050.766,1478.3552,
2047.855,1440.3528,
2044.944,1451.8493,
2042.034,1472.807,
2039.123,1467.9061,
2036.213,1467.1849,
2033.302,1455.3858,
2030.391,1471.6501,
2027.481,1478.3811,
2024.570,1494.1389,
2021.660,1467.958,
2018.749,1481.5809,
2015.839,1492.7215,
2012.928,1490.3549,
2010.017,1482.0349,
2007.107,1469.4054,
2004.196,1492.9703,
2001.286,1493.2275,
1998.375,1475.7746,
1995.465,1470.5518,
1992.554,1457.8545,
1989.643,1464.8139,
1986.733,1472.1618,
1983.822,1456.3946,
1980.912,1456.6095,
1978.001,1437.3959,
1975.090,1461.4853,
1972.180,1467.9535,
1969.269,1462.0877,
1966.359,1464.4763,
1963.448,1465.586,
1960.538,1454.7639,
1957.627,1444.9919,
1954.716,1477.1483,
1951.806,1425.3173,
1948.895,1452.3334,
1945.985,1464.3766,
1943.074,1406.6968,
1940.164,1428.6154,
1937.253,1448.1899,
1934.342,1468.125,
1931.432,1426.5603,
1928.521,1416.2563,
1925.611,1438.6573,
1922.700,1410.6761,
1919.790,1452.9395,
1916.879,1460.1947,
1913.968,1419.1754,
1911.058,1427.5875,
1908.147,1437.7119,
1905.237,1449.8087,
1902.326,1414.6731,
1899.415,1431.9872,
1896.505,1410.2576,
1893.594,1427.8446,
1890.684,1438.478,
1887.773,1441.6334,
1884.863,1451.5897,
1881.952,1433.2002,
1879.041,1423.3685,
1876.131,1437.7838,
1873.220,1409.7443,
1870.310,1419.0487,
1867.399,1427.013,
1864.489,1434.1125,
1861.578,1410.993,
1858.667,1436.3136,
1855.757,1474.5379,
1852.846,1455.0994,
1849.936,1450.101,
1847.025,1469.597,
1844.114,1463.125,
1841.204,1478.0096,
1838.293,1493.13,
1835.383,1507.613,
1832.472,1506.1128,
1829.562,1500.8742,
1826.651,1474.0388,
1823.740,1507.4431,
1820.830,1506.6052,
1817.919,1524.7419,
1815.009,1518.994,
1812.098,1525.2037,
1809.188,1534.5668,
1806.277,1522.4127,
1803.366,1571.0769,
1800.456,1510.9935,
1797.545,1546.6284,
1794.635,1576.8679,
1791.724,1560.3384,
1788.813,1611.9119,
1785.903,1587.3051,
1782.992,1612.7628,
1780.082,1559.8159,
1777.171,1602.7877,
1774.261,1601.9953,
1771.350,1622.1675,
1768.439,1615.6994,
1765.529,1611.488,
1762.618,1639.9776,
1759.708,1640.8964,
1756.797,1617.2689,
1753.887,1642.6133,
1750.976,1617.7971,
1748.065,1631.0635,
1745.155,1659.9572,
1742.244,1625.0454,
1739.334,1675.2803,
1736.423,1693.7007,
1733.512,1701.9502,
1730.602,1716.8492,
1727.691,1700.1658,
1724.781,1731.8807,
1721.870,1725.2249,
1718.960,1745.792,
1716.049,1745.2522,
1713.138,1764.6449,
1710.228,1798.5854,
1707.317,1758.0119,
1704.407,1792.5529,
1701.496,1791.6557,
1698.586,1802.2128,
1695.675,1792.8322,
1692.764,1852.7152,
1689.854,1900.1329,
1686.943,1902.125,
1684.033,1932.3551,
1681.122,1897.7367,
1678.211,1966.4588,
1675.301,1996.0356,
1672.390,2013.2237,
1669.480,2046.7106,
1666.569,2120.0264,
1663.659,2190.6476,
1660.748,2221.373,
1657.837,2185.137,
1654.927,2276.8822,
1652.016,2350.0035,
1649.106,2346.4959,
1646.195,2402.18,
1643.285,2445.9681,
1640.374,2483.0658,
1637.463,2528.422,
1634.553,2600.6915,
1631.642,2705.9828,
1628.732,2785.0375,
1625.821,2938.18,
1622.911,3021.6516,
1620.000,3177.147,
1617.089,3412.3887,
1614.179,3554.1487,
1611.268,3742.024,
1608.358,3887.3357,
1605.447,4030.8404,
1602.536,4132.3137,
1599.626,4176.8422,
1596.715,4233.6735,
1593.805,4189.9367,
1590.894,4104.8647,
1587.984,4082.8658,
1585.073,4024.1203,
1582.162,4084.2554,
1579.252,4021.2047,
1576.341,3939.2389,
1573.431,3941.9212,
1570.520,3909.6705,
1567.610,3935.3805,
1564.699,3913.3236,
1561.788,3862.8014,
1558.878,3747.4416,
1555.967,3681.3051,
1553.057,3621.3669,
1550.146,3566.6996,
1547.235,3552.4863,
1544.325,3506.6203,
1541.414,3452.3031,
1538.504,3387.2862,
1535.593,3327.9521,
1532.683,3327.0693,
1529.772,3311.8005,
1526.861,3246.5713,
1523.951,3213.0885,
1521.040,3192.2936,
1518.130,3120.0384,
1515.219,3075.4462,
1512.309,3029.179,
1509.398,3016.066,
1506.487,3029.0544,
1503.577,3003.9207,
1500.666,2984.9691,
1497.756,2937.9557,
1494.845,2958.9243,
1491.934,2929.9423,
1489.024,2874.1177,
1486.113,2869.3434,
1483.203,2807.8414,
1480.292,2790.7914,
1477.382,2765.6858,
1474.471,2701.8042,
1471.560,2685.5763,
1468.650,2662.2104,
1465.739,2647.9225,
1462.829,2624.6396,
1459.918,2621.1748,
1457.008,2644.8483,
1454.097,2621.6902,
1451.186,2581.036,
1448.276,2602.0976,
1445.365,2640.1266,
1442.455,2664.3181,
1439.544,2657.0368,
1436.633,2593.3881,
1433.723,2633.0124,
1430.812,2596.7367,
1427.902,2504.2603,
1424.991,2509.9469,
1422.081,2497.2803,
1419.170,2503.9015,
1416.259,2497.0244,
1413.349,2451.321,
1410.438,2439.9241,
1407.528,2477.8183,
1404.617,2480.5112,
1401.707,2471.8346,
1398.796,2463.3243,
1395.885,2483.6095,
1392.975,2526.8748,
1390.064,2504.1152,
1387.154,2452.2361,
1384.243,2392.3649,
1381.332,2354.5717,
1378.422,2359.7377,
1375.511,2546.1571,
1372.601,2686.439,
1369.690,2787.2761,
1366.780,2855.1914,
1363.869,2877.8427,
1360.958,2884.4261,
1358.048,2900.9578,
1355.137,3020.993,
1352.227,3098.1641,
1349.316,3121.1174,
1346.406,3220.1575,
1343.495,3285.8097,
1340.584,3343.732,
1337.674,3357.021,
1334.763,3408.5597,
1331.853,3472.5386,
1328.942,3562.2925,
1326.032,3557.6282,
1323.121,3621.5528,
1320.210,3678.421,
1317.300,3726.9975,
1314.389,3765.5698,
1311.479,3778.5037,
1308.568,3805.2971,
1305.657,3888.0636,
1302.747,3967.5841,
1299.836,4002.5158,
1296.926,4101.6715,
1294.015,4177.9754,
1291.105,4258.6127,
1288.194,4383.3453,
