,PLE688~1,
Wavenumbers [1/cm],Intensity,
3014.167,3.25,
3011.256,0.45004295,
3008.346,375.84377,
3005.435,451.25,
3002.525,449.66499,
2999.614,499.34869,
2996.704,489.84278,
2993.793,489.86002,
2990.882,509.15835,
2987.972,537.42657,
2985.061,571.3633,
2982.151,592.26683,
2979.240,580.19962,
2976.329,595.02321,
2973.419,623.60327,
2970.508,660.81659,
2967.598,644.34558,
2964.687,647.68274,
2961.777,650.15599,
2958.866,698.25,
2955.955,708.87388,
2953.045,748.35068,
2950.134,757.49491,
2947.224,762.38875,
2944.313,793.60969,
2941.403,802.50045,
2938.492,824.81368,
2935.581,811.3899,
2932.671,819.20706,
2929.760,835.79236,
2926.850,851.87707,
2923.939,847.28266,
2921.028,870.70881,
2918.118,882.7903,
2915.207,895.25645,
2912.297,881.33886,
2909.386,889.43249,
2906.476,899.17975,
2903.565,870.34629,
2900.654,878.25,
2897.744,888.36315,
2894.833,889.82746,
2891.923,885.7372,
2889.012,848.67774,
2886.102,805.00136,
2883.191,789.26038,
2880.280,661.37435,
2877.370,452.64567,
2874.459,334.37647,
2871.549,572.29102,
2868.638,823.85606,
2865.727,859.59231,
2862.817,906.15237,
2859.906,895.89671,
2856.996,919.27264,
2854.085,913.36975,
2851.175,956.8434,
2848.264,945.3235,
2845.353,947.79709,
2842.443,942.02424,
2839.532,968.13057,
2836.622,977.58138,
2833.711,958.25784,
2830.801,957.34338,
2827.890,941.68882,
2824.979,967.50987,
2822.069,982.09079,
2819.158,977.3713,
2816.248,1004.2037,
2813.337,988.38414,
2810.427,1010.6329,
2807.516,1015.9911,
2804.605,1007.7548,
2801.695,995.34212,
2798.784,1004.8065,
2795.874,1016.6695,
2792.963,1002.1066,
2790.052,978.25236,
2787.142,995.06592,
2784.231,1002.1537,
2781.321,987.6214,
2778.410,984.88958,
2775.500,1000.3769,
2772.589,968.79126,
2769.678,1017.2841,
2766.768,1021.0034,
2763.857,1027.092,
2760.947,1034.3004,
2758.036,1033.7786,
2755.126,1046.1944,
2752.215,1053.4226,
2749.304,1037.7608,
2746.394,1034.002,
2743.483,1043.15,
2740.573,1041.3628,
2737.662,1020.8654,
2734.751,1057.3423,
2731.841,1072.0888,
2728.930,1067.106,
2726.020,1067.3727,
2723.109,1089.5487,
2720.199,1090.8001,
2717.288,1092.3887,
2714.377,1106.8625,
2711.467,1099.6104,
2708.556,1106.6437,
2705.646,1137.2078,
2702.735,1131.9046,
2699.825,1132.4773,
2696.914,1147.6786,
2694.003,1121.0207,
2691.093,1132.9467,
2688.182,1135.1404,
2685.272,1124.6839,
2682.361,1141.6441,
2679.450,1125.2624,
2676.540,1146.311,
2673.629,1147.5908,
2670.719,1154.5273,
2667.808,1133.6118,
2664.898,1183.8735,
2661.987,1166.8832,
2659.076,1174.3427,
2656.166,1151.8991,
2653.255,1191.1429,
2650.345,1196.7146,
2647.434,1220.3357,
2644.524,1213.5281,
2641.613,1213.5932,
2638.702,1234.0133,
2635.792,1223.0007,
2632.881,1236.3033,
2629.971,1223.2029,
2627.060,1237.4178,
2624.149,1231.0062,
2621.239,1214.7115,
2618.328,1215.013,
2615.418,1239.55,
2612.507,1242.4595,
2609.597,1257.9546,
2606.686,1248.9769,
2603.775,1266.9722,
2600.865,1279.6016,
2597.954,1287.4834,
2595.044,1281.5007,
2592.133,1295.3582,
2589.223,1309.19,
2586.312,1311.1043,
2583.401,1316.5967,
2580.491,1307.3606,
2577.580,1314.255,
2574.670,1318.0802,
2571.759,1318.5985,
2568.848,1330.4213,
2565.938,1307.1543,
2563.027,1348.2478,
2560.117,1331.1472,
2557.206,1333.5378,
2554.296,1358.6756,
2551.385,1346.688,
2548.474,1366.2504,
2545.564,1381.0284,
2542.653,1398.344,
2539.743,1403.8917,
2536.832,1395.2706,
2533.922,1393.2185,
2531.011,1391.8,
2528.100,1387.919,
2525.190,1413.2918,
2522.279,1415.9838,
2519.369,1392.6649,
2516.458,1422.7118,
2513.548,1396.1325,
2510.637,1409.2952,
2507.726,1417.4433,
2504.816,1430.0662,
2501.905,1432.1488,
2498.995,1429.0861,
