,PLD64E~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.5,
3011.256,0.050010737,
3008.346,300.67599,
3005.435,359.92403,
3002.525,379.55761,
2999.614,396.63897,
2996.704,400.09278,
2993.793,413.49078,
2990.882,429.53812,
2987.972,444.45964,
2985.061,450.24386,
2982.151,472.78404,
2979.240,492.86692,
2976.329,494.50546,
2973.419,504.73107,
2970.508,506.68326,
2967.598,524.88594,
2964.687,549.63451,
2961.777,547.40599,
2958.866,563.51188,
2955.955,569.50661,
2953.045,594.86689,
2950.134,609.23472,
2947.224,626.35406,
2944.313,649.20798,
2941.403,666.70301,
2938.492,651.51085,
2935.581,662.13434,
2932.671,659.62017,
2929.760,682.95388,
2926.850,686.38835,
2923.939,694.6168,
2921.028,684.69391,
2918.118,712.4005,
2915.207,724.74061,
2912.297,690.66925,
2909.386,715.09124,
2906.476,711.5,
2903.565,720.12889,
2900.654,730.45246,
2897.744,706.36171,
2894.833,694.67527,
2891.923,685.391,
2889.012,663.74856,
2886.102,663.06352,
2883.191,609.5472,
2880.280,445.29421,
2877.370,146.43087,
2874.459,31.966271,
2871.549,323.30447,
2868.638,643.70189,
2865.727,649.46143,
2862.817,706.42914,
2859.906,682.65383,
2856.996,741.94792,
2854.085,752.61975,
2851.175,780.63862,
2848.264,771.98549,
2845.353,761.47843,
2842.443,758.90279,
2839.532,763.48503,
2836.622,808.22461,
2833.711,777.61929,
2830.801,780.38456,
2827.890,793.31294,
2824.979,789.72204,
2822.069,794.79567,
2819.158,817.45957,
2816.248,813.24711,
2813.337,823.8817,
2810.427,839.63223,
2807.516,820.50735,
2804.605,837.27404,
2801.695,837.59212,
2798.784,817.422,
2795.874,818.35488,
2792.963,825.64298,
2790.052,813.50322,
2787.142,808.81569,
2784.231,801.33851,
2781.321,811.43138,
2778.410,813.75885,
2775.500,835.67069,
2772.589,809.19266,
2769.678,823.78323,
2766.768,828.81844,
2763.857,835.18594,
2760.947,850.00315,
2758.036,870.83133,
2755.126,857.59829,
2752.215,851.09547,
2749.304,853.3723,
2746.394,849.13507,
2743.483,861.94996,
2740.573,866.95131,
2737.662,852.53106,
2734.751,869.59229,
2731.841,876.31136,
2728.930,869.33884,
2726.020,869.47917,
2723.109,877.43775,
2720.199,887.73429,
2717.288,902.76278,
2714.377,895.92098,
2711.467,894.811,
2708.556,917.54253,
2705.646,916.80985,
2702.735,927.98195,
2699.825,926.64006,
2696.914,931.3568,
2694.003,923.58292,
2691.093,932.89231,
2688.182,941.41111,
2685.272,936.26102,
2682.361,933.5,
2679.450,929.2531,
2676.540,952.5,
2673.629,953.49551,
2670.719,949.07671,
2667.808,955.96501,
2664.898,958.24027,
2661.987,966.00017,
2659.076,984.71982,
2656.166,948.24446,
2653.255,974.20578,
2650.345,1010.8376,
2647.434,998.81409,
2644.524,991.11391,
2641.613,999.41452,
2638.702,1003.5,
2635.792,1005.7522,
2632.881,1006.3985,
2629.971,1003.7952,
2627.060,1029.6672,
2624.149,1017.2313,
2621.239,1005.997,
2618.328,1024.9239,
2615.418,1039.4773,
2612.507,1044.5356,
2609.597,1027.8772,
2606.686,1013.1225,
2603.775,1035.6984,
2600.865,1052.6707,
2597.954,1054.0812,
2595.044,1077.2405,
2592.133,1069.0606,
2589.223,1069.1505,
2586.312,1078.7915,
2583.401,1088.4563,
2580.491,1088.7212,
2577.580,1098.5297,
2574.670,1115.3931,
2571.759,1095.9846,
2568.848,1096.4945,
2565.938,1094.7857,
2563.027,1098.2318,
2560.117,1090.6028,
2557.206,1092.7325,
2554.296,1112.2757,
2551.385,1131.814,
2548.474,1115.9071,
2545.564,1140.4554,
2542.653,1145.4899,
2539.743,1143.8953,
2536.832,1158.5411,
2533.922,1142.9258,
2531.011,1170.3249,
2528.100,1150.6428,
2525.190,1140.9869,
2522.279,1172.9055,
2519.369,1142.3112,
2516.458,1155.3952,
2513.548,1167.3545,
2510.637,1204.0407,
2507.726,1166.1877,
2504.816,1177.314,
2501.905,1188.9348,
2498.995,1194.2014,
2496.084,1195.0192,
2493.173,1200.3156,
2490.263,1201.6797,
2487.352,1185.9623,
2484.442,1240.2216,
2481.531,1219.7555,
2478.621,1232.6044,
2475.710,1232.569,
2472.799,1238.5404,
2469.889,1230.9543,
2466.978,1247.6545,
2464.068,1228.6004,
2461.157,1242.655,
2458.247,1260.2943,
2455.336,1257.0557,
2452.425,1261.6557,
2449.515,1283.6414,
2446.604,1283.493,
2443.694,1268.9177,
2440.783,1303.9392,
2437.872,1297.1928,
2434.962,1307.3572,
2432.051,1294.2533,
2429.141,1301.653,
2426.230,1325.7398,
2423.320,1339.6997,
2420.409,1343.936,
2417.498,1335.0899,
2414.588,1345.6749,
2411.677,1374.8546,
2408.767,1356.7411,
2405.856,1352.1548,
2402.946,1357.0299,
2400.035,1369.4906,
2397.124,1371.4893,
2394.214,1363.5,
2391.303,1363.5,
2388.393,1344.8372,
2385.482,1315.5575,
2382.571,1270.4872,
2379.661,1308.2436,
2376.750,1369.867,
