,PLE54F~1,
Raman shift [1/cm],Intensity,
3014.167,-3.875,
3011.256,0.52508589,
3008.346,98.614738,
3005.435,130.51016,
3002.525,143.42757,
2999.614,138.36266,
2996.704,151.39098,
2993.793,147.01037,
2990.882,144.77382,
2987.972,156.19563,
2985.061,163.03139,
2982.151,160.28971,
2979.240,171.85884,
2976.329,177.39002,
2973.419,201.125,
2970.508,208.52496,
2967.598,199.26837,
2964.687,200.21467,
2961.777,192.68905,
2958.866,210.12797,
2955.955,219.78427,
2953.045,202.19663,
2950.134,232.06085,
2947.224,221.80825,
2944.313,244.67557,
2941.403,254.55383,
2938.492,234.83774,
2935.581,243.9851,
2932.671,246.96621,
2929.760,264.35194,
2926.850,252.32688,
2923.939,261.48481,
2921.028,265.20738,
2918.118,272.7648,
2915.207,289.37206,
2912.297,278.22655,
2909.386,285.92792,
2906.476,300.02386,
2903.565,269.31759,
2900.654,277.78426,
2897.744,271.02442,
2894.833,266.42391,
2891.923,268.6923,
2889.012,283.25217,
2886.102,270.68852,
2883.191,278.11462,
2880.280,270.78528,
2877.370,250.90988,
2874.459,267.94889,
2871.549,280.13832,
2868.638,272.94151,
2865.727,274.83653,
2862.817,299.98327,
2859.906,292.92272,
2856.996,299.62274,
2854.085,293.08297,
2851.175,295.14613,
2848.264,290.7575,
2845.353,308.01716,
2842.443,303.125,
2839.532,293.03551,
2836.622,281.82161,
2833.711,282.22861,
2830.801,297.61397,
2827.890,311.93794,
2824.979,310.91502,
2822.069,296.47754,
2819.158,320.28402,
2816.248,316.59605,
2813.337,305.3006,
2810.427,319.60986,
2807.516,307.28328,
2804.605,300.94231,
2801.695,297.33551,
2798.784,290.27285,
2795.874,316.70549,
2792.963,320.33958,
2790.052,320.1265,
2787.142,316.125,
2784.231,322.51164,
2781.321,306.56502,
2778.410,316.44479,
2775.500,323.42259,
2772.589,325.58677,
2769.678,317.52096,
2766.768,319.54638,
2763.857,322.91498,
2760.947,319.57772,
2758.036,323.98494,
2755.126,325.74466,
2752.215,323.06135,
2749.304,328.23111,
2746.394,323.73794,
2743.483,316.07498,
2740.573,334.31975,
2737.662,337.89128,
2734.751,325.1008,
2731.841,330.04442,
2728.930,336.553,
2726.020,337.24248,
2723.109,340.35183,
2720.199,344.53756,
2717.288,337.30018,
2714.377,339.125,
2711.467,353.53489,
2708.556,355.2951,
2705.646,357.43485,
2702.735,356.59663,
2699.825,330.59228,
2696.914,359.64958,
2694.003,363.38191,
2691.093,361.99985,
2688.182,352.01537,
2685.272,357.72671,
2682.361,354.70142,
2679.450,354.29374,
2676.540,358.00306,
2673.629,354.44786,
2670.719,365.54829,
2667.808,362.46545,
2664.898,361.78745,
2661.987,364.75852,
2659.076,357.28665,
2656.166,370.41506,
2653.255,369.53146,
2650.345,378.39723,
2647.434,389.52397,
2644.524,363.86607,
2641.613,390.98232,
2638.702,392.15656,
2635.792,380.81194,
2632.881,388.01186,
2629.971,384.01758,
2627.060,389.62594,
2624.149,388.09687,
2621.239,392.87055,
2618.328,388.67603,
2615.418,397.14318,
2612.507,381.05784,
2609.597,384.29865,
2606.686,387.31978,
2603.775,390.5258,
2600.865,418.35375,
2597.954,398.55623,
2595.044,408.11614,
2592.133,426.63472,
2589.223,416.61867,
2586.312,424.56221,
2583.401,413.02281,
2580.491,419.20672,
2577.580,422.1118,
2574.670,413.29479,
2571.759,412.22603,
2568.848,418.88746,
2565.938,408.22009,
2563.027,428.85681,
2560.117,425.67639,
2557.206,423.125,
2554.296,430.29662,
2551.385,435.94305,
2548.474,440.71756,
2545.564,433.34659,
2542.653,438.98741,
2539.743,442.77903,
2536.832,434.65584,
2533.922,463.98308,
2531.011,449.07551,
2528.100,442.72085,
2525.190,442.42869,
2522.279,457.42153,
2519.369,446.14369,
2516.458,455.3488,
2513.548,442.56157,
2510.637,477.26424,
2507.726,462.87593,
2504.816,460.68757,
2501.905,470.86402,
2498.995,463.94584,
2496.084,458.67202,
2493.173,460.86209,
2490.263,447.97921,
2487.352,466.66593,
2484.442,461.53612,
2481.531,466.17296,
2478.621,461.1961,
2475.710,448.39337,
2472.799,482.13846,
