,PL041B~1,
Raman shift [1/cm],Intensity,
2167.189,737.39465,
2164.278,798.01608,
2161.368,840.99903,
2158.457,866.50715,
2155.546,908.75583,
2152.636,950.63294,
2149.725,987.79192,
2146.815,1013.3326,
2143.904,1009.9145,
2140.993,1046.164,
2138.083,1047.4468,
2135.172,1043,
2132.262,1071.7905,
2129.351,1064.8343,
2126.441,1047.2815,
2123.530,1015.5735,
2120.619,970.01869,
2117.709,910.77093,
2114.798,884.61153,
2111.888,867.08824,
2108.977,823.02647,
2106.067,763.77247,
2103.156,752.63951,
2100.245,747.97867,
2097.335,710.26702,
2094.424,687.06894,
2091.514,694.99458,
2088.603,683.15209,
2085.692,665.22313,
2082.782,671.96375,
2079.871,655.17737,
2076.961,677.12724,
2074.050,656.06667,
2071.140,669.9201,
2068.229,633.8164,
2065.318,648.24801,
2062.408,668,
2059.497,656.57736,
2056.587,659.63936,
2053.676,635.41841,
2050.766,655.76756,
2047.855,645.34175,
2044.944,657.53205,
2042.034,657.20804,
2039.123,647.0404,
2036.213,649.2311,
2033.302,644.28265,
2030.391,655.52506,
2027.481,656.30494,
2024.570,651.4715,
2021.660,650.05913,
2018.749,646.77206,
2015.839,638.84777,
2012.928,630.05705,
2010.017,650.57112,
2007.107,657.58131,
2004.196,646.76187,
2001.286,646.66783,
1998.375,638.3868,
1995.465,632.78661,
1992.554,641.76463,
1989.643,655.55067,
1986.733,617.53509,
1983.822,630.1034,
1980.912,642.16776,
1978.001,625.27088,
1975.090,644.57863,
1972.180,657.82712,
1969.269,642.62062,
1966.359,611.43223,
1963.448,621.9934,
1960.538,624.13094,
1957.627,607.84209,
1954.716,598.22981,
1951.806,626.21159,
1948.895,591.23483,
1945.985,593.76144,
1943.074,619.51299,
1940.164,603.3749,
1937.253,582.94808,
1934.342,577.08556,
1931.432,574.87697,
1928.521,585.48187,
1925.611,588.07151,
1922.700,596.08011,
1919.790,578.32971,
1916.879,590.81426,
1913.968,567.03074,
1911.058,566.38739,
1908.147,584.40583,
1905.237,577.77208,
1902.326,601.4385,
1899.415,604.66094,
1896.505,569.65671,
1893.594,583.17989,
1890.684,596.29406,
1887.773,594.60371,
1884.863,568.50342,
1881.952,594.26964,
1879.041,612.26947,
1876.131,599.15556,
1873.220,583.79641,
1870.310,558.79376,
1867.399,560.93603,
1864.489,593.6231,
1861.578,609.1868,
1858.667,606.89224,
1855.757,581.40573,
1852.846,585.8051,
1849.936,607.72173,
1847.025,590.35036,
1844.114,608.43767,
1841.204,599.05595,
1838.293,592.97173,
1835.383,633.49948,
1832.472,625.72,
1829.562,609.55521,
1826.651,630.82954,
1823.740,613.06508,
1820.830,610.7166,
1817.919,599.1556,
1815.009,602.84987,
1812.098,608.48819,
1809.188,640.8914,
1806.277,647.88934,
1803.366,629.21627,
1800.456,641.45043,
1797.545,632.36878,
1794.635,644.64314,
1791.724,692.93218,
1788.813,645.80489,
1785.903,662.17247,
1782.992,661.97614,
1780.082,644.97475,
1777.171,630.66649,
1774.261,650.80542,
1771.350,668.79549,
1768.439,657.59807,
1765.529,680.45463,
1762.618,680.03375,
1759.708,694.83712,
1756.797,677.18939,
1753.887,672.69388,
1750.976,685.10341,
1748.065,679.77112,
1745.155,673.25165,
1742.244,697.1476,
1739.334,683.61177,
1736.423,676.65233,
1733.512,687.73173,
1730.602,677.53569,
1727.691,722.13027,
1724.781,722.84162,
1721.870,738.3144,
1718.960,739.71107,
1716.049,749.0677,
1713.138,746.72502,
1710.228,697.26337,
1707.317,709.46057,
1704.407,769.49742,
1701.496,745.91892,
1698.586,786.42727,
1695.675,715.14331,
1692.764,741.24182,
1689.854,750.65355,
1686.943,738.43843,
1684.033,781.88237,
1681.122,742.69669,
1678.211,791.52413,
1675.301,803.963,
1672.390,830.0658,
1669.480,851.87165,
1666.569,836.27931,
1663.659,858.42464,
1660.748,883.7879,
1657.837,873.503,
1654.927,896.28115,
1652.016,908.48598,
1649.106,928.56306,
1646.195,950.25673,
1643.285,922.028,
1640.374,1009.9408,
1637.463,1053.4415,
1634.553,1024.1231,
1631.642,1099.3257,
1628.732,1129.32,
1625.821,1183.0275,
1622.911,1224.7633,
1620.000,1356.3244,
1617.089,1363.8806,
1614.179,1502.9673,
1611.268,1545.5129,
1608.358,1633.7391,
1605.447,1714.372,
1602.536,1773.0495,
1599.626,1754.9216,
1596.715,1737.5708,
1593.805,1724.3737,
1590.894,1744.1361,
1587.984,1747,
1585.073,1644.0512,
1582.162,1652.7164,
1579.252,1590.8993,
1576.341,1613.65,
1573.431,1634.7476,
1570.520,1598.2524,
1567.610,1609.8435,
1564.699,1562.8977,
1561.788,1519.465,
1558.878,1510,
1555.967,1459.7895,
1553.057,1411.6726,
1550.146,1397.7709,
1547.235,1347.4126,
1544.325,1351.4562,
1541.414,1338.3355,
1538.504,1291.7239,
1535.593,1277.6178,
1532.683,1264.2715,
1529.772,1235.4565,
1526.861,1221.8629,
1523.951,1245.0817,
1521.040,1217.9469,
1518.130,1144.5579,
1515.219,1151.6397,
1512.309,1149.3558,
1509.398,1121.9485,
1506.487,1159.8735,
1503.577,1193.2402,
1500.666,1149.0753,
1497.756,1110.6865,
1494.845,1117.3191,
1491.934,1077.0094,
1489.024,1079.8969,
1486.113,1018.8038,
1483.203,1051.303,
1480.292,1027.1506,
1477.382,1039.7815,
1474.471,1030.9546,
1471.560,1005.9557,
1468.650,988.43417,
1465.739,985.92147,
1462.829,976.25729,
1459.918,986.67971,
1457.008,996.43071,
1454.097,973.05152,
1451.186,970.96131,
1448.276,993.46546,
1445.365,968.89021,
1442.455,933.99348,
1439.544,934.52501,
1436.633,966.79642,
1433.723,972.77188,
1430.812,922.4433,
1427.902,927.57156,
1424.991,909.56407,
1422.081,923.67963,
1419.170,861.05953,
1416.259,833.98868,
1413.349,848.12579,
1410.438,847.0022,
1407.528,864.59973,
1404.617,856.62477,
1401.707,849.35929,
1398.796,853.11189,
1395.885,853.89373,
1392.975,854.81237,
1390.064,856.65204,
1387.154,873.59804,
1384.243,859.86037,
1381.332,821.20127,
1378.422,862.51695,
1375.511,853.14914,
1372.601,923.96092,
1369.690,913.71277,
1366.780,998.12387,
1363.869,1053.6915,
1360.958,1106.9334,
1358.048,1139.8662,
1355.137,1155.3596,
1352.227,1176.6406,
1349.316,1210.7196,
1346.406,1247.8566,
1343.495,1293.9199,
1340.584,1366.9283,
1337.674,1388.4304,
1334.763,1416.4002,
1331.853,1400.6372,
1328.942,1446.2521,
1326.032,1453.6312,
1323.121,1520.6868,
1320.210,1559.9821,
1317.300,1592.1995,
1314.389,1603.861,
1311.479,1613.4174,
1308.568,1644.9309,
1305.657,1684.0146,
1302.747,1734.7051,
1299.836,1778.5283,
1296.926,1823.8111,
1294.015,1948.8392,
1291.105,1973.3719,
1288.194,1978.3962,
1285.283,2057.0443,
1282.373,2139.2576,
1279.462,2173.9411,
1276.552,2215.1655,
1273.641,2270.1474,
1270.731,2286.1776,
1267.820,2275.1303,
1264.909,2263.1644,
1261.999,2229.3315,
1259.088,2265.8164,
1256.178,2253.4402,
1253.267,2211.873,
1250.356,2160.7193,
1247.446,2082.7406,
1244.535,1998.8796,
1241.625,1937.026,
1238.714,1891.2524,
1235.804,1840.6409,
1232.893,1792.886,
1229.982,1742.7854,
1227.072,1736.4482,
1224.161,1718.3494,
1221.251,1717.2335,
1218.340,1686.2572,
1215.430,1620.0024,
1212.519,1575.4724,
1209.608,1589.4907,
1206.698,1633.6811,
1203.787,1665.5427,
1200.877,1700.4428,
1197.966,1691.4512,
1195.055,1701.239,
1192.145,1763.1075,
1189.234,1800.5174,
1186.324,1844.9124,
1183.413,1870.9086,
1180.503,1863.6274,
1177.592,1855.1414,
1174.681,1841.9041,
1171.771,1793.5563,
1168.860,1817.6698,
1165.950,1774.8478,
1163.039,1766.7936,
1160.129,1760.9217,
1157.218,1768.9799,
1154.307,1772.2403,
1151.397,1751.9146,
1148.486,1739.2565,
1145.576,1701.2698,
1142.665,1707.4852,
1139.754,1693.3547,
1136.844,1699.8042,
1133.933,1702.2405,
1131.023,1677.3952,
1128.112,1651.7142,
1125.202,1643.3382,
1122.291,1620.2696,
1119.380,1670.7228,
1116.470,1642.4819,
1113.559,1684.6217,
1110.649,1683.5934,
1107.738,1679.7507,
1104.828,1685.9127,
1101.917,1704.2018,
1099.006,1733.6187,
1096.096,1712.57,
1093.185,1705.546,
1090.275,1696.9073,
1087.364,1712.1531,
1084.453,1687.3771,
1081.543,1677.776,
1078.632,1708.342,
1075.722,1729.3075,
1072.811,1723.7375,
1069.901,1748.1888,
1066.990,1751.6167,
1064.079,1743.8338,
1061.169,1757.1213,
1058.258,1785.3985,
1055.348,1806.7638,
1052.437,1817.2316,
1049.527,1849.1007,
1046.616,1851.7072,
1043.705,1861.2492,
1040.795,1883.1551,
1037.884,1872.2533,
1034.974,1864.4072,
1032.063,1889.3845,
1029.153,1901.5699,
1026.242,1939.628,
1023.331,1900.1693,
1020.421,1921.2783,
1017.510,1922.2342,
1014.600,1924.4191,
1011.689,1952.5431,
1008.778,1994.7026,
1005.868,2057.1776,
1002.957,2076.9658,
1000.047,2167.36,
997.136,2232.3029,
994.226,2268.8306,
