,PL718D~1,
Raman shift [1/cm],Intensity,
2175.920,1218.7689,
2173.010,1262.8268,
2170.099,1318.4197,
2167.189,1385.2421,
2164.278,1483.6843,
2161.368,1573.3376,
2158.457,1638.1261,
2155.546,1708.7751,
2152.636,1781.7951,
2149.725,1874.3632,
2146.815,1906.991,
2143.904,1936.558,
2140.993,2004.7521,
2138.083,1977.6614,
2135.172,1991.6838,
2132.262,1980.2438,
2129.351,1958.7456,
2126.441,1888.1297,
2123.530,1780.0301,
2120.619,1716.0659,
2117.709,1612.5099,
2114.798,1505.4248,
2111.888,1436.7266,
2108.977,1347.5852,
2106.067,1260.505,
2103.156,1198.6332,
2100.245,1144.6106,
2097.335,1118.6145,
2094.424,1090.1626,
2091.514,1064.262,
2088.603,1055.5743,
2085.692,1063.1268,
2082.782,1052.0749,
2079.871,1021.8024,
2076.961,1033.4626,
2074.050,1007.5462,
2071.140,1021.7632,
2068.229,1006.2513,
2065.318,1019.0078,
2062.408,997.46541,
2059.497,977.02977,
2056.587,981.46216,
2053.676,945.87725,
2050.766,972.69974,
2047.855,964.08067,
2044.944,978.42789,
2042.034,968.25503,
2039.123,960.28493,
2036.213,965.81614,
2033.302,962.7556,
2030.391,978.74296,
2027.481,959.1497,
2024.570,972.91005,
2021.660,962.57107,
2018.749,985.59926,
2015.839,961.23917,
2012.928,972.54446,
2010.017,967.83346,
2007.107,960.41754,
2004.196,973.64881,
2001.286,961.93598,
1998.375,950.14567,
1995.465,914.8009,
1992.554,947.69522,
1989.643,933.35084,
1986.733,924.92939,
1983.822,915.7284,
1980.912,929.15921,
1978.001,908.74374,
1975.090,911.00058,
1972.180,906.62635,
1969.269,885.96406,
1966.359,879.03037,
1963.448,881.27758,
1960.538,893.98614,
1957.627,897.51664,
1954.716,883.0559,
1951.806,835.16502,
1948.895,866.02781,
1945.985,871.13153,
1943.074,855.86851,
1940.164,845.25925,
1937.253,816.91628,
1934.342,846.36028,
1931.432,858.03825,
1928.521,817.4022,
1925.611,807.39117,
1922.700,813.58218,
1919.790,803.42859,
1916.879,833.25352,
1913.968,807.65943,
1911.058,796.27666,
1908.147,817.89798,
1905.237,809.60296,
1902.326,817.66945,
1899.415,793.17498,
1896.505,786.76983,
1893.594,815.99084,
1890.684,795.61857,
1887.773,800.84001,
1884.863,827.74345,
1881.952,806.72528,
1879.041,785.54712,
1876.131,808.68512,
1873.220,794.57625,
1870.310,799.97925,
1867.399,811.44907,
1864.489,803.91014,
1861.578,828.62004,
1858.667,768.84051,
1855.757,817.02357,
1852.846,811.08656,
1849.936,786.81119,
1847.025,812.96559,
1844.114,851.72612,
1841.204,826.17395,
1838.293,825.625,
1835.383,834.91549,
1832.472,832.54326,
1829.562,844.78907,
1826.651,863.83033,
1823.740,866.89703,
1820.830,830.35696,
1817.919,865.23008,
1815.009,879.90617,
1812.098,853.69588,
1809.188,902.21403,
1806.277,884.1119,
1803.366,866.52518,
1800.456,863.42782,
1797.545,910.24209,
1794.635,898.30203,
1791.724,912.76088,
1788.813,919.21291,
1785.903,882.09399,
1782.992,889.52666,
1780.082,899.90101,
1777.171,879.62125,
1774.261,878.03525,
1771.350,899.625,
1768.439,903.45532,
1765.529,917.26299,
1762.618,929.5575,
1759.708,929.5815,
1756.797,942.68561,
1753.887,959.00984,
1750.976,934.50066,
1748.065,930.98598,
1745.155,956.59263,
1742.244,955.03081,
1739.334,958.52617,
1736.423,964.03808,
1733.512,952.98269,
1730.602,971.81353,
1727.691,965.80711,
1724.781,983.64914,
1721.870,1015.3775,
1718.960,993.66911,
1716.049,996.01475,
1713.138,969.41014,
1710.228,991.60421,
1707.317,975.27986,
1704.407,1004.9673,
1701.496,1051.4677,
1698.586,1055.625,
1695.675,1060.3035,
1692.764,1071.9857,
1689.854,1059.2313,
1686.943,1076.0179,
1684.033,1122.4577,
1681.122,1086.2707,
1678.211,1155.9493,
1675.301,1203.4801,
1672.390,1173.631,
1669.480,1176.1705,
1666.569,1244.7549,
1663.659,1332.9027,
1660.748,1349.5286,
1657.837,1345.6966,
1654.927,1393.0158,
1652.016,1369.6904,
1649.106,1451.8416,
1646.195,1422.687,
1643.285,1507.0579,
1640.374,1526.3776,
1637.463,1563.2283,
1634.553,1651.2604,
1631.642,1694.4936,
1628.732,1774.342,
1625.821,1894.678,
1622.911,1975.1686,
1620.000,2092.1384,
1617.089,2261.222,
1614.179,2414.282,
1611.268,2489.8738,
1608.358,2655.6182,
1605.447,2737.1685,
1602.536,2788.2194,
1599.626,2787.9453,
1596.715,2797.6086,
1593.805,2696.6712,
1590.894,2702.2384,
1587.984,2699.4284,
1585.073,2695.2217,
1582.162,2713.8274,
1579.252,2661.9805,
1576.341,2565.5133,
1573.431,2598.664,
1570.520,2589.9293,
1567.610,2568.4679,
1564.699,2478.0715,
1561.788,2430.1322,
1558.878,2411.3353,
1555.967,2363.3425,
1553.057,2335.2458,
1550.146,2269.5561,
1547.235,2211.1442,
1544.325,2156.3412,
1541.414,2107.3432,
1538.504,2060.2554,
1535.593,2008.6877,
1532.683,1975.1401,
1529.772,1927.5568,
1526.861,1894.6949,
1523.951,1901.4434,
1521.040,1848.0253,
1518.130,1787.2336,
1515.219,1794.5854,
1512.309,1774.1925,
1509.398,1755.7067,
1506.487,1768.2708,
1503.577,1757.0372,
1500.666,1747.0214,
1497.756,1692.6417,
1494.845,1667.8646,
1491.934,1649.3321,
1489.024,1559.8202,
1486.113,1616.894,
1483.203,1566.5586,
1480.292,1568.9586,
1477.382,1563.3508,
1474.471,1502.5368,
1471.560,1483.8993,
1468.650,1428.9631,
1465.739,1433.728,
1462.829,1422.5746,
1459.918,1399.7576,
1457.008,1447.9026,
1454.097,1425.9905,
1451.186,1351.7739,
1448.276,1389.3459,
1445.365,1416.8367,
1442.455,1385.3517,
1439.544,1381.2599,
1436.633,1363.1583,
1433.723,1330.7557,
1430.812,1314.0048,
1427.902,1268.2868,
1424.991,1254.0703,
1422.081,1232.523,
1419.170,1183.9657,
1416.259,1209.8376,
1413.349,1191.9468,
1410.438,1179.4263,
1407.528,1185.3499,
1404.617,1148.526,
1401.707,1155.661,
1398.796,1190.4572,
1395.885,1206.0267,
1392.975,1214.4163,
1390.064,1202.0396,
1387.154,1217.2982,
1384.243,1220.5538,
1381.332,1173.6915,
1378.422,1263.8326,
1375.511,1287.2521,
