,PL25F9~1,
Raman shift [1/cm],Intensity,
2173.010,386.67319,
2170.099,395.20636,
2167.189,375.11179,
2164.278,409.48907,
2161.368,421.16044,
2158.457,430.26402,
2155.546,444.9654,
2152.636,431.9708,
2149.725,448.67364,
2146.815,432.60912,
2143.904,449.58502,
2140.993,473.4094,
2138.083,467.13338,
2135.172,470.27844,
2132.262,468.73151,
2129.351,458.60947,
2126.441,469.36047,
2123.530,448.79643,
2120.619,441.875,
2117.709,431.85487,
2114.798,399.21341,
2111.888,404.68694,
2108.977,388.90147,
2106.067,381.21716,
2103.156,372.43714,
2100.245,371.85994,
2097.335,348.71793,
2094.424,356.3111,
2091.514,356.94217,
2088.603,356.04548,
2085.692,363.46607,
2082.782,349.73854,
2079.871,346.33941,
2076.961,351.55211,
2074.050,354.32955,
2071.140,375.15148,
2068.229,333.24219,
2065.318,335.76451,
2062.408,338.01117,
2059.497,343.30359,
2056.587,355.00287,
2053.676,345.25898,
2050.766,368.71954,
2047.855,348.0174,
2044.944,354.47115,
2042.034,364.875,
2039.123,362.49453,
2036.213,364.95059,
2033.302,370.07071,
2030.391,355.28209,
2027.481,371.19187,
2024.570,372.13232,
2021.660,351.11671,
2018.749,353.71079,
2015.839,368.95636,
2012.928,332.48406,
2010.017,342.42006,
2007.107,363.1797,
2004.196,372.22022,
2001.286,348.9563,
1998.375,345.52953,
1995.465,346.51518,
1992.554,358.14548,
1989.643,345.39346,
1986.733,350.66096,
1983.822,346.875,
1980.912,350.29112,
1978.001,357.79893,
1975.090,345.28874,
1972.180,342.77127,
1969.269,337.94969,
1966.359,340.9562,
1963.448,343.68345,
1960.538,335.57141,
1957.627,353.49111,
1954.716,346.16227,
1951.806,349.57693,
1948.895,345.15028,
1945.985,355.30474,
1943.074,351.3401,
1940.164,316.20168,
1937.253,312.37032,
1934.342,324.30228,
1931.432,317.02957,
1928.521,334.10989,
1925.611,356.56966,
1922.700,345.25484,
1919.790,332.26238,
1916.879,319.71199,
1913.968,337.85164,
1911.058,316.2714,
1908.147,322.93778,
1905.237,328.08822,
1902.326,322.72092,
1899.415,327.54695,
1896.505,318.26044,
1893.594,321.68299,
1890.684,334.12995,
1887.773,317.63385,
1884.863,319.16657,
1881.952,341.31233,
1879.041,339.04063,
1876.131,322.84494,
1873.220,309.41478,
1870.310,315.301,
1867.399,347.36321,
1864.489,330.30338,
1861.578,340.7816,
1858.667,341.04864,
1855.757,340.70078,
1852.846,316.64934,
1849.936,334.20032,
1847.025,340.46381,
1844.114,343.50796,
1841.204,331.5778,
1838.293,335.82677,
1835.383,367.6075,
1832.472,355.04891,
1829.562,356.37344,
1826.651,347.14812,
1823.740,344.97079,
1820.830,380.82806,
1817.919,376.21622,
1815.009,330.91954,
1812.098,354.39467,
1809.188,359.75096,
1806.277,370.63155,
1803.366,362.37409,
1800.456,392.03987,
1797.545,391.74041,
1794.635,358.68197,
1791.724,345.85556,
1788.813,356.27551,
1785.903,363.50287,
1782.992,380.53371,
1780.082,364.8245,
1777.171,349.88197,
1774.261,366.38481,
1771.350,349.875,
1768.439,363.91952,
1765.529,370.14533,
1762.618,354.39187,
1759.708,371.24474,
1756.797,384.10985,
1753.887,406.82543,
1750.976,408.59556,
1748.065,406.32047,
1745.155,404.57183,
1742.244,398.55073,
1739.334,378.70324,
1736.423,393.19086,
1733.512,402.875,
1730.602,402.875,
1727.691,411.31927,
1724.781,426.46023,
1721.870,439.5322,
1718.960,451.74179,
1716.049,409.40934,
1713.138,430.79985,
1710.228,423.69084,
1707.317,436.02814,
1704.407,417.21186,
1701.496,446.77917,
1698.586,455.41891,
1695.675,420.31807,
1692.764,444.38321,
1689.854,424.82774,
1686.943,451.89696,
1684.033,443.12336,
1681.122,493.00839,
1678.211,495.85597,
1675.301,456.99525,
1672.390,485.94678,
1669.480,509.88302,
1666.569,510.77343,
1663.659,503.51196,
1660.748,542.20279,
1657.837,559.70605,
1654.927,595.65669,
1652.016,544.8021,
1649.106,542.09533,
1646.195,553.15276,
1643.285,644.14322,
1640.374,570.87848,
1637.463,618.25331,
1634.553,638.62378,
1631.642,622.24417,
1628.732,656.32533,
1625.821,731.85799,
1622.911,706.02151,
1620.000,759.19467,
1617.089,838.28296,
1614.179,859.31098,
1611.268,941.71488,
1608.358,939.15594,
1605.447,936.98927,
1602.536,1022.6086,
1599.626,1012.3162,
1596.715,971.84815,
1593.805,953.56569,
1590.894,980.93711,
1587.984,961.49051,
1585.073,934.05213,
1582.162,923.19591,
1579.252,917.78349,
1576.341,944.11116,
1573.431,893.70329,
1570.520,871.75998,
1567.610,886.26741,
1564.699,881.72458,
1561.788,882.80453,
1558.878,857.56447,
1555.967,803.25312,
1553.057,814.40915,
1550.146,811.9805,
1547.235,758.14247,
1544.325,767.2001,
1541.414,767.79202,
1538.504,769.05132,
1535.593,789.4666,
1532.683,766.12105,
1529.772,764.86841,
1526.861,789.44939,
1523.951,781.0114,
1521.040,785.41156,
1518.130,795.51278,
1515.219,793.99439,
1512.309,807.44254,
1509.398,784.875,
1506.487,777.81238,
1503.577,738.9682,
1500.666,703.24007,
1497.756,739.01921,
1494.845,752.35472,
1491.934,739.85295,
1489.024,733.1155,
1486.113,691.1503,
1483.203,698.53301,
1480.292,698.17798,
1477.382,686.55953,
1474.471,694.61831,
1471.560,681.18468,
1468.650,673.50845,
1465.739,644.69343,
1462.829,656.92542,
1459.918,658.19529,
1457.008,663.67525,
1454.097,650.52394,
1451.186,600.39918,
1448.276,610.91667,
1445.365,645.37263,
1442.455,622.61471,
1439.544,640.11842,
1436.633,643.33081,
1433.723,625.23981,
1430.812,646.51076,
1427.902,616.875,
1424.991,616.875,
1422.081,599.44294,
1419.170,628.11711,
1416.259,628.01462,
1413.349,621.58831,
1410.438,628.97214,
1407.528,609.7003,
1404.617,610.37895,
1401.707,611.92589,
1398.796,579.85758,
1395.885,562.20973,
1392.975,572.979,
1390.064,535.85546,
1387.154,452.89294,
1384.243,399.45797,
1381.332,322.07226,
1378.422,375.98093,
1375.511,455.60731,
1372.601,557.32617,
1369.690,631.02391,
1366.780,636.33075,
1363.869,637.78091,
1360.958,666.60408,
1358.048,655.9559,
1355.137,677.24994,
1352.227,721.4829,
1349.316,730.93086,
1346.406,727.875,
1343.495,742.32452,
1340.584,776.94706,
1337.674,735.01739,
1334.763,730.94482,
1331.853,811.61392,
1328.942,824.6591,
1326.032,789.98769,
1323.121,779.65211,
1320.210,822.15985,
1317.300,853.90895,
1314.389,840.83294,
1311.479,814.01098,
1308.568,825.78566,
1305.657,862.9083,
1302.747,851.40491,
1299.836,839.5115,
1296.926,936.23406,
1294.015,922.44421,
1291.105,933.32204,
1288.194,1016.3468,
1285.283,1023.9869,
1282.373,1042.289,
1279.462,1059.7181,
1276.552,1057.3002,
1273.641,1064.1612,
1270.731,1079.4063,
1267.820,1063.4595,
1264.909,1058.49,
1261.999,1035.2731,
1259.088,1073.5822,
1256.178,1049.3249,
1253.267,1032.5999,
1250.356,1009.9119,
1247.446,997.35464,
1244.535,995.86607,
1241.625,986.78244,
1238.714,976.54543,
1235.804,982.94299,
1232.893,968.99981,
1229.982,969.59903,
1227.072,961.45122,
1224.161,903.72074,
1221.251,886.91893,
1218.340,838.88035,
1215.430,808.92018,
1212.519,821.6271,
1209.608,848.96251,
1206.698,857.78979,
1203.787,847.74435,
1200.877,858.82226,
1197.966,874.10796,
1195.055,905.59195,
1192.145,944.68545,
1189.234,967.55326,
1186.324,1003.3324,
1183.413,1022.5755,
1180.503,1015.875,
1177.592,1009.1375,
1174.681,990.16951,
1171.771,1013.6992,
1168.860,1049.4228,
1165.950,1032.7178,
1163.039,1027.875,
1160.129,1030.2344,
1157.218,1005.9153,
1154.307,978.24603,
1151.397,991.64827,
1148.486,1021.7309,
1145.576,987.53031,
1142.665,1002.6248,
1139.754,988.41605,
1136.844,970.16864,
1133.933,974.43211,
1131.023,982.81919,
1128.112,979.23282,
1125.202,968.94264,
1122.291,961.74696,
1119.380,953.94429,
1116.470,961.00452,
1113.559,954.91576,
1110.649,941.08778,
1107.738,923.087,
1104.828,914.1233,
1101.917,919.12958,
1099.006,931.78209,
1096.096,954.875,
1093.185,954.875,
1090.275,957.30281,
1087.364,948.26928,
1084.453,966.93603,
1081.543,976.98702,
1078.632,988.81261,
1075.722,1036.4989,
1072.811,1030.9657,
1069.901,975.95028,
1066.990,971.875,
1064.079,995.69299,
1061.169,995.27667,
1058.258,988.8394,
1055.348,990.22937,
1052.437,986.49881,
1049.527,999.53934,
1046.616,990.85104,
1043.705,989.875,
1040.795,993.06752,
1037.884,1010.0471,
1034.974,1016.6817,
1032.063,996.19831,
1029.153,978.40632,
1026.242,1007.8148,
1023.331,994.70924,
1020.421,999.54312,
1017.510,1007.3572,
