,PL6E66~1,
Wavenumbers [1/cm],Intensity,
2207.937,1756.8181,
2205.026,1799.2627,
2202.116,1826.4419,
2199.205,1817.8498,
2196.294,1836.549,
2193.384,1871.111,
2190.473,1878.659,
2187.563,1886.6505,
2184.652,1948.044,
2181.742,2000.9692,
2178.831,2074.9276,
2175.920,2143.7484,
2173.010,2233.4039,
2170.099,2313.0347,
2167.189,2427.2504,
2164.278,2570.0916,
2161.368,2725.2287,
2158.457,2866.8498,
2155.546,3044.9011,
2152.636,3197.4758,
2149.725,3341.8984,
2146.815,3461.0047,
2143.904,3624.9028,
2140.993,3707.2743,
2138.083,3781.9068,
2135.172,3853.1483,
2132.262,3869.735,
2129.351,3830.9024,
2126.441,3721.4232,
2123.530,3656.5006,
2120.619,3474.3115,
2117.709,3311.2095,
2114.798,3091.0551,
2111.888,2891.4419,
2108.977,2695.9246,
2106.067,2568.6042,
2103.156,2455.752,
2100.245,2325.3198,
2097.335,2229.0661,
2094.424,2157.3649,
2091.514,2099.8506,
2088.603,2062.6976,
2085.692,2058.691,
2082.782,2036.4112,
2079.871,1989.123,
2076.961,2001.8897,
2074.050,1980.7083,
2071.140,1932.2368,
2068.229,1953.1914,
2065.318,1955.375,
2062.408,1940.1095,
2059.497,1929.1845,
2056.587,1901.8755,
2053.676,1903.2575,
2050.766,1898.0678,
2047.855,1867.4889,
2044.944,1877.6266,
2042.034,1916.716,
2039.123,1912.7353,
2036.213,1899.0127,
2033.302,1900.1138,
2030.391,1917.0869,
2027.481,1911.1677,
2024.570,1914.432,
2021.660,1946.4237,
2018.749,1928.6409,
2015.839,1933.3573,
2012.928,1917.1569,
2010.017,1904.4271,
2007.107,1897.0255,
2004.196,1896.9822,
2001.286,1899.5623,
1998.375,1892.8081,
1995.465,1858.9107,
1992.554,1859.1396,
1989.643,1871.9602,
1986.733,1893.1075,
1983.822,1889.0803,
1980.912,1884.0376,
1978.001,1836.6978,
1975.090,1810.3445,
1972.180,1840.7181,
1969.269,1875.6595,
1966.359,1880.2398,
1963.448,1830.3525,
1960.538,1853.9505,
1957.627,1857.1335,
1954.716,1828.2081,
1951.806,1841.4311,
1948.895,1826.9458,
1945.985,1847.6985,
1943.074,1827.4858,
1940.164,1822.3368,
1937.253,1825.7405,
1934.342,1786.2039,
1931.432,1780.8072,
1928.521,1797.2196,
1925.611,1784.518,
1922.700,1776.0007,
1919.790,1763.3173,
1916.879,1764.1658,
1913.968,1786.3479,
1911.058,1800.8164,
1908.147,1745.5415,
1905.237,1792.669,
1902.326,1761.6801,
1899.415,1784.2579,
1896.505,1708.1099,
1893.594,1708.8232,
1890.684,1749.7735,
1887.773,1759.6254,
1884.863,1755.0288,
1881.952,1797.7371,
1879.041,1794.7063,
1876.131,1807.1057,
1873.220,1753.8438,
1870.310,1794.5722,
1867.399,1778.6949,
1864.489,1813.973,
1861.578,1779.1882,
1858.667,1783.83,
1855.757,1819.3822,
1852.846,1809.1135,
1849.936,1807.2118,
1847.025,1825.7837,
1844.114,1850.6409,
1841.204,1869.6302,
1838.293,1885.3534,
1835.383,1859.5735,
1832.472,1857.6202,
1829.562,1887.3182,
1826.651,1879.3832,
1823.740,1884.2946,
1820.830,1893.7766,
1817.919,1895.375,
1815.009,1911.6434,
1812.098,1878.4695,
1809.188,1922.2121,
1806.277,1906.7955,
1803.366,1919.5913,
1800.456,1933.694,
1797.545,1955.5453,
1794.635,1950.6001,
1791.724,1972.375,
1788.813,1966.3673,
1785.903,1930.6503,
1782.992,1863.6715,
1780.082,1760.9727,
1777.171,1708.3771,
1774.261,1740.8305,
1771.350,1830.865,
1768.439,1956.1483,
1765.529,2007.3712,
1762.618,2018.6432,
1759.708,2044.6249,
1756.797,2039.8295,
1753.887,2044.8109,
1750.976,2050.8613,
1748.065,2066.4349,
1745.155,2072.7363,
1742.244,2083.6313,
1739.334,2104.4385,
1736.423,2083.8199,
1733.512,2114.5784,
1730.602,2136.3591,
1727.691,2160.6372,
1724.781,2159.5092,
