,PLAAA0~1,
Raman shift [1/cm],Intensity,
2167.189,789.3516,
2164.278,837.85327,
2161.368,857.85462,
2158.457,925.6742,
2155.546,973.90774,
2152.636,1001.2713,
2149.725,1033.1275,
2146.815,1071.8655,
2143.904,1124.6915,
2140.993,1121.6929,
2138.083,1166.8694,
2135.172,1152.9244,
2132.262,1167.007,
2129.351,1160.9379,
2126.441,1135.9126,
2123.530,1106.3266,
2120.619,1038.4682,
2117.709,973.66143,
2114.798,931.89989,
2111.888,873.46437,
2108.977,836.17881,
2106.067,783.3968,
2103.156,769.51934,
2100.245,711.99561,
2097.335,706.68586,
2094.424,716.60651,
2091.514,707.21235,
2088.603,709.22118,
2085.692,692.53916,
2082.782,679.82729,
2079.871,644.85532,
2076.961,677.22315,
2074.050,675.27273,
2071.140,659.71275,
2068.229,653.27213,
2065.318,649.40699,
2062.408,668.09907,
2059.497,680.57141,
2056.587,660.36064,
2053.676,633.13473,
2050.766,646.46039,
2047.855,638.74369,
2044.944,631.46314,
2042.034,635.07506,
2039.123,623.14141,
2036.213,628.15552,
2033.302,641.45615,
2030.391,663.2881,
2027.481,646.8904,
2024.570,624.1433,
2021.660,609.70955,
2018.749,646.89828,
2015.839,621.15223,
2012.928,636.14933,
2010.017,642.27253,
2007.107,633.60184,
2004.196,633.94054,
2001.286,624.80924,
1998.375,600.7372,
1995.465,600.35982,
1992.554,625.54096,
1989.643,594.24429,
1986.733,598.64211,
1983.822,611.97489,
1980.912,609.42456,
1978.001,572.22821,
1975.090,604.57863,
1972.180,599.48406,
1969.269,568.58328,
1966.359,572.86508,
1963.448,573.96433,
1960.538,575.86906,
1957.627,570.75851,
1954.716,564.17236,
1951.806,597.36706,
1948.895,548.65787,
1945.985,557.95752,
1943.074,558.13271,
1940.164,570.81712,
1937.253,535.76999,
1934.342,516.56417,
1931.432,525.15457,
1928.521,531.84456,
1925.611,534.27923,
1922.700,536.37431,
1919.790,531.83243,
1916.879,538.442,
1913.968,512.0332,
1911.058,506.51953,
1908.147,526.00728,
1905.237,522.13241,
1902.326,553.98964,
1899.415,527.86218,
1896.505,492.81916,
1893.594,505.61901,
1890.684,517.2812,
1887.773,492.53457,
1884.863,502.75626,
1881.952,513.48747,
1879.041,534.66875,
1876.131,506.79609,
1873.220,516.4337,
1870.310,496.72201,
1867.399,475.31987,
1864.489,501.5188,
1861.578,539.0934,
1858.667,541.02694,
1855.757,541.02148,
1852.846,516.49744,
1849.936,520.74374,
1847.025,537.52798,
1844.114,548.82825,
1841.204,535.25175,
1838.293,533.96009,
1835.383,551.44201,
1832.472,557.26783,
1829.562,544.55833,
1826.651,558.29976,
1823.740,557.6245,
1820.830,553.77166,
1817.919,506.76616,
1815.009,529.39312,
1812.098,529.61418,
1809.188,559.01543,
1806.277,594.24752,
1803.366,583.16636,
1800.456,591.79094,
1797.545,570.07806,
1794.635,567.3211,
1791.724,601.74769,
1788.813,566.60849,
1785.903,594.64146,
1782.992,585.24586,
1780.082,550.72399,
1777.171,565.00054,
1774.261,579.77526,
1771.350,581.81674,
1768.439,572.27957,
1765.529,590.08886,
1762.618,588.1119,
1759.708,612.26099,
1756.797,617.54545,
1753.887,596.20408,
1750.976,586.9483,
1748.065,599.44547,
1745.155,612.38705,
1742.244,641.82333,
1739.334,635.14354,
1736.423,626.70654,
1733.512,636.45938,
1730.602,645.23612,
1727.691,652.37362,
1724.781,665.01207,
1721.870,666.39047,
1718.960,661.88884,
1716.049,666.87282,
1713.138,679.96994,
1710.228,634.13367,
1707.317,642.03771,
1704.407,696.10704,
1701.496,661.8919,
1698.586,709.74313,
1695.675,658.79319,
1692.764,702.33609,
1689.854,656.20863,
1686.943,677.19058,
1684.033,692.62746,
1681.122,700.86406,
1678.211,666.33311,
1675.301,758.71324,
1672.390,745.09271,
1669.480,775.71121,
1666.569,740.95219,
1663.659,815.5553,
1660.748,848.65293,
1657.837,831.10935,
1654.927,837.59318,
1652.016,903.41682,
1649.106,880.41618,
1646.195,896.90409,
1643.285,894.27605,
1640.374,949.91986,
1637.463,993.27022,
1634.553,1007.5419,
1631.642,978.30295,
1628.732,1097.5629,
1625.821,1192.036,
1622.911,1246.6901,
1620.000,1352.6519,
1617.089,1393.204,
1614.179,1486.3209,
1611.268,1550.6206,
1608.358,1683.5852,
1605.447,1783.3436,
1602.536,1789.9319,
1599.626,1815.7581,
1596.715,1807.1088,
1593.805,1794.3737,
1590.894,1763.9379,
1587.984,1758.2678,
1585.073,1734.1771,
1582.162,1685.751,
1579.252,1692.5477,
1576.341,1679.9787,
1573.431,1650.9384,
1570.520,1624.8906,
1567.610,1619.7451,
1564.699,1590.9988,
1561.788,1535.6342,
1558.878,1492.4205,
1555.967,1477.6967,
1553.057,1417.3109,
1550.146,1407.9672,
1547.235,1380.4965,
1544.325,1355.5243,
1541.414,1342.2582,
1538.504,1307.9617,
1535.593,1268.5496,
1532.683,1221.2739,
1529.772,1178.0627,
1526.861,1159.793,
1523.951,1165.8271,
1521.040,1164.2695,
1518.130,1126.964,
1515.219,1104.4802,
1512.309,1100.2297,
1509.398,1106.5703,
1506.487,1102.8269,
1503.577,1092.853,
1500.666,1085.7322,
1497.756,1036.3814,
1494.845,1038.7588,
1491.934,985.03465,
1489.024,995.62207,
1486.113,1035.8703,
1483.203,953.7359,
1480.292,922.63572,
1477.382,917.3835,
1474.471,931.5802,
1471.560,913.50435,
1468.650,879.71887,
1465.739,860.31412,
1462.829,873.90452,
1459.918,879.9226,
1457.008,880.58469,
1454.097,865.66504,
1451.186,861.54545,
1448.276,889.73794,
1445.365,870.10348,
1442.455,817.25377,
1439.544,807.2362,
1436.633,866.28301,
1433.723,915.78999,
1430.812,820.0447,
1427.902,783.1804,
1424.991,790.7625,
1422.081,747.87858,
1419.170,754.36872,
1416.259,748.70943,
1413.349,735.67138,
1410.438,704.00881,
1407.528,703.58735,
1404.617,687.102,
1401.707,712.33536,
1398.796,730.11893,
1395.885,747.03182,
1392.975,783.64511,
1390.064,761.4179,
1387.154,766.47544,
1384.243,702.27461,
1381.332,676.63992,
1378.422,735.21694,
1375.511,836.38929,
1372.601,836.15686,
1369.690,780.28054,
1366.780,845.45131,
1363.869,897.69147,
1360.958,965.45817,
1358.048,1073.5038,
1355.137,1081.2141,
1352.227,1084.2944,
1349.316,1133.7229,
1346.406,1146.1587,
1343.495,1195.9687,
1340.584,1233.1779,
1337.674,1283.0016,
1334.763,1307.3649,
1331.853,1290.6747,
1328.942,1378.0569,
1326.032,1413.4686,
1323.121,1479.0181,
1320.210,1509.9888,
1317.300,1543.3311,
1314.389,1572.7641,
1311.479,1622.1939,
1308.568,1671.1265,
1305.657,1691.2862,
1302.747,1763.481,
1299.836,1800.3711,
1296.926,1856.3329,
1294.015,1928.0401,
1291.105,2043.7094,
1288.194,2070.1824,
1285.283,2138.1563,
1282.373,2191.2108,
1279.462,2241.0386,
1276.552,2282.0079,
1273.641,2322.4336,
1270.731,2364.5881,
1267.820,2367.6619,
1264.909,2370.1315,
1261.999,2343.4647,
1259.088,2383.598,
1256.178,2346.603,
1253.267,2279.3916,
1250.356,2201.4017,
1247.446,2128.9955,
1244.535,2049.4376,
1241.625,1965.2816,
1238.714,1892.8274,
1235.804,1835.7331,
1232.893,1796.8783,
1229.982,1779.8535,
1227.072,1716.4817,
1224.161,1704.4355,
1221.251,1679.1757,
1218.340,1634.0747,
1215.430,1588.6754,
1212.519,1577.5079,
1209.608,1585.4562,
1206.698,1582.0639,
1203.787,1600.8141,
1200.877,1653.3313,
1197.966,1642.5414,
1195.055,1702.5807,
1192.145,1765.594,
1189.234,1819.3324,
1186.324,1855.3652,
1183.413,1873.4162,
1180.503,1872.9294,
1177.592,1850.5452,
1174.681,1811.4384,
1171.771,1779.2788,
1168.860,1748.0207,
1165.950,1764.3509,
1163.039,1749.4447,
1160.129,1730.9725,
1157.218,1728.8074,
1154.307,1731.0318,
1151.397,1723.1325,
1148.486,1707.9567,
1145.576,1667.7687,
1142.665,1662.4412,
1139.754,1651.4228,
1136.844,1668.6085,
1133.933,1663.5104,
1131.023,1642.1976,
1128.112,1623.2865,
1125.202,1614.4493,
1122.291,1613.8612,
1119.380,1578.485,
1116.470,1627.9066,
1113.559,1661.837,
1110.649,1677.8581,
1107.738,1650.3867,
1104.828,1641.7245,
1101.917,1672.4381,
1099.006,1680.1959,
1096.096,1664.9036,
1093.185,1630.6615,
1090.275,1659.5615,
1087.364,1669.7445,
1084.453,1675.4997,
1081.543,1678.5618,
1078.632,1679.8804,
1075.722,1680.803,
1072.811,1669.0477,
1069.901,1697.8653,
1066.990,1709.7,
1064.079,1724.9298,
1061.169,1717.7448,
1058.258,1723.5159,
1055.348,1744.2362,
1052.437,1746.2316,
1049.527,1779.1748,
1046.616,1809.5839,
1043.705,1835.3522,
1040.795,1856.6856,
1037.884,1870.0574,
1034.974,1879.0966,
1032.063,1886.2385,
1029.153,1889.285,
1026.242,1908.314,
1023.331,1900.6672,
1020.421,1889.9377,
1017.510,1904.4891,
1014.600,1913.5019,
1011.689,1920.2535,
1008.778,1970.2213,
1005.868,2053.2394,
1002.957,2079.9104,
1000.047,2159.712,
997.136,2237.3354,
994.226,2255.4926,
991.315,2229.5198,
988.404,2218.4592,
985.494,2224.9451,
982.583,2177.8345,
979.673,2177.5848,
976.762,2171.1935,
973.852,2156.6018,
970.941,2164.0792,
968.030,2208.5029,
965.120,2216.8353,
962.209,2177.6184,
959.299,2212.7867,
956.388,2207.6014,
953.477,2194.9323,
950.567,2202,
947.656,2208.5732,
944.746,2258.697,
941.835,2235.8958,
938.925,2219.4712,
936.014,2211.9767,
933.103,2202.9381,
930.193,2185.4056,
927.282,2166.4959,
924.372,2157.1942,
921.461,2114.7616,
918.551,2047.1351,
915.640,2032.3719,
912.729,2057.2911,
909.819,2037.9992,
906.908,2030.4173,
903.998,2056.247,
901.087,2059.8175,
898.176,2068.4983,
895.266,2070.1606,
892.355,2058.2665,
889.445,2107.7833,
886.534,2122.1928,
883.624,2163.3514,
880.713,2192.2071,
877.802,2208.6004,
874.892,2221.1838,
871.981,2221.2503,
869.071,2189.5046,
866.160,2205.3887,
863.250,2180.9268,
860.339,2157.1595,
857.428,2165.5999,
854.518,2145.9408,
851.607,2109.3298,
848.697,2117.4442,
845.786,2130.7466,
842.875,2135.9514,
839.965,2132.3834,
837.054,2125.1209,
834.144,2135.8947,
831.233,2102.6692,
828.323,2083.5163,
825.412,2077.4925,
822.501,2066.2127,
819.591,2056.2959,
816.680,2003.1153,
813.770,1988.747,
810.859,1979.4264,
807.949,1972.8586,
805.038,1983.4978,
802.127,1987.6134,
799.217,1970.1106,
796.306,1988.9732,
793.396,1982.6944,
790.485,1946.7904,
787.574,1961.4671,
784.664,1973.7687,
781.753,1972.6451,
778.843,1979.8215,
775.932,1996.4073,
773.022,2013.1268,
770.111,2013.9444,
767.200,2023.1357,
764.290,2010.3973,
761.379,1992.6981,
758.469,1980.6981,
755.558,1971.8541,
752.648,1966.9665,
749.737,1952.9442,
746.826,1926.4187,
743.916,1894.5064,
741.005,1861.8383,
738.095,1789.5812,
735.184,1678.0314,
732.274,1626.4821,
729.363,1660.3737,
726.452,1768.0728,
723.542,1890.2912,
720.631,1921.4652,
717.721,1923.2715,
714.810,1939.5567,
711.899,1971.1188,
708.989,1963.0496,
706.078,1936.557,
703.168,1933.6433,
700.257,1915.784,
697.347,1888.7389,
694.436,1894.389,
691.525,1871.8824,
688.615,1861.9687,
685.704,1878.8579,
682.794,1899.383,
679.883,1880.3873,
676.973,1866.764,
674.062,1862.0858,
671.151,1867.1366,
668.241,1879.5267,
665.330,1893.9622,
662.420,1893.1635,
659.509,1898.0794,
656.598,1903.1637,
653.688,1905.3099,
650.777,1904.4581,
647.867,1947.4598,
644.956,1924.8042,
642.046,1897.1226,
639.135,1888.3057,
636.224,1897.195,
633.314,1936.0979,
630.403,1949.5473,
627.493,1947.007,
624.582,1944.8269,
621.672,1970.9627,
618.761,1967.4404,
615.850,2005.6711,
612.940,2025.3632,
610.029,2005.2087,
607.119,2030.4769,
604.208,2047.2003,
601.297,2052.5015,
598.387,2041.108,
595.476,2013.7029,
592.566,2010.5546,
589.655,1989.2675,
586.745,1969.3206,
583.834,1952.2908,
580.923,1932.0711,
578.013,1943.8421,
575.102,1940.1169,
572.192,1956.4371,
569.281,1996.8278,
566.371,2007.0019,
563.460,1987.5414,
560.549,1984.8473,
557.639,1993.9542,
554.728,2005.5968,
551.818,2062.5599,
548.907,2034.1693,
545.996,2036.3816,
543.086,2082.3421,
540.175,2088.5713,
537.265,2075.963,
534.354,2098.0913,
531.444,2116.9189,
528.533,2097.1588,
525.622,2113.4537,
522.712,2147.3377,
519.801,2191.0585,
516.891,2218.7316,
513.980,2162.9823,
511.070,2224.2087,
508.159,2274.4456,
505.248,2307.262,
502.338,2332.4292,
499.427,2347.0941,
496.517,2384.3737,
493.606,2412.6919,
490.695,2422.7073,
487.785,2456.5781,
484.874,2450.368,
481.964,2438.1861,
479.053,2427.2421,
476.143,2415.7227,
473.232,2379.0298,
470.321,2362.0805,
467.411,2356.7207,
464.500,2350.8533,
461.590,2384.5459,
458.679,2369.2367,
455.769,2377.3558,
452.858,2438.3637,
449.947,2432.2523,
447.037,2444.9555,
444.126,2463.6121,
441.216,2484.2332,
438.305,2508.615,
435.395,2527.0796,
432.484,2556.2544,
429.573,2571.2673,
426.663,2508.1757,
423.752,2575.5316,
420.842,2580.9689,
417.931,2564.8673,
415.020,2617.1941,
412.110,2636.5587,
409.199,2654.7359,
406.289,2683.4806,
403.378,2733.8284,
400.468,2683.1768,
397.557,2672.6556,
394.646,2675.3065,
391.736,2666.7203,
388.825,2626.7461,
385.915,2600.6308,
383.004,2587.4289,
380.094,2591.1825,
377.183,2692.7668,
374.272,2769.3075,
371.362,2807.0567,
368.451,2801.1398,
365.541,2819.9032,
362.630,2820.0838,
359.719,2818.3677,
356.809,2824.0906,
353.898,2825.5882,
350.988,2829.7974,
348.077,2823.4165,
345.167,2799.773,
342.256,2795.2905,
339.345,2809.4115,
336.435,2835.7693,
333.524,2868.7181,
330.614,2859.7763,
327.703,2859.567,
324.793,2850.1416,
321.882,2816.0937,
318.971,2854.7528,
316.061,2892.904,
313.150,2921.7714,
310.240,2930.6768,
307.329,2941.0049,
304.418,2945.456,
301.508,2931.8215,
298.597,2878.5115,
295.687,2851.6511,
292.776,2882.6669,
289.866,2963.1081,
286.955,3068.0071,
284.044,3170.9174,
281.134,3226.8137,
278.223,3248.7959,
275.313,3343.1134,
272.402,3387.3979,
269.492,3435.7347,
266.581,3507.9908,
263.670,3591.8013,
260.760,3659.8802,
257.849,3678.4433,
254.939,3616.7972,
252.028,3684.7653,
249.117,3725.1617,
246.207,3733.8553,
243.296,3702.3778,
240.386,3681.3692,
237.475,3665.853,
234.565,3657.4954,
231.654,3666.9904,
228.743,3625.8474,
225.833,3560.1565,
222.922,3483.3737,
220.012,3491.3878,
217.101,3509.7029,
214.191,3505.8924,
211.280,3438.9659,
208.369,3421.2165,
205.459,3421.388,
202.548,3427.4902,
