,PLF44C~1,
Wavenumbers [1/cm],Intensity,
2225.400,2164.5902,
2222.490,2155.2229,
2219.579,2199.2278,
2216.669,2198.6655,
2213.758,2228.61,
2210.847,2226.5558,
2207.937,2235.5142,
2205.026,2234.6801,
2202.116,2259.4488,
2199.205,2297.4248,
2196.294,2314.489,
2193.384,2334.072,
2190.473,2379.3081,
2187.563,2398.3473,
2184.652,2454.6678,
2181.742,2537.4688,
2178.831,2594.0044,
2175.920,2659.8245,
2173.010,2798.2072,
2170.099,2905.0501,
2167.189,3092.0435,
2164.278,3249.3522,
2161.368,3469.4054,
2158.457,3664.4268,
2155.546,3875.5444,
2152.636,4107.9065,
2149.725,4307.6148,
2146.815,4526.4846,
2143.904,4702.058,
2140.993,4796.7915,
2138.083,4885.9759,
2135.172,4963.0746,
2132.262,4945.3415,
2129.351,4916.7766,
2126.441,4791.0858,
2123.530,4689.3853,
2120.619,4499.521,
2117.709,4222.9249,
2114.798,3995.9509,
2111.888,3740.0422,
2108.977,3476.3699,
2106.067,3301.2202,
2103.156,3105.3168,
2100.245,2938.0692,
2097.335,2839.9732,
2094.424,2764.7478,
2091.514,2698.4392,
2088.603,2608.1389,
2085.692,2576.4857,
2082.782,2591.0365,
2079.871,2541.8006,
2076.961,2541.2855,
2074.050,2519.8462,
2071.140,2472.2287,
2068.229,2454.6758,
2065.318,2465.7315,
2062.408,2489.6931,
2059.497,2432.8213,
2056.587,2429.3338,
2053.676,2425.7927,
2050.766,2400.8956,
2047.855,2385.4415,
2044.944,2361.593,
2042.034,2370.4489,
2039.123,2400.6031,
2036.213,2379.0294,
2033.302,2405.0158,
2030.391,2368.2962,
2027.481,2365.3686,
2024.570,2387.0819,
2021.660,2425.819,
2018.749,2427.0735,
2015.839,2373.2418,
2012.928,2371.469,
2010.017,2408.0729,
2007.107,2409.6128,
2004.196,2414.8274,
2001.286,2404.3936,
1998.375,2410.2175,
1995.465,2378.7946,
1992.554,2335.6959,
1989.643,2338.8485,
1986.733,2374.9645,
1983.822,2366.3414,
1980.912,2331.125,
1978.001,2328.3031,
1975.090,2308.5769,
1972.180,2296.8138,
1969.269,2337.2602,
1966.359,2336.476,
1963.448,2318.0114,
1960.538,2347.7739,
1957.627,2339.0755,
1954.716,2338.0963,
1951.806,2345.3798,
1948.895,2334.0582,
1945.985,2342.8913,
1943.074,2303.612,
1940.164,2319.3943,
1937.253,2286.665,
1934.342,2243.2106,
1931.432,2248.5067,
1928.521,2263.9575,
1925.611,2263.3134,
1922.700,2247.2535,
1919.790,2211.397,
1916.879,2260.0795,
1913.968,2260.1299,
1911.058,2263.8127,
1908.147,2232.5863,
1905.237,2232.397,
1902.326,2208.9472,
1899.415,2204.2457,
1896.505,2123.312,
1893.594,2169.933,
1890.684,2223.1705,
1887.773,2254.125,
1884.863,2236.2662,
1881.952,2270.7646,
1879.041,2253.8135,
1876.131,2267.3707,
1873.220,2221.6956,
1870.310,2265.1787,
1867.399,2227.7967,
1864.489,2290.1125,
1861.578,2268.5808,
1858.667,2299.631,
1855.757,2282.7336,
1852.846,2277.1455,
1849.936,2279.149,
1847.025,2281.5264,
1844.114,2340.1956,
1841.204,2343.2404,
1838.293,2324.6258,
1835.383,2336.6945,
1832.472,2353.0554,
1829.562,2381.3995,
1826.651,2356.1497,
1823.740,2372.3396,
1820.830,2359.6602,
1817.919,2363.5263,
1815.009,2396.0932,
1812.098,2383.1723,
1809.188,2403.6366,
1806.277,2383.6119,
1803.366,2424.6407,
1800.456,2455.07,
1797.545,2454.6782,
1794.635,2462.318,
1791.724,2478.9405,
1788.813,2472.1044,
1785.903,2404.6076,
1782.992,2345.9117,
1780.082,2158.9813,
1777.171,2006.7824,
1774.261,2017.3859,
1771.350,2193.4795,
1768.439,2417.8803,
