,PL0BCA~1,
Wavenumbers [1/cm],Intensity,
2219.579,2004.349,
2216.669,2043.6594,
2213.758,2082.3187,
2210.847,2044.3873,
2207.937,2052.8949,
2205.026,2075.4162,
2202.116,2090.061,
2199.205,2113.1361,
2196.294,2153.114,
2193.384,2168.434,
2190.473,2184.4777,
2187.563,2235.982,
2184.652,2287.6659,
2181.742,2328.0705,
2178.831,2387.1392,
2175.920,2455.7118,
2173.010,2561.8056,
2170.099,2706.6032,
2167.189,2866.7187,
2164.278,3023.7872,
2161.368,3211.1721,
2158.457,3373.9803,
2155.546,3541.0012,
2152.636,3764.0848,
2149.725,3948.4076,
2146.815,4088.8125,
2143.904,4291.3931,
2140.993,4405.5277,
2138.083,4465.4702,
2135.172,4539.5317,
2132.262,4570.757,
2129.351,4502.0082,
2126.441,4397.4682,
2123.530,4219.3133,
2120.619,4066.6043,
2117.709,3845.0024,
2114.798,3595.9567,
2111.888,3359.3543,
2108.977,3152.5844,
2106.067,2969.4431,
2103.156,2811.2126,
2100.245,2710.703,
2097.335,2617.928,
2094.424,2475.5432,
2091.514,2414.2256,
2088.603,2355.2386,
2085.692,2332.9768,
2082.782,2321.8545,
2079.871,2289.82,
2076.961,2314.6189,
2074.050,2281.5379,
2071.140,2260.9681,
2068.229,2265.5039,
2065.318,2237.7258,
2062.408,2248.2122,
2059.497,2233.3154,
2056.587,2235.9358,
2053.676,2196.0195,
2050.766,2172.8277,
2047.855,2146.3196,
2044.944,2166.016,
2042.034,2178.4149,
2039.123,2214.4503,
2036.213,2195.1966,
2033.302,2172.7282,
2030.391,2172.5976,
2027.481,2152.6404,
2024.570,2178.7777,
2021.660,2219.5622,
2018.749,2208.2941,
2015.839,2197.2881,
2012.928,2200.9799,
2010.017,2204.6718,
2007.107,2217.8678,
2004.196,2221.6071,
2001.286,2221.7924,
1998.375,2189.5649,
1995.465,2186.3357,
1992.554,2180.1089,
1989.643,2197.0933,
1986.733,2234.5561,
1983.822,2191.8002,
1980.912,2161.1455,
1978.001,2126.5218,
1975.090,2123.6584,
1972.180,2162.6463,
1969.269,2173.6753,
1966.359,2171.3175,
1963.448,2150.6787,
1960.538,2172.3413,
1957.627,2153.784,
1954.716,2150.75,
1951.806,2159.9745,
1948.895,2094.8916,
1945.985,2137.214,
1943.074,2115.3957,
1940.164,2117.6345,
1937.253,2093.1285,
1934.342,2092.3741,
1931.432,2103.2863,
1928.521,2137.1162,
1925.611,2103.4129,
1922.700,2051.0925,
1919.790,2054.8077,
1916.879,2106.9835,
1913.968,2060.8115,
1911.058,2122.3326,
1908.147,2058.5034,
1905.237,2127.0587,
1902.326,2061.9485,
1899.415,2034.9244,
1896.505,2026.0634,
1893.594,2054.9269,
1890.684,2070.946,
1887.773,2088.879,
1884.863,2083.0803,
1881.952,2102.6497,
1879.041,2107.1851,
1876.131,2095.7918,
1873.220,2044.9356,
1870.310,2065.5975,
1867.399,2104.1582,
1864.489,2132.1269,
1861.578,2113.2008,
1858.667,2089.7529,
1855.757,2143.5865,
1852.846,2117.073,
1849.936,2143.728,
1847.025,2126.5067,
1844.114,2159.1288,
1841.204,2163.6731,
1838.293,2177.7467,
1835.383,2181.936,
1832.472,2151.7257,
1829.562,2162.3289,
1826.651,2178.6987,
1823.740,2204.6849,
1820.830,2203.9468,
1817.919,2197.4925,
1815.009,2226.7182,
1812.098,2247.9075,
1809.188,2266.6337,
1806.277,2237.4361,
1803.366,2249.2158,
1800.456,2276.5851,
1797.545,2271.5373,
1794.635,2254.7811,
1791.724,2289.9053,
1788.813,2287.5395,
1785.903,2248.1842,
1782.992,2213.8737,
1780.082,2148.0212,
1777.171,2064.4101,
1774.261,2077.3458,
1771.350,2180.742,
1768.439,2282.5859,
1765.529,2324.474,
1762.618,2326.94,
1759.708,2344.0869,
1756.797,2366.8712,
1753.887,2385.4162,
1750.976,2353.805,
1748.065,2394.1217,
1745.155,2419.2533,
1742.244,2384.2781,
1739.334,2421.1029,
1736.423,2465.2397,
1733.512,2479.5712,
1730.602,2481.002,
1727.691,2524.5067,
1724.781,2546.4023,
1721.870,2543.9214,
1718.960,2537.8166,
1716.049,2538.4279,
1713.138,2627.6696,
1710.228,2591.4025,
1707.317,2610.2871,
1704.407,2629.9211,
1701.496,2639.9539,
1698.586,2693.4171,
1695.675,2724.8855,
1692.764,2758.9385,
1689.854,2706.2185,
1686.943,2708.5814,
1684.033,2827.72,
1681.122,2816.0049,
1678.211,2868.2456,
1675.301,2865.7593,
1672.390,3000.8008,
1669.480,3017.7901,
1666.569,3024.0323,
1663.659,3124.485,
1660.748,3170.3504,
1657.837,3252.253,
1654.927,3276.4135,
1652.016,3346.6977,
1649.106,3386.4147,
1646.195,3456.1307,
1643.285,3595.5046,
1640.374,3672.4016,
1637.463,3753.8033,
1634.553,3976.6563,
1631.642,4106.0193,
1628.732,4313.704,
1625.821,4473.9594,
1622.911,4791.9468,
1620.000,5133.416,
1617.089,5473.9241,
1614.179,5784.9231,
1611.268,6149.0314,
1608.358,6533.5358,
1605.447,6707.3227,
1602.536,6846.2823,
1599.626,6897.147,
1596.715,6892.5816,
1593.805,6818.4148,
1590.894,6780.6879,
1587.984,6746.4368,
1585.073,6586.0505,
1582.162,6510.3266,
1579.252,6437.7408,
1576.341,6394.9117,
1573.431,6370.5202,
1570.520,6368.8075,
1567.610,6300.4548,
1564.699,6243.3986,
1561.788,6110.3286,
1558.878,6032.4395,
1555.967,5943.7736,
1553.057,5826.2853,
1550.146,5676.663,
1547.235,5557.6206,
1544.325,5458.5415,
1541.414,5370.7858,
1538.504,5287.425,
1535.593,5195.9539,
1532.683,5094.5415,
1529.772,5005.3066,
1526.861,4979.3942,
1523.951,4975.0957,
1521.040,4927.168,
1518.130,4891.6702,
1515.219,4882.9116,
1512.309,4807.9211,
1509.398,4732.0602,
1506.487,4653.7899,
1503.577,4607.4274,
1500.666,4593.0345,
1497.756,4538.6058,
1494.845,4517.2659,
1491.934,4337.8067,
1489.024,4355.1316,
1486.113,4329.788,
1483.203,4228.2752,
1480.292,4158.0512,
1477.382,4112.1871,
1474.471,4003.9907,
1471.560,3941.095,
1468.650,3878.1877,
1465.739,3897.0223,
1462.829,3868.8269,
1459.918,3798.3906,
1457.008,3790.058,
1454.097,3807.4392,
1451.186,3824.2955,
1448.276,3848.7982,
1445.365,3851.1442,
1442.455,3847.6176,
1439.544,3810.4349,
1436.633,3861.0708,
1433.723,3869.3973,
1430.812,3813.317,
1427.902,3758.2461,
1424.991,3779.0969,
1422.081,3884.3424,
1419.170,3869.5563,
1416.259,3882.7613,
1413.349,3883.729,
1410.438,3919.1385,
1407.528,3910.9316,
1404.617,3814.9649,
1401.707,3788.5464,
1398.796,3814.3899,
1395.885,3815.4705,
1392.975,3809.4162,
1390.064,3783.4524,
1387.154,3759.5343,
1384.243,3732.2345,
1381.332,3782.0659,
1378.422,3823.0297,
1375.511,3944.8112,
1372.601,4031.5345,
1369.690,4128.7584,
1366.780,4224.5376,
1363.869,4296.6034,
1360.958,4420.0642,
1358.048,4482.0564,
1355.137,4559.243,
1352.227,4672.7045,
1349.316,4787.519,
1346.406,4885.3714,
1343.495,4929.1612,
1340.584,5016.6421,
1337.674,5073.5037,
1334.763,5134.0195,
1331.853,5246.2145,
1328.942,5280.1023,
1326.032,5398.7525,
1323.121,5498.1055,
1320.210,5603.6605,
1317.300,5713.3974,
1314.389,5833.6959,
1311.479,5953.7399,
1308.568,6085.7636,
1305.657,6240.2412,
1302.747,6371.9092,
1299.836,6528.5488,
1296.926,6722.5777,
1294.015,6934.0221,
1291.105,7089.8005,
1288.194,7318.2219,
1285.283,7576.2429,
1282.373,7685.5936,
1279.462,7824.179,
1276.552,7981.892,
1273.641,8106.589,
1270.731,8202.456,
1267.820,8188.8702,
1264.909,8140.1127,
1261.999,8142.4837,
1259.088,8135.1867,
1256.178,7962.6023,
1253.267,7773.4061,
1250.356,7542.5687,
1247.446,7283.8389,
1244.535,7005.6656,
1241.625,6727.0614,
1238.714,6459.2755,
1235.804,6218.7066,
1232.893,6072.277,
1229.982,5945.4877,
1227.072,5819.6493,
1224.161,5694.7605,
1221.251,5605.7442,
1218.340,5488.8173,
1215.430,5411.8748,
1212.519,5368.5648,
1209.608,5303.1231,
1206.698,5243.9843,
