,PLECFE~1,
Wavenumbers [1/cm],Intensity,
2420.409,931.28837,
2417.498,941.14326,
2414.588,941.93251,
2411.677,939.49899,
2408.767,931.73819,
2405.856,937.66186,
2402.946,940.9046,
2400.035,930.55751,
2397.124,935.9746,
2394.214,932.88401,
2391.303,929.18089,
2388.393,914.59414,
2385.482,924.95689,
2382.571,895.73719,
2379.661,913.40093,
2376.750,949.79917,
2373.840,972.51557,
2370.929,988.60921,
2368.019,985.4846,
2365.108,993.54058,
2362.197,994.15274,
2359.287,1004.9266,
2356.376,994.77289,
2353.466,994.20553,
2350.555,989.62535,
2347.645,1012.4467,
2344.734,1009.8698,
2341.823,1013.6505,
2338.913,1027.3485,
2336.002,1042.537,
2333.092,1048.4283,
2330.181,1051.0492,
2327.270,1062.255,
2324.360,1056.2288,
2321.449,1059.9337,
2318.539,1043.6644,
2315.628,1064.1605,
2312.718,1059.7346,
2309.807,1042.5261,
2306.896,1063.2226,
2303.986,1059.276,
2301.075,1073.3032,
2298.165,1071.9614,
2295.254,1072.7069,
2292.344,1091.3807,
2289.433,1088.3677,
2286.522,1092.6918,
2283.612,1114.9605,
2280.701,1119.4809,
2277.791,1100.9504,
2274.880,1111.7419,
2271.969,1134.5237,
2269.059,1120.6682,
2266.148,1126.2592,
2263.238,1166.9353,
2260.327,1138.1636,
2257.417,1126.7133,
2254.506,1149.0406,
2251.595,1129.0409,
2248.685,1171.1518,
2245.774,1168.8272,
2242.864,1189.4807,
2239.953,1159.2534,
2237.043,1165.4121,
2234.132,1187.6304,
2231.221,1199.5122,
2228.311,1196.6198,
2225.400,1235.3709,
2222.490,1189.7924,
2219.579,1212.4262,
2216.669,1242.7309,
2213.758,1264.3618,
2210.847,1258.4352,
2207.937,1259.5464,
2205.026,1296.1958,
2202.116,1269.1895,
2199.205,1292.8627,
2196.294,1298.304,
2193.384,1312.1445,
2190.473,1325.0458,
2187.563,1378.7548,
2184.652,1389.3892,
2181.742,1446.7049,
2178.831,1457.2675,
2175.920,1492.6425,
2173.010,1584.3554,
2170.099,1622.0154,
2167.189,1732.2666,
2164.278,1815.6354,
2161.368,1930.1731,
2158.457,2061.1187,
2155.546,2142.4895,
2152.636,2272.7604,
2149.725,2349.6963,
2146.815,2447.6467,
2143.904,2553.8652,
2140.993,2591.6812,
2138.083,2626.8471,
2135.172,2713.9855,
2132.262,2709.4489,
2129.351,2670.3809,
2126.441,2630.2936,
2123.530,2510.3919,
2120.619,2379.7413,
2117.709,2278.5801,
2114.798,2135.9186,
2111.888,1990.2277,
2108.977,1852.5513,
2106.067,1782.7235,
2103.156,1682.3673,
2100.245,1619.7262,
2097.335,1575.8495,
2094.424,1527.963,
2091.514,1486.6503,
2088.603,1428.3583,
2085.692,1414.5679,
2082.782,1417.2841,
2079.871,1389.9986,
2076.961,1369.7187,
2074.050,1408.9864,
2071.140,1361.669,
2068.229,1395.0287,
2065.318,1378.1812,
2062.408,1368.1668,
2059.497,1356.3154,
2056.587,1345.4593,
2053.676,1313.0853,
