,PL4B76~1,
Raman shift [1/cm],Intensity,
2173.010,1092.6012,
2170.099,1098.375,
2167.189,1203.3248,
2164.278,1200.0433,
2161.368,1243.658,
2158.457,1307.4239,
2155.546,1362.1001,
2152.636,1444.4547,
2149.725,1468.7039,
2146.815,1513.84,
2143.904,1562.9846,
2140.993,1587.539,
2138.083,1581.1623,
2135.172,1593.6189,
2132.262,1585.5704,
2129.351,1551.0473,
2126.441,1500.5496,
2123.530,1447.6118,
2120.619,1374.4578,
2117.709,1317.3347,
2114.798,1233.7939,
2111.888,1189.8625,
2108.977,1149.322,
2106.067,1084.6642,
2103.156,1049.3791,
2100.245,1009.3813,
2097.335,1013.4745,
2094.424,971.57175,
2091.514,963.57651,
2088.603,935.25521,
2085.692,930.33037,
2082.782,928.13406,
2079.871,931.30382,
2076.961,937.98753,
2074.050,946.47197,
2071.140,945.31777,
2068.229,921.75522,
2065.318,920.51252,
2062.408,939.06412,
2059.497,919.1607,
2056.587,903.73564,
2053.676,936.12275,
2050.766,919.45348,
2047.855,937.14717,
2044.944,925.38463,
2042.034,901.50798,
2039.123,915.51641,
2036.213,923.62609,
2033.302,902.78825,
2030.391,930.66207,
2027.481,933.77761,
2024.570,916.41815,
2021.660,878.62191,
2018.749,941.46323,
2015.839,919.45112,
2012.928,933.50084,
2010.017,952.82994,
2007.107,931.65161,
2004.196,921.00597,
2001.286,906.43511,
1998.375,913.55513,
1995.465,917.65536,
1992.554,908.48683,
1989.643,935.37265,
1986.733,928.57237,
1983.822,910.56629,
1980.912,887.14726,
1978.001,895.46778,
1975.090,912.58568,
1972.180,893.89364,
1969.269,910.07626,
1966.359,900.64484,
1963.448,908.67356,
1960.538,935.4167,
1957.627,900.14277,
1954.716,910.91537,
1951.806,901.53047,
1948.895,889.45591,
1945.985,919.41748,
1943.074,923.44886,
1940.164,912.30767,
1937.253,893.15797,
1934.342,893.0675,
1931.432,896.90181,
1928.521,886.62198,
1925.611,912.88124,
1922.700,898.63191,
1919.790,937.16062,
1916.879,920.18849,
1913.968,909.38607,
1911.058,919.20381,
1908.147,871.71804,
1905.237,867.67656,
1902.326,903.70689,
1899.415,856.01525,
1896.505,873.07998,
1893.594,893.92073,
1890.684,912.47945,
1887.773,918.246,
1884.863,902.35905,
1881.952,905.34993,
1879.041,918.20937,
1876.131,923.81814,
1873.220,903.45456,
1870.310,907.801,
1867.399,909.35901,
1864.489,936.38888,
1861.578,888.96279,
1858.667,903.20136,
1855.757,898.56712,
1852.846,902.85194,
1849.936,902.07168,
1847.025,939.13655,
1844.114,952.16794,
1841.204,944.96241,
1838.293,953.35005,
1835.383,947.60802,
1832.472,932.15413,
1829.562,957.64948,
1826.651,986.4181,
1823.740,978.08762,
1820.830,947.68187,
1817.919,921.64434,
1815.009,947.34319,
1812.098,944.29626,
1809.188,934.93316,
1806.277,962.73318,
1803.366,967.47482,
1800.456,973.92457,
1797.545,982.17648,
1794.635,973.08404,
1791.724,994.84097,
1788.813,1011.9745,
1785.903,1014.5959,
1782.992,1021.4003,
1780.082,1002.375,
1777.171,981.36374,
1774.261,945.58013,
1771.350,980.51576,
1768.439,1014.8215,
1765.529,1011.8296,
1762.618,1009.4762,
1759.708,1008.9294,
1756.797,1012.4508,
1753.887,1008.2977,
1750.976,1027.9614,
1748.065,1059.736,
1745.155,1038.7172,
1742.244,1045.8741,
1739.334,1055.6362,
1736.423,1072.0385,
1733.512,1062.6392,
1730.602,1063.1072,
1727.691,1065.375,
1724.781,1065.375,
1721.870,1088.7132,
1718.960,1102.5973,
1716.049,1109.4088,
1713.138,1133.4599,
1710.228,1095.6007,
1707.317,1145.9876,
1704.407,1153.375,
1701.496,1151.5519,
1698.586,1157.8429,
1695.675,1173.3463,
1692.764,1176.2684,
1689.854,1184.0285,
1686.943,1231.7224,
1684.033,1177.7907,
1681.122,1207.8312,
1678.211,1213.3274,
1675.301,1281.1653,
1672.390,1287.4587,
1669.480,1315.3991,
1666.569,1318.7686,
1663.659,1350.3549,
1660.748,1409.375,
1657.837,1410.5122,
1654.927,1461.3047,
1652.016,1459.5414,
1649.106,1506.424,
1646.195,1508.6148,
1643.285,1520.1524,
1640.374,1596.6468,
1637.463,1609.9515,
1634.553,1642.4686,
1631.642,1715.8745,
1628.732,1762.3764,
1625.821,1930.4319,
1622.911,2016.8847,
1620.000,2175.3592,
1617.089,2252.8427,
1614.179,2400.1448,
1611.268,2637.3779,
1608.358,2703.5656,
1605.447,2754.4611,
1602.536,2767.6258,
1599.626,2816.2115,
1596.715,2794.9622,
1593.805,2747.6584,
1590.894,2731.807,
1587.984,2689.6687,
1585.073,2692.734,
1582.162,2695.2099,
1579.252,2630.7292,
1576.341,2658.8314,
1573.431,2627.8668,
1570.520,2640.0707,
1567.610,2562.4325,
1564.699,2571.8016,
1561.788,2523.6995,
1558.878,2425.0021,
1555.967,2359.0024,
1553.057,2309.8408,
1550.146,2268.6369,
1547.235,2227.22,
1544.325,2215.1614,
1541.414,2169.0696,
1538.504,2116.1266,
1535.593,2101.532,
1532.683,2086.1871,
1529.772,2040.8755,
1526.861,2000.6053,
1523.951,1971.1029,
1521.040,1909.7453,
1518.130,1905.2085,
1515.219,1899.1743,
1512.309,1907.7758,
1509.398,1861.6715,
1506.487,1874.6586,
1503.577,1860.1707,
1500.666,1846.9273,
1497.756,1844.4429,
1494.845,1855.2538,
1491.934,1804.1545,
1489.024,1736.78,
1486.113,1748.2832,
1483.203,1750.2632,
1480.292,1689.2822,
1477.382,1654.1276,
1474.471,1666.0247,
1471.560,1659.7643,
1468.650,1617.7949,
1465.739,1575.3959,
1462.829,1600.7649,
1459.918,1614.1152,
1457.008,1618.606,
1454.097,1637.5344,
1451.186,1648.197,
1448.276,1653.4232,
1445.365,1656.7336,
1442.455,1669.7286,
1439.544,1640.7737,
1436.633,1594.7355,
1433.723,1642.2685,
1430.812,1599.9661,
1427.902,1607.0593,
1424.991,1593.7906,
1422.081,1565.8507,
1419.170,1547.8219,
1416.259,1523.5033,
1413.349,1516.8645,
1410.438,1518.4743,
1407.528,1519.375,
1404.617,1531.1176,
1401.707,1554.2133,
1398.796,1549.91,
1395.885,1550.2177,
1392.975,1595.7299,
1390.064,1611.4823,
1387.154,1575.0106,
1384.243,1566.2344,
1381.332,1497.8217,
1378.422,1499.4131,
1375.511,1616.5107,
1372.601,1756.6106,
1369.690,1749.5161,
1366.780,1762.2157,
1363.869,1809.2371,
1360.958,1868.9493,
1358.048,1903.2412,
1355.137,1933.9794,
1352.227,1975.8784,
1349.316,2034.0366,
1346.406,2079.9467,
1343.495,2080.0841,
1340.584,2130.5525,
1337.674,2187.2965,
1334.763,2083.7031,
1331.853,2223.715,
1328.942,2181.3439,
1326.032,2193.3187,
1323.121,2270.7305,
1320.210,2295.0432,
1317.300,2312.082,
1314.389,2369.0842,
1311.479,2412.6857,
1308.568,2429.8202,
1305.657,2470.58,
1302.747,2514.0801,
1299.836,2563.0631,
1296.926,2644.7161,
1294.015,2759.6316,
1291.105,2803.1188,
1288.194,2906.6204,
1285.283,2999.3953,
