,PLC8A7~1,
Raman shift [1/cm],Intensity,
3014.167,0.25,
3011.256,-1.9999463,
3008.346,199.33044,
3005.435,244.97791,
3002.525,236.79754,
2999.614,256.19159,
2996.704,266.39124,
2993.793,290.52534,
2990.882,288.19647,
2987.972,274.44171,
2985.061,312.69335,
2982.151,300.92058,
2979.240,312.68155,
2976.329,326.75819,
2973.419,348.1889,
2970.508,332.09999,
2967.598,366.77209,
2964.687,355.81726,
2961.777,362.40393,
2958.866,377.26485,
2955.955,386.08625,
2953.045,393.71757,
2950.134,426.32586,
2947.224,432.85144,
2944.313,430.03633,
2941.403,443.25,
2938.492,462.25,
2935.581,451.6856,
2932.671,478.92809,
2929.760,470.85385,
2926.850,463.7203,
2923.939,471.08642,
2921.028,484.79119,
2918.118,484.13162,
2915.207,510.19953,
2912.297,514.27116,
2909.386,525.21352,
2906.476,500.57586,
2903.565,525.04037,
2900.654,528.5321,
2897.744,497.58945,
2894.833,524.25,
2891.923,504.78839,
2889.012,519.25578,
2886.102,500.85405,
2883.191,512.23962,
2880.280,493.44138,
2877.370,492.37786,
2874.459,486.83495,
2871.549,526.5004,
2868.638,554.11392,
2865.727,540.80002,
2862.817,532.97861,
2859.906,555.3896,
2856.996,552.30434,
2854.085,546.41178,
2851.175,544.22887,
2848.264,550.544,
2845.353,535.40097,
2842.443,537.05905,
2839.532,530.02611,
2836.622,527.67123,
2833.711,521.66445,
2830.801,500.47352,
2827.890,521.77274,
2824.979,522.90406,
2822.069,532.99981,
2819.158,517.71092,
2816.248,514.055,
2813.337,534.34269,
2810.427,527.72796,
2807.516,545.92609,
2804.605,550.06731,
2801.695,535.71049,
2798.784,552.81054,
2795.874,531.54024,
2792.963,534.96447,
2790.052,528.25236,
2787.142,534.013,
2784.231,530.7329,
2781.321,533.23847,
2778.410,515.28424,
2775.500,520.76207,
2772.589,526.36544,
2769.678,542.56733,
2766.768,555.38009,
2763.857,540.30202,
2760.947,543.80359,
2758.036,553.94428,
2755.126,558.24359,
2752.215,566.7408,
2749.304,560.1223,
2746.394,556.21368,
2743.483,555.70005,
2740.573,549.79869,
2737.662,554.49408,
2734.751,567.57527,
2731.841,545.73534,
2728.930,574.57629,
2726.020,583.92882,
2723.109,574.63175,
2720.199,575.4062,
2717.288,577.81204,
2714.377,554.96278,
2711.467,572.36429,
2708.556,593.25,
2705.646,607.61623,
2702.735,597.10827,
2699.825,609.02268,
2696.914,597.86909,
2694.003,600.35082,
2691.093,606.30414,
2688.182,607.50333,
2685.272,607.32966,
2682.361,600.76201,
2679.450,616.85483,
2676.540,609.61583,
2673.629,616.29939,
2670.719,603.88494,
2667.808,621.61774,
2664.898,617.32782,
2661.987,634.01688,
2659.076,637.88578,
2656.166,655.47514,
2653.255,646.76871,
2650.345,643.89791,
