,PLD1E6~1,
Wavenumbers [1/cm],Intensity,
2213.758,2043.3618,
2210.847,2064.8407,
2207.937,2036.0937,
2205.026,2083.0844,
2202.116,2059.7808,
2199.205,2102.7357,
2196.294,2138.626,
2193.384,2144.855,
2190.473,2174.3474,
2187.563,2199.9723,
2184.652,2252.2263,
2181.742,2305.593,
2178.831,2373.4505,
2175.920,2448.9686,
2173.010,2529.229,
2170.099,2635.4068,
2167.189,2791.525,
2164.278,2922.6676,
2161.368,3108.3158,
2158.457,3297.1902,
2155.546,3508.4262,
2152.636,3692.2125,
2149.725,3899.3606,
2146.815,4028.4465,
2143.904,4174.4005,
2140.993,4320.4957,
2138.083,4389.6315,
2135.172,4443.658,
2132.262,4480.3266,
2129.351,4426.5222,
2126.441,4397.1965,
2123.530,4282.9664,
2120.619,4016.5582,
2117.709,3832.5946,
2114.798,3608.9491,
2111.888,3361.8303,
2108.977,3145.3923,
2106.067,2980.5771,
2103.156,2842.0496,
2100.245,2681.6923,
2097.335,2579.2736,
2094.424,2496.7663,
2091.514,2448.4325,
2088.603,2380.5611,
2085.692,2341.8802,
2082.782,2314.734,
2079.871,2271.9624,
2076.961,2312.3919,
2074.050,2253.9742,
2071.140,2243.2554,
2068.229,2259.9466,
2065.318,2230.6502,
2062.408,2214.2273,
2059.497,2194.1071,
2056.587,2212.3774,
2053.676,2201.2515,
2050.766,2203.1342,
2047.855,2175.8671,
2044.944,2150.1394,
2042.034,2179.698,
2039.123,2178.6692,
2036.213,2180.9212,
2033.302,2205.7063,
2030.391,2174.5308,
2027.481,2177.7863,
2024.570,2183.3787,
2021.660,2211.917,
2018.749,2187.7757,
2015.839,2211.7323,
2012.928,2194.6124,
2010.017,2187.5676,
2007.107,2211.3799,
2004.196,2224.2381,
2001.286,2199.5804,
1998.375,2169.1368,
1995.465,2147.0179,
1992.554,2162.9086,
1989.643,2154.1648,
1986.733,2146.7298,
1983.822,2173.1451,
1980.912,2131.6816,
1978.001,2155.5812,
1975.090,2106.4278,
1972.180,2097.472,
1969.269,2148.4886,
1966.359,2154.8309,
1963.448,2133.6007,
1960.538,2140.1111,
1957.627,2099.9512,
1954.716,2159.8253,
1951.806,2112.6874,
1948.895,2149.4949,
1945.985,2133.2484,
1943.074,2073.9456,
1940.164,2084.8946,
1937.253,2091.9245,
1934.342,2071.3655,
1931.432,2077.8226,
1928.521,2079.244,
1925.611,2077.7046,
1922.700,2025.0981,
1919.790,2031.559,
1916.879,2051.4945,
1913.968,2088.7057,
1911.058,2085.3716,
1908.147,2058.6581,
1905.237,2081.7131,
1902.326,2005.144,
1899.415,2019.739,
1896.505,1952.9063,
1893.594,1957.7227,
1890.684,2030.3381,
1887.773,2053.5257,
1884.863,2077.5222,
1881.952,2080.3801,
1879.041,2088.0974,
1876.131,2112.1095,
1873.220,2061.8338,
1870.310,2055.6065,
1867.399,2067.5581,
1864.489,2104.1658,
1861.578,2091.4312,
1858.667,2109.3638,
1855.757,2121.3407,
1852.846,2127.9808,
1849.936,2116.1454,
1847.025,2132.0371,
1844.114,2154.0935,
1841.204,2161.8514,
1838.293,2187.2525,
1835.383,2161.1575,
1832.472,2148.4596,
1829.562,2170.9977,
1826.651,2160.9205,
1823.740,2191.7884,
1820.830,2232.9865,
1817.919,2182.9293,
1815.009,2210.8492,
1812.098,2198.8996,
1809.188,2240.8352,
1806.277,2191.923,
1803.366,2247.7334,
1800.456,2246.0356,
1797.545,2237.4378,
1794.635,2276.717,
1791.724,2295.9248,
1788.813,2281.7371,
1785.903,2229.0873,
1782.992,2156.6322,
1780.082,2034.6947,
1777.171,1906.0605,
1774.261,1895.9415,
1771.350,2107.483,
1768.439,2252.8808,
1765.529,2320.0297,
1762.618,2366.6825,
1759.708,2367.7283,
1756.797,2362.447,
1753.887,2402.7529,
1750.976,2396.6532,
1748.065,2385.3399,
1745.155,2390.6404,
1742.244,2368.548,
1739.334,2417.6347,
1736.423,2439.8042,
1733.512,2440.6606,
1730.602,2483.6389,
1727.691,2496.9823,
1724.781,2505.4023,
1721.870,2520.6263,
1718.960,2497.4386,
1716.049,2532.8598,
1713.138,2614.2796,
1710.228,2618.9173,
1707.317,2624.8266,
1704.407,2557.4718,
1701.496,2615.3814,
1698.586,2646.6976,
1695.675,2627.2287,
1692.764,2740.3033,
1689.854,2695.0886,
1686.943,2739.1312,
1684.033,2780.7317,
1681.122,2805.3422,
1678.211,2865.179,
1675.301,2854.7839,
1672.390,2902.8008,
1669.480,2920.5362,
1666.569,3018.1563,
1663.659,3050.5503,
1660.748,3100.5818,
1657.837,3193.5313,
1654.927,3184.2654,
1652.016,3209.735,
1649.106,3370.3375,
1646.195,3396.9628,
1643.285,3529.2083,
1640.374,3592.189,
1637.463,3616.7672,
1634.553,3837.1982,
1631.642,3936.4428,
1628.732,4182.9529,
1625.821,4384.9011,
1622.911,4614.4483,
1620.000,4951.4664,
1617.089,5242.9191,
1614.179,5587.9078,
1611.268,5986.7301,
1608.358,6264.8268,
1605.447,6525.7234,
1602.536,6592.0038,
1599.626,6618.7483,
1596.715,6677.9289,
1593.805,6590.7395,
1590.894,6539.2392,
1587.984,6480.9184,
1585.073,6442.1206,
1582.162,6338.2334,
1579.252,6257.3774,
1576.341,6214.9117,
1573.431,6168.5913,
1570.520,6224.2508,
1567.610,6162.788,
1564.699,6028.1706,
1561.788,5951.1306,
1558.878,5865.4254,
1555.967,5770.6475,
1553.057,5665.3887,
1550.146,5502.0703,
1547.235,5404.4982,
1544.325,5326.4104,
1541.414,5215.6434,
1538.504,5119.5906,
1535.593,5069.4986,
1532.683,4994.516,
1529.772,4910.4189,
1526.861,4893.9104,
1523.951,4878.9046,
1521.040,4858.0749,
1518.130,4812.2505,
1515.219,4759.9904,
1512.309,4714.3039,
1509.398,4615.1131,
1506.487,4606.3651,
1503.577,4516.2877,
1500.666,4448.295,
1497.756,4438.657,
1494.845,4456.347,
1491.934,4326.6587,
1489.024,4298.7464,
1486.113,4229.1361,
1483.203,4188.2233,
1480.292,4089.5652,
1477.382,4012.9396,
1474.471,3945.0335,
1471.560,3938.1837,
1468.650,3891.871,
1465.739,3827.1181,
1462.829,3819.8641,
1459.918,3776.6059,
1457.008,3714.4728,
1454.097,3710.1526,
1451.186,3748.2065,
1448.276,3749.1255,
1445.365,3727.6126,
1442.455,3780.9973,
1439.544,3743.9171,
1436.633,3729.8672,
1433.723,3745.2907,
