,PL2B6E~1,
Wavenumbers [1/cm],Intensity,
2245.774,1455.7608,
2242.864,1435.6951,
2239.953,1462.8397,
2237.043,1460.9189,
2234.132,1475.4149,
2231.221,1487.1712,
2228.311,1471.223,
2225.400,1507.6656,
2222.490,1511.9912,
2219.579,1541.3567,
2216.669,1546.7023,
2213.758,1563.2729,
2210.847,1543.3747,
2207.937,1550.2207,
2205.026,1569.0826,
2202.116,1591.9453,
2199.205,1605.8124,
2196.294,1624.486,
2193.384,1657.3545,
2190.473,1635.7207,
2187.563,1665.011,
2184.652,1724.3226,
2181.742,1767.2742,
2178.831,1800.466,
2175.920,1877.6954,
2173.010,1949.5017,
2170.099,2053.939,
2167.189,2134.5608,
2164.278,2257.3148,
2161.368,2366.7442,
2158.457,2519.7929,
2155.546,2651.079,
2152.636,2818.3933,
2149.725,2954.1258,
2146.815,3086.8125,
2143.904,3182.0956,
2140.993,3300.1996,
2138.083,3340.7985,
2135.172,3391.5569,
2132.262,3400.9806,
2129.351,3366.3188,
2126.441,3247.3128,
2123.530,3171.1225,
2120.619,3012.8882,
2117.709,2872.2862,
2114.798,2689.6379,
2111.888,2522.0914,
2108.977,2341.7499,
2106.067,2213.9457,
2103.156,2115.964,
2100.245,2020.7218,
2097.335,1965.9961,
2094.424,1889.963,
2091.514,1837.5669,
2088.603,1781.1924,
2085.692,1778.5642,
2082.782,1739.0634,
2079.871,1712.785,
2076.961,1702.2666,
2074.050,1754.5318,
2071.140,1676.899,
2068.229,1682.2513,
2065.318,1639.2945,
2062.408,1663.7349,
2059.497,1667.756,
2056.587,1674.0057,
2053.676,1659.4177,
2050.766,1664.0572,
2047.855,1661.6963,
2044.944,1626.5481,
2042.034,1637.4379,
2039.123,1648.2685,
2036.213,1644.8056,
2033.302,1648.9675,
2030.391,1635.5976,
2027.481,1646.884,
2024.570,1656.807,
2021.660,1676.5674,
2018.749,1694.1924,
2015.839,1655.4226,
2012.928,1651.9346,
2010.017,1640.3591,
2007.107,1656.5145,
2004.196,1649.0358,
2001.286,1661.3542,
1998.375,1654.0955,
1995.465,1601.9804,
1992.554,1632.5732,
1989.643,1644.5426,
1986.733,1573.6026,
