,PL2986~1,
Wavenumbers [1/cm],Intensity,
3014.167,3,
3011.256,1,
3008.346,303.97405,
3005.435,317.34629,
3002.525,343.36018,
2999.614,362.86103,
2996.704,360.7701,
2993.793,372.74309,
2990.882,374.04582,
2987.972,370.0454,
2985.061,380.33005,
2982.151,408.42019,
2979.240,408.15115,
2976.329,409.51365,
2973.419,411.39974,
2970.508,434.94993,
2967.598,430.28675,
2964.687,441.2534,
2961.777,439.75206,
2958.866,446.66865,
2955.955,453.86503,
2953.045,473.81655,
2950.134,480.8834,
2947.224,480.39856,
2944.313,499.84259,
2941.403,492.22582,
2938.492,503.82925,
2935.581,485.36566,
2932.671,501.44208,
2929.760,518.95001,
2926.850,514.57481,
2923.939,514.51868,
2921.028,512.06464,
2918.118,507.70151,
2915.207,512.34801,
2912.297,514.96615,
2909.386,521.37957,
2906.476,490.427,
2903.565,481.41926,
2900.654,464.64816,
2897.744,446.96228,
2894.833,429.56728,
2891.923,406.5673,
2889.012,357.46821,
2886.102,283.32031,
2883.191,137.11234,
2880.280,-318.84226,
2877.370,-1176.9227,
2874.459,-1473.979,
2871.549,-681.11296,
2868.638,48.447097,
2865.727,242.78063,
2862.817,321.12966,
2859.906,385.50711,
2856.996,412.46603,
2854.085,441.12609,
2851.175,485.57228,
2848.264,489.35783,
2845.353,488.15097,
2842.443,502.98607,
2839.532,534.40287,
2836.622,536.17969,
2833.711,537.04397,
2830.801,534.41029,
2827.890,539.08392,
2824.979,545.20998,
2822.069,568.68158,
2819.158,553.16174,
2816.248,578.22974,
2813.337,563.09269,
2810.427,546.91874,
2807.516,563.09328,
2804.605,592.30047,
2801.695,580.2237,
2798.784,566.47846,
2795.874,557.56992,
2792.963,569.28596,
2790.052,548.00579,
2787.142,557.51312,
2784.231,543.77486,
2781.321,551.75432,
2778.410,558.43529,
2775.500,549.70241,
2772.589,558.30886,
2769.678,568.57341,
2766.768,577.85634,
2763.857,558.68594,
2760.947,581.55359,
2758.036,581.52861,
2755.126,582.23932,
2752.215,563.57708,
2749.304,573.55213,
2746.394,597.05846,
2743.483,592.75003,
2740.573,598.42041,
2737.662,577.04141,
2734.751,587.69443,
2731.841,582.02748,
2728.930,573.08455,
2726.020,608.22975,
2723.109,595.38175,
2720.199,585.52801,
2717.288,582.42334,
2714.377,583.4164,
2711.467,605.26263,
2708.556,595.21263,
2705.646,611.83102,
2702.735,629.97937,
2699.825,620.27095,
2696.914,618.04726,
2694.003,626.55936,
2691.093,604.64261,
2688.182,608.69185,
2685.272,615.0441,
2682.361,606.75873,
2679.450,616.66253,
2676.540,648.4106,
2673.629,626.63673,
2670.719,637.43068,
2667.808,636,
2664.898,620.89591,
2661.987,625.76654,
2659.076,627.10991,
2656.166,624.63189,
2653.255,653.2619,
2650.345,649.13612,
2647.434,667.08574,
2644.524,666.06954,
2641.613,658.88561,
2638.702,651.09469,
2635.792,648.46959,
2632.881,648.35108,
2629.971,634.67774,
2627.060,652.83157,
2624.149,666.54063,
2621.239,679.52668,
2618.328,675.46626,
2615.418,688.98637,
2612.507,693.13835,
2609.597,679.28543,
2606.686,700.66264,
2603.775,694.84127,
2600.865,689.82591,
2597.954,715.28129,
2595.044,701.66076,
2592.133,695.66235,
2589.223,699.02422,
2586.312,702.46233,
2583.401,693.65328,
2580.491,715.95666,
2577.580,702.03136,
2574.670,714.35831,
2571.759,697,
2568.848,700.29283,
2565.938,694.66662,
2563.027,696.24321,
2560.117,705.79443,
2557.206,738.60147,
2554.296,712.11213,
2551.385,717.01614,
2548.474,729.37026,
2545.564,720.22159,
2542.653,746.3792,
2539.743,726.18484,
2536.832,723.83739,
2533.922,729.53615,
2531.011,764.64986,
2528.100,754.07312,
2525.190,759.18319,
2522.279,754.37518,
2519.369,753.24581,
2516.458,718.54533,
2513.548,728.84515,
2510.637,763.92224,
2507.726,777.37546,
2504.816,763.06087,
2501.905,774.91281,
2498.995,756.35831,
2496.084,762.61324,
2493.173,777.26358,
2490.263,784.01129,
2487.352,792.41573,
2484.442,785.8351,
2481.531,813.00522,
2478.621,798.19897,
2475.710,789.96166,
2472.799,785,
2469.889,792.27148,
2466.978,792.78357,
2464.068,823.51864,
2461.157,806.34747,
2458.247,817.11771,
2455.336,817.40508,
2452.425,822.02359,
2449.515,821.66114,
2446.604,845.48163,
2443.694,820.44159,
2440.783,844.95834,
2437.872,846.89061,
2434.962,839.00922,
2432.051,837.67925,
2429.141,847.44122,
2426.230,869.37022,
2423.320,872.32891,
2420.409,870.10233,
2417.498,874.4438,
2414.588,889.3421,
2411.677,889.88839,
2408.767,865.56496,
2405.856,882,
2402.946,896.37533,
2400.035,890.41314,
2397.124,863.4492,
2394.214,871.86599,
2391.303,862.70732,
2388.393,822.11157,
2385.482,742.30464,
2382.571,650.15172,
2379.661,699.5341,
2376.750,864.45264,
2373.840,920.0188,
2370.929,911.06498,
2368.019,934.34913,
2365.108,949.48691,
2362.197,945.48485,
2359.287,960.94151,
2356.376,964.00704,
2353.466,979.63702,
2350.555,975.92521,
2347.645,969.01459,
2344.734,969.8203,
2341.823,970.04975,
2338.913,1007.3552,
2336.002,1009.7416,
2333.092,1009.8736,
2330.181,984.10237,
2327.270,1005.2948,
2324.360,1017.8491,
2321.449,1005.9388,
2318.539,1019.7034,
2315.628,1041.554,
2312.718,1004.6035,
2309.807,1013.279,
2306.896,1050.6933,
2303.986,1031.6104,
2301.075,1036.234,
2298.165,1067.3275,
2295.254,1040.754,
2292.344,1059.2074,
2289.433,1069.9923,
2286.522,1081.8615,
2283.612,1079.8189,
2280.701,1056.5561,
2277.791,1097.7577,
2274.880,1073.1359,
2271.969,1092.3868,
2269.059,1087.4142,
2266.148,1096.8614,
2263.238,1107.3977,
2260.327,1098.9659,
2257.417,1133.3067,
2254.506,1124.3049,
2251.595,1131.72,
2248.685,1143.2038,
2245.774,1125.5718,
2242.864,1126.1122,
2239.953,1166.6759,
2237.043,1153.9482,
2234.132,1153.6961,
2231.221,1158.8166,
2228.311,1167.2191,
2225.400,1190.8311,
2222.490,1189.0848,
2219.579,1214.8638,
2216.669,1216.5644,
2213.758,1204.9569,
2210.847,1230.9874,
2207.937,1231.2443,
2205.026,1289.7793,
2202.116,1244.3291,
2199.205,1253.3861,
2196.294,1290.554,
2193.384,1295.8685,
2190.473,1313.8756,
2187.563,1332.2272,
2184.652,1379.4518,
2181.742,1389.9783,
2178.831,1433.183,
2175.920,1503.0528,
2173.010,1560.0023,
2170.099,1630.7932,
2167.189,1716.5023,
2164.278,1801.7005,
2161.368,1917.2828,
2158.457,2029.6825,
2155.546,2157.1789,
2152.636,2278.6487,
2149.725,2327.8121,
2146.815,2431.5296,
2143.904,2551.8327,
2140.993,2634.9576,
2138.083,2666.6017,
2135.172,2705.9412,
2132.262,2711.7482,
2129.351,2685.324,
2126.441,2596.6017,
2123.530,2475.9449,
2120.619,2372.1289,
2117.709,2263.9195,
2114.798,2104.6072,
2111.888,1976.1899,
2108.977,1852.5231,
2106.067,1751.0882,
2103.156,1667.772,
2100.245,1561.9605,
2097.335,1496.9529,
2094.424,1467.639,
2091.514,1423.4301,
2088.603,1410.3365,
2085.692,1398.3197,
2082.782,1375.1407,
2079.871,1381.2509,
2076.961,1380.3229,
2074.050,1321.7455,
2071.140,1348.4374,
2068.229,1312.8099,
2065.318,1321.0862,
2062.408,1312.5832,
2059.497,1310.6071,
2056.587,1303.7792,
2053.676,1310.616,
2050.766,1297.3087,
2047.855,1261.6298,
2044.944,1251.9263,
2042.034,1272.896,
2039.123,1278.6599,
2036.213,1264.2911,
2033.302,1253.5216,
2030.391,1280.2537,
2027.481,1286.7927,
2024.570,1257.1864,
2021.660,1265.1722,
2018.749,1246.848,
2015.839,1245.1522,
2012.928,1256.9312,
2010.017,1254.2204,
2007.107,1258.3944,
2004.196,1260.7024,
2001.286,1243.0177,
1998.375,1228.7835,
1995.465,1209.5482,
1992.554,1199.6177,
1989.643,1188.3802,
1986.733,1213.8763,
1983.822,1195.9749,
1980.912,1202.3065,
1978.001,1184.5677,
1975.090,1191.1878,
1972.180,1202.758,
1969.269,1173.2039,
1966.359,1146.2973,
1963.448,1160.1493,
1960.538,1118.7439,
1957.627,1149.0155,
1954.716,1134.5745,
1951.806,1145.3671,
1948.895,1097.0405,
1945.985,1109.7745,
1943.074,1109.487,
1940.164,1118.8653,
1937.253,1118.013,
1934.342,1113.9316,
1931.432,1103.1136,
1928.521,1070.4784,
1925.611,1048.2338,
1922.700,1012.7597,
1919.790,1032.4216,
1916.879,1037.9303,
1913.968,1037.0012,
1911.058,1045.5766,
1908.147,1075.0919,
1905.237,1020.6691,
1902.326,964.80448,
1899.415,885.45971,
1896.505,826.60843,
1893.594,865.97576,
1890.684,927.42475,
1887.773,964.25801,
1884.863,993.48064,
1881.952,976.28524,
1879.041,1025.7627,
1876.131,1044.1856,
1873.220,1018.7211,
1870.310,971.37228,
1867.399,1030.9764,
1864.489,1016.4548,
1861.578,1006.6426,
1858.667,1038.6258,
1855.757,1016.21,
1852.846,1017.3128,
1849.936,1041.6056,
1847.025,1015.8224,
1844.114,1035.8871,
1841.204,1064.3147,
1838.293,1075.9933,
1835.383,1065.791,
1832.472,1075.3496,
1829.562,1097.6656,
1826.651,1072.5976,
1823.740,1119.4216,
1820.830,1113.4486,
1817.919,1086.2693,
1815.009,1082,
1812.098,1120.5984,
1809.188,1120.3101,
1806.277,1085.7746,
1803.366,1123.5009,
1800.456,1097.902,
