,PLD8DD~1,
Wavenumbers [1/cm],Intensity,
2219.579,2142.0585,
2216.669,2141.8645,
2213.758,2153.6259,
2210.847,2177.5863,
2207.937,2172.9943,
2205.026,2207.5267,
2202.116,2234.8657,
2199.205,2242.0114,
2196.294,2263.75,
2193.384,2280.802,
2190.473,2313.4894,
2187.563,2333.0883,
2184.652,2407.1177,
2181.742,2447.7065,
2178.831,2529.7191,
2175.920,2625.9686,
2173.010,2708.4042,
2170.099,2838.8041,
2167.189,2969.0057,
2164.278,3168.2817,
2161.368,3364.7442,
2158.457,3559.732,
2155.546,3781.1531,
2152.636,3995.2975,
2149.725,4172.5821,
2146.815,4306.0127,
2143.904,4555.1812,
2140.993,4652.8661,
2138.083,4739.2454,
2135.172,4810.8428,
2132.262,4844.7289,
2129.351,4760.2323,
2126.441,4658.0022,
2123.530,4496.9766,
2120.619,4309.9256,
2117.709,4068.2315,
2114.798,3841.072,
2111.888,3558.3811,
2108.977,3324.3923,
2106.067,3183.0868,
2103.156,3009.8175,
2100.245,2885.676,
2097.335,2754.8652,
2094.424,2650.2186,
2091.514,2598.1584,
2088.603,2551.4597,
2085.692,2507.1963,
2082.782,2490.9909,
2079.871,2440.9974,
2076.961,2409.1707,
2074.050,2470.3258,
2071.140,2414.5438,
2068.229,2381.2747,
2065.318,2402.157,
2062.408,2376.5299,
2059.497,2379.3929,
2056.587,2370.3434,
2053.676,2353.4004,
2050.766,2384.0557,
2047.855,2310.2374,
2044.944,2298.4695,
2042.034,2348.3109,
2039.123,2374.8072,
2036.213,2350.8456,
2033.302,2361.8151,
2030.391,2344.5642,
2027.481,2339.189,
2024.570,2360.2924,
2021.660,2386.3309,
2018.749,2322.7133,
2015.839,2390.8898,
2012.928,2346.75,
2010.017,2354.8662,
2007.107,2372.5874,
2004.196,2380.9167,
2001.286,2376.8737,
1998.375,2344.0029,
1995.465,2315.4446,
1992.554,2309.8735,
1989.643,2322.3007,
1986.733,2335.3219,
1983.822,2319.8504,
1980.912,2281.3151,
1978.001,2308.1062,
1975.090,2300.1332,
1972.180,2296.1303,
1969.269,2319.2817,
1966.359,2307.4792,
1963.448,2283.0974,
1960.538,2279.3155,
1957.627,2287.6664,
1954.716,2284.8649,
1951.806,2298.7196,
1948.895,2249.677,
1945.985,2295.0229,
1943.074,2245.248,
1940.164,2281.5098,
1937.253,2272.2287,
1934.342,2224.0832,
1931.432,2238.8099,
1928.521,2229.332,
1925.611,2201.38,
1922.700,2232.5732,
1919.790,2228.8311,
1916.879,2185.819,
1913.968,2275.6356,
1911.058,2251.0413,
1908.147,2219.5252,
1905.237,2249.8528,
1902.326,2191.3767,
1899.415,2161.7866,
1896.505,2111.6174,
1893.594,2122.1952,
1890.684,2192.9,
1887.773,2220.9574,
1884.863,2238.9163,
1881.952,2289.8347,
1879.041,2271.2209,
1876.131,2246.9056,
1873.220,2202.7808,
1870.310,2218.0997,
1867.399,2244.3502,
1864.489,2312.6345,
1861.578,2236.9642,
1858.667,2251.0973,
1855.757,2267.54,
1852.846,2286.0372,
1849.936,2305.3316,
1847.025,2306.806,
1844.114,2326.59,
1841.204,2350.2815,
1838.293,2335.8016,
1835.383,2304.2035,
1832.472,2294.2613,
1829.562,2344.6034,
1826.651,2322.0478,
1823.740,2336.0604,
1820.830,2362.3249,
1817.919,2333.9893,
1815.009,2390.9675,
1812.098,2371.2303,
1809.188,2414.6491,
1806.277,2348.3214,
1803.366,2410.9663,
1800.456,2423.3103,
1797.545,2413.8139,
1794.635,2397.33,
1791.724,2421.3519,
1788.813,2449.3431,
1785.903,2420.9497,
