,PL605E~1,
Wavenumbers [1/cm],Intensity,
2175.920,1109.4021,
2173.010,1156.1026,
2170.099,1229.4097,
2167.189,1251.1088,
2164.278,1312.9289,
2161.368,1408.6041,
2158.457,1489.3896,
2155.546,1561.278,
2152.636,1655.5849,
2149.725,1722.3607,
2146.815,1773.2818,
2143.904,1872.7723,
2140.993,1935.5965,
2138.083,1968.3974,
2135.172,1972.271,
2132.262,1982.2676,
2129.351,1972.3809,
2126.441,1895.1867,
2123.530,1815.9194,
2120.619,1730.3652,
2117.709,1644.8394,
2114.798,1561.3724,
2111.888,1420.6769,
2108.977,1340.6043,
2106.067,1275.5225,
2103.156,1234.4751,
2100.245,1171.7136,
2097.335,1111.1008,
2094.424,1079.3038,
2091.514,1035.1021,
2088.603,1025.8007,
2085.692,1027.7054,
2082.782,1030.4568,
2079.871,1016.785,
2076.961,1010.0083,
2074.050,998.67121,
2071.140,1016.5891,
2068.229,1003.7761,
2065.318,975.19475,
2062.408,976.81052,
2059.497,965.5357,
2056.587,987.70305,
2053.676,963.63548,
2050.766,971.44133,
2047.855,959.18042,
2044.944,941.34615,
2042.034,949.85402,
2039.123,948.51094,
2036.213,946.25217,
2033.302,945.33675,
2030.391,953.52975,
2027.481,930.17703,
2024.570,925.2785,
2021.660,948.3309,
2018.749,942.06617,
2015.839,924.07743,
2012.928,924.57718,
2010.017,940.42535,
2007.107,945.193,
2004.196,954.28572,
2001.286,941.8525,
1998.375,925.79134,
1995.465,891.28572,
1992.554,884.50293,
1989.643,865.44127,
1986.733,882.08772,
1983.822,903.21086,
1980.912,889.34419,
1978.001,889.41975,
1975.090,886.91489,
1972.180,881.44152,
1969.269,856.22125,
1966.359,850.15537,
1963.448,853.13309,
1960.538,836.08528,
1957.627,850.47447,
1954.716,868.29037,
1951.806,825.44549,
1948.895,835.43426,
1945.985,809.27778,
1943.074,809.21104,
1940.164,818.13404,
1937.253,803.6015,
1934.342,844.74144,
1931.432,812.5765,
1928.521,785.85363,
1925.611,779.42537,
1922.700,760.3384,
1919.790,759.19505,
1916.879,742.07524,
1913.968,774.70819,
1911.058,741.06232,
1908.147,772.95291,
1905.237,753.45579,
1902.326,685.20187,
1899.415,628.84996,
1896.505,546.34003,
1893.594,582.3387,
1890.684,680.36436,
1887.773,709.16315,
1884.863,749.43565,
1881.952,757.56504,
1879.041,766.34086,
1876.131,781.1513,
1873.220,708.78509,
1870.310,713.53024,
1867.399,721.63804,
1864.489,742.98366,
1861.578,749.1236,
1858.667,751.13624,
1855.757,742.74642,
1852.846,755.04228,
1849.936,774.61087,
1847.025,747.22691,
1844.114,740.87949,
1841.204,791.79195,
1838.293,791.78659,
1835.383,768.1105,
1832.472,795.80913,
1829.562,790.83671,
1826.651,763.75823,
1823.740,823.99533,
1820.830,816.34027,
1817.919,792.9056,
1815.009,797.45611,
1812.098,796.95473,
1809.188,834.26929,
1806.277,789.81233,
1803.366,823.86645,
1800.456,831.57436,
1797.545,841.97005,
1794.635,810.42609,
1791.724,843.96366,
1788.813,815.74486,
1785.903,773.48662,
1782.992,642.68279,
1780.082,408.88541,
1777.171,103.72427,
1774.261,67.976215,
1771.350,379.72734,
1768.439,750.6513,
1765.529,847.02692,
1762.618,889.69316,
1759.708,889.38026,
1756.797,887.27273,
1753.887,883.95408,
1750.976,890.6191,
1748.065,928.94201,
1745.155,920.4792,
1742.244,949.12674,
1739.334,946.7853,
1736.423,923.03226,
1733.512,955.5875,
1730.602,963.01785,
1727.691,959.21468,
1724.781,978.41441,
1721.870,976.5071,
1718.960,991.19464,
1716.049,1020.7582,
1713.138,1025.75,
1710.228,1043.1559,
1707.317,1047.5191,
1704.407,1045.0548,
1701.496,1049.3077,
1698.586,1084.8614,
1695.675,1074.6501,
1692.764,1087.9508,
1689.854,1113.624,
1686.943,1103.1547,
1684.033,1135.9056,
1681.122,1159.3592,
1678.211,1168.6643,
1675.301,1250.4972,
1672.390,1244.9324,
1669.480,1305.8703,
1666.569,1321.2832,
1663.659,1362.5377,
1660.748,1351.5046,
1657.837,1441.0124,
1654.927,1454.3198,
1652.016,1519.3612,
1649.106,1506.0757,
1646.195,1599.9009,
1643.285,1645.998,
1640.374,1615.4643,
1637.463,1696.5426,
1634.553,1740.5776,
1631.642,1797.0312,
1628.732,1914.3959,
1625.821,2022.8337,
1622.911,2150.0287,
1620.000,2293.9232,
1617.089,2421.2027,
1614.179,2652.1228,
1611.268,2819.5413,
1608.358,2930.5995,
1605.447,2996.0933,
1602.536,3091.0749,
1599.626,3127.1879,
1596.715,3004.501,
1593.805,2973.8634,
1590.894,2928.5972,
1587.984,2902.8299,
1585.073,2801.0553,
1582.162,2770.3918,
1579.252,2712.1055,
1576.341,2710.1638,
1573.431,2654.7951,
1570.520,2600.5311,
1567.610,2640.1626,
1564.699,2614.9732,
1561.788,2563.5391,
1558.878,2492.7634,
1555.967,2443.6267,
1553.057,2368.5955,
1550.146,2327.8336,
1547.235,2283.4271,
1544.325,2207.8109,
1541.414,2166.3494,
1538.504,2142.7393,
1535.593,2114.0379,
1532.683,2043.4881,
1529.772,1968.5751,
1526.861,1950.8871,
1523.951,1935.4954,
1521.040,1928.1857,
1518.130,1930.7568,
1515.219,1939.4325,
1512.309,1843.3446,
1509.398,1816.691,
1506.487,1814.2865,
1503.577,1719.1048,
1500.666,1707.2197,
1497.756,1731.3936,
1494.845,1689.5093,
1491.934,1659.6461,
1489.024,1627.8838,
1486.113,1592.443,
1483.203,1571.0985,
1480.292,1508.5057,
1477.382,1478.352,
1474.471,1431.5442,
1471.560,1422.3783,
1468.650,1385.4867,
1465.739,1368.3905,
1462.829,1340.1028,
1459.918,1322.4075,
1457.008,1312.5806,
1454.097,1309.1445,
1451.186,1342.7016,
1448.276,1383.2845,
1445.365,1381.8195,
1442.455,1350.2771,
1439.544,1338.7428,
1436.633,1362.9427,
1433.723,1298.1239,
1430.812,1296.6865,
1427.902,1246.2686,
1424.991,1268.0672,
1422.081,1257.7403,
1419.170,1236.0126,
1416.259,1286.2142,
1413.349,1289.6871,
1410.438,1283.9509,
1407.528,1252.4941,
1404.617,1234.5757,
1401.707,1218.3817,
1398.796,1174.5403,
1395.885,1156.0454,
1392.975,1167.4787,
1390.064,1184.95,
1387.154,1263.3382,
1384.243,1248.3385,
1381.332,1311.9593,
1378.422,1338.1364,
1375.511,1345.6307,
1372.601,1436.0639,
1369.690,1418.0333,
1366.780,1445.4314,
1363.869,1468.2795,
1360.958,1539.1114,
1358.048,1557.9172,
1355.137,1580.3424,
1352.227,1655.9594,
1349.316,1726.3032,
1346.406,1771.8246,
1343.495,1825.4695,
1340.584,1867.2846,
1337.674,1936.1772,
1334.763,1917.1494,
1331.853,1980.2011,
1328.942,2074.3648,
1326.032,2105.3249,
1323.121,2117.9006,
1320.210,2175.3555,
1317.300,2260.0025,
1314.389,2354.7372,
1311.479,2460.9244,
1308.568,2531.8276,
1305.657,2561.5648,
1302.747,2647.9143,
1299.836,2724.7035,
1296.926,2848.5274,
1294.015,2908.2834,
1291.105,3074.5308,
1288.194,3113.5236,
1285.283,3242.3345,
1282.373,3346.8045,
1279.462,3447.9251,
1276.552,3505.6791,
1273.641,3513.9625,
1270.731,3501.6395,
1267.820,3422.9761,
1264.909,3353.4213,
1261.999,3425.6474,
1259.088,3477.6383,
1256.178,3464.4773,
1253.267,3378.8929,
1250.356,3309.0512,
1247.446,3202.6746,
1244.535,3044.1387,
1241.625,2898.1316,
1238.714,2836.6659,
1235.804,2816.5463,
1232.893,2684.5204,
1229.982,2591.9953,
1227.072,2599.2378,
1224.161,2526.6262,
1221.251,2532.1072,
1218.340,2494.6988,
1215.430,2444.3243,
1212.519,2407.8089,
1209.608,2373.4487,
1206.698,2339.4095,
1203.787,2321.9208,
1200.877,2297.9231,
1197.966,2332.9903,
1195.055,2444.8191,
1192.145,2543.3924,
1189.234,2586.6186,
1186.324,2634.481,
1183.413,2679.9987,
1180.503,2696.4127,
1177.592,2682.275,
1174.681,2639.7774,
1171.771,2653.2349,
1168.860,2630.9076,
1165.950,2613.4305,
1163.039,2594.3851,
1160.129,2593.6486,
1157.218,2599.6729,
1154.307,2598.0397,
1151.397,2581.3228,
1148.486,2558.9431,
1145.576,2597.707,
1142.665,2550.6476,
1139.754,2555.6999,
1136.844,2539.5421,
1133.933,2503.5977,
1131.023,2488.9431,
1128.112,2495.4642,
1125.202,2490.7114,
1122.291,2472.3767,
1119.380,2477.0445,
1116.470,2507.0504,
1113.559,2487.5525,
1110.649,2504.9793,
1107.738,2526.8589,
1104.828,2519.7704,
1101.917,2488.9863,
1099.006,2471.5334,
1096.096,2498.8575,
1093.185,2500.6135,
1090.275,2528.2652,
1087.364,2529.261,
1084.453,2553.7483,
1081.543,2584.3909,
1078.632,2596.1232,
1075.722,2599.6396,
1072.811,2622.5495,
1069.901,2647.8741,
1066.990,2607.7168,
1064.079,2597.0695,
1061.169,2586.2563,
1058.258,2580.2909,
1055.348,2587.2775,
1052.437,2597.8818,
1049.527,2610.9654,
1046.616,2668.3081,
1043.705,2653.9393,
1040.795,2668.1821,
