,PLFBCD~1,
Raman shift [1/cm],Intensity,
2173.010,651.25113,
2170.099,703.54466,
2167.189,727.03702,
2164.278,765.8696,
2161.368,771.60583,
2158.457,828.82752,
2155.546,887.12792,
2152.636,922.351,
2149.725,957.54864,
2146.815,989.81567,
2143.904,1023.5641,
2140.993,1059.3796,
2138.083,1062.9263,
2135.172,1057.7668,
2132.262,1075.7782,
2129.351,1082.4638,
2126.441,1067.4975,
2123.530,1008.0317,
2120.619,940.62173,
2117.709,902.88406,
2114.798,846.05358,
2111.888,792.35072,
2108.977,741.14733,
2106.067,713.16622,
2103.156,683.47511,
2100.245,655.74686,
2097.335,647.37828,
2094.424,622.98935,
2091.514,622.31988,
2088.603,617.85139,
2085.692,599.79099,
2082.782,595.11141,
2079.871,605.14323,
2076.961,609.55627,
2074.050,572.13788,
2071.140,578.62365,
2068.229,579.55337,
2065.318,587.79849,
2062.408,589.9701,
2059.497,591.91664,
2056.587,577.91284,
2053.676,560.41766,
2050.766,582.59454,
2047.855,543.54741,
2044.944,571.94711,
2042.034,570.98109,
2039.123,546.49074,
2036.213,551.53888,
2033.302,547.66306,
2030.391,567.35961,
2027.481,549.73807,
2024.570,571.77773,
2021.660,569.28216,
2018.749,566.42033,
2015.839,534.09515,
2012.928,537.46308,
2010.017,528.51548,
2007.107,550.09954,
2004.196,550.14284,
2001.286,552.39663,
1998.375,547.00787,
1995.465,538.81696,
1992.554,535.12061,
1989.643,532.81913,
1986.733,532.12456,
1983.822,538.04468,
1980.912,530.33388,
1978.001,520.00418,
1975.090,537.09505,
1972.180,541.85508,
1969.269,516.95687,
1966.359,503.31746,
1963.448,498.01948,
1960.538,492.88094,
1957.627,463.21747,
1954.716,494.71583,
1951.806,510.62028,
1948.895,454.44832,
1945.985,484.85621,
1943.074,503.34781,
1940.164,491.9229,
1937.253,451.49404,
1934.342,432.38261,
1931.432,457.56388,
1928.521,449.16451,
1925.611,445.07463,
1922.700,469.70165,
1919.790,449.91214,
1916.879,452.26175,
1913.968,453.74877,
1911.058,438.26953,
1908.147,454.70178,
1905.237,427.90445,
1902.326,448.53075,
1899.415,436.75,
1896.505,434.40057,
1893.594,440.28967,
1890.684,432.12922,
1887.773,418.37057,
1884.863,403.89123,
1881.952,432.11212,
1879.041,455.55841,
1876.131,449.60621,
1873.220,428.57293,
1870.310,429.463,
1867.399,398.26179,
1864.489,416.87936,
1861.578,445.77739,
1858.667,452.08236,
1855.757,434.5364,
1852.846,447.48847,
1849.936,435.00626,
1847.025,434.09791,
1844.114,460.77354,
1841.204,452.31644,
1838.293,442.7367,
1835.383,461.13349,
1832.472,454.92391,
1829.562,454.97084,
1826.651,496.9902,
1823.740,477.35147,
1820.830,472.23826,
1817.919,467.42061,
1815.009,452.05026,
1812.098,465.90747,
1809.188,496.82745,
1806.277,484.08198,
1803.366,471.08272,
1800.456,489.65086,
1797.545,472.50168,
1794.635,496.2001,
1791.724,529.51713,
1788.813,480.5536,
1785.903,500.89529,
1782.992,522.16577,
1780.082,492.72475,
1777.171,481.75161,
1774.261,503.81032,
1771.350,510.77524,
1768.439,485.55946,
1765.529,503.84262,
1762.618,511.85124,
1759.708,512.837,
1756.797,506.5303,
1753.887,503.95554,
1750.976,508.75,
1748.065,506.90668,
1745.155,485.31143,
1742.244,521.42384,
1739.334,518.36177,
1736.423,512.81541,
1733.512,510.65649,
1730.602,531.93853,
1727.691,552.03257,
1724.781,540.01847,
1721.870,549.43103,
1718.960,537.12759,
1716.049,539.62282,
1713.138,554.42993,
1710.228,522.80842,
1707.317,548.71,
1704.407,572.51474,
1701.496,574.75,
1698.586,621.87321,
1695.675,568.67177,
1692.764,612.08609,
1689.854,606.13976,
1686.943,589.32334,
1684.033,599.4768,
1681.122,602.69902,
1678.211,597.79759,
1675.301,645.602,
1672.390,657.92047,
1669.480,714.35692,
1666.569,666.18166,
1663.659,700.02765,
1660.748,716.40293,
1657.837,699.27487,
1654.927,723.26544,
1652.016,744.6771,
1649.106,741.75,
1646.195,742.08567,
1643.285,758.16538,
1640.374,861.47822,
1637.463,849.07426,
1634.553,867.7549,
1631.642,935.1626,
1628.732,973.35439,
1625.821,1074.7873,
1622.911,1131.4288,
1620.000,1202.8429,
1617.089,1283.1381,
1614.179,1405.2531,
1611.268,1443.4116,
1608.358,1542.9272,
1605.447,1652.408,
1602.536,1666.2051,
1599.626,1667.6699,
1596.715,1656.8588,
1593.805,1606.5617,
1590.894,1644.7835,
1587.984,1597.9184,
1585.073,1537.8502,
1582.162,1523.7407,
1579.252,1557.1186,
1576.341,1543.1213,
1573.431,1530.7014,
1570.520,1484.4161,
1567.610,1461.8087,
1564.699,1447.1495,
1561.788,1432.8909,
1558.878,1367.9841,
1555.967,1335.786,
1553.057,1298.6641,
1550.146,1262.1573,
1547.235,1202.1626,
1544.325,1197.1577,
1541.414,1199.7679,
1538.504,1144.7286,
1535.593,1111.1846,
1532.683,1078.3766,
1529.772,1047.9623,
1526.861,1042.2312,
1523.951,1031.5042,
1521.040,1021.9286,
1518.130,942.2427,
1515.219,962.86887,
1512.309,988.61933,
1509.398,956.05406,
1506.487,985.82858,
1503.577,991.96148,
1500.666,940.70606,
1497.756,893.43653,
1494.845,899.26864,
1491.934,839.82244,
1489.024,861.95978,
1486.113,919.31015,
1483.203,851.80842,
1480.292,817.29466,
1477.382,829.72321,
1474.471,803.82222,
1471.560,760.64369,
1468.650,736.13435,
1465.739,742.27882,
1462.829,760.08953,
1459.918,754.49022,
1457.008,749.33469,
1454.097,737.18799,
1451.186,734.21615,
1448.276,754.69134,
1445.365,733.92615,
1442.455,688.35082,
1439.544,657.31318,
1436.633,705.81852,
1433.723,727.13292,
1430.812,704.76034,
1427.902,655.20099,
1424.991,674.15624,
1422.081,658.23541,
1419.170,591.08141,
1416.259,618.82296,
1413.349,576.39361,
1410.438,565.34824,
1407.528,556.80639,
1404.617,555.44703,
1401.707,581.0075,
1398.796,604.05419,
1395.885,608.57678,
1392.975,602.66637,
1390.064,592.39878,
1387.154,605.52616,
1384.243,616.36858,
1381.332,567.5046,
1378.422,616.45508,
1375.511,668.91482,
1372.601,730.57364,
1369.690,710.89055,
1366.780,742.39158,
1363.869,801.15044,
1360.958,848.79952,
1358.048,891.04234,
1355.137,893.97948,
1352.227,901.2534,
1349.316,954.35686,
1346.406,992.3217,
1343.495,1006.6595,
1340.584,1094.3922,
1337.674,1140.7868,
1334.763,1157.4324,
1331.853,1149.0874,
1328.942,1216.3493,
1326.032,1204.3595,
1323.121,1281.2561,
1320.210,1307.0863,
1317.300,1344.1151,
1314.389,1385.1392,
1311.479,1437.1963,
1308.568,1496.4482,
1305.657,1515.9977,
1302.747,1539.7449,
1299.836,1615.7869,
1296.926,1655.9802,
1294.015,1746.9932,
1291.105,1842.3263,
1288.194,1868.3286,
1285.283,1924.0182,
1282.373,2023.8513,
1279.462,2067.005,
