,PLF9CE~1,
Raman shift [1/cm],Intensity,
2173.010,959.72704,
2170.099,982.62352,
2167.189,990.04118,
2164.278,1053.7878,
2161.368,1103.3376,
2158.457,1141.4376,
2155.546,1179.1385,
2152.636,1229.71,
2149.725,1280.5713,
2146.815,1292.4915,
2143.904,1336.0302,
2140.993,1351.6514,
2138.083,1367.4608,
2135.172,1386.0536,
2132.262,1370.2157,
2129.351,1324.6627,
2126.441,1303.1395,
2123.530,1234.2322,
2120.619,1193.4326,
2117.709,1136.6942,
2114.798,1068.7556,
2111.888,1026.7881,
2108.977,973.57199,
2106.067,949.10824,
2103.156,915.19127,
2100.245,841.63378,
2097.335,855.86584,
2094.424,853.79541,
2091.514,838.40723,
2088.603,811.26564,
2085.692,804.17509,
2082.782,818.45229,
2079.871,809.76736,
2076.961,792.65825,
2074.050,826.80076,
2071.140,806.92414,
2068.229,791.43489,
2065.318,800.47675,
2062.408,791.73091,
2059.497,804.46432,
2056.587,786.4162,
2053.676,793.2238,
2050.766,800.39406,
2047.855,791.28325,
2044.944,779.625,
2042.034,786.49793,
2039.123,797.74285,
2036.213,785.02726,
2033.302,791.27724,
2030.391,803.08221,
2027.481,816.83227,
2024.570,817.78217,
2021.660,794.10323,
2018.749,810.43505,
2015.839,807.77723,
2012.928,820.01594,
2010.017,807.8074,
2007.107,800.32408,
2004.196,815.76788,
2001.286,808.93598,
1998.375,797.14567,
1995.465,795.625,
1992.554,802.6367,
1989.643,813.27936,
1986.733,804.87588,
1983.822,792.18925,
1980.912,792.20888,
1978.001,789.09069,
1975.090,804.43721,
1972.180,779.35109,
1969.269,786.49579,
1966.359,792.40857,
1963.448,796.77428,
1960.538,789.45235,
1957.627,791.97485,
1954.716,803.309,
1951.806,817.27725,
1948.895,808.20196,
1945.985,793.66748,
1943.074,808.07508,
1940.164,817.86523,
1937.253,797.01649,
1934.342,801.76189,
1931.432,817.04771,
1928.521,808.18286,
1925.611,804.34577,
1922.700,779.29904,
1919.790,827.74576,
1916.879,833.83425,
1913.968,808.65574,
1911.058,837.03941,
1908.147,808.11545,
1905.237,775.35301,
1902.326,811.98797,
1899.415,801.67256,
1896.505,797.97443,
1893.594,798.44511,
1890.684,794.10866,
1887.773,799.97829,
1884.863,824.39721,
1881.952,820.97765,
1879.041,822.1899,
1876.131,815.66683,
1873.220,786.60277,
1870.310,792.83574,
1867.399,823.14519,
1864.489,844.75571,
1861.578,800.58639,
1858.667,815.66395,
1855.757,803.98419,
1852.846,838.06606,
1849.936,810.27564,
1847.025,834.44494,
1844.114,848.61323,
1841.204,842.46766,
1838.293,833.63332,
1835.383,835.72949,
1832.472,835.69457,
1829.562,849.51146,
1826.651,886.29232,
1823.740,875.32994,
1820.830,839.61689,
1817.919,843.02627,
1815.009,854.18734,
1812.098,839.46753,
1809.188,862.95052,
1806.277,832.35535,
1803.366,880.12591,
1800.456,852.1638,
1797.545,878.90158,
1794.635,880.72199,
1791.724,877.43079,
1788.813,894.4286,
1785.903,907.96995,
1782.992,912.13766,
1780.082,898.70859,
1777.171,883.9553,
1774.261,879.92515,
1771.350,900.54,
1768.439,902.8364,
1765.529,895.98983,
1762.618,909.42251,
1759.708,918.69025,
1756.797,912.48106,
1753.887,908.00984,
1750.976,922.41819,
1748.065,936.76939,
1745.155,932.96054,
1742.244,939.88132,
1739.334,949.04853,
1736.423,949.21192,
1733.512,952.99087,
1730.602,959.86112,
1727.691,947.80711,
1724.781,940.47869,
1721.870,963.768,
1718.960,984.42518,
1716.049,992.65885,
1713.138,1007.3049,
1710.228,1025.2903,
1707.317,1004.6261,
1704.407,1047.4433,
1701.496,1052.625,
1698.586,1046.1571,
1695.675,1013.8109,
1692.764,1089.2562,
1689.854,1066.8376,
1686.943,1081.0854,
1684.033,1094.3021,
1681.122,1086.7609,
1678.211,1092.5679,
1675.301,1123.5294,
1672.390,1161.5442,
1669.480,1135.4272,
1666.569,1234.752,
1663.659,1244.5107,
1660.748,1239.2254,
1657.837,1319.9252,
1654.927,1288.8359,
1652.016,1299.3016,
1649.106,1366.4781,
1646.195,1360.9607,
1643.285,1375.377,
1640.374,1408.3149,
1637.463,1440.661,
1634.553,1443.7481,
1631.642,1519.8519,
1628.732,1632.0339,
1625.821,1700.6734,
1622.911,1774.208,
1620.000,1916.8108,
1617.089,2050.9384,
1614.179,2145.9459,
1611.268,2294.974,
1608.358,2339.7053,
1605.447,2402.9112,
1602.536,2402.8975,
1599.626,2502.8977,
1596.715,2486.2122,
1593.805,2403.1351,
1590.894,2383.057,
1587.984,2375.5624,
1585.073,2345.6972,
1582.162,2380.6995,
1579.252,2356.7113,
1576.341,2326.3942,
1573.431,2327.6736,
1570.520,2325.8031,
1567.610,2273.9576,
1564.699,2266.0504,
1561.788,2262.5828,
1558.878,2185.8866,
1555.967,2090.8438,
1553.057,2076.211,
1550.146,2042.6069,
1547.235,1974.8925,
1544.325,1964.722,
1541.414,1915.9784,
1538.504,1882.6633,
1535.593,1871.9232,
1532.683,1829.5995,
1529.772,1815.7625,
1526.861,1791.6923,
1523.951,1752.7796,
1521.040,1741.1993,
1518.130,1724.031,
1515.219,1707.3445,
1512.309,1712.9808,
1509.398,1676.1212,
1506.487,1673.5225,
1503.577,1684.5677,
1500.666,1668.5957,
1497.756,1637.4641,
1494.845,1647.7851,
1491.934,1651.4108,
1489.024,1585.9613,
1486.113,1568.7896,
1483.203,1612.0334,
1480.292,1541.259,
1477.382,1568.0374,
1474.471,1551.5341,
1471.560,1500.8107,
1468.650,1510.5894,
1465.739,1487.398,
1462.829,1479.5613,
1459.918,1467.7353,
1457.008,1472.4406,
1454.097,1494.0115,
1451.186,1503.5264,
1448.276,1503.9249,
1445.365,1499.4489,
1442.455,1518.5122,
1439.544,1489.1572,
1436.633,1485.344,
1433.723,1500.1476,
1430.812,1449.0288,
1427.902,1466.5348,
1424.991,1462.7438,
1422.081,1433.2657,
1419.170,1444.45,
1416.259,1446.625,
1413.349,1475.3242,
1410.438,1398.5521,
1407.528,1421.493,
1404.617,1490.4398,
1401.707,1488.0681,
1398.796,1455.1285,
1395.885,1455.133,
1392.975,1474.6461,
1390.064,1480.0331,
1387.154,1465.924,
1384.243,1457.2445,
1381.332,1423.305,
1378.422,1399.8614,
1375.511,1462.6258,
1372.601,1560.3899,
1369.690,1625.2017,
1366.780,1652.8418,
1363.869,1672.881,
1360.958,1749.2681,
