,PL4B8A~1,
Raman shift [1/cm],Intensity,
2175.920,668.06786,
2173.010,671.37415,
2170.099,661.18403,
2167.189,668.32176,
2164.278,678.10327,
2161.368,682.67792,
2158.457,704.72254,
2155.546,725.77982,
2152.636,722.7979,
2149.725,724.90771,
2146.815,733.01642,
2143.904,757.65148,
2140.993,762.64681,
2138.083,761.04942,
2135.172,764.62825,
2132.262,769.23592,
2129.351,757.96376,
2126.441,742.99753,
2123.530,710.9245,
2120.619,680.18587,
2117.709,663.82206,
2114.798,648.03455,
2111.888,637.73752,
2108.977,615.63409,
2106.067,600.97487,
2103.156,581.77346,
2100.245,567.26129,
2097.335,584.64791,
2094.424,581.2074,
2091.514,573.16657,
2088.603,548.02882,
2085.692,538.11248,
2082.782,557.16151,
2079.871,555.57089,
2076.961,574.76471,
2074.050,563.66818,
2071.140,548.54914,
2068.229,533.05989,
2065.318,540.57075,
2062.408,540.68192,
2059.497,543.44643,
2056.587,550.76149,
2053.676,542.00075,
2050.766,532.78886,
2047.855,539.16456,
2044.944,535.58494,
2042.034,529.35402,
2039.123,525.2904,
2036.213,532.78779,
2033.302,528.01101,
2030.391,531.84291,
2027.481,539.73779,
2024.570,564.69221,
2021.660,539.14214,
2018.749,544.37622,
2015.839,523.86417,
2012.928,538.61745,
2010.017,547.73099,
2007.107,538.34346,
2004.196,525.8928,
2001.286,516.68815,
1998.375,509.812,
1995.465,523.34196,
1992.554,519.48537,
1989.643,514.38825,
1986.733,516.67807,
1983.822,522.13405,
1980.912,510.38871,
1978.001,505.47077,
1975.090,484.25763,
1972.180,491.86966,
1969.269,499.85344,
1966.359,508.27717,
1963.448,504.7533,
1960.538,502.06151,
1957.627,499.57508,
1954.716,480.79581,
1951.806,476.19388,
1948.895,488.12864,
1945.985,453.19445,
1943.074,476.32386,
1940.164,470.16355,
1937.253,475.09787,
1934.342,480.31845,
1931.432,477.28154,
1928.521,468.6006,
1925.611,464.64614,
1922.700,445.04697,
1919.790,448.86262,
1916.879,443.73825,
1913.968,401.30164,
1911.058,467.43919,
1908.147,476.27913,
1905.237,425.63972,
1902.326,422.28409,
1899.415,395.60975,
1896.505,408.30441,
1893.594,428.7073,
1890.684,447.00148,
1887.773,448.45742,
1884.863,433.25,
1881.952,422.7876,
1879.041,425.05841,
1876.131,423.99248,
1873.220,411.9181,
1870.310,393.54151,
1867.399,429.64224,
1864.489,450.96486,
1861.578,419.4368,
1858.667,420.51647,
1855.757,426.61277,
1852.846,462.97309,
1849.936,444.22698,
1847.025,433.36923,
1844.114,422.62881,
1841.204,430.78147,
