,PLB712~1,
Wavenumbers [1/cm],Intensity,
2213.758,1952.0801,
2210.847,1938.4566,
2207.937,1999.3997,
2205.026,1988.4722,
2202.116,1994.1831,
2199.205,2005.25,
2196.294,2041.2179,
2193.384,2082.7495,
2190.473,2101.9777,
2187.563,2116.5013,
2184.652,2172.7684,
2181.742,2216.5705,
2178.831,2297.6237,
2175.920,2364.485,
2173.010,2437.7046,
2170.099,2593.7014,
2167.189,2735.0537,
2164.278,2869.2872,
2161.368,3066.3852,
2158.457,3260.6819,
2155.546,3434.6983,
2152.636,3624.9253,
2149.725,3813.3841,
2146.815,3951.5127,
2143.904,4125.4804,
2140.993,4227.419,
2138.083,4301.6483,
2135.172,4324.7798,
2132.262,4366.2289,
2129.351,4336.105,
2126.441,4246.2012,
2123.530,4115.9154,
2120.619,3890.2967,
2117.709,3706.184,
2114.798,3470.9377,
2111.888,3229.0558,
2108.977,3011.4287,
2106.067,2864.2112,
2103.156,2719.8714,
2100.245,2586.2205,
2097.335,2521.1872,
2094.424,2379.1973,
2091.514,2337.2392,
2088.603,2296.9413,
2085.692,2261.6107,
2082.782,2229.5112,
2079.871,2183.1053,
2076.961,2196.7647,
2074.050,2193.9227,
2071.140,2145.5146,
2068.229,2131.5221,
2065.318,2134.9293,
2062.408,2141.7122,
2059.497,2103.369,
2056.587,2097.5287,
2053.676,2106.25,
2050.766,2085.9436,
2047.855,2056.25,
2044.944,2060.6394,
2042.034,2086.169,
2039.123,2070.1288,
2036.213,2066.21,
2033.302,2077.8804,
2030.391,2082.4703,
2027.481,2096.1523,
2024.570,2073.2793,
2021.660,2100.2396,
2018.749,2076.3137,
2015.839,2102.8465,
2012.928,2086.458,
2010.017,2051.6127,
2007.107,2091.579,
2004.196,2107.0833,
2001.286,2107.5009,
1998.375,2093.4616,
1995.465,2067.9446,
1992.554,2057.1148,
1989.643,2053.3537,
1986.733,2036.2298,
1983.822,2068.1466,
1980.912,2042.6455,
1978.001,2024.3261,
1975.090,2016.9126,
1972.180,2024.109,
1969.269,2072.4023,
1966.359,2037.844,
1963.448,2017.6331,
1960.538,1994.0932,
1957.627,1978.4419,
1954.716,2008.3307,
1951.806,2025.399,
1948.895,2029.2702,
1945.985,2021.5441,
1943.074,1974.9067,
1940.164,2002.25,
1937.253,1986.7547,
1934.342,1969.2757,
1931.432,1954.3541,
1928.521,1957.4849,
1925.611,1944.6268,
1922.700,1930.7099,
1919.790,1943.8915,
1916.879,1936.0172,
1913.968,1972.2045,
1911.058,1936.4091,
1908.147,1902.361,
1905.237,1935.3014,
1902.326,1900.3937,
1899.415,1856.3183,
1896.505,1806.8163,
1893.594,1828.7836,
1890.684,1905.949,
1887.773,1937.1901,
1884.863,1934.0928,
1881.952,1968.8472,
1879.041,1934.3476,
1876.131,1965.6696,
1873.220,1932.6658,
1870.310,1931.8195,
1867.399,1938.154,
1864.489,1937.3668,
1861.578,1943.986,
1858.667,1974.9686,
1855.757,1950.0292,
1852.846,1972.9987,
