,PLBFB8~1,
Wavenumbers [1/cm],Intensity,
2190.473,1380.5511,
2187.563,1401.2362,
2184.652,1431.6556,
2181.742,1482.1033,
2178.831,1498.9265,
2175.920,1541.0066,
2173.010,1624.604,
2170.099,1711.7173,
2167.189,1804.5699,
2164.278,1880.3582,
2161.368,1994.5498,
2158.457,2104.0498,
2155.546,2220.1213,
2152.636,2370.8003,
2149.725,2506.8296,
2146.815,2592.8225,
2143.904,2678.2625,
2140.993,2779.8339,
2138.083,2822.0551,
2135.172,2843.5452,
2132.262,2854.3768,
2129.351,2815.8558,
2126.441,2736.8627,
2123.530,2661.9128,
2120.619,2534.3461,
2117.709,2380.9205,
2114.798,2264.0706,
2111.888,2103.2035,
2108.977,1956.2839,
2106.067,1855.9715,
2103.156,1760.5793,
2100.245,1673.1043,
2097.335,1630.4915,
2094.424,1559.8857,
2091.514,1529.8075,
2088.603,1479.9729,
2085.692,1467.7571,
2082.782,1440.8681,
2079.871,1411.9453,
2076.961,1411.8021,
2074.050,1425.3311,
2071.140,1391.2513,
2068.229,1394.4037,
2065.318,1386.7422,
2062.408,1372.3368,
2059.497,1362.9345,
2056.587,1377.4737,
2053.676,1376.4087,
2050.766,1372.3559,
2047.855,1385.1282,
2044.944,1356.0465,
2042.034,1381.9631,
2039.123,1359.7445,
2036.213,1349.3761,
2033.302,1351.9075,
2030.391,1353.6845,
2027.481,1341.1983,
2024.570,1354.1389,
2021.660,1390.0555,
2018.749,1382.9853,
2015.839,1358.0259,
2012.928,1377.1485,
2010.017,1370.7602,
2007.107,1399.125,
2004.196,1394.5178,
2001.286,1378.6445,
1998.375,1356.5118,
1995.465,1322.5938,
1992.554,1341.4189,
1989.643,1342.2287,
1986.733,1338.1618,
1983.822,1321.2661,
1980.912,1323.036,
1978.001,1319.227,
1975.090,1308.5082,
1972.180,1316.0904,
1969.269,1322.2198,
1966.359,1325.4763,
1963.448,1273.2584,
1960.538,1314.1767,
1957.627,1302.2674,
1954.716,1307.8665,
1951.806,1301.5224,
1948.895,1311.6756,
1945.985,1325.6528,
1943.074,1311.5641,
1940.164,1294.4708,
1937.253,1256.2252,
1934.342,1252.202,
1931.432,1278.4436,
1928.521,1309.3081,
1925.611,1257.8594,
1922.700,1252.328,
1919.790,1256.2637,
1916.879,1256.125,
1913.968,1261.1189,
1911.058,1263.0019,
1908.147,1249.1177,
1905.237,1257.1617,
1902.326,1238.9709,
1899.415,1218.2091,
1896.505,1154.9442,
1893.594,1167.744,
1890.684,1216.5824,
1887.773,1244.5643,
1884.863,1232.8015,
1881.952,1251.5122,
1879.041,1260.5861,
1876.131,1233.0649,
1873.220,1238.4569,
1870.310,1225.273,
1867.399,1258.5652,
1864.489,1286.3461,
1861.578,1265.257,
1858.667,1246.9783,
1855.757,1252.1035,
1852.846,1268.8378,
1849.936,1254.6825,
1847.025,1284.4729,
1844.114,1301.0897,
1841.204,1293.9292,
1838.293,1286.1416,
1835.383,1296.892,
1832.472,1306.4154,
1829.562,1326.6771,
1826.651,1315.1415,
1823.740,1314.7725,
1820.830,1346.1331,
1817.919,1337.0231,
1815.009,1342.5436,
1812.098,1336.9439,
1809.188,1315.4894,
1806.277,1310.2135,
1803.366,1323.125,
1800.456,1324.9386,
1797.545,1356.586,
1794.635,1364.6081,
1791.724,1388.125,
1788.813,1380.5152,
1785.903,1335.3518,
1782.992,1274.7852,
1780.082,1189.9104,
1777.171,1047.4456,
1774.261,1052.6861,
1771.350,1199.53,
1768.439,1325.4074,
1765.529,1381.5796,
1762.618,1389.855,
1759.708,1412.4295,
1756.797,1429.3523,
1753.887,1415.7649,
1750.976,1406.0733,
1748.065,1425.9437,
1745.155,1442.8733,
1742.244,1433.5444,
1739.334,1451.7744,
1736.423,1471.6035,
1733.512,1504.2308,
1730.602,1491.9365,
1727.691,1517.1344,
1724.781,1522.4055,
1721.870,1523.5393,
1718.960,1526.5917,
1716.049,1534.6758,
1713.138,1578.8748,
1710.228,1560.8864,
1707.317,1581.0084,
1704.407,1557.1731,
1701.496,1591.4985,
1698.586,1625.6165,
1695.675,1644.9678,
1692.764,1629.084,
1689.854,1654.9124,
1686.943,1673.5179,
1684.033,1693.6283,
1681.122,1691.176,
1678.211,1733.7158,
1675.301,1745.0911,
1672.390,1785.1699,
1669.480,1800.5502,
1666.569,1853.3662,
1663.659,1873.2029,
1660.748,1938.0286,
1657.837,1933.9998,
1654.927,1974.3433,
1652.016,2026.6558,
1649.106,2087.9292,
1646.195,2082.4987,
1643.285,2179.3073,
1640.374,2188.7138,
1637.463,2265.8812,
1634.553,2417.6915,
1631.642,2523.0914,
1628.732,2612.0968,
1625.821,2775.2539,
1622.911,2971.0149,
1620.000,3154.7942,
1617.089,3309.0404,
1614.179,3619.2135,
1611.268,3809.1356,
1608.358,4051.5597,
1605.447,4212.0976,
1602.536,4268.6512,
1599.626,4315.3618,
1596.715,4274.6525,
1593.805,4240.612,
1590.894,4193.9722,
1587.984,4140.4899,
1585.073,4069.3137,
1582.162,4019.7202,
1579.252,3954.0256,
1576.341,3927.5069,
1573.431,3946.8371,
1570.520,3961.5331,
1567.610,3896.32,
1564.699,3832.5233,
1561.788,3715.7175,
1558.878,3727.7461,
1555.967,3671.2026,
1553.057,3525.7812,
1550.146,3429.0233,
1547.235,3374.428,
1544.325,3296.5718,
1541.414,3249.8847,
1538.504,3219.3797,
1535.593,3141.0252,
1532.683,3084.7468,
1529.772,3045.1756,
1526.861,3011.2181,
1523.951,3027.6706,
1521.040,3015.4676,
1518.130,2991.198,
