,PL5BD3~1,
Raman shift [1/cm],Intensity,
2260.327,245.9482,
2257.417,241.10944,
2254.506,251.5228,
2251.595,245.36551,
2248.685,247.33843,
2245.774,250.5,
2242.864,265.00875,
2239.953,243.95516,
2237.043,243.16215,
2234.132,246.10776,
2231.221,247.94701,
2228.311,249.97938,
2225.400,247.8096,
2222.490,258.12866,
2219.579,259.23523,
2216.669,263.50477,
2213.758,266.41373,
2210.847,270.91813,
2207.937,267.66287,
2205.026,279.27784,
2202.116,271.46923,
2199.205,269.76142,
2196.294,288.69001,
2193.384,289.342,
2190.473,280.20422,
2187.563,281.616,
2184.652,305.80122,
2181.742,311.63688,
2178.831,321.06031,
2175.920,317.00273,
2173.010,310.87472,
2170.099,318.16568,
2167.189,351.58611,
2164.278,368.04875,
2161.368,391.92888,
2158.457,401.59783,
2155.546,429.66636,
2152.636,432.40958,
2149.725,450.64092,
2146.815,463.19968,
2143.904,479.2026,
2140.993,488.75922,
2138.083,501.68844,
2135.172,504.0126,
2132.262,493.1118,
2129.351,506.37942,
2126.441,482.46107,
2123.530,489.08471,
2120.619,449.88543,
2117.709,429.80837,
2114.798,416.39227,
2111.888,393.05081,
2108.977,356.42714,
2106.067,347.01676,
2103.156,357.17819,
2100.245,331.49812,
2097.335,326.45288,
2094.424,319.39853,
2091.514,335.91928,
2088.603,314.80417,
2085.692,296.08743,
2082.782,311.53198,
2079.871,294.39149,
2076.961,317.49809,
2074.050,294.25758,
2071.140,287.89093,
2068.229,281.67708,
2065.318,285.2035,
2062.408,300.21254,
2059.497,315.89285,
2056.587,297.8956,
2053.676,277.61752,
2050.766,282.80717,
2047.855,276.38608,
2044.944,275.82531,
2042.034,295.13003,
2039.123,285.11953,
2036.213,282.2689,
2033.302,286.67388,
2030.391,284.6357,
2027.481,282.5,
2024.570,291.77118,
2021.660,275.62346,
2018.749,293.42402,
2015.839,291.36549,
2012.928,288.20134,
2010.017,283.09718,
2007.107,293.52431,
2004.196,299.98809,
2001.286,296.4788,
1998.375,296.5876,
1995.465,288.84732,
1992.554,285.62354,
1989.643,276.81107,
1986.733,264.30263,
1983.822,280.75702,
1980.912,288.35099,
1978.001,270.00835,
1975.090,289.44658,
1972.180,297.46678,
1969.269,278.40516,
1966.359,264.12149,
1963.448,258.5,
1960.538,270.67265,
1957.627,262.8003,
1954.716,264.41382,
1951.806,292.66191,
1948.895,257.11741,
1945.985,259.19771,
1943.074,278.06088,
1940.164,282.70199,
1937.253,273.86553,
1934.342,258.02994,
1931.432,253.99527,
1928.521,252.39637,
1925.611,246.57151,
1922.700,265.66022,
1919.790,249.96845,
1916.879,236.26724,
1913.968,206.53566,
1911.058,235.3018,
1908.147,233.29709,
1905.237,242.27208,
1902.326,252.48964,
1899.415,249.65368,
1896.505,266.23486,
1893.594,257.40854,
1890.684,254.36931,
1887.773,249.92243,
1884.863,247.58656,
1881.952,266.7273,
1879.041,272.47404,
1876.131,242.99674,
1873.220,253.06201,
1870.310,254.57175,
1867.399,210.21971,
1864.489,266.05909,
1861.578,235.35677,
1858.667,278.68565,
1855.757,251.91647,
1852.846,239.27947,
1849.936,245.91943,
1847.025,240.90386,
1844.114,288.97298,
1841.204,283.59441,
1838.293,249.50832,
1835.383,259.80199,
1832.472,298.59391,
1829.562,282.00468,
1826.651,269.33777,
1823.740,249.20494,
1820.830,282.16966,
1817.919,265.18245,
1815.009,260.21247,
1812.098,278.45274,
1809.188,275.81009,
1806.277,297.0131,
1803.366,275.38355,
1800.456,270.25863,
1797.545,298.56393,
