,PLCB58~1,
Wavenumbers [1/cm],Intensity,
2219.579,2055.4376,
2216.669,2049.7238,
2213.758,2081.3415,
2210.847,2109.7588,
2207.937,2108.4536,
2205.026,2100.3602,
2202.116,2128.3965,
2199.205,2152.9239,
2196.294,2181.994,
2193.384,2204.302,
2190.473,2242.1373,
2187.563,2234.6657,
2184.652,2324.3165,
2181.742,2365.8659,
2178.831,2435.7521,
2175.920,2503.2227,
2173.010,2602.9308,
2170.099,2743.0372,
2167.189,2892.0752,
2164.278,3035.45,
2161.368,3246.3879,
2158.457,3433.1282,
2155.546,3643.1088,
2152.636,3858.3081,
2149.725,4078.2029,
2146.815,4264.911,
2143.904,4372.0157,
2140.993,4544.0541,
2138.083,4607.0402,
2135.172,4654.1576,
2132.262,4652.7324,
2129.351,4604.4704,
2126.441,4539.1236,
2123.530,4351.4766,
2120.619,4169.2419,
2117.709,3951.9304,
2114.798,3740.4263,
2111.888,3517.6182,
2108.977,3264.283,
2106.067,3073.2182,
2103.156,2905.1546,
2100.245,2753.1961,
2097.335,2657.7369,
2094.424,2581.3089,
2091.514,2527.4298,
2088.603,2432.2778,
2085.692,2404.4358,
2082.782,2396.5794,
2079.871,2335.8545,
2076.961,2324.25,
2074.050,2289.2015,
2071.140,2288.5718,
2068.229,2294.332,
2065.318,2297.9777,
2062.408,2262.6131,
2059.497,2253.2798,
2056.587,2249.0642,
2053.676,2182.8204,
2050.766,2195.0945,
2047.855,2187.6804,
2044.944,2169.9792,
2042.034,2186.7009,
2039.123,2196.7685,
2036.213,2182.6922,
2033.302,2203.9019,
2030.391,2195.488,
2027.481,2197.6157,
2024.570,2230.2207,
2021.660,2237.1317,
2018.749,2195.6936,
2015.839,2233.5951,
2012.928,2236.2735,
2010.017,2219.4965,
2007.107,2217.8762,
2004.196,2221.0953,
2001.286,2212.8932,
1998.375,2198.9459,
1995.465,2195.317,
1992.554,2183.7324,
1989.643,2192.8698,
1986.733,2183.7851,
1983.822,2182.6702,
1980.912,2124.6268,
1978.001,2141.2333,
1975.090,2127.4607,
1972.180,2127.1117,
1969.269,2136.3448,
1966.359,2146.0879,
1963.448,2140.4838,
1960.538,2157.5377,
1957.627,2148.8754,
1954.716,2179.302,
1951.806,2156.6106,
1948.895,2130.6062,
1945.985,2156.0163,
1943.074,2102.7151,
1940.164,2073.9807,
1937.253,2069.6934,
1934.342,2062.1473,
1931.432,2069.8778,
1928.521,2088.1464,
1925.611,2071.5099,
1922.700,2046.047,
1919.790,2071.3942,
1916.879,2064.1567,
1913.968,2079.2303,
1911.058,2098.286,
1908.147,2047.0325,
1905.237,2076.0662,
1902.326,2058.0204,
1899.415,2015.8475,
1896.505,1974.8102,
1893.594,2010.0398,
1890.684,2048.6946,
1887.773,2045.5341,
1884.863,2039.3047,
1881.952,2095.1169,
1879.041,2064.2438,
1876.131,2065.6095,
1873.220,2063.2765,
1870.310,2033.4743,
1867.399,2044.0421,
1864.489,2094.5226,
1861.578,2101.1566,
1858.667,2104.9446,
1855.757,2128.4636,
1852.846,2121.291,
1849.936,2119.252,
1847.025,2077.5955,
1844.114,2120.1018,
1841.204,2129.1906,
1838.293,2137.7275,
1835.383,2137.5875,
1832.472,2145.8204,
1829.562,2171.3872,
1826.651,2158.4205,
1823.740,2184.1926,
1820.830,2157.8953,
1817.919,2182.8969,
1815.009,2229.7805,
1812.098,2208.4232,
1809.188,2178.0485,
1806.277,2198.741,
1803.366,2205.3498,
1800.456,2210.8103,
1797.545,2205.7392,
1794.635,2235.7971,
1791.724,2272.0947,
1788.813,2257.4387,
1785.903,2222.719,
1782.992,2208.4228,
1780.082,2132.4124,
1777.171,2027.2345,
1774.261,2012.6859,
1771.350,2174.9193,
1768.439,2308.1012,
1765.529,2303.3398,
1762.618,2292.385,
1759.708,2313.7937,
1756.797,2322.1136,
1753.887,2348.3039,
1750.976,2375.712,
1748.065,2378.78,
1745.155,2368.8372,
1742.244,2344.0344,
1739.334,2397.5582,
1736.423,2422.7173,
1733.512,2438.7135,
1730.602,2459.4623,
1727.691,2463.4823,
1724.781,2497.8594,
1721.870,2514.4929,
1718.960,2506.3832,
1716.049,2518.5126,
1713.138,2528.945,
1710.228,2545.9153,
1707.317,2560.634,
1704.407,2579.3195,
1701.496,2600.3925,
1698.586,2604.098,
1695.675,2605.1857,
1692.764,2732.1107,
1689.854,2659.8444,
1686.943,2702.6312,
1684.033,2724.7284,
1681.122,2739.9951,
1678.211,2834.3459,
1675.301,2836.2469,
1672.390,2865.5162,
1669.480,2954.0414,
1666.569,2929.4053,
1663.659,3020.2136,
1660.748,3079.9468,
1657.837,3166.5343,
1654.927,3179.5546,
1652.016,3196.3808,
1649.106,3362.2255,
1646.195,3365.2541,
1643.285,3530.4603,
1640.374,3625.919,
1637.463,3660.6187,
1634.553,3846.1859,
1631.642,3977.2153,
1628.732,4157.8321,
1625.821,4423.4469,
1622.911,4722.5538,
1620.000,4959.2515,
1617.089,5283.7226,
1614.179,5709.0954,
1611.268,6037.0556,
1608.358,6379.0492,
1605.447,6644.1663,
1602.536,6688.1385,
1599.626,6773.9639,
1596.715,6767.636,
1593.805,6723.3221,
1590.894,6622.257,
1587.984,6596.2586,
1585.073,6553.4108,
1582.162,6431.0357,
1579.252,6359.1519,
1576.341,6385.9,
1573.431,6346.6932,
1570.520,6312.6118,
1567.610,6204.9151,
1564.699,6175.3252,
1561.788,6065.9835,
1558.878,5998.7671,
1555.967,5906.6669,
1553.057,5736.6651,
1550.146,5608.3265,
1547.235,5508.9044,
1544.325,5417.3109,
1541.414,5308.8823,
1538.504,5183.5385,
1535.593,5108.6426,
1532.683,5052.3639,
1529.772,4968.4568,
1526.861,4914.8127,
1523.951,4925.0042,
1521.040,4952.4263,
1518.130,4886.4107,
1515.219,4777.0091,
1512.309,4779.0067,
1509.398,4663.6041,
1506.487,4556.1555,
1503.577,4549.8163,
1500.666,4483.5418,
1497.756,4436.8007,
1494.845,4415.8481,
1491.934,4334.165,
1489.024,4308.1777,
1486.113,4194.1297,
1483.203,4147.947,
1480.292,4087.2482,
1477.382,3989.1509,
1474.471,3899.1859,
1471.560,3853.5774,
1468.650,3799.8372,
1465.739,3805.5101,
1462.829,3780.8601,
1459.918,3751.4875,
1457.008,3736.5575,
1454.097,3729.3337,
1451.186,3720.279,
1448.276,3684.1223,
1445.365,3675.2887,
1442.455,3695.3975,
1439.544,3660.8776,
1436.633,3691.4446,
1433.723,3707.6359,
1430.812,3679.3686,
1427.902,3642.1676,
1424.991,3596.675,
1422.081,3582.4053,
1419.170,3659.8795,
1416.259,3711.9431,
1413.349,3669.8936,
1410.438,3687.5392,
1407.528,3671.9941,
1404.617,3699.8717,
1401.707,3671.8967,
1398.796,3606.0333,
1395.885,3591.25,
1392.975,3595.8544,
1390.064,3596.0093,
1387.154,3584.1945,
1384.243,3608.8704,
1381.332,3603.3567,
1378.422,3620.5102,
1375.511,3780.6997,
1372.601,3974.0151,
1369.690,3928.53,
1366.780,4102.7942,
1363.869,4156.3353,
1360.958,4234.1749,
1358.048,4365.8066,
1355.137,4423.9932,
1352.227,4481.9301,
1349.316,4614.5743,
1346.406,4743.6095,
1343.495,4843.4295,
1340.584,4904.6071,
1337.674,4925.7606,
1334.763,5092.9077,
1331.853,5215.3022,
1328.942,5179.3347,
1326.032,5303.1181,
1323.121,5445.6176,
1320.210,5581.8085,
1317.300,5670.3858,
1314.389,5810.28,
1311.479,5933.2887,
1308.568,6028.8842,
1305.657,6217.8463,
1302.747,6390.1194,
1299.836,6518.7171,
1296.926,6742.7021,
1294.015,6881.5199,
1291.105,7116.1909,
1288.194,7343.7408,
1285.283,7613.063,
1282.373,7789.4762,
1279.462,7923.0523,
1276.552,8025.0927,
1273.641,8153.6983,
1270.731,8302.0724,
1267.820,8311.25,
1264.909,8307.5024,
1261.999,8276.2555,
1259.088,8166.8009,
1256.178,8023.217,
1253.267,7882.8691,
1250.356,7609.5339,
1247.446,7380.6648,
1244.535,7116.3978,
1241.625,6787.3393,
1238.714,6507.439,
1235.804,6302.6047,
1232.893,6100.7708,
1229.982,6000.8532,
1227.072,5841.5182,
1224.161,5729.3895,
1221.251,5682.7032,
1218.340,5547.5745,
1215.430,5410.4331,
1212.519,5356.061,
1209.608,5357.5412,
1206.698,5346.803,
1203.787,5318.1595,
1200.877,5314.5346,
1197.966,5351.4001,
1195.055,5534.1387,
1192.145,5718.5241,
1189.234,5852.2954,
1186.324,5979.076,
1183.413,6061.8236,
1180.503,6063.3872,
1177.592,6021.4215,
1174.681,5992.3767,
1171.771,5991.1895,
1168.860,5901.8805,
1165.950,5935.9833,
1163.039,5923.9011,
1160.129,5908.3514,
1157.218,5835.5048,
1154.307,5759.3949,
1151.397,5733.3103,
1148.486,5663.9042,
1145.576,5637.3612,
1142.665,5593.8534,
1139.754,5577.2319,
1136.844,5514.024,
1133.933,5463.6167,
1131.023,5455.6919,
1128.112,5435.5402,
1125.202,5383.8732,
1122.291,5395.7513,
1119.380,5398.8256,
1116.470,5355.5817,
