,PLFA52~1,
Raman shift [1/cm],Intensity,
2231.221,1529.3614,
2228.311,1523.2758,
2225.400,1536.3419,
2222.490,1595.8107,
2219.579,1589.7869,
2216.669,1585.5821,
2213.758,1610.2799,
2210.847,1671.0179,
2207.937,1652.928,
2205.026,1679.6259,
2202.116,1664.0156,
2199.205,1704.5363,
2196.294,1739.303,
2193.384,1756.8615,
2190.473,1776.0687,
2187.563,1800.0697,
2184.652,1897.047,
2181.742,1938.5582,
2178.831,2008.1544,
2175.920,2113.1697,
2173.010,2224.0309,
2170.099,2339.2818,
2167.189,2491.5363,
2164.278,2641.9828,
2161.368,2826.477,
2158.457,2984.0366,
2155.546,3139.5146,
2152.636,3305.1779,
2149.725,3448.3229,
2146.815,3540.1557,
2143.904,3595.2643,
2140.993,3703.4291,
2138.083,3724.8348,
2135.172,3680.1964,
2132.262,3622.1805,
2129.351,3594.8905,
2126.441,3505.5082,
2123.530,3302.323,
2120.619,3167.5341,
2117.709,2995.216,
2114.798,2797.255,
2111.888,2607.1161,
2108.977,2447.8832,
2106.067,2311.378,
2103.156,2203.4398,
2100.245,2136.5566,
2097.335,2022.0857,
2094.424,1966.546,
2091.514,1926.1331,
2088.603,1924.4361,
2085.692,1900.5321,
2082.782,1897.7455,
2079.871,1844.408,
2076.961,1853.2043,
2074.050,1836.7341,
2071.140,1799.4641,
2068.229,1806.5169,
2065.318,1815.7597,
2062.408,1791.2082,
2059.497,1776.6071,
2056.587,1786.9387,
2053.676,1759.3271,
2050.766,1754.3941,
2047.855,1755.3972,
2044.944,1752.6795,
2042.034,1772.3531,
2039.123,1730.9853,
2036.213,1737.605,
2033.302,1738.2772,
2030.391,1748.7941,
2027.481,1758.1128,
2024.570,1755.2537,
2021.660,1744.2754,
2018.749,1762.5368,
2015.839,1778.7648,
2012.928,1734.625,
2010.017,1742.0919,
2007.107,1763.9054,
2004.196,1772.625,
2001.286,1759.3317,
1998.375,1763.8465,
1995.465,1746.0268,
1992.554,1729.9839,
1989.643,1700.6273,
1986.733,1709.9294,
1983.822,1704.255,
1980.912,1744.1695,
1978.001,1739.8031,
1975.090,1733.2265,
1972.180,1717.6609,
1969.269,1713.513,
1966.359,1703.1653,
1963.448,1715.271,
1960.538,1718.7559,
1957.627,1711.3835,
1954.716,1718.3952,
1951.806,1688.165,
1948.895,1713.5441,
1945.985,1686.0335,
1943.074,1687.3446,
1940.164,1684.4903,
1937.253,1680.625,
1934.342,1668.5223,
1931.432,1674.5209,
1928.521,1656.454,
1925.611,1610.7941,
1922.700,1641.5711,
1919.790,1638.8448,
1916.879,1647.788,
1913.968,1654.6176,
1911.058,1661.2947,
1908.147,1659.1491,
1905.237,1678.8015,
1902.326,1670.0013,
1899.415,1627.0116,
1896.505,1654.402,
1893.594,1644.3506,
1890.684,1650.2067,
1887.773,1683.8139,
1884.863,1677.2856,
1881.952,1655.0451,
1879.041,1670.7808,
1876.131,1667.6668,
1873.220,1679.572,
1870.310,1640.782,
1867.399,1656.3211,
1864.489,1647.1577,
1861.578,1634.1306,
1858.667,1631.9483,
1855.757,1702.23,
1852.846,1686.3225,
1849.936,1667.4148,
1847.025,1712.9705,
1844.114,1725.3002,
1841.204,1704.9012,
1838.293,1708.6416,
1835.383,1709.0085,
1832.472,1722.3693,
1829.562,1724.9862,
1826.651,1736.933,
1823.740,1743.353,
1820.830,1738.995,
1817.919,1766.1282,
1815.009,1769.2001,
1812.098,1739.003,
1809.188,1817.2295,
1806.277,1746.3513,
1803.366,1797.0427,
1800.456,1763.9989,
1797.545,1787.0718,
1794.635,1786.5271,
1791.724,1822.1007,
1788.813,1829.0178,
1785.903,1817.8807,
1782.992,1854.3567,
1780.082,1845.4909,
1777.171,1820.6218,
1774.261,1827.2404,
1771.350,1872.289,
1768.439,1882.6876,
1765.529,1896.0843,
1762.618,1913.0975,
1759.708,1891.4728,
1756.797,1885.1629,
1753.887,1898.6002,
1750.976,1910.9836,
1748.065,1923.6849,
1745.155,1959.3667,
1742.244,1952.4502,
1739.334,1966.6438,
1736.423,1987.81,
1733.512,1961.7916,
1730.602,1982.7897,
1727.691,2014.3518,
1724.781,2004.1069,
1721.870,2027.7918,
1718.960,2087.2479,
1716.049,2086.0404,
1713.138,2053.7001,
