,PLC2FF~1,
Raman shift [1/cm],Intensity,
2207.937,1708.8636,
2205.026,1728.819,
2202.116,1740.6372,
2199.205,1754.9865,
2196.294,1799.1029,
2193.384,1805.586,
2190.473,1828.6884,
2187.563,1868.6698,
2184.652,1940.9721,
2181.742,2009.0344,
2178.831,2047.4724,
2175.920,2140.2512,
2173.010,2242.6301,
2170.099,2358.3646,
2167.189,2450.4657,
2164.278,2620.1569,
2161.368,2779.369,
2158.457,2956.4811,
2155.546,3077.827,
2152.636,3228.8641,
2149.725,3357.2676,
2146.815,3437.1727,
2143.904,3580.1705,
2140.993,3583.5759,
2138.083,3629.6455,
2135.172,3625.896,
2132.262,3603.3468,
2129.351,3563.4335,
2126.441,3433.3358,
2123.530,3296.9832,
2120.619,3153.5961,
2117.709,2988.0409,
2114.798,2808.9626,
2111.888,2617.2904,
2108.977,2488.62,
2106.067,2344.9605,
2103.156,2242.7479,
2100.245,2121.3537,
2097.335,2081.2336,
2094.424,2025.3649,
2091.514,1984.297,
2088.603,1972.9003,
2085.692,1962.9178,
2082.782,1951.4272,
2079.871,1895.9795,
2076.961,1893.7292,
2074.050,1914.2598,
2071.140,1886.9042,
2068.229,1855.6537,
2065.318,1850.2888,
2062.408,1858.7918,
2059.497,1851.1488,
2056.587,1841.6657,
2053.676,1778.4955,
2050.766,1804.9879,
2047.855,1824.2358,
2044.944,1793.3557,
2042.034,1827.8372,
2039.123,1775.7959,
2036.213,1789.6817,
2033.302,1805.614,
2030.391,1818.5274,
2027.481,1795.3387,
2024.570,1847.0591,
2021.660,1821.681,
2018.749,1831.5012,
2015.839,1812.7379,
2012.928,1831.1569,
2010.017,1821.0243,
2007.107,1828.2367,
2004.196,1837.3988,
2001.286,1811.1842,
1998.375,1793.375,
1995.465,1812.2536,
1992.554,1801.5987,
1989.643,1826.4072,
1986.733,1828.6461,
1983.822,1783.3373,
1980.912,1803.8802,
1978.001,1808.6125,
1975.090,1795.5933,
1972.180,1782.5825,
1969.269,1763.3548,
1966.359,1772.1861,
1963.448,1781.6445,
1960.538,1770.8254,
1957.627,1799.5825,
1954.716,1767.4379,
1951.806,1738.4182,
1948.895,1759.2677,
1945.985,1761.6985,
1943.074,1739.8032,
1940.164,1715.0383,
1937.253,1715.2748,
1934.342,1724.8451,
1931.432,1712.1384,
1928.521,1691.7377,
1925.611,1668.518,
1922.700,1697.1982,
1919.790,1698.6236,
1916.879,1683.4212,
1913.968,1684.3725,
1911.058,1711.9786,
1908.147,1706.7735,
1905.237,1710.1691,
1902.326,1709.6832,
1899.415,1690.5177,
1896.505,1705.267,
1893.594,1725.9389,
1890.684,1691.9567,
1887.773,1707.6591,
1884.863,1726.3044,
1881.952,1702.7778,
1879.041,1706.2613,
1876.131,1734.1776,
1873.220,1700.1492,
1870.310,1689.7338,
1867.399,1728.7353,
1864.489,1700.1928,
1861.578,1718.8806,
1858.667,1708.3361,
1855.757,1733.1686,
1852.846,1742.8878,
1849.936,1747.6543,
1847.025,1767.482,
1844.114,1797.2691,
