,PLD376~1,
Raman shift [1/cm],Intensity,
2173.010,467.27693,
2170.099,462.75992,
2167.189,496.74698,
2164.278,516.70641,
2161.368,537.4818,
2158.457,559.45195,
2155.546,580.74616,
2152.636,603.92281,
2149.725,634.43035,
2146.815,655.05773,
2143.904,677.52092,
2140.993,676.23865,
2138.083,697.69494,
2135.172,690.58302,
2132.262,699.38028,
2129.351,718.23889,
2126.441,682.9841,
2123.530,666.08625,
2120.619,616.28565,
2117.709,597.406,
2114.798,584.4596,
2111.888,557.00113,
2108.977,516.73095,
2106.067,488.66556,
2103.156,473.82665,
2100.245,461.625,
2097.335,458.97579,
2094.424,438.42825,
2091.514,435.34006,
2088.603,436.625,
2085.692,427.16781,
2082.782,435.46828,
2079.871,420.26678,
2076.961,444.62309,
2074.050,408.91591,
2071.140,414.625,
2068.229,415.16927,
2065.318,421.21801,
2062.408,427.64013,
2059.497,430.23215,
2056.587,415.60202,
2053.676,409.44162,
2050.766,427.16237,
2047.855,402.68196,
2044.944,407.8173,
2042.034,426.72902,
2039.123,412.46338,
2036.213,395.74055,
2033.302,401.14664,
2030.391,416.28575,
2027.481,408.97878,
2024.570,407.1535,
2021.660,385.98497,
2018.749,418.96691,
2015.839,423.72408,
2012.928,396.55621,
2010.017,399.68907,
2007.107,410.99507,
2004.196,397.11309,
2001.286,402.66739,
1998.375,405.23327,
1995.465,403.05179,
1992.554,396.48976,
1989.643,386.93607,
1986.733,388.98289,
1983.822,381.8569,
1980.912,403.07018,
1978.001,384.8031,
1975.090,382.60974,
1972.180,380.90161,
1969.269,364.69969,
1966.359,358.625,
1963.448,357.89448,
1960.538,379.53576,
1957.627,359.65904,
1954.716,385.76319,
1951.806,373.78691,
1948.895,340.02781,
1945.985,353.30147,
1943.074,366.50325,
1940.164,350.46124,
1937.253,329.20755,
1934.342,332.12072,
1931.432,318.3474,
1928.521,338.4972,
1925.611,342.37188,
1922.700,342.37362,
1919.790,303.14569,
1916.879,318.02076,
1913.968,328.61393,
1911.058,326.88927,
1908.147,331.42209,
1905.237,338.41178,
1902.326,344.04278,
1899.415,339.625,
1896.505,329.83573,
1893.594,320.07624,
1890.684,308.03689,
1887.773,319.50358,
1884.863,327.23092,
1881.952,327.99492,
1879.041,311.95625,
1876.131,316.21192,
1873.220,325.59848,
1870.310,306.20351,
1867.399,305.60901,
1864.489,335.81972,
1861.578,341.2788,
1858.667,347.03818,
1855.757,337.04863,
1852.846,317.40959,
1849.936,330.36975,
1847.025,319.97536,
1844.114,339.67209,
1841.204,339.44668,
1838.293,328.61835,
1835.383,353.39198,
1832.472,348.68239,
1829.562,331.06979,
1826.651,358.34365,
1823.740,344.69008,
1820.830,357.00315,
1817.919,333.49307,
1815.009,342.03721,
1812.098,362.57774,
1809.188,340.23746,
1806.277,341.5586,
1803.366,352.07418,
1800.456,378.2403,
1797.545,369.32015,
1794.635,352.8171,
1791.724,384.88727,
1788.813,343.43503,
1785.903,378.14242,
1782.992,382.1138,
1780.082,358.00985,
1777.171,350.29202,
1774.261,379.73057,
1771.350,398.94374,
1768.439,360.86005,
1765.529,378.35373,
1762.618,374.5806,
1759.708,381.57086,
1756.797,398.93561,
1753.887,401.13812,
1750.976,383.98692,
1748.065,369.625,
1745.155,367.07018,
1742.244,383.50269,
1739.334,390.57088,
1736.423,377.6138,
1733.512,377.71851,
1730.602,399.82146,
1727.691,403.55436,
1724.781,417.56995,
1721.870,413.57733,
1718.960,421.49179,
1716.049,403.48961,
1713.138,415.86992,
1710.228,391.64579,
1707.317,406.201,
1704.407,448.15448,
1701.496,400.66678,
1698.586,434.43235,
1695.675,402.06807,
1692.764,451.6947,
1689.854,424.01081,
1686.943,431.32147,
1684.033,418.94787,
1681.122,416.65898,
1678.211,438.41562,
1675.301,445.60342,
1672.390,465.80145,
1669.480,524.07951,
1666.569,457.00588,
1663.659,487.09864,
1660.748,514.44881,
1657.837,455.28109,
1654.927,485.67931,
1652.016,529.91659,
1649.106,540.81713,
1646.195,508.33728,
1643.285,498.85808,
1640.374,594.39504,
1637.463,584.11139,
1634.553,610.891,
1631.642,628.9616,
1628.732,660.03386,
1625.821,728.64332,
1622.911,756.46722,
1620.000,800.07066,
1617.089,838.84888,
1614.179,902.79193,
1611.268,975.87383,
1608.358,991.0163,
1605.447,1042.5397,
1602.536,1079.1729,
1599.626,1082.5449,
1596.715,1066.2882,
1593.805,1052.9987,
1590.894,1074.5224,
1587.984,1081.0894,
1585.073,996.54332,
1582.162,1012.5158,
1579.252,1019.4433,
1576.341,1027.6356,
1573.431,1012.3952,
1570.520,977.8143,
1567.610,982.78208,
1564.699,954.99866,
1561.788,905.30141,
1558.878,872.55592,
1555.967,891.05159,
1553.057,878.47009,
1550.146,858.0941,
1547.235,812.71182,
1544.325,775.70755,
1541.414,770.16506,
1538.504,757.77994,
1535.593,746.59883,
1532.683,725.57408,
1529.772,707.38738,
1526.861,705.95747,
1523.951,689.74316,
1521.040,688.88443,
1518.130,669.292,
1515.219,654.14376,
1512.309,679.53035,
1509.398,626.7657,
1506.487,626.1603,
1503.577,640.71102,
1500.666,653.02876,
1497.756,607.78591,
1494.845,596.42434,
1491.934,567.625,
1489.024,567.625,
1486.113,569.47943,
1483.203,552.74981,
1480.292,574.38332,
1477.382,531.74661,
1474.471,522.92714,
1471.560,510.56301,
1468.650,496.74244,
1465.739,484.93912,
1462.829,484.2059,
1459.918,483.86255,
1457.008,510.05613,
1454.097,492.79567,
1451.186,444.78361,
1448.276,461.32511,
1445.365,460.65739,
1442.455,425.27143,
1439.544,452.88028,
1436.633,491.64289,
1433.723,427.36972,
1430.812,439.03394,
1427.902,431.37695,
1424.991,420.95157,
1422.081,418.79005,
1419.170,398.75161,
1416.259,386.71431,
1413.349,392.93265,
1410.438,369.03337,
1407.528,373.0748,
1404.617,335.24187,
1401.707,349.7897,
1398.796,389.73689,
1395.885,366.54215,
1392.975,350.08389,
1390.064,371.97622,
1387.154,367.96161,
1384.243,375.10766,
1381.332,370.52236,
1378.422,356.08856,
1375.511,403.86439,
1372.601,438.7231,
1369.690,433.05278,
1366.780,451.42588,
1363.869,491.4959,
1360.958,558.10252,
1358.048,598.67786,
1355.137,578.71238,
1352.227,590.14157,
1349.316,618.29418,
1346.406,613.69959,
1343.495,654.14067,
1340.584,659.37368,
1337.674,748.94823,
1334.763,776.872,
1331.853,783.36261,
1328.942,783.625,
1326.032,835.0091,
1323.121,890.3419,
1320.210,876.32449,
1317.300,898.21939,
1314.389,944.18096,
1311.479,977.60548,
1308.568,1003.8864,
1305.657,1029.3014,
1302.747,1074.4177,
1299.836,1144.5021,
1296.926,1146.9151,
1294.015,1217.703,
1291.105,1239.1164,
1288.194,1271.9772,
1285.283,1291.7971,
1282.373,1335.8592,
1279.462,1404.7418,
1276.552,1447.7353,
1273.641,1455.1434,
1270.731,1454.9787,
1267.820,1449.6637,
1264.909,1453.7459,
1261.999,1454.0591,
1259.088,1438.553,
1256.178,1465.8881,
1253.267,1436.1012,
1250.356,1390.4078,
1247.446,1356.6099,
1244.535,1310.4331,
1241.625,1259.4769,
1238.714,1227.2182,
1235.804,1193.3338,
1232.893,1140.4971,
1229.982,1152.3984,
1227.072,1116.186,
1224.161,1090.0909,
1221.251,1086.3695,
1218.340,1062.0081,
1215.430,1022.7498,
1212.519,998.00292,
1209.608,1012.0525,
1206.698,1045.3697,
1203.787,1051.4793,
1200.877,1087.4549,
1197.966,1068.5725,
1195.055,1095.7822,
1192.145,1126.922,
1189.234,1165.4694,
1186.324,1202.8998,
1183.413,1224.5996,
1180.503,1219.5073,
1177.592,1194.5138,
1174.681,1176.738,
1171.771,1171.2844,
1168.860,1199.8632,
1165.950,1150.2162,
1163.039,1153.6883,
1160.129,1155.3163,
1157.218,1144.8947,
1154.307,1151.724,
1151.397,1156.3348,
1148.486,1104.1726,
1145.576,1118.1239,
1142.665,1106.581,
1139.754,1095.8615,
1136.844,1094.3253,
1133.933,1108.1146,
1131.023,1103.9342,
1128.112,1086.4825,
1125.202,1075.1371,
1122.291,1058.8946,
1119.380,1109.4864,
1116.470,1095.366,
1113.559,1109.8632,
1110.649,1123.138,
1107.738,1116.9086,
1104.828,1122.1885,
1101.917,1156.5309,
1099.006,1174.0275,
1096.096,1099.9262,
1093.185,1088.5122,
1090.275,1124.0422,
1087.364,1151.8364,
1084.453,1130.8144,
1081.543,1122.0863,
1078.632,1148.1465,
1075.722,1164.4369,
1072.811,1163.3147,
1069.901,1158.9484,
1066.990,1152.1583,
1064.079,1193.4974,
1061.169,1188.2191,
1058.258,1183.7175,
1055.348,1210.0344,
1052.437,1222.7568,
1049.527,1233.0544,
1046.616,1218.2843,
1043.705,1232.8111,
1040.795,1254.2261,
1037.884,1266.1537,
1034.974,1273.4665,
1032.063,1268.7485,
1029.153,1233.2336,
1026.242,1279.9412,
1023.331,1281.625,
1020.421,1268.3801,
1017.510,1293.4402,
1014.600,1295.2097,
1011.689,1277.4532,
1008.778,1317.2488,
1005.868,1361.9879,
1002.957,1402.4246,
1000.047,1439.929,
997.136,1489.8012,
994.226,1518.8557,
991.315,1510.6646,
988.404,1482.8688,
985.494,1468.088,
982.583,1444.1044,
979.673,1454.5263,
976.762,1440.8377,
973.852,1432.4871,
970.941,1452.5549,
968.030,1484.573,
965.120,1478.5391,
962.209,1458.0781,
959.299,1502.0777,
956.388,1493.6268,
953.477,1483.9558,
950.567,1488.2924,
947.656,1455.5271,
944.746,1492.9075,
941.835,1493.8152,
938.925,1498.8894,
