,PL1F6B~1,
Raman shift [1/cm],Intensity,
2173.010,420.5513,
2170.099,411.27678,
2167.189,408.92523,
2164.278,417.1956,
2161.368,426.01772,
2158.457,436.07666,
2155.546,458.76829,
2152.636,447.9708,
2149.725,463.00921,
2146.815,450.47564,
2143.904,471.17982,
2140.993,480.31419,
2138.083,477.71084,
2135.172,487.3792,
2132.262,485.62324,
2129.351,493.18195,
2126.441,463.18558,
2123.530,458.94234,
2120.619,462.26043,
2117.709,440.60125,
2114.798,425.09807,
2111.888,428.4873,
2108.977,402.35842,
2106.067,405.3512,
2103.156,388.11945,
2100.245,371.86622,
2097.335,359.68128,
2094.424,373.11435,
2091.514,370.2997,
2088.603,378.11457,
2085.692,376.14276,
2082.782,365.28865,
2079.871,365.05353,
2076.961,361.13331,
2074.050,365.475,
2071.140,395.58775,
2068.229,384.79298,
2065.318,384.59201,
2062.408,380.70028,
2059.497,366.69049,
2056.587,364.78209,
2053.676,380.65719,
2050.766,378.41386,
2047.855,392.10607,
2044.944,370.53044,
2042.034,391.6321,
2039.123,363.23527,
2036.213,377.81505,
2033.302,380.91866,
2030.391,376.67145,
2027.481,388.80175,
2024.570,393.56067,
2021.660,385.40716,
2018.749,377.55883,
2015.839,392.9918,
2012.928,382.48406,
2010.017,382.03135,
2007.107,381.1797,
2004.196,394.82737,
2001.286,364.47576,
1998.375,355.61713,
1995.465,380.32678,
1992.554,362.2105,
1989.643,391.69983,
1986.733,364.76798,
1983.822,364.70883,
1980.912,372.0034,
1978.001,365.14588,
1975.090,371.304,
1972.180,365.18483,
1969.269,377.66813,
1966.359,371.19917,
1963.448,366.33603,
1960.538,357.94839,
1957.627,382.62425,
1954.716,378.10481,
1951.806,364.97436,
1948.895,367.38511,
1945.985,374.95997,
1943.074,383.86404,
1940.164,358.40368,
1937.253,352.62266,
1934.342,364.38783,
1931.432,374.53431,
1928.521,376.32923,
1925.611,388.29044,
1922.700,362.21755,
1919.790,359.04257,
1916.879,384.99176,
1913.968,373.89098,
1911.058,356.0732,
1908.147,361.53196,
1905.237,377.08822,
1902.326,366.18316,
1899.415,353.9067,
1896.505,347.91715,
1893.594,340.78657,
1890.684,348.78341,
1887.773,364.918,
1884.863,365.32375,
1881.952,388.98475,
1879.041,347.67717,
1876.131,362.63577,
1873.220,353.31299,
1870.310,378.72248,
1867.399,372.01894,
1864.489,364.32979,
1861.578,354.89117,
1858.667,393.58159,
1855.757,390.48001,
1852.846,385.88013,
1849.936,387.66579,
1847.025,370.7631,
1844.114,358.9574,
1841.204,385.28759,
1838.293,397.36585,
1835.383,402.875,
1832.472,393.3863,
1829.562,397.73464,
1826.651,410.71277,
1823.740,399.31559,
1820.830,403.13492,
1817.919,399.35999,
1815.009,379.89409,
1812.098,408.2923,
1809.188,388.42544,
1806.277,397.63155,
1803.366,423.35928,
1800.456,393.86423,
1797.545,413.45643,
1794.635,436.42396,
1791.724,418.38958,
1788.813,413.87886,
1785.903,425.64051,
1782.992,429.43537,
1780.082,428.31819,
1777.171,396.875,
1774.261,400.52507,
1771.350,398.96,
1768.439,412.41049,
1765.529,428.23513,
1762.618,404.42562,
1759.708,402.36413,
1756.797,416.39773,
1753.887,442.9785,
1750.976,437.95419,
1748.065,418.27285,
1745.155,439.70062,
1742.244,457.52355,
1739.334,417.10795,
1736.423,431.08243,
1733.512,439.78149,
1730.602,447.59922,
1727.691,460.08693,
1724.781,460.51527,
1721.870,486.4323,
1718.960,471.49696,
1716.049,476.9427,
1713.138,475.45502,
1710.228,484.44827,
1707.317,455.79957,
1704.407,458.16378,
1701.496,459.78655,
1698.586,510.69414,
1695.675,476.51095,
1692.764,470.08811,
1689.854,456.48129,
1686.943,482.93068,
1684.033,497.52729,
1681.122,523.4332,
1678.211,528.82741,
1675.301,533.85958,
1672.390,518.95276,
1669.480,544.99533,
1666.569,559.78613,
1663.659,553.72428,
1660.748,604.89428,
1657.837,605.56882,
1654.927,592.9996,
1652.016,638.63575,
1649.106,589.46254,
1646.195,613.52236,
1643.285,639.41927,
1640.374,619.39417,
1637.463,598.33418,
1634.553,677.77155,
1631.642,670.89672,
1628.732,673.39051,
1625.821,759.88743,
1622.911,778.76793,
1620.000,861.81671,
1617.089,908.93967,
1614.179,877.80563,
1611.268,982.78543,
1608.358,988.78135,
1605.447,981.33208,
1602.536,1033.9926,
1599.626,1086.6314,
1596.715,1060.0166,
1593.805,1021.1017,
1590.894,1012.4716,
1587.984,1030.0629,
1585.073,975.01946,
1582.162,1012.4635,
1579.252,967.04882,
1576.341,972.49839,
1573.431,999.58705,
1570.520,956.95487,
1567.610,947.09077,
1564.699,960.47548,
1561.788,909.24173,
1558.878,889.28882,
1555.967,863.78775,
1553.057,854.9784,
1550.146,859.10409,
1547.235,837.44259,
1544.325,832.62011,
1541.414,830.07386,
1538.504,829.60964,
1535.593,854.917,
1532.683,830.15134,
1529.772,812.64949,
1526.861,848.23076,
1523.951,842.09309,
1521.040,850.53243,
1518.130,844.57802,
1515.219,856.39324,
1512.309,891.10915,
1509.398,813.51948,
1506.487,816.41828,
1503.577,813.43773,
1500.666,785.23275,
1497.756,811.4936,
1494.845,805.47423,
1491.934,772.00099,
1489.024,810.5007,
1486.113,750.67877,
1483.203,760.97385,
1480.292,767.96607,
1477.382,750.28529,
1474.471,738.20121,
1471.560,712.65368,
1468.650,727.78958,
1465.739,730.54863,
1462.829,730.05272,
1459.918,709.67038,
1457.008,702.04437,
1454.097,705.48047,
1451.186,683.98332,
1448.276,686.90625,
1445.365,719.33867,
1442.455,707.77521,
1439.544,705.8487,
1436.633,729.53439,
1433.723,689.76547,
1430.812,657.2736,
1427.902,699.31126,
1424.991,675.6172,
1422.081,695.97697,
1419.170,680.59379,
1416.259,663.29387,
1413.349,713.49711,
1410.438,711.98095,
1407.528,704.51874,
1404.617,708.9849,
1401.707,702.86601,
1398.796,667.96948,
1395.885,657.3043,
1392.975,654.4154,
1390.064,586.51401,
1387.154,545.19196,
1384.243,489.97531,
1381.332,409.98165,
1378.422,424.96143,
1375.511,542.99583,
1372.601,637.9536,
1369.690,698.16557,
1366.780,668.06528,
1363.869,700.01067,
1360.958,735.68149,
1358.048,704.34317,
1355.137,734.75161,
1352.227,783.29981,
1349.316,786.42924,
1346.406,807.53849,
1343.495,823.875,
1340.584,826.73194,
1337.674,839.5534,
1334.763,838.25112,
1331.853,874.41314,
1328.942,900.77999,
1326.032,926.71238,
1323.121,865.1882,
1320.210,889.15537,
1317.300,931.76243,
1314.389,922.77735,
1311.479,873.47715,
1308.568,869.2022,
1305.657,927.99883,
1302.747,929.66186,
1299.836,934.70311,
1296.926,1004.1059,
1294.015,987.55805,
1291.105,1039.7075,
1288.194,1079.6235,
1285.283,1067.1109,
1282.373,1094.9452,
1279.462,1136.1883,
1276.552,1139.8671,
1273.641,1132.0875,
1270.731,1150.0496,
1267.820,1161.5512,
1264.909,1149.2377,
1261.999,1152.0082,
1259.088,1155.6566,
1256.178,1142.1717,
1253.267,1103.8168,
1250.356,1067.8166,
1247.446,1074.0635,
1244.535,1090.8393,
1241.625,1081.9565,
1238.714,1055.7137,
1235.804,1041.1857,
1232.893,1046.3742,
1229.982,1048.8631,
1227.072,1018.9878,
1224.161,999.22442,
1221.251,970.56169,
1218.340,941.14502,
1215.430,915.01055,
1212.519,909.66639,
1209.608,914.68562,
1206.698,921.13062,
1203.787,953.60364,
1200.877,937.49091,
1197.966,963.56652,
1195.055,960.60876,
1192.145,1026.7446,
1189.234,1070.2851,
1186.324,1114.0599,
1183.413,1117.9105,
1180.503,1101.3535,
1177.592,1124.9457,
1174.681,1120.988,
1171.771,1114.9162,
1168.860,1116.7024,
1165.950,1109.6184,
1163.039,1093.9069,
1160.129,1097.9025,
1157.218,1084.6841,
1154.307,1063.6171,
1151.397,1072.4347,
1148.486,1093.2756,
1145.576,1089.2968,
1142.665,1075.9781,
1139.754,1070.8069,
1136.844,1064.9729,
1133.933,1075.1916,
1131.023,1067.8237,
1128.112,1041.6619,
1125.202,1026.875,
1122.291,1029.5071,
1119.380,1047.6238,
1116.470,1022.0305,
1113.559,1019.6482,
1110.649,1032.9719,
1107.738,1034.5168,
1104.828,1018.2242,
1101.917,1011.9346,
1099.006,1039.2048,
1096.096,1052.7786,
1093.185,1018.5365,
1090.275,1047.4365,
1087.364,1066.5391,
1084.453,1074.6873,
1081.543,1084.3248,
1078.632,1094.5018,
1075.722,1095.1228,
1072.811,1090.9442,
1069.901,1077.8453,
1066.990,1075.2583,
1064.079,1072.8335,
1061.169,1092.8624,
1058.258,1104.7932,
1055.348,1092.5837,
